Date,RSI_7,RSI_14,RSI_Sinal
2000-01-03,,,Neutro
2000-01-04,0.00,0.00,Sobrevendido
2000-01-05,0.00,0.00,Sobrevendido
2000-01-06,0.00,0.00,Sobrevendido
2000-01-07,42.00,42.00,Neutro
2000-01-10,50.00,50.00,Neutro
2000-01-11,59.88,59.88,Neutro
2000-01-12,57.39,57.39,Neutro
2000-01-13,80.16,57.39,Neutro
2000-01-14,92.09,70.85,Sobrecomprado
2000-01-18,84.54,64.35,Neutro
2000-01-19,77.97,63.38,Neutro
2000-01-20,79.89,67.36,Neutro
2000-01-21,84.02,73.95,Sobrecomprado
2000-01-24,80.82,71.02,Sobrecomprado
2000-01-25,63.73,68.47,Neutro
2000-01-26,50.87,69.97,Neutro
2000-01-27,48.68,65.67,Neutro
2000-01-28,48.41,60.68,Neutro
2000-01-31,37.46,57.07,Neutro
2000-02-01,0.00,50.08,Neutro
2000-02-02,21.86,55.61,Neutro
2000-02-03,51.05,59.46,Neutro
2000-02-04,63.00,56.65,Neutro
2000-02-07,80.10,63.20,Neutro
2000-02-08,84.94,66.43,Neutro
2000-02-09,71.70,56.65,Neutro
2000-02-10,78.27,48.11,Neutro
2000-02-11,78.69,55.20,Neutro
2000-02-14,75.98,65.84,Neutro
2000-02-15,72.24,67.51,Neutro
2000-02-16,70.20,75.40,Sobrecomprado
2000-02-17,84.25,84.53,Sobrecomprado
2000-02-18,79.78,76.32,Sobrecomprado
2000-02-22,66.52,70.80,Sobrecomprado
2000-02-23,67.23,71.40,Sobrecomprado
2000-02-24,66.44,69.70,Neutro
2000-02-25,65.69,67.75,Neutro
2000-02-28,65.46,66.88,Neutro
2000-02-29,63.51,73.10,Sobrecomprado
2000-03-01,85.17,82.87,Sobrecomprado
2000-03-02,78.85,73.27,Sobrecomprado
2000-03-03,79.48,73.97,Sobrecomprado
2000-03-06,83.44,76.77,Sobrecomprado
2000-03-07,76.04,72.22,Sobrecomprado
2000-03-08,59.04,61.08,Neutro
2000-03-09,42.68,49.35,Neutro
2000-03-10,30.89,53.12,Neutro
2000-03-13,32.66,53.07,Neutro
2000-03-14,19.91,45.10,Neutro
2000-03-15,2.53,42.70,Neutro
2000-03-16,20.57,47.67,Neutro
2000-03-17,34.39,49.05,Neutro
2000-03-20,38.13,40.88,Neutro
2000-03-21,32.75,31.75,Neutro
2000-03-22,47.82,40.02,Neutro
2000-03-23,62.42,36.70,Neutro
2000-03-24,67.27,28.23,Sobrevendido
2000-03-27,51.44,29.67,Sobrevendido
2000-03-28,36.65,35.11,Neutro
2000-03-29,36.81,37.68,Neutro
2000-03-30,35.34,33.62,Neutro
2000-03-31,0.90,35.78,Neutro
2000-04-03,0.00,42.06,Neutro
2000-04-04,0.00,43.69,Neutro
2000-04-05,28.94,39.95,Neutro
2000-04-06,50.24,44.60,Neutro
2000-04-07,54.61,46.88,Neutro
2000-04-10,49.38,43.49,Neutro
2000-04-11,47.31,31.92,Neutro
2000-04-12,46.58,30.48,Neutro
2000-04-13,50.72,31.80,Neutro
2000-04-14,29.59,29.28,Sobrevendido
2000-04-17,20.30,36.89,Neutro
2000-04-18,42.67,48.30,Neutro
2000-04-19,57.95,53.10,Neutro
2000-04-20,53.36,50.00,Neutro
2000-04-24,54.12,49.88,Neutro
2000-04-25,63.46,57.10,Neutro
2000-04-26,63.71,47.38,Neutro
2000-04-27,60.14,41.36,Neutro
2000-04-28,54.37,47.74,Neutro
2000-05-01,60.04,59.07,Neutro
2000-05-02,75.32,64.11,Neutro
2000-05-03,68.16,61.39,Neutro
2000-05-04,65.49,64.38,Neutro
2000-05-05,83.69,72.91,Sobrecomprado
2000-05-08,85.44,73.09,Sobrecomprado
2000-05-09,76.17,65.67,Neutro
2000-05-10,73.27,66.08,Neutro
2000-05-11,77.03,76.20,Sobrecomprado
2000-05-12,64.63,66.26,Neutro
2000-05-15,67.97,66.93,Neutro
2000-05-16,61.48,71.58,Sobrecomprado
2000-05-17,50.13,68.30,Neutro
2000-05-18,62.89,68.89,Neutro
2000-05-19,51.33,59.83,Neutro
2000-05-22,38.89,56.10,Neutro
2000-05-23,55.40,60.69,Neutro
2000-05-24,31.87,54.75,Neutro
2000-05-25,38.89,52.16,Neutro
2000-05-26,47.60,49.00,Neutro
2000-05-30,49.69,57.28,Neutro
2000-05-31,74.58,60.00,Neutro
2000-06-01,86.46,59.27,Neutro
2000-06-02,88.98,74.16,Sobrecomprado
2000-06-05,89.85,66.27,Neutro
2000-06-06,80.02,63.04,Neutro
2000-06-07,81.79,68.29,Neutro
2000-06-08,71.89,62.04,Neutro
2000-06-09,70.67,72.39,Sobrecomprado
2000-06-12,54.64,69.83,Neutro
2000-06-13,49.85,71.50,Sobrecomprado
2000-06-14,53.71,74.28,Sobrecomprado
2000-06-15,67.57,74.80,Sobrecomprado
2000-06-16,69.82,76.83,Sobrecomprado
2000-06-19,88.53,82.12,Sobrecomprado
2000-06-20,66.80,68.08,Neutro
2000-06-21,74.10,67.82,Neutro
2000-06-22,68.83,63.06,Neutro
2000-06-23,65.55,62.25,Neutro
2000-06-26,71.43,70.50,Sobrecomprado
2000-06-27,67.33,68.00,Neutro
2000-06-28,50.62,70.32,Sobrecomprado
2000-06-29,70.62,68.15,Neutro
2000-06-30,55.59,67.51,Neutro
2000-07-03,64.85,67.39,Neutro
2000-07-05,82.95,72.76,Sobrecomprado
2000-07-06,68.98,70.74,Sobrecomprado
2000-07-07,77.08,70.65,Sobrecomprado
2000-07-10,66.78,57.91,Neutro
2000-07-11,74.18,72.64,Sobrecomprado
2000-07-12,84.93,71.56,Sobrecomprado
2000-07-13,63.50,64.06,Neutro
2000-07-14,42.36,64.43,Neutro
2000-07-17,53.46,59.88,Neutro
2000-07-18,48.61,62.35,Neutro
2000-07-19,43.50,54.38,Neutro
2000-07-20,38.35,57.15,Neutro
2000-07-21,39.07,62.04,Neutro
2000-07-24,44.73,55.63,Neutro
2000-07-25,41.20,41.77,Neutro
2000-07-26,25.98,41.37,Neutro
2000-07-27,17.87,34.72,Neutro
2000-07-28,16.99,31.91,Neutro
2000-07-31,7.02,24.53,Sobrevendido
2000-08-01,24.56,31.96,Neutro
2000-08-02,24.83,34.36,Neutro
2000-08-03,38.26,39.79,Neutro
2000-08-04,61.93,47.61,Neutro
2000-08-07,66.72,48.52,Neutro
2000-08-08,80.74,53.30,Neutro
2000-08-09,84.87,54.32,Neutro
2000-08-10,61.15,45.52,Neutro
2000-08-11,75.08,54.73,Neutro
2000-08-14,74.22,60.05,Neutro
2000-08-15,62.18,62.04,Neutro
2000-08-16,63.72,65.47,Neutro
2000-08-17,74.15,77.27,Sobrecomprado
2000-08-18,74.94,79.78,Sobrecomprado
2000-08-21,78.61,69.61,Neutro
2000-08-22,76.48,75.70,Sobrecomprado
2000-08-23,78.72,76.35,Sobrecomprado
2000-08-24,83.64,75.74,Sobrecomprado
2000-08-25,82.83,75.40,Sobrecomprado
2000-08-28,68.99,71.43,Sobrecomprado
2000-08-29,62.12,68.57,Neutro
2000-08-30,82.11,80.36,Sobrecomprado
2000-08-31,84.73,81.12,Sobrecomprado
2000-09-01,83.52,81.21,Sobrecomprado
2000-09-05,59.53,73.25,Sobrecomprado
2000-09-06,48.60,66.93,Neutro
2000-09-07,68.04,68.48,Neutro
2000-09-08,70.76,66.91,Neutro
2000-09-11,41.78,56.33,Neutro
2000-09-12,38.53,57.53,Neutro
2000-09-13,34.07,53.08,Neutro
2000-09-14,41.43,48.42,Neutro
2000-09-15,52.32,50.82,Neutro
2000-09-18,37.43,52.94,Neutro
2000-09-19,43.70,56.60,Neutro
2000-09-20,84.66,56.76,Neutro
2000-09-21,74.45,50.21,Neutro
2000-09-22,89.72,52.89,Neutro
2000-09-25,74.67,54.22,Neutro
2000-09-26,62.32,55.84,Neutro
2000-09-27,70.06,51.78,Neutro
2000-09-28,74.15,57.40,Neutro
2000-09-29,46.62,61.70,Neutro
2000-10-02,44.34,54.78,Neutro
2000-10-03,28.57,49.74,Neutro
2000-10-04,34.88,50.06,Neutro
2000-10-05,31.24,41.49,Neutro
2000-10-06,20.66,37.45,Neutro
2000-10-09,22.55,41.54,Neutro
2000-10-10,28.86,37.41,Neutro
2000-10-11,36.85,40.57,Neutro
2000-10-12,35.46,31.93,Neutro
2000-10-13,39.40,37.22,Neutro
