Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,,,Neutro
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,0.00,0.00,Sobrevendido
2016-01-11,0.00,0.00,Sobrevendido
2016-01-12,9.09,9.09,Sobrevendido
2016-01-13,14.29,14.29,Sobrevendido
2016-01-14,13.16,13.16,Sobrevendido
2016-01-15,13.16,12.20,Sobrevendido
2016-01-19,32.00,18.18,Sobrevendido
2016-01-20,51.52,32.08,Neutro
2016-01-21,50.00,26.56,Sobrevendido
2016-01-22,40.00,25.00,Sobrevendido
2016-01-25,28.57,22.08,Sobrevendido
2016-01-26,30.00,21.79,Sobrevendido
2016-01-27,32.43,22.67,Sobrevendido
2016-01-28,25.71,28.33,Sobrevendido
2016-01-29,7.14,31.15,Neutro
2016-02-01,10.53,35.85,Neutro
2016-02-02,10.53,29.63,Sobrevendido
2016-02-03,52.94,35.59,Neutro
2016-02-04,56.25,37.50,Neutro
2016-02-05,32.14,32.31,Neutro
2016-02-08,37.93,31.25,Neutro
2016-02-09,26.47,17.74,Sobrevendido
2016-02-10,27.27,21.15,Sobrevendido
2016-02-11,25.71,20.37,Sobrevendido
2016-02-12,38.10,42.37,Neutro
2016-02-16,53.57,54.17,Neutro
2016-02-17,62.50,51.32,Neutro
2016-02-18,57.14,50.00,Neutro
2016-02-19,68.18,50.00,Neutro
2016-02-22,79.69,61.86,Neutro
2016-02-23,87.93,64.52,Neutro
2016-02-24,84.09,61.63,Neutro
2016-02-25,82.93,65.98,Neutro
2016-02-26,82.93,71.91,Sobrecomprado
2016-02-29,90.48,72.53,Sobrecomprado
2016-03-01,92.16,81.05,Sobrecomprado
2016-03-02,83.87,81.05,Sobrecomprado
2016-03-03,85.71,87.10,Sobrecomprado
2016-03-04,57.69,69.79,Neutro
2016-03-07,50.00,65.88,Neutro
2016-03-08,44.00,61.54,Neutro
2016-03-09,53.33,68.63,Neutro
2016-03-10,42.00,67.33,Neutro
