Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2025-11-06,Baixa,Baixa,,0.31,1
2025-11-07,Baixa,Baixa,,-0.56,0
2025-11-10,Baixa,Baixa,,0.04,1
2025-11-11,Alta,Alta,,-0.10,0
2025-11-12,Baixa,Baixa,,-0.54,0
2025-11-13,Baixa,Baixa,-7.24,-0.85,0
2025-11-14,Baixa,Baixa,-4.80,0.35,1
2025-11-17,Baixa,Baixa,-4.85,-0.13,0
2025-11-18,Alta,Alta,-4.79,0.84,1
2025-11-19,Alta,Baixa,-4.57,-0.46,0
2025-11-20,Alta,Baixa,-2.66,-0.67,0
2025-11-21,Alta,Alta,-0.14,0.70,1
2025-11-24,Alta,Alta,2.25,0.45,2
2025-11-25,Alta,Alta,4.27,0.94,3
2025-11-26,Alta,Alta,6.09,-0.21,0
2025-11-28,Alta,Alta,8.01,0.10,1
2025-12-01,Baixa,Alta,7.36,-0.72,0
2025-12-02,Baixa,Alta,6.12,0.50,1
2025-12-03,Baixa,Baixa,3.77,-0.76,0
2025-12-04,Baixa,Baixa,2.00,-0.13,0
2025-12-05,Baixa,Alta,0.68,0.47,1
2025-12-08,Baixa,Baixa,0.21,-0.70,0
2025-12-09,Alta,Alta,-0.12,0.68,1
2025-12-10,Baixa,Baixa,-0.03,0.18,2
2025-12-11,Baixa,Baixa,-0.25,-0.34,0
2025-12-12,Baixa,Baixa,-0.63,0.69,1
2025-12-15,Baixa,Baixa,-0.87,-0.48,0
2025-12-16,Baixa,Baixa,-1.44,-0.50,0
2025-12-17,Baixa,Baixa,-1.73,0.19,1
2025-12-18,Baixa,Baixa,-1.68,0.37,2
2025-12-19,Alta,Baixa,-1.59,0.87,3
2025-12-22,Baixa,Baixa,-1.50,-0.69,0
2025-12-23,Baixa,Baixa,-1.53,-0.79,0
2025-12-24,Baixa,Baixa,-1.60,-0.19,0
2025-12-26,Baixa,Baixa,-1.68,0.72,1
2025-12-29,Baixa,Baixa,-2.10,-0.86,0
2025-12-30,Baixa,Baixa,-2.31,0.18,1
2025-12-31,Baixa,Baixa,-2.33,-0.39,0
2026-01-02,Alta,Baixa,-2.15,0.83,1
2026-01-05,Alta,Baixa,-1.91,0.70,2
2026-01-06,Alta,Baixa,-1.57,-0.28,0
2026-01-07,Alta,Baixa,-1.38,-0.71,0
2026-01-08,Baixa,Baixa,-1.16,-0.43,0
2026-01-09,Baixa,Baixa,-1.19,-0.20,0
2026-01-12,Alta,Baixa,-1.05,0.78,1
2026-01-13,Alta,Baixa,-0.97,-0.63,0
2026-01-14,Alta,Baixa,-0.82,-0.15,0
2026-01-15,Alta,Baixa,-0.63,-0.02,0
2026-01-16,Baixa,Baixa,-0.52,-0.64,0
2026-01-20,Baixa,Baixa,-0.78,0.01,1
2026-01-21,Baixa,Baixa,-1.20,-0.00,0
2026-01-22,Baixa,Baixa,-1.28,0.73,1
2026-01-23,Baixa,Baixa,-1.48,-0.59,0
2026-01-26,Baixa,Baixa,-1.61,-0.27,0
2026-01-27,Baixa,Baixa,-1.66,-0.18,0
2026-01-28,Baixa,Baixa,-1.25,0.01,1
2026-01-29,Baixa,Baixa,-1.24,-0.73,0
2026-01-30,Baixa,Baixa,-1.16,0.21,1
2026-02-02,Baixa,Baixa,-1.13,0.27,2
2026-02-03,Baixa,Baixa,-1.10,-0.17,0
2026-02-04,Baixa,Baixa,-1.28,0.38,1
2026-02-05,Alta,Baixa,-1.60,0.32,2
2026-02-06,Alta,Baixa,-1.99,0.74,3
2026-02-09,Alta,Baixa,-2.45,0.19,4
2026-02-10,Alta,Baixa,-2.91,-0.09,0
2026-02-11,Baixa,Baixa,-3.58,-0.64,0
2026-02-12,Alta,Baixa,-3.57,0.54,1
2026-02-13,Baixa,Baixa,-3.52,-0.08,0
2026-02-17,Alta,Alta,-2.96,0.50,1
2026-02-18,Baixa,Baixa,-2.52,-0.37,0
2026-02-19,Alta,Baixa,-2.04,0.46,1
2026-02-20,Baixa,Baixa,-1.97,-0.55,0
2026-02-23,Baixa,Baixa,-2.22,-0.94,0
2026-02-24,Baixa,Baixa,-2.74,-0.21,0
2026-02-25,Baixa,Baixa,-3.04,-0.57,0
2026-02-26,Baixa,Baixa,-3.26,0.25,1
2026-02-27,Baixa,Baixa,-3.30,0.92,2
2026-03-02,Alta,Baixa,-2.78,0.65,3
2026-03-03,Alta,Baixa,-2.27,0.42,4
2026-03-04,Alta,Baixa,-1.99,-0.41,0
