Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2024-12-04,Baixa,Baixa,,0.85,1
2024-12-05,Baixa,Baixa,,-0.80,0
2024-12-06,Alta,Alta,,0.69,1
2024-12-09,Baixa,Baixa,,-1.00,0
2024-12-10,Baixa,Baixa,,-0.89,0
2024-12-11,Baixa,Baixa,-1.18,0.73,1
2024-12-12,Baixa,Baixa,-0.75,-0.49,0
2024-12-13,Alta,Baixa,-1.21,-0.57,0
2024-12-16,Alta,Alta,-0.50,0.51,1
2024-12-17,Alta,Alta,0.22,-0.41,0
2024-12-18,Baixa,Baixa,-0.14,-0.80,0
2024-12-19,Baixa,Baixa,-0.54,-0.99,0
2024-12-20,Baixa,Baixa,-0.79,0.92,1
2024-12-23,Baixa,Baixa,-1.37,-0.37,0
2024-12-24,Alta,Baixa,-1.58,1.00,1
2024-12-26,Alta,Baixa,-1.30,0.15,2
2024-12-27,Baixa,Baixa,-1.02,-0.57,0
2024-12-30,Baixa,Baixa,-1.02,-0.12,0
2024-12-31,Baixa,Baixa,-1.02,-0.87,0
2025-01-02,Baixa,Baixa,-1.17,0.29,1
2025-01-03,Alta,Baixa,-1.06,0.98,2
2025-01-06,Alta,Alta,-0.77,0.88,3
2025-01-07,Alta,Baixa,-0.52,-1.00,0
2025-01-08,Alta,Baixa,-0.22,-0.14,0
2025-01-10,Baixa,Baixa,-0.07,0.29,1
2025-01-13,Baixa,Baixa,-0.18,0.74,2
2025-01-14,Baixa,Baixa,-0.30,-0.25,0
2025-01-15,Alta,Alta,-0.22,0.89,1
2025-01-16,Alta,Alta,-0.11,-0.17,0
2025-01-17,Alta,Alta,0.07,0.28,1
2025-01-21,Alta,Alta,0.30,-0.62,0
2025-01-22,Alta,Alta,0.48,0.60,1
2025-01-23,Alta,Alta,0.56,0.74,2
2025-01-24,Alta,Alta,0.63,-0.14,0
2025-01-27,Baixa,Baixa,0.44,-0.72,0
2025-01-28,Baixa,Baixa,0.30,-0.15,0
2025-01-29,Baixa,Baixa,0.15,0.03,1
2025-01-30,Baixa,Alta,0.07,0.62,2
2025-01-31,Baixa,Alta,-0.07,-0.57,0
2025-02-03,Alta,Alta,0.04,0.75,1
2025-02-04,Alta,Alta,0.11,0.50,2
2025-02-05,Alta,Alta,0.11,-0.08,0
2025-02-06,Alta,Alta,0.11,-0.10,0
2025-02-07,Alta,Alta,0.15,-0.91,0
2025-02-10,Alta,Alta,0.18,0.10,1
2025-02-11,Baixa,Alta,0.15,-0.81,0
2025-02-12,Baixa,Alta,0.18,0.75,1
2025-02-13,Alta,Alta,0.18,0.66,2
2025-02-14,Alta,Alta,0.22,0.09,3
2025-02-18,Alta,Alta,0.22,-0.59,0
2025-02-19,Alta,Alta,0.18,-0.65,0
2025-02-20,Baixa,Alta,0.15,-0.60,0
2025-02-21,Baixa,Baixa,-0.04,-1.00,0
2025-02-24,Baixa,Baixa,-0.22,-0.79,0
2025-02-25,Baixa,Baixa,-0.48,-0.73,0
2025-02-26,Baixa,Baixa,-0.66,0.04,1
2025-02-27,Baixa,Baixa,-0.88,-0.90,0
2025-02-28,Baixa,Baixa,-0.96,0.95,1
