Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2025-05-02,Baixa,Baixa,,0.18,1
2025-05-05,Baixa,Baixa,,-0.64,0
2025-05-06,Baixa,Baixa,,0.00,0
2025-05-07,Baixa,Baixa,,0.00,0
2025-05-08,Alta,Alta,,0.56,1
2025-05-09,Alta,Alta,-0.36,-0.23,0
2025-05-12,Alta,Alta,0.27,-0.21,0
2025-05-13,Alta,Alta,0.91,0.08,1
2025-05-14,Alta,Alta,1.37,-0.10,0
2025-05-15,Baixa,Alta,0.91,-0.29,0
2025-05-16,Alta,Alta,0.91,0.00,0
2025-05-19,Alta,Alta,0.72,0.11,1
2025-05-20,Alta,Alta,0.63,0.07,2
2025-05-21,Baixa,Alta,0.36,-0.46,0
2025-05-22,Alta,Alta,0.45,0.35,1
2025-05-23,Alta,Alta,0.45,0.41,2
2025-05-27,Alta,Alta,0.54,-0.12,0
2025-05-28,Alta,Alta,0.45,-0.86,0
2025-05-29,Alta,Alta,0.54,0.00,0
2025-05-30,Alta,Alta,0.54,0.24,1
2025-06-02,Alta,Alta,0.63,-0.47,0
2025-06-03,Alta,Alta,0.54,0.40,1
2025-06-04,Alta,Alta,0.62,-0.77,0
2025-06-05,Baixa,Alta,0.53,-0.83,0
2025-06-06,Baixa,Baixa,0.44,-0.54,0
2025-06-09,Baixa,Alta,0.27,0.77,1
2025-06-10,Baixa,Alta,0.18,-0.80,0
2025-06-11,Baixa,Alta,0.09,-0.91,0
2025-06-12,Baixa,Alta,0.09,0.00,0
2025-06-13,Alta,Alta,0.09,0.25,1
2025-06-16,Alta,Alta,0.18,-0.43,0
2025-06-17,Alta,Alta,0.18,0.57,1
2025-06-18,Alta,Alta,0.09,0.00,0
2025-06-20,Alta,Alta,0.18,0.61,1
2025-06-23,Alta,Alta,0.27,-0.71,0
2025-06-24,Baixa,Alta,0.18,-0.32,0
2025-06-25,Baixa,Baixa,0.09,-0.66,0
2025-06-26,Baixa,Baixa,0.00,0.35,1
2025-06-27,Baixa,Baixa,-0.18,-0.27,0
2025-06-30,Baixa,Baixa,-0.35,0.86,1
2025-07-01,Baixa,Baixa,-0.44,-0.76,0
2025-07-02,Baixa,Baixa,-0.44,-0.41,0
2025-07-03,Alta,Baixa,-0.35,0.83,1
2025-07-07,Baixa,Baixa,-0.35,-0.92,0
2025-07-08,Baixa,Baixa,-0.35,-0.37,0
2025-07-09,Baixa,Baixa,-0.35,-0.70,0
2025-07-10,Baixa,Baixa,-0.35,0.40,1
2025-07-11,Alta,Baixa,-0.35,0.74,2
2025-07-14,Alta,Baixa,-0.36,-0.14,0
2025-07-15,Alta,Alta,-0.18,0.30,1
2025-07-16,Alta,Alta,0.00,0.71,2
2025-07-17,Alta,Alta,0.18,-0.41,0
2025-07-18,Alta,Alta,0.27,-0.89,0
2025-07-21,Baixa,Baixa,0.45,-0.68,0
2025-07-22,Baixa,Baixa,0.36,0.29,1
2025-07-23,Baixa,Baixa,0.27,0.62,2
2025-07-24,Baixa,Baixa,0.18,0.55,3
2025-07-25,Baixa,Baixa,0.09,-0.50,0
2025-07-28,Baixa,Baixa,0.00,0.17,1
2025-07-29,Baixa,Baixa,0.00,-0.25,0
2025-07-30,Baixa,Baixa,-0.09,-0.80,0
2025-07-31,Baixa,Baixa,-0.18,-0.27,0
2025-08-01,Baixa,Baixa,-0.27,0.43,1
2025-08-04,Baixa,Baixa,-0.35,-0.18,0
2025-08-05,Baixa,Baixa,-0.44,-0.33,0
2025-08-06,Baixa,Baixa,-0.53,0.86,1
2025-08-07,Baixa,Baixa,-0.62,-0.80,0
2025-08-08,Baixa,Baixa,-0.62,0.22,1
2025-08-11,Baixa,Baixa,-0.71,-0.11,0
2025-08-12,Baixa,Baixa,-0.80,-0.38,0
2025-08-13,Baixa,Baixa,-0.71,-0.56,0
2025-08-14,Alta,Baixa,-0.72,0.47,1
2025-08-15,Baixa,Baixa,-0.81,-0.89,0
2025-08-18,Baixa,Baixa,-0.81,0.12,1
2025-08-19,Baixa,Baixa,-0.72,-0.74,0
2025-08-20,Baixa,Baixa,-0.81,0.08,1
2025-08-21,Baixa,Baixa,-0.81,0.00,0
2025-08-22,Alta,Baixa,-0.72,0.82,1
2025-08-25,Alta,Baixa,-0.72,0.74,2
2025-08-26,Alta,Baixa,-0.72,-0.67,0
2025-08-27,Alta,Baixa,-0.73,0.33,1
2025-08-28,Alta,Baixa,-0.64,0.53,2
2025-08-29,Baixa,Baixa,-0.73,-0.64,0
2025-09-02,Baixa,Baixa,-0.73,-0.67,0
2025-09-03,Baixa,Baixa,-0.82,0.12,1
2025-09-04,Baixa,Baixa,-0.73,-0.43,0
2025-09-05,Baixa,Baixa,-0.73,-0.12,0
2025-09-08,Baixa,Baixa,-0.64,0.25,1
2025-09-09,Baixa,Baixa,-0.55,-0.89,0
2025-09-10,Baixa,Baixa,-0.46,-0.77,0
2025-09-11,Baixa,Baixa,-0.46,0.16,1
2025-09-12,Baixa,Baixa,-0.46,-0.60,0
2025-09-15,Baixa,Baixa,-0.55,-0.30,0
2025-09-16,Alta,Baixa,-0.55,0.33,1
2025-09-17,Alta,Baixa,-0.46,-0.27,0
2025-09-18,Alta,Baixa,-0.46,0.37,1
2025-09-19,Alta,Baixa,-0.37,0.40,2
2025-09-22,Alta,Baixa,-0.28,-0.08,0
2025-09-23,Alta,Baixa,-0.28,0.46,1
2025-09-24,Alta,Baixa,-0.46,0.00,0
2025-09-25,Baixa,Baixa,-0.56,-0.89,0
2025-09-26,Baixa,Baixa,-0.74,-0.60,0
2025-09-29,Baixa,Baixa,-0.84,-0.20,0
2025-09-30,Baixa,Baixa,-0.84,0.23,1
2025-10-01,Alta,Alta,-0.75,0.62,2
2025-10-02,Alta,Alta,-0.65,-0.67,0
2025-10-03,Alta,Alta,-0.56,-0.06,0
2025-10-06,Alta,Alta,-0.47,-0.71,0
2025-10-07,Alta,Alta,-0.47,0.83,1
2025-10-08,Alta,Alta,-0.38,0.86,2
2025-10-09,Alta,Alta,-0.38,-0.17,0
2025-10-10,Alta,Alta,0.00,0.87,1
2025-10-13,Alta,Alta,0.47,0.60,2
2025-10-14,Alta,Alta,1.04,-0.01,0
2025-10-15,Alta,Alta,1.32,-0.76,0
2025-10-16,Alta,Alta,1.70,-0.47,0
2025-10-17,Alta,Alta,1.69,0.34,1
2025-10-20,Baixa,Alta,1.59,0.26,2
2025-10-21,Baixa,Alta,1.40,-0.29,0
2025-10-22,Baixa,Alta,1.40,-0.69,0
2025-10-23,Baixa,Alta,1.39,-0.24,0
2025-10-24,Baixa,Alta,1.30,-0.43,0
2025-10-27,Alta,Alta,1.48,-0.06,0
2025-10-28,Alta,Alta,1.47,-0.18,0
2025-10-29,Baixa,Alta,1.47,-0.73,0
2025-10-30,Baixa,Alta,1.46,-0.29,0
2025-10-31,Baixa,Alta,1.55,-0.75,0
2025-11-03,Baixa,Alta,1.27,-0.90,0
2025-11-04,Baixa,Alta,1.09,-0.52,0
2025-11-05,Baixa,Alta,0.99,0.23,1
2025-11-06,Baixa,Alta,0.81,-0.58,0
2025-11-07,Baixa,Alta,0.72,0.06,1
2025-11-10,Baixa,Alta,0.63,-0.47,0
2025-11-11,Baixa,Alta,0.72,0.04,1
2025-11-12,Baixa,Alta,0.63,-0.37,0
2025-11-13,Baixa,Baixa,0.63,-0.56,0
2025-11-14,Baixa,Baixa,0.54,0.49,1
2025-11-17,Baixa,Baixa,0.54,-0.40,0
2025-11-18,Baixa,Baixa,0.45,0.74,1
2025-11-19,Baixa,Baixa,0.44,-0.64,0
2025-11-20,Baixa,Baixa,0.36,-1.00,0
2025-11-21,Baixa,Baixa,0.36,0.00,0
2025-11-24,Baixa,Baixa,0.35,-0.22,0
2025-11-25,Alta,Baixa,0.35,0.52,1
2025-11-26,Alta,Baixa,0.27,-0.35,0
2025-11-28,Alta,Baixa,0.35,0.14,1
2025-12-01,Alta,Baixa,0.27,0.50,2
2025-12-02,Alta,Baixa,0.27,0.00,0
2025-12-03,Alta,Baixa,0.18,0.00,0
2025-12-04,Alta,Baixa,0.27,0.34,1
2025-12-05,Baixa,Baixa,0.18,-0.39,0
2025-12-08,Baixa,Baixa,0.26,-0.64,0
2025-12-09,Baixa,Baixa,0.18,0.16,1
2025-12-10,Baixa,Baixa,0.26,-0.86,0
2025-12-11,Baixa,Baixa,0.18,-0.83,0
2025-12-12,Baixa,Baixa,0.18,-0.25,0
2025-12-15,Alta,Baixa,0.09,-0.73,0
2025-12-16,Alta,Baixa,0.09,-0.22,0
2025-12-17,Alta,Baixa,0.09,-0.31,0
2025-12-18,Alta,Baixa,0.09,0.09,1
2025-12-19,Baixa,Baixa,0.09,-0.73,0
2025-12-22,Alta,Baixa,-0.18,0.05,1
2025-12-23,Alta,Baixa,-0.53,0.46,2
2025-12-24,Alta,Baixa,-0.88,0.61,3
2025-12-26,Alta,Baixa,-1.05,-0.08,0
2025-12-29,Alta,Baixa,-1.23,0.00,0
2025-12-30,Alta,Baixa,-1.15,0.25,1
2025-12-31,Alta,Alta,-0.97,-0.06,0
2026-01-02,Alta,Alta,-0.89,0.06,1
2026-01-05,Alta,Alta,-0.80,-0.62,0
2026-01-06,Alta,Alta,-0.71,-0.44,0
2026-01-07,Alta,Alta,-0.62,0.33,1
2026-01-08,Alta,Alta,-0.71,0.14,2
2026-01-09,Baixa,Alta,-0.81,-1.00,0
2026-01-12,Baixa,Baixa,-0.90,-0.81,0
2026-01-13,Baixa,Alta,-0.90,0.54,1
2026-01-14,Alta,Alta,-0.90,0.78,2
2026-01-15,Alta,Alta,-0.54,0.10,3
2026-01-16,Alta,Alta,0.00,0.81,4
2026-01-20,Alta,Alta,0.45,0.28,5
2026-01-21,Alta,Alta,0.81,-0.55,0
2026-01-22,Alta,Alta,1.18,-0.65,0
2026-01-23,Baixa,Alta,1.18,-0.83,0
2026-01-26,Baixa,Alta,0.99,-0.16,0
2026-01-27,Baixa,Alta,0.90,0.05,1
2026-01-28,Baixa,Alta,0.81,0.85,2
2026-01-29,Alta,Alta,0.89,0.52,3
2026-01-30,Alta,Alta,1.07,-0.51,0
2026-02-02,Alta,Alta,1.25,-0.27,0
2026-02-03,Baixa,Alta,1.25,-0.56,0
2026-02-04,Baixa,Alta,1.25,-0.80,0
2026-02-05,Baixa,Baixa,0.98,-0.38,0
2026-02-06,Baixa,Baixa,0.88,-0.38,0
2026-02-09,Baixa,Baixa,0.71,0.23,1
2026-02-10,Baixa,Baixa,0.62,-0.27,0
2026-02-11,Baixa,Baixa,0.53,-0.56,0
2026-02-12,Baixa,Baixa,0.44,-0.79,0
2026-02-13,Alta,Alta,0.44,0.47,1
2026-02-17,Alta,Baixa,0.44,-0.22,0
2026-02-18,Alta,Baixa,0.44,0.03,1
2026-02-19,Alta,Baixa,0.44,0.00,0
2026-02-20,Baixa,Baixa,0.52,-0.66,0
2026-02-23,Baixa,Baixa,0.35,-0.75,0
2026-02-24,Baixa,Baixa,0.35,0.48,1
2026-02-25,Alta,Baixa,0.35,0.45,2
2026-02-26,Alta,Baixa,0.44,-0.23,0
2026-02-27,Baixa,Baixa,0.35,-0.72,0
2026-03-02,Baixa,Baixa,0.43,0.32,1
2026-03-03,Baixa,Baixa,0.35,-0.70,0
2026-03-04,Baixa,Baixa,0.35,0.33,1
2026-03-05,Baixa,Baixa,0.17,-0.95,0
2026-03-06,Baixa,Baixa,0.26,0.05,1
2026-03-09,Alta,Baixa,0.17,0.44,2
2026-03-10,Alta,Baixa,0.17,-0.04,0
2026-03-11,Alta,Baixa,0.17,0.00,0
2026-03-12,Baixa,Baixa,0.09,-0.63,0
2026-03-13,Baixa,Baixa,0.00,-0.10,0
2026-03-16,Baixa,Baixa,-0.09,-0.69,0
2026-03-17,Baixa,Baixa,-0.09,-0.42,0
2026-03-18,Baixa,Baixa,-0.26,-0.57,0
2026-03-19,Baixa,Baixa,-0.26,0.05,1
2026-03-20,Baixa,Baixa,-0.35,-0.45,0
2026-03-23,Baixa,Baixa,-0.35,-0.93,0
2026-03-24,Alta,Baixa,-0.35,-0.49,0
2026-03-25,Alta,Baixa,-0.26,-0.45,0
2026-03-26,Alta,Baixa,-0.17,-0.53,0
2026-03-27,Baixa,Baixa,-0.26,-0.31,0
2026-03-30,Baixa,Baixa,-0.35,-0.38,0
2026-03-31,Baixa,Baixa,-0.69,-0.08,0
2026-04-01,Alta,Baixa,-1.04,0.21,1
2026-04-02,Alta,Baixa,-1.39,0.19,2
2026-04-06,Baixa,Baixa,-1.57,-0.62,0
2026-04-07,Baixa,Baixa,-1.57,-0.64,0
2026-04-08,Baixa,Baixa,-1.40,-0.56,0
2026-04-09,Baixa,Baixa,-1.23,-0.11,0
2026-04-10,Baixa,Baixa,-1.14,0.33,1
2026-04-13,Alta,Baixa,-1.15,0.07,2
2026-04-14,Alta,Baixa,-1.24,0.63,3
2026-04-15,Alta,Alta,-1.24,0.31,4
2026-04-16,Alta,Alta,-1.24,0.14,5
2026-04-17,Alta,Alta,-1.07,-0.74,0
2026-04-20,Baixa,Baixa,-0.71,-0.40,0
2026-04-21,Baixa,Baixa,-0.54,0.00,0
2026-04-22,Alta,Alta,-0.36,0.31,1
2026-04-23,Baixa,Baixa,-0.27,-0.27,0
2026-04-24,Baixa,Baixa,-0.18,-0.03,0
2026-04-27,Alta,Alta,-0.18,-0.15,0
2026-04-28,Baixa,Baixa,-0.18,-0.18,0
2026-04-29,Alta,Alta,-0.18,0.53,1
2026-04-30,Alta,Alta,-0.09,-0.56,0
2026-05-01,Alta,Alta,0.00,0.00,0
2026-05-04,Alta,Alta,0.18,0.12,1
2026-05-05,Alta,Alta,0.45,0.74,2
2026-05-06,Baixa,Alta,0.54,-0.87,0
2026-05-07,Baixa,Alta,0.54,-0.62,0
2026-05-08,Alta,Alta,0.54,0.90,1
2026-05-11,Alta,Alta,0.54,-0.27,0
2026-05-12,Alta,Alta,0.54,0.11,1
2026-05-13,Alta,Alta,0.72,0.31,2
2026-05-14,Alta,Alta,0.90,0.72,3
2026-05-15,Alta,Alta,0.99,-0.42,0
2026-05-18,Baixa,Alta,0.98,-0.64,0
2026-05-19,Alta,Alta,1.07,0.71,1
2026-05-20,Alta,Alta,1.16,0.27,2
2026-05-21,Alta,Alta,1.33,0.34,3
2026-05-22,Alta,Alta,1.51,-0.49,0
2026-05-26,Alta,Alta,1.60,-0.18,0
2026-05-27,Alta,Alta,1.77,0.40,1
2026-05-28,Alta,Alta,1.85,0.66,2
2026-05-29,Alta,Alta,1.93,-0.39,0
2026-06-01,Alta,Alta,2.10,0.18,1
2026-06-02,Baixa,Alta,2.09,-0.85,0
2026-06-03,Baixa,Alta,1.82,-0.40,0
