Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2025-06-24,Baixa,Baixa,,-0.64,0
2025-06-25,Alta,Alta,,0.20,1
2025-06-26,Alta,Alta,,0.00,0
2025-06-27,Baixa,Baixa,,-0.41,0
2025-06-30,Baixa,Baixa,,-0.32,0
2025-07-01,Alta,Alta,4.60,0.63,1
2025-07-02,Alta,Alta,1.16,0.00,0
2025-07-03,Alta,Alta,1.73,0.06,1
2025-07-07,Baixa,Baixa,1.74,-0.55,0
2025-07-08,Baixa,Baixa,1.55,0.03,1
2025-07-09,Baixa,Baixa,0.19,0.06,2
2025-07-10,Baixa,Baixa,-0.57,-0.50,0
2025-07-11,Baixa,Baixa,-1.70,-0.20,0
2025-07-14,Baixa,Baixa,-2.09,-0.77,0
2025-07-15,Baixa,Baixa,-2.29,-0.10,0
2025-07-16,Baixa,Baixa,-3.24,-0.21,0
2025-07-17,Baixa,Baixa,-3.64,0.25,1
2025-07-18,Alta,Baixa,-3.47,0.77,2
2025-07-21,Alta,Alta,-2.72,0.50,3
2025-07-22,Baixa,Baixa,-2.73,-0.78,0
2025-07-23,Alta,Baixa,-1.97,0.00,0
2025-07-24,Baixa,Baixa,-1.59,-0.61,0
2025-07-25,Baixa,Baixa,-1.80,-0.50,0
2025-07-28,Baixa,Baixa,-2.20,-0.25,0
2025-07-29,Baixa,Baixa,-2.21,0.03,1
2025-07-30,Baixa,Baixa,-2.41,0.18,2
2025-07-31,Baixa,Baixa,-2.63,-0.49,0
2025-08-01,Baixa,Baixa,-3.66,-0.69,0
2025-08-04,Baixa,Baixa,-4.08,0.83,1
2025-08-05,Baixa,Baixa,-4.31,0.24,2
2025-08-06,Baixa,Baixa,-4.95,-0.35,0
2025-08-07,Baixa,Baixa,-5.19,-0.57,0
2025-08-08,Baixa,Baixa,-4.22,-0.21,0
2025-08-11,Baixa,Baixa,-4.26,-0.49,0
2025-08-12,Baixa,Baixa,-4.08,0.12,1
2025-08-13,Alta,Baixa,-3.69,-0.16,0
2025-08-14,Baixa,Baixa,-3.72,-0.38,0
2025-08-15,Baixa,Baixa,-3.96,-0.64,0
2025-08-18,Baixa,Baixa,-3.78,-0.57,0
2025-08-19,Baixa,Baixa,-4.03,0.32,1
2025-08-20,Alta,Baixa,-3.83,0.43,2
2025-08-21,Alta,Baixa,-3.41,0.23,3
2025-08-22,Alta,Baixa,-2.98,-0.02,0
2025-08-25,Alta,Baixa,-2.77,0.70,1
