Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2025-09-12,Baixa,Baixa,,0.79,1
2025-09-15,Alta,Alta,,0.21,2
2025-09-16,Alta,Alta,,0.29,3
2025-09-17,Baixa,Baixa,,-0.45,0
2025-09-18,Baixa,Baixa,,-0.11,0
2025-09-19,Alta,Alta,0.26,0.55,1
2025-09-22,Alta,Alta,1.21,0.77,2
2025-09-23,Alta,Alta,1.63,0.26,3
2025-09-24,Alta,Alta,2.87,0.40,4
2025-09-25,Alta,Alta,3.68,-0.52,0
2025-09-26,Baixa,Alta,3.24,-0.17,0
2025-09-29,Baixa,Baixa,2.07,0.21,1
2025-09-30,Baixa,Baixa,0.87,-0.19,0
2025-10-01,Baixa,Alta,-0.03,0.41,1
2025-10-02,Baixa,Baixa,-0.54,-0.57,0
2025-10-03,Alta,Alta,-0.51,0.54,1
2025-10-06,Baixa,Baixa,-0.54,-0.37,0
2025-10-07,Alta,Alta,-0.29,0.26,1
2025-10-08,Baixa,Baixa,-0.35,-0.97,0
2025-10-09,Baixa,Baixa,-0.10,0.13,1
2025-10-10,Alta,Baixa,-0.16,0.16,2
2025-10-13,Alta,Alta,0.10,0.46,3
2025-10-14,Alta,Alta,0.03,-0.28,0
2025-10-15,Alta,Alta,0.32,0.78,1
2025-10-16,Alta,Alta,0.67,0.12,2
2025-10-17,Alta,Alta,0.96,-0.06,0
2025-10-20,Alta,Alta,1.31,0.42,1
2025-10-21,Alta,Alta,1.66,-0.27,0
2025-10-22,Baixa,Alta,1.52,-0.75,0
2025-10-23,Baixa,Alta,1.30,0.16,1
2025-10-24,Alta,Alta,1.42,0.51,2
2025-10-27,Alta,Alta,1.45,0.13,3
2025-10-28,Alta,Alta,1.75,0.63,4
2025-10-29,Alta,Alta,2.47,0.47,5
2025-10-30,Alta,Alta,3.03,-0.27,0
2025-10-31,Alta,Alta,3.33,0.48,1
2025-11-03,Alta,Alta,3.56,-0.09,0
2025-11-04,Baixa,Alta,3.26,-0.67,0
2025-11-05,Baixa,Alta,2.84,0.29,1
2025-11-06,Baixa,Alta,2.43,-0.95,0
2025-11-07,Baixa,Alta,1.84,-0.23,0
2025-11-10,Baixa,Alta,1.35,0.36,1
2025-11-11,Baixa,Alta,1.10,-0.10,0
2025-11-12,Baixa,Alta,0.86,0.26,1
2025-11-13,Baixa,Baixa,0.62,-0.90,0
2025-11-14,Alta,Alta,0.92,0.75,1
2025-11-17,Alta,Alta,1.09,-0.20,0
2025-11-18,Alta,Alta,1.59,0.70,1
2025-11-19,Alta,Alta,2.00,-0.19,0
2025-11-20,Alta,Alta,2.41,-0.65,0
2025-11-21,Alta,Alta,2.58,-0.27,0
2025-11-24,Alta,Alta,2.98,0.68,1
2025-11-25,Alta,Alta,3.13,0.60,2
2025-11-26,Alta,Alta,3.43,0.06,3
2025-11-28,Alta,Alta,3.97,0.03,4
2025-12-01,Alta,Alta,4.15,-0.50,0
2025-12-02,Baixa,Alta,4.00,-0.22,0
2025-12-03,Alta,Alta,3.88,0.39,1
