Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2020-09-30,Baixa,Baixa,,-0.22,0
2020-10-01,Baixa,Baixa,,-0.26,0
2020-10-02,Baixa,Baixa,,0.41,1
2020-10-05,Baixa,Baixa,,-0.70,0
2020-10-06,Alta,Alta,,0.67,1
2020-10-07,Alta,Alta,0.21,-0.08,0
2020-10-08,Alta,Alta,1.05,-0.71,0
2020-10-09,Alta,Alta,2.56,-0.60,0
2020-10-12,Alta,Alta,3.87,-0.38,0
2020-10-13,Baixa,Baixa,2.34,-0.87,0
2020-10-14,Baixa,Baixa,0.95,-0.70,0
2020-10-15,Alta,Alta,0.63,0.88,1
2020-10-16,Baixa,Alta,0.10,-0.79,0
2020-10-19,Baixa,Baixa,-0.21,-0.76,0
2020-10-20,Baixa,Baixa,-0.31,-0.85,0
2020-10-21,Baixa,Baixa,-0.21,-0.36,0
2020-10-22,Alta,Alta,-0.52,0.58,1
2020-10-23,Baixa,Baixa,-0.52,-0.61,0
2020-10-26,Alta,Alta,-0.31,0.62,1
2020-10-27,Alta,Alta,0.62,0.85,2
2020-10-28,Alta,Alta,1.46,0.22,3
2020-10-29,Alta,Alta,1.98,-0.28,0
2020-10-30,Baixa,Alta,2.09,-0.58,0
2020-11-02,Alta,Alta,2.19,0.91,1
2020-11-03,Baixa,Alta,1.86,-0.14,0
2020-11-04,Alta,Alta,1.54,-0.27,0
2020-11-05,Alta,Alta,1.84,0.77,1
2020-11-06,Alta,Alta,3.17,0.55,2
2020-11-09,Alta,Alta,4.38,-0.16,0
2020-11-10,Alta,Alta,5.38,-0.54,0
2020-11-11,Alta,Alta,6.88,0.89,1
2020-11-12,Alta,Alta,7.23,-0.78,0
2020-11-13,Alta,Alta,7.33,0.87,1
2020-11-16,Alta,Alta,7.22,-0.03,0
2020-11-17,Alta,Alta,7.71,0.61,1
2020-11-18,Alta,Alta,7.67,-0.22,0
2020-11-19,Alta,Alta,8.43,0.47,1
2020-11-20,Alta,Alta,8.39,-0.53,0
2020-11-23,Alta,Alta,9.10,0.84,1
2020-11-24,Alta,Alta,9.84,0.40,2
2020-11-25,Alta,Alta,11.61,0.84,3
2020-11-27,Alta,Alta,12.69,-0.48,0
2020-11-30,Alta,Alta,13.87,-0.19,0
2020-12-01,Alta,Alta,13.93,-0.66,0
2020-12-02,Baixa,Alta,12.79,0.12,1
2020-12-03,Baixa,Alta,10.87,0.23,2
2020-12-04,Baixa,Alta,9.43,-0.60,0
2020-12-07,Alta,Alta,9.04,0.99,1
2020-12-08,Alta,Alta,8.86,-0.51,0
2020-12-09,Alta,Alta,9.10,-0.58,0
2020-12-10,Alta,Alta,9.88,0.52,1
2020-12-11,Alta,Alta,10.71,0.02,2
2020-12-14,Alta,Alta,10.83,-0.67,0
2020-12-15,Baixa,Alta,11.10,-0.25,0
2020-12-16,Baixa,Alta,11.45,0.20,1
2020-12-17,Alta,Alta,11.19,0.51,2
2020-12-18,Baixa,Alta,10.75,-0.29,0
2020-12-21,Alta,Alta,10.58,0.70,1
2020-12-22,Alta,Alta,10.41,-0.38,0
2020-12-23,Alta,Alta,10.63,-0.19,0
2020-12-24,Alta,Alta,10.47,-0.64,0
2020-12-28,Baixa,Alta,10.28,-0.87,0
2020-12-29,Baixa,Alta,9.68,-0.59,0
2020-12-30,Baixa,Alta,9.21,0.10,1
2020-12-31,Baixa,Alta,8.43,-0.90,0
2021-01-04,Baixa,Alta,7.90,-0.27,0
2021-01-05,Baixa,Alta,7.61,0.80,1
2021-01-06,Baixa,Alta,7.45,-0.48,0
2021-01-07,Alta,Alta,7.28,0.64,1
2021-01-08,Alta,Alta,7.18,-0.29,0
2021-01-11,Alta,Alta,7.13,0.58,1
2021-01-12,Alta,Alta,7.12,-0.18,0
2021-01-13,Alta,Alta,7.12,-0.09,0
2021-01-14,Baixa,Alta,6.97,-0.42,0
2021-01-15,Alta,Alta,6.97,-0.24,0
2021-01-19,Alta,Alta,6.97,-0.12,0
2021-01-20,Alta,Alta,6.78,-0.59,0
2021-01-21,Alta,Alta,6.38,-0.32,0
2021-01-22,Alta,Alta,6.61,0.99,1
2021-01-25,Alta,Alta,7.12,0.18,2
2021-01-26,Alta,Alta,7.33,0.09,3
2021-01-27,Alta,Alta,8.08,0.47,4
2021-01-28,Alta,Alta,8.66,-0.44,0
2021-01-29,Alta,Alta,8.62,-0.43,0
2021-02-01,Baixa,Alta,7.98,-0.45,0
2021-02-02,Baixa,Alta,7.38,-0.83,0
2021-02-03,Baixa,Alta,6.31,-0.40,0
2021-02-04,Baixa,Alta,5.75,-0.25,0
2021-02-05,Alta,Alta,5.21,0.42,1
2021-02-08,Alta,Alta,4.85,-0.35,0
2021-02-09,Alta,Alta,4.51,0.60,1
2021-02-10,Alta,Alta,4.14,-0.76,0
2021-02-11,Baixa,Alta,3.52,-0.80,0
2021-02-12,Baixa,Alta,2.98,-0.63,0
2021-02-16,Baixa,Baixa,2.49,-0.69,0
2021-02-17,Baixa,Baixa,2.02,-0.33,0
2021-02-18,Baixa,Baixa,1.55,0.10,1
2021-02-19,Baixa,Alta,1.12,0.65,2
2021-02-22,Baixa,Baixa,0.66,-0.74,0
2021-02-23,Baixa,Baixa,0.28,0.22,1
2021-02-24,Baixa,Baixa,0.03,-0.22,0
2021-02-25,Baixa,Baixa,-0.31,-0.57,0
2021-02-26,Baixa,Baixa,-0.55,-0.17,0
2021-03-01,Baixa,Baixa,-0.62,-0.30,0
2021-03-02,Baixa,Baixa,-0.73,-0.39,0
2021-03-03,Baixa,Baixa,-0.94,-0.80,0
2021-03-04,Alta,Baixa,-0.80,-0.05,0
2021-03-05,Baixa,Baixa,-0.87,-0.09,0
2021-03-08,Baixa,Baixa,-1.15,-0.57,0
2021-03-09,Alta,Baixa,-1.36,0.54,1
2021-03-10,Alta,Baixa,-1.33,-0.14,0
2021-03-11,Alta,Baixa,-1.12,0.62,1
2021-03-12,Alta,Baixa,-0.67,0.68,2
2021-03-15,Alta,Baixa,-0.14,-0.48,0
2021-03-16,Alta,Baixa,0.32,-0.61,0
2021-03-17,Baixa,Baixa,0.64,0.48,1
2021-03-18,Baixa,Baixa,0.50,-0.54,0
2021-03-19,Baixa,Baixa,0.42,0.26,1
2021-03-22,Baixa,Baixa,0.21,-0.63,0
2021-03-23,Baixa,Baixa,-0.07,-0.74,0
2021-03-24,Baixa,Baixa,-0.46,-0.82,0
2021-03-25,Baixa,Baixa,-0.67,0.79,1
2021-03-26,Baixa,Baixa,-0.95,-0.04,0
2021-03-29,Baixa,Baixa,-1.09,-0.68,0
2021-03-30,Baixa,Baixa,-1.20,0.55,1
2021-03-31,Alta,Baixa,-1.17,0.54,2
2021-04-01,Alta,Baixa,-1.17,-0.72,0
2021-04-05,Alta,Baixa,-1.14,-0.31,0
2021-04-06,Alta,Baixa,-1.57,-0.36,0
2021-04-07,Alta,Baixa,-2.29,-0.14,0
2021-04-08,Alta,Baixa,-2.90,0.24,1
2021-04-09,Alta,Baixa,-3.73,0.59,2
2021-04-12,Baixa,Baixa,-4.42,-0.65,0
2021-04-13,Alta,Baixa,-4.52,0.88,1
2021-04-14,Baixa,Baixa,-4.35,-0.65,0
2021-04-15,Baixa,Baixa,-4.06,-0.63,0
2021-04-16,Baixa,Baixa,-3.69,-0.41,0
2021-04-19,Baixa,Baixa,-3.57,-0.26,0
2021-04-20,Baixa,Baixa,-3.79,-0.14,0
2021-04-21,Baixa,Baixa,-4.01,0.81,1
2021-04-22,Alta,Baixa,-4.65,-0.08,0
2021-04-23,Alta,Baixa,-4.92,0.64,1
2021-04-26,Alta,Baixa,-4.88,0.52,2
2021-04-27,Alta,Baixa,-4.57,-0.42,0
2021-04-28,Alta,Baixa,-3.90,0.24,1
2021-04-29,Baixa,Baixa,-2.98,-0.38,0
2021-04-30,Baixa,Baixa,-2.16,-0.20,0
2021-05-03,Baixa,Baixa,-2.01,-0.82,0
2021-05-04,Baixa,Baixa,-1.90,-0.23,0
