Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2024-05-31,Baixa,Baixa,,-0.97,0
2024-06-03,Baixa,Baixa,,-0.33,0
2024-06-04,Baixa,Baixa,,-0.02,0
2024-06-05,Baixa,Baixa,,-0.66,0
2024-06-06,Baixa,Baixa,,-0.33,0
2024-06-07,Baixa,Baixa,-13.79,0.41,1
2024-06-10,Alta,Alta,-10.10,0.30,2
2024-06-11,Alta,Baixa,-8.89,0.49,3
2024-06-12,Baixa,Baixa,-5.61,0.04,4
2024-06-13,Baixa,Baixa,-2.40,-0.70,0
2024-06-14,Baixa,Baixa,-2.55,-0.20,0
2024-06-17,Baixa,Baixa,-3.88,-1.00,0
2024-06-18,Baixa,Baixa,-5.21,-0.83,0
2024-06-20,Baixa,Baixa,-4.73,1.00,1
2024-06-21,Baixa,Baixa,-4.91,0.13,2
2024-06-24,Baixa,Baixa,-5.10,-0.97,0
2024-06-25,Baixa,Baixa,-5.42,0.07,1
2024-06-26,Baixa,Baixa,-5.08,0.00,0
2024-06-27,Baixa,Baixa,-5.67,-0.81,0
2024-06-28,Alta,Baixa,-5.16,-0.16,0
2024-07-01,Baixa,Baixa,-4.94,0.14,1
2024-07-02,Baixa,Baixa,-4.56,-0.22,0
2024-07-03,Baixa,Baixa,-4.46,0.00,0
2024-07-05,Baixa,Baixa,-4.06,0.00,0
2024-07-08,Baixa,Baixa,-4.08,0.00,0
2024-07-09,Baixa,Baixa,-3.82,-1.00,0
2024-07-10,Alta,Baixa,-3.39,0.60,1
2024-07-11,Alta,Baixa,-2.49,0.50,2
2024-07-12,Alta,Baixa,-2.04,0.47,3
2024-07-15,Alta,Baixa,-1.58,-0.67,0
2024-07-16,Baixa,Baixa,-1.11,0.00,0
2024-07-17,Baixa,Baixa,-1.12,0.00,0
2024-07-18,Baixa,Baixa,-1.28,0.09,1
2024-07-19,Baixa,Baixa,-1.12,0.00,0
2024-07-22,Alta,Baixa,-1.12,0.97,1
2024-07-23,Baixa,Baixa,-1.13,0.00,0
2024-07-24,Baixa,Baixa,-0.97,0.06,1
2024-07-25,Baixa,Baixa,-1.13,0.00,0
2024-07-26,Alta,Baixa,-1.13,1.00,1
2024-07-29,Alta,Baixa,-0.97,0.00,0
2024-07-30,Baixa,Baixa,-0.81,0.53,1
2024-07-31,Alta,Alta,-0.65,0.46,2
2024-08-01,Alta,Baixa,-0.33,-1.00,0
2024-08-02,Alta,Alta,0.00,0.00,0
2024-08-05,Baixa,Baixa,0.00,-1.00,0
2024-08-06,Baixa,Baixa,-0.16,-0.15,0
2024-08-07,Baixa,Baixa,-0.33,-0.10,0
2024-08-08,Baixa,Baixa,-0.49,1.00,1
2024-08-09,Alta,Alta,-0.33,0.82,2
2024-08-12,Alta,Alta,-0.16,-0.49,0
2024-08-13,Alta,Alta,-0.49,-0.42,0
2024-08-14,Baixa,Baixa,-1.15,0.11,1
2024-08-15,Baixa,Baixa,-1.81,-1.00,0
2024-08-16,Baixa,Baixa,-2.63,0.40,1
2024-08-19,Baixa,Baixa,-2.95,0.60,2
2024-08-20,Baixa,Baixa,-2.81,-0.56,0
2024-08-21,Baixa,Baixa,-2.66,0.00,0
2024-08-22,Baixa,Baixa,-2.68,-0.80,0
2024-08-23,Baixa,Baixa,-2.87,-1.00,0
2024-08-26,Alta,Alta,-3.04,0.98,1
2024-08-27,Baixa,Baixa,-3.06,-0.86,0
2024-08-28,Baixa,Baixa,-2.74,-0.74,0
2024-08-29,Baixa,Baixa,-2.24,-1.00,0
2024-08-30,Baixa,Baixa,-2.08,1.00,1
2024-09-03,Baixa,Baixa,-2.09,-0.43,0
2024-09-04,Baixa,Baixa,-1.75,-0.56,0
2024-09-05,Alta,Baixa,-1.41,0.92,1
2024-09-06,Alta,Alta,-0.53,0.76,2
2024-09-09,Alta,Baixa,0.00,-0.96,0
2024-09-10,Baixa,Baixa,0.18,0.85,1
2024-09-11,Alta,Alta,0.71,0.20,2
2024-09-12,Alta,Alta,1.07,-0.21,0
2024-09-13,Alta,Alta,0.89,-0.45,0
2024-09-16,Baixa,Baixa,0.71,-0.87,0
2024-09-17,Baixa,Baixa,0.71,-0.95,0
2024-09-18,Baixa,Baixa,0.35,0.22,1
2024-09-19,Baixa,Baixa,-0.18,-0.78,0
2024-09-20,Baixa,Baixa,-1.05,-0.65,0
2024-09-23,Baixa,Baixa,-1.23,-0.31,0
2024-09-24,Baixa,Baixa,-1.59,-0.17,0
2024-09-25,Baixa,Baixa,-1.94,-0.26,0
2024-09-26,Baixa,Baixa,-2.12,1.00,1
2024-09-27,Baixa,Baixa,-2.13,-0.13,0
2024-09-30,Baixa,Baixa,-2.32,-0.03,0
2024-10-01,Baixa,Baixa,-2.33,-0.33,0
2024-10-02,Baixa,Baixa,-2.52,0.28,1
2024-10-03,Baixa,Baixa,-2.53,0.10,2
2024-10-04,Baixa,Baixa,-2.72,-0.65,0
2024-10-07,Baixa,Baixa,-3.28,-0.83,0
2024-10-08,Baixa,Baixa,-3.67,0.50,1
2024-10-09,Baixa,Baixa,-4.06,-0.84,0
2024-10-10,Baixa,Baixa,-5.00,0.00,0
2024-10-11,Baixa,Baixa,-5.22,0.36,1
2024-10-14,Baixa,Baixa,-5.66,-0.30,0
2024-10-15,Baixa,Baixa,-5.90,-0.39,0
2024-10-16,Alta,Baixa,-5.96,0.31,1
2024-10-17,Alta,Baixa,-5.46,1.00,2
2024-10-18,Alta,Baixa,-5.51,0.00,0
2024-10-21,Alta,Baixa,-5.60,0.16,1
2024-10-22,Baixa,Baixa,-5.87,-0.87,0
2024-10-23,Baixa,Baixa,-6.34,-0.44,0
2024-10-24,Baixa,Baixa,-6.80,-0.15,0
2024-10-25,Baixa,Baixa,-7.08,-0.55,0
2024-10-28,Baixa,Baixa,-6.78,0.11,1
2024-10-29,Baixa,Baixa,-6.67,-0.80,0
2024-10-30,Baixa,Baixa,-6.55,1.00,1
2024-10-31,Baixa,Baixa,-6.42,-0.44,0
2024-11-01,Alta,Baixa,-6.28,1.00,1
2024-11-04,Baixa,Baixa,-6.14,0.27,2
2024-11-05,Alta,Baixa,-6.22,0.61,3
2024-11-06,Alta,Baixa,-5.84,-0.32,0
2024-11-07,Alta,Baixa,-5.91,-0.20,0
2024-11-08,Baixa,Baixa,-5.98,0.02,1
2024-11-11,Baixa,Baixa,-6.05,0.12,2
2024-11-12,Baixa,Baixa,-6.14,-0.17,0
2024-11-13,Baixa,Baixa,-6.45,0.90,1
2024-11-14,Baixa,Baixa,-6.78,-1.00,0
2024-11-15,Alta,Baixa,-7.89,0.28,1
2024-11-18,Baixa,Baixa,-8.51,-0.73,0
2024-11-19,Alta,Baixa,-8.12,0.84,1
2024-11-20,Alta,Baixa,-8.49,-0.13,0
2024-11-21,Alta,Baixa,-8.89,0.39,1
2024-11-22,Alta,Baixa,-8.29,0.43,2
2024-11-25,Alta,Alta,-6.20,0.72,3
2024-11-26,Alta,Alta,-3.70,-0.17,0
2024-11-27,Alta,Alta,-0.87,0.09,1
2024-11-29,Alta,Alta,1.78,-0.31,0
2024-12-02,Baixa,Alta,3.61,-0.69,0
2024-12-03,Baixa,Alta,3.00,-0.37,0
2024-12-04,Baixa,Alta,1.18,0.35,1
2024-12-05,Baixa,Alta,0.00,0.65,2
2024-12-06,Baixa,Alta,-0.87,-0.05,0
2024-12-09,Baixa,Alta,-1.16,-0.08,0
2024-12-10,Baixa,Alta,-0.87,-0.02,0
2024-12-11,Baixa,Alta,-0.58,0.11,1
2024-12-12,Baixa,Alta,-1.17,-0.44,0
2024-12-13,Baixa,Baixa,-1.47,-0.77,0
2024-12-16,Baixa,Baixa,-1.47,-0.08,0
2024-12-17,Baixa,Baixa,-1.47,-0.44,0
2024-12-18,Baixa,Baixa,-1.76,0.64,1
2024-12-19,Baixa,Baixa,-1.18,-0.43,0
2024-12-20,Baixa,Baixa,-0.60,-0.36,0
2024-12-23,Baixa,Baixa,-0.60,-0.35,0
2024-12-24,Alta,Baixa,-0.60,0.12,1
2024-12-26,Alta,Baixa,0.00,-0.36,0
2024-12-27,Baixa,Baixa,-0.30,-0.84,0
2024-12-30,Baixa,Baixa,-0.30,-0.04,0
2024-12-31,Baixa,Baixa,-0.30,-0.45,0
2025-01-02,Alta,Baixa,-0.30,0.96,1
2025-01-03,Alta,Baixa,-0.60,-0.54,0
2025-01-06,Alta,Baixa,-0.30,-0.12,0
2025-01-07,Alta,Baixa,0.00,0.00,0
2025-01-08,Baixa,Baixa,0.60,-0.67,0
2025-01-10,Alta,Alta,1.20,0.85,1
2025-01-13,Alta,Alta,1.81,0.66,2
2025-01-14,Alta,Alta,2.41,0.09,3
2025-01-15,Alta,Alta,3.00,0.65,4
2025-01-16,Alta,Alta,3.59,-0.51,0
2025-01-17,Alta,Alta,3.57,-0.62,0
2025-01-21,Baixa,Alta,3.25,-0.29,0
2025-01-22,Baixa,Alta,3.24,-0.09,0
2025-01-23,Baixa,Baixa,2.62,-0.95,0
2025-01-24,Baixa,Baixa,2.31,0.80,1
2025-01-27,Baixa,Baixa,2.01,-1.00,0
2025-01-28,Baixa,Baixa,2.58,0.56,1
2025-01-29,Baixa,Baixa,2.28,-0.29,0
2025-01-30,Baixa,Baixa,2.56,0.38,1
2025-01-31,Baixa,Baixa,2.26,-0.62,0
2025-02-03,Baixa,Baixa,2.54,-0.45,0
2025-02-04,Baixa,Baixa,1.40,0.09,1
2025-02-05,Baixa,Baixa,1.11,0.95,2
2025-02-06,Baixa,Baixa,0.55,-0.43,0
2025-02-07,Baixa,Baixa,0.00,-0.36,0
2025-02-10,Baixa,Baixa,-1.92,0.77,1
2025-02-11,Baixa,Baixa,-4.13,0.83,2
2025-02-12,Baixa,Baixa,-6.34,0.86,3
2025-02-13,Baixa,Baixa,-8.26,-0.44,0
2025-02-14,Baixa,Baixa,-9.39,0.54,1
2025-02-18,Baixa,Baixa,-8.96,-0.38,0
2025-02-19,Baixa,Baixa,-7.18,0.33,1
2025-02-20,Baixa,Baixa,-5.88,0.33,2
2025-02-21,Baixa,Baixa,-5.11,-0.56,0
2025-02-24,Baixa,Baixa,-4.57,0.00,0
2025-02-25,Baixa,Baixa,-4.62,0.11,1
2025-02-26,Baixa,Baixa,-4.95,-0.40,0
2025-02-27,Baixa,Baixa,-5.00,-1.00,0
2025-02-28,Baixa,Baixa,-4.43,-0.86,0
2025-03-03,Alta,Baixa,-3.83,0.82,1
2025-03-04,Baixa,Baixa,-2.90,-0.55,0
2025-03-05,Baixa,Baixa,-2.61,-0.50,0
2025-03-06,Baixa,Baixa,-1.97,0.00,0
2025-03-07,Baixa,Baixa,-1.99,0.18,1
2025-03-10,Baixa,Baixa,-1.99,0.00,0
2025-03-11,Baixa,Baixa,-2.66,0.47,1
2025-03-12,Alta,Baixa,-2.34,0.54,2
2025-03-13,Baixa,Baixa,-2.35,-1.00,0
2025-03-14,Baixa,Baixa,-2.36,-0.60,0
2025-03-17,Alta,Baixa,-2.03,0.68,1
2025-03-18,Alta,Alta,-1.71,0.23,2
2025-03-19,Alta,Alta,-1.37,0.10,3
2025-03-20,Alta,Alta,-1.03,-0.74,0
2025-03-21,Alta,Alta,0.00,0.24,1
2025-03-24,Alta,Alta,0.00,-0.60,0
2025-03-25,Baixa,Alta,0.00,-0.82,0
2025-03-26,Baixa,Alta,-0.35,0.29,1
