Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2024-10-02,Baixa,Baixa,,0.24,1
2024-10-03,Baixa,Baixa,,0.02,2
2024-10-04,Baixa,Baixa,,-0.22,0
2024-10-07,Alta,Alta,,0.59,1
2024-10-08,Alta,Alta,,0.29,2
2024-10-09,Alta,Alta,10.79,0.40,3
2024-10-10,Alta,Alta,17.64,0.52,4
2024-10-11,Alta,Alta,23.46,-0.45,0
2024-10-14,Alta,Alta,21.30,-0.79,0
2024-10-15,Alta,Alta,20.57,0.92,1
2024-10-16,Alta,Alta,17.93,-0.35,0
2024-10-17,Alta,Alta,15.70,0.41,1
2024-10-18,Alta,Alta,15.78,0.83,2
2024-10-21,Alta,Alta,16.04,-0.16,0
2024-10-22,Alta,Alta,13.84,0.25,1
2024-10-23,Alta,Alta,13.61,0.10,2
2024-10-24,Alta,Alta,12.80,-0.23,0
2024-10-25,Alta,Alta,11.65,0.82,1
2024-10-28,Baixa,Alta,10.18,-0.56,0
2024-10-29,Alta,Alta,9.20,0.53,1
2024-10-30,Alta,Alta,8.04,-0.08,0
2024-10-31,Alta,Alta,7.63,0.53,1
2024-11-01,Alta,Alta,6.65,0.06,2
2024-11-04,Alta,Alta,6.61,0.39,3
2024-11-05,Baixa,Alta,5.49,-0.86,0
2024-11-06,Baixa,Alta,4.60,0.78,1
2024-11-07,Baixa,Alta,3.61,0.39,2
2024-11-08,Alta,Alta,3.58,0.70,3
2024-11-11,Alta,Alta,3.33,0.00,0
2024-11-12,Alta,Alta,3.53,-0.68,0
2024-11-13,Baixa,Alta,3.56,-0.38,0
2024-11-14,Baixa,Baixa,1.73,-0.91,0
2024-11-15,Baixa,Baixa,-0.65,0.24,1
2024-11-18,Baixa,Baixa,-3.06,-0.26,0
2024-11-19,Baixa,Baixa,-5.16,-0.28,0
2024-11-20,Baixa,Baixa,-6.83,0.17,1
2024-11-21,Baixa,Baixa,-7.66,-0.76,0
2024-11-22,Baixa,Baixa,-8.15,-0.30,0
2024-11-25,Baixa,Baixa,-8.46,0.70,1
2024-11-26,Baixa,Baixa,-8.62,0.17,2
2024-11-27,Baixa,Baixa,-8.85,-0.10,0
2024-11-29,Baixa,Baixa,-8.34,-0.43,0
2024-12-02,Baixa,Baixa,-8.22,-1.00,0
2024-12-03,Baixa,Baixa,-8.09,0.31,1
2024-12-04,Baixa,Baixa,-8.04,-0.64,0
2024-12-05,Baixa,Baixa,-8.04,-0.88,0
2024-12-06,Baixa,Baixa,-8.03,-0.34,0
2024-12-09,Baixa,Baixa,-7.90,0.06,1
2024-12-10,Baixa,Baixa,-7.80,-0.72,0
2024-12-11,Baixa,Baixa,-7.65,0.11,1
2024-12-12,Baixa,Baixa,-7.13,-0.72,0
2024-12-13,Baixa,Baixa,-6.59,-0.56,0
2024-12-16,Baixa,Baixa,-6.12,-0.08,0
2024-12-17,Baixa,Baixa,-6.00,-0.50,0
2024-12-18,Baixa,Baixa,-6.14,0.42,1
2024-12-19,Baixa,Baixa,-6.88,-0.26,0
2024-12-20,Baixa,Baixa,-7.80,0.86,1
2024-12-23,Baixa,Baixa,-8.75,0.00,0
2024-12-24,Baixa,Baixa,-9.41,0.67,1
2024-12-26,Alta,Baixa,-10.35,0.47,2
2024-12-27,Alta,Baixa,-10.95,-0.73,0
2024-12-30,Baixa,Baixa,-11.63,-0.83,0
2024-12-31,Baixa,Baixa,-12.67,-0.37,0
2025-01-02,Baixa,Baixa,-13.74,0.44,1
2025-01-03,Alta,Baixa,-14.35,0.83,2
2025-01-06,Alta,Baixa,-15.29,-0.41,0
2025-01-07,Alta,Baixa,-16.02,-0.68,0
2025-01-08,Alta,Baixa,-16.75,0.31,1
2025-01-10,Alta,Baixa,-17.07,0.89,2
2025-01-13,Alta,Baixa,-17.81,-0.43,0
2025-01-14,Alta,Baixa,-18.37,-0.17,0
2025-01-15,Alta,Baixa,-19.34,0.63,1
2025-01-16,Alta,Baixa,-19.85,0.58,2
2025-01-17,Alta,Baixa,-21.07,0.00,0
2025-01-21,Alta,Baixa,-21.33,-0.17,0
2025-01-22,Alta,Baixa,-21.64,-0.10,0
2025-01-23,Alta,Baixa,-21.92,0.04,1
2025-01-24,Alta,Baixa,-23.40,-0.08,0
2025-01-27,Alta,Baixa,-24.77,0.26,1
2025-01-28,Alta,Alta,-26.48,0.38,2
2025-01-29,Alta,Alta,-27.95,0.39,3
2025-01-30,Baixa,Alta,-26.12,-0.18,0
2025-01-31,Alta,Alta,-22.96,0.73,1
2025-02-03,Alta,Alta,-18.83,0.50,2
2025-02-04,Alta,Alta,-14.24,0.46,3
2025-02-05,Alta,Alta,-9.73,0.00,0
2025-02-06,Alta,Alta,-6.12,0.17,1
2025-02-07,Alta,Alta,-3.53,-0.17,0
2025-02-10,Alta,Alta,-1.33,0.07,1
2025-02-11,Alta,Alta,0.47,0.47,2
2025-02-12,Alta,Alta,2.51,-0.51,0
2025-02-13,Baixa,Alta,1.68,-0.80,0
2025-02-14,Baixa,Alta,2.24,-0.11,0
2025-02-18,Alta,Alta,3.00,0.84,1
2025-02-19,Alta,Alta,3.74,-0.29,0
2025-02-20,Alta,Alta,4.74,0.62,1
2025-02-21,Alta,Alta,5.83,-0.31,0
2025-02-24,Alta,Alta,6.55,0.43,1
2025-02-25,Alta,Alta,7.06,0.28,2
2025-02-26,Alta,Alta,7.73,0.75,3
2025-02-27,Alta,Alta,8.05,-0.42,0
2025-02-28,Alta,Alta,8.51,0.48,1
2025-03-03,Alta,Alta,8.90,-0.25,0
2025-03-04,Baixa,Alta,9.06,-0.35,0
2025-03-05,Alta,Alta,9.25,0.44,1
2025-03-06,Alta,Alta,9.92,0.29,2
2025-03-07,Alta,Alta,9.91,-0.69,0
2025-03-10,Baixa,Alta,9.61,-0.54,0
2025-03-11,Baixa,Baixa,7.41,-0.82,0
2025-03-12,Baixa,Baixa,4.62,-0.83,0
2025-03-13,Baixa,Baixa,1.70,-0.27,0
2025-03-14,Baixa,Baixa,-0.55,0.42,1
2025-03-17,Baixa,Baixa,-2.50,-0.09,0
2025-03-18,Baixa,Baixa,-2.84,-0.54,0
2025-03-19,Baixa,Baixa,-3.26,-0.65,0
2025-03-20,Baixa,Baixa,-3.81,0.31,1
2025-03-21,Baixa,Baixa,-4.51,-0.52,0
2025-03-24,Baixa,Baixa,-5.22,-0.81,0
2025-03-25,Baixa,Baixa,-6.11,-0.59,0
2025-03-26,Baixa,Baixa,-6.39,0.71,1
2025-03-27,Baixa,Baixa,-6.73,0.06,2
2025-03-28,Baixa,Baixa,-7.07,0.00,0
2025-03-31,Baixa,Baixa,-7.65,0.77,1
2025-04-01,Baixa,Baixa,-7.95,0.67,2
2025-04-02,Baixa,Baixa,-8.42,-0.02,0
2025-04-03,Alta,Baixa,-8.87,0.63,1
2025-04-04,Alta,Baixa,-9.19,0.22,2
2025-04-07,Alta,Baixa,-9.23,0.32,3
2025-04-08,Alta,Baixa,-9.46,-0.74,0
2025-04-09,Baixa,Baixa,-9.80,-0.29,0
2025-04-10,Alta,Baixa,-10.16,0.75,1
2025-04-11,Alta,Baixa,-10.49,0.07,2
2025-04-14,Alta,Baixa,-10.95,0.80,3
2025-04-15,Baixa,Baixa,-11.31,0.28,4
2025-04-16,Baixa,Baixa,-11.62,-0.70,0
2025-04-17,Alta,Baixa,-11.94,0.38,1
2025-04-21,Baixa,Baixa,-12.60,-0.17,0
2025-04-22,Baixa,Baixa,-13.25,-0.55,0
2025-04-23,Baixa,Baixa,-13.88,0.68,1
2025-04-24,Baixa,Baixa,-14.63,-0.23,0
2025-04-25,Baixa,Baixa,-15.39,0.00,0
2025-04-28,Baixa,Baixa,-15.91,0.19,1
2025-04-29,Baixa,Baixa,-16.47,0.89,2
2025-04-30,Baixa,Baixa,-17.54,0.00,0
2025-05-01,Baixa,Baixa,-18.34,-0.35,0
2025-05-02,Alta,Baixa,-19.36,0.03,1
2025-05-05,Alta,Baixa,-20.56,0.73,2
2025-05-06,Alta,Baixa,-22.08,0.75,3
2025-05-07,Alta,Baixa,-23.45,-0.33,0
2025-05-08,Alta,Baixa,-25.43,0.20,1
2025-05-09,Alta,Baixa,-27.20,0.07,2
2025-05-12,Alta,Baixa,-29.50,0.27,3
2025-05-13,Alta,Baixa,-31.52,0.62,4
2025-05-14,Alta,Baixa,-33.42,-0.69,0
2025-05-15,Alta,Baixa,-35.93,0.83,1
2025-05-16,Alta,Baixa,-39.96,0.47,2
2025-05-19,Baixa,Baixa,-43.40,0.29,3
2025-05-20,Alta,Alta,-46.60,0.74,4
2025-05-21,Baixa,Alta,-43.20,0.11,5
2025-05-22,Baixa,Alta,-37.30,-0.11,0
2025-05-23,Baixa,Alta,-29.32,-0.52,0
2025-05-27,Baixa,Alta,-20.22,0.20,1
2025-05-28,Baixa,Alta,-9.50,0.67,2
2025-05-29,Alta,Alta,-7.47,0.64,3
2025-05-30,Baixa,Alta,-6.24,-0.47,0
2025-06-02,Baixa,Alta,-4.33,-0.63,0
2025-06-03,Alta,Alta,-1.91,0.73,1
2025-06-04,Alta,Alta,0.47,0.79,2
2025-06-05,Baixa,Alta,1.96,-0.92,0
2025-06-06,Baixa,Alta,2.27,0.53,1
2025-06-09,Baixa,Alta,2.66,-0.50,0
2025-06-10,Baixa,Baixa,2.72,-0.57,0
2025-06-11,Baixa,Baixa,2.63,0.26,1
2025-06-12,Baixa,Baixa,2.38,-0.45,0
2025-06-13,Baixa,Baixa,2.52,-0.06,0
2025-06-16,Baixa,Baixa,2.21,0.31,1
2025-06-17,Baixa,Baixa,1.21,-0.53,0
2025-06-18,Baixa,Baixa,-0.38,0.67,1
2025-06-20,Baixa,Baixa,-1.20,0.00,0
2025-06-23,Baixa,Baixa,-1.87,-0.07,0
2025-06-24,Baixa,Baixa,-2.61,0.45,1
2025-06-25,Baixa,Baixa,-2.62,0.60,2
2025-06-26,Baixa,Baixa,-2.27,-0.31,0
2025-06-27,Baixa,Baixa,-2.74,-0.74,0
2025-06-30,Baixa,Baixa,-3.27,0.60,1
2025-07-01,Baixa,Baixa,-3.36,0.67,2
2025-07-02,Alta,Baixa,-3.31,0.72,3
2025-07-03,Alta,Baixa,-2.71,0.27,4
2025-07-07,Alta,Baixa,-2.34,-0.39,0
2025-07-08,Alta,Baixa,-2.04,0.83,1
2025-07-09,Alta,Baixa,-1.66,-0.65,0
2025-07-10,Alta,Baixa,-1.43,-0.82,0
2025-07-11,Alta,Baixa,-1.51,0.69,1
2025-07-14,Baixa,Baixa,-1.28,-0.84,0
2025-07-15,Baixa,Baixa,-1.12,0.33,1
2025-07-16,Baixa,Baixa,-1.13,-0.41,0
2025-07-17,Alta,Baixa,-1.21,0.45,1
2025-07-18,Baixa,Baixa,-1.37,0.07,2
2025-07-21,Alta,Baixa,-1.46,-0.43,0
2025-07-22,Alta,Baixa,-1.70,-0.50,0
2025-07-23,Baixa,Baixa,-2.03,0.17,1
2025-07-24,Baixa,Baixa,-2.37,0.47,2
2025-07-25,Alta,Alta,-2.54,0.53,3
2025-07-28,Alta,Baixa,-2.63,0.12,4
2025-07-29,Baixa,Baixa,-3.06,-0.57,0
2025-07-30,Baixa,Baixa,-3.24,0.26,1
2025-07-31,Baixa,Baixa,-3.34,-0.23,0
2025-08-01,Baixa,Baixa,-3.70,-0.09,0
2025-08-04,Baixa,Baixa,-4.05,0.61,1
2025-08-05,Alta,Baixa,-3.92,-0.69,0
2025-08-06,Alta,Baixa,-3.78,-0.57,0
2025-08-07,Alta,Baixa,-3.46,-0.20,0
2025-08-08,Baixa,Baixa,-3.23,0.50,1
2025-08-11,Baixa,Baixa,-3.26,0.67,2
2025-08-12,Baixa,Baixa,-3.28,-0.17,0
2025-08-13,Baixa,Baixa,-3.30,0.75,1
2025-08-14,Baixa,Baixa,-3.58,-0.50,0
2025-08-15,Alta,Baixa,-3.52,-0.20,0
2025-08-18,Baixa,Baixa,-3.37,-0.92,0
2025-08-19,Alta,Baixa,-3.21,0.73,1
2025-08-20,Baixa,Baixa,-3.23,-0.63,0
2025-08-21,Alta,Baixa,-2.88,0.83,1
2025-08-22,Alta,Alta,-2.53,0.67,2
2025-08-25,Alta,Alta,-2.17,0.64,3
2025-08-26,Alta,Alta,-1.80,0.57,4
2025-08-27,Alta,Alta,-1.24,0.64,5
2025-08-28,Alta,Alta,-0.86,-0.71,0
2025-08-29,Baixa,Alta,-0.58,-0.33,0
2025-09-02,Baixa,Alta,-0.29,0.29,1
2025-09-03,Baixa,Alta,-0.10,0.22,2
2025-09-04,Baixa,Alta,0.00,1.00,3
2025-09-05,Baixa,Baixa,0.00,0.13,4
2025-09-08,Alta,Alta,0.19,0.64,5
2025-09-09,Alta,Alta,0.87,0.72,6
2025-09-10,Alta,Alta,1.74,0.65,7
2025-09-11,Alta,Alta,2.41,-0.10,0
2025-09-12,Alta,Alta,3.09,0.23,1
2025-09-15,Alta,Alta,3.37,-0.35,0
2025-09-16,Alta,Alta,3.16,-0.22,0
2025-09-17,Baixa,Alta,2.75,0.50,1
2025-09-18,Baixa,Alta,2.54,0.65,2
2025-09-19,Alta,Alta,2.53,0.91,3
2025-09-22,Alta,Alta,3.45,0.41,4
2025-09-23,Alta,Alta,4.55,-0.49,0
2025-09-24,Alta,Alta,5.54,-0.37,0
2025-09-25,Alta,Alta,6.43,-0.25,0
2025-09-26,Alta,Alta,7.40,0.00,0
2025-09-29,Alta,Alta,7.48,-0.47,0
2025-09-30,Baixa,Alta,7.10,-0.23,0
2025-10-01,Baixa,Alta,7.00,0.61,1
2025-10-02,Baixa,Alta,6.91,0.14,2
2025-10-03,Alta,Alta,6.89,0.46,3
2025-10-06,Alta,Alta,6.71,0.69,4
2025-10-07,Alta,Alta,6.71,-0.77,0
2025-10-08,Alta,Alta,6.79,0.65,1
2025-10-09,Alta,Alta,7.03,0.34,2
2025-10-10,Baixa,Alta,6.76,-0.89,0
2025-10-13,Baixa,Alta,6.83,-0.45,0
2025-10-14,Baixa,Alta,6.83,0.48,1
2025-10-15,Baixa,Alta,6.36,-0.37,0
2025-10-16,Baixa,Alta,5.74,-0.05,0
2025-10-17,Baixa,Alta,5.22,-0.06,0
2025-10-20,Baixa,Alta,4.71,0.35,1
2025-10-21,Baixa,Alta,4.22,-0.12,0
2025-10-22,Baixa,Baixa,3.82,-0.50,0
2025-10-23,Baixa,Alta,3.50,0.61,1
2025-10-24,Baixa,Baixa,3.19,-0.18,0
2025-10-27,Baixa,Baixa,2.81,0.11,1
2025-10-28,Baixa,Baixa,2.65,0.00,0
2025-10-29,Baixa,Baixa,2.57,0.06,1
2025-10-30,Baixa,Baixa,2.34,-0.62,0
2025-10-31,Baixa,Baixa,2.20,1.00,1
2025-11-03,Baixa,Baixa,1.91,-0.71,0
2025-11-04,Baixa,Baixa,1.56,0.60,1
2025-11-05,Baixa,Baixa,1.28,-0.44,0
2025-11-06,Baixa,Baixa,1.15,0.15,1
2025-11-07,Baixa,Baixa,0.94,-0.13,0
2025-11-10,Baixa,Baixa,0.94,0.00,0
2025-11-11,Baixa,Baixa,0.87,-0.33,0
2025-11-12,Baixa,Baixa,0.80,0.72,1
2025-11-13,Alta,Baixa,0.87,0.70,2
2025-11-14,Alta,Baixa,1.00,-0.06,0
2025-11-17,Alta,Baixa,1.13,0.58,1
2025-11-18,Alta,Baixa,1.06,0.56,2
2025-11-19,Alta,Baixa,0.79,-0.09,0
2025-11-20,Baixa,Baixa,0.33,0.56,1
2025-11-21,Baixa,Baixa,-0.13,0.08,2
2025-11-24,Baixa,Baixa,-0.59,-0.83,0
2025-11-25,Baixa,Baixa,-0.79,0.31,1
2025-11-26,Baixa,Baixa,-0.79,-0.94,0
2025-11-28,Alta,Baixa,-0.66,0.19,1
2025-12-01,Alta,Baixa,-0.79,0.70,2
2025-12-02,Baixa,Baixa,-1.59,0.20,3
2025-12-03,Baixa,Baixa,-2.51,-0.53,0
2025-12-04,Baixa,Baixa,-3.25,-0.75,0
2025-12-05,Alta,Baixa,-3.98,0.27,1
2025-12-08,Baixa,Baixa,-4.72,-0.96,0
2025-12-09,Baixa,Baixa,-4.90,0.00,0
2025-12-10,Baixa,Baixa,-4.75,0.00,0
2025-12-11,Baixa,Baixa,-4.93,-0.45,0
2025-12-12,Baixa,Baixa,-5.04,0.14,1
2025-12-15,Baixa,Baixa,-5.16,-1.00,0
2025-12-16,Baixa,Baixa,-5.43,-0.47,0
2025-12-17,Baixa,Baixa,-5.77,-0.30,0
2025-12-18,Baixa,Baixa,-5.98,0.14,1
2025-12-19,Baixa,Baixa,-6.40,0.33,2
2025-12-22,Baixa,Baixa,-6.33,-0.17,0
2025-12-23,Baixa,Baixa,-6.19,-0.67,0
2025-12-24,Baixa,Baixa,-6.20,0.00,0
2025-12-26,Baixa,Baixa,-5.97,0.00,0
2025-12-29,Baixa,Baixa,-5.90,-0.68,0
2025-12-30,Baixa,Baixa,-5.97,-1.00,0
2025-12-31,Baixa,Baixa,-6.05,-0.48,0
2026-01-02,Baixa,Baixa,-5.96,-0.11,0
2026-01-05,Alta,Baixa,-5.70,-0.26,0
2026-01-06,Alta,Baixa,-5.36,-0.53,0
2026-01-07,Alta,Baixa,-4.93,-0.83,0
2026-01-08,Alta,Baixa,-4.49,-0.30,0
2026-01-09,Baixa,Baixa,-4.20,-0.88,0
2026-01-12,Baixa,Baixa,-4.32,0.53,1
2026-01-13,Baixa,Baixa,-4.10,-0.45,0
2026-01-14,Baixa,Baixa,-4.22,-0.43,0
2026-01-15,Baixa,Baixa,-4.08,-0.79,0
2026-01-16,Baixa,Baixa,-3.85,0.33,1
2026-01-20,Baixa,Baixa,-3.70,-0.62,0
2026-01-21,Baixa,Baixa,-3.73,0.08,1
2026-01-22,Baixa,Baixa,-3.58,0.40,2
2026-01-23,Baixa,Baixa,-3.60,0.33,3
2026-01-26,Baixa,Baixa,-3.72,-0.89,0
2026-01-27,Alta,Baixa,-3.66,0.00,0
2026-01-28,Baixa,Baixa,-3.68,-0.62,0
2026-01-29,Baixa,Baixa,-4.00,-0.50,0
2026-01-30,Baixa,Baixa,-4.41,0.36,1
2026-02-02,Baixa,Baixa,-4.83,0.27,2
2026-02-03,Baixa,Baixa,-5.35,-0.65,0
2026-02-04,Baixa,Baixa,-5.69,0.56,1
2026-02-05,Baixa,Baixa,-5.85,-0.58,0
2026-02-06,Baixa,Baixa,-5.82,0.08,1
2026-02-09,Alta,Baixa,-5.58,0.59,2
2026-02-10,Alta,Baixa,-5.45,-0.91,0
2026-02-11,Alta,Baixa,-5.20,0.66,1
2026-02-12,Alta,Baixa,-4.95,-0.77,0
2026-02-13,Alta,Baixa,-4.79,-0.25,0
2026-02-17,Baixa,Baixa,-4.95,0.20,1
2026-02-18,Baixa,Baixa,-4.89,0.25,2
2026-02-19,Baixa,Baixa,-5.26,-0.60,0
2026-02-20,Baixa,Baixa,-5.32,0.26,1
2026-02-23,Baixa,Baixa,-5.37,-1.00,0
2026-02-24,Baixa,Baixa,-5.43,0.00,0
2026-02-25,Alta,Baixa,-5.37,-0.80,0
2026-02-26,Baixa,Baixa,-5.21,0.00,0
2026-02-27,Baixa,Baixa,-5.38,-0.17,0
2026-03-02,Baixa,Baixa,-5.44,0.86,1
2026-03-03,Baixa,Baixa,-5.50,0.04,2
2026-03-04,Baixa,Baixa,-5.92,0.33,3
2026-03-05,Baixa,Baixa,-6.47,-0.43,0
2026-03-06,Baixa,Baixa,-7.17,-0.52,0
2026-03-09,Baixa,Baixa,-7.75,0.13,1
2026-03-10,Baixa,Baixa,-8.35,-0.16,0
2026-03-11,Baixa,Baixa,-8.73,-0.25,0
2026-03-12,Baixa,Baixa,-8.62,-0.03,0
2026-03-13,Alta,Baixa,-7.99,0.39,1
2026-03-16,Baixa,Baixa,-7.45,-0.57,0
2026-03-17,Baixa,Baixa,-6.91,0.76,1
