Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2026-04-10,,,,0.08,0.80,,,14300.00,1.00
2026-04-13,-0.02,-0.02,,0.39,3.94,-0.15,-1.49,18200.00,1.21
2026-04-14,0.00,0.00,,0.04,0.40,0.01,0.10,15167.00,0.60
2026-04-15,-0.00,-0.00,,0.02,0.20,-0.03,-0.30,13225.00,0.56
2026-04-16,0.01,0.01,,0.01,0.10,0.04,0.40,10660.00,0.04
2026-04-17,-0.01,-0.01,,0.05,0.51,0.00,0.00,8933.00,0.03
2026-04-20,0.01,0.01,,0.00,0.00,0.05,0.51,7671.00,0.01
2026-04-21,-0.01,-0.01,,0.02,0.20,-0.03,-0.30,6812.00,0.12
2026-04-22,0.00,0.00,,0.04,0.40,0.00,0.00,17178.00,5.83
2026-04-23,-0.00,-0.00,,0.02,0.20,0.00,0.00,15780.00,0.20
2026-04-24,0.00,0.00,,0.00,0.00,0.02,0.20,15264.00,0.66
2026-04-27,0.00,0.00,,0.00,0.00,0.00,0.00,13992.00,0.00
2026-04-28,0.00,0.00,,0.00,0.00,0.00,0.00,12923.00,0.01
2026-04-29,0.00,0.00,,0.00,0.00,0.00,0.00,12000.00,0.00
2026-04-30,0.00,0.00,,0.00,0.00,0.00,0.00,11200.00,0.00
2026-05-01,0.00,0.00,,0.00,0.00,0.00,0.00,10531.00,0.05
2026-05-04,0.00,0.00,,0.00,0.00,0.00,0.00,9959.00,0.08
2026-05-05,0.00,0.00,,0.00,0.00,0.00,0.00,9406.00,0.00
2026-05-06,0.00,0.00,,0.00,0.00,0.00,0.00,8911.00,0.00
2026-05-07,-0.00,-0.00,,0.00,0.00,-0.02,-0.20,8520.00,0.13
2026-05-08,0.00,0.00,0.07,0.00,0.00,0.01,0.10,7820.00,0.04
2026-05-11,0.00,0.00,0.04,0.00,0.00,0.00,0.00,10055.00,6.64
2026-05-12,0.00,0.00,0.04,0.00,0.00,0.01,0.10,9605.00,0.01
2026-05-13,0.00,0.00,0.04,0.00,0.00,0.00,0.00,9235.00,0.00
2026-05-14,0.00,0.00,0.04,0.00,0.00,0.00,0.00,9220.00,0.01
2026-05-15,-0.00,-0.00,0.03,0.01,0.10,0.00,0.00,9650.00,0.92
2026-05-18,0.00,0.00,0.03,0.00,0.00,0.02,0.20,9815.00,0.35
2026-05-19,0.00,0.00,0.02,0.00,0.00,0.00,0.00,9775.00,0.00
2026-05-20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,4770.00,0.00
2026-05-21,0.00,0.00,0.01,0.00,0.00,0.00,0.00,4945.00,1.35
2026-05-22,0.00,0.00,0.01,0.00,0.00,0.00,0.00,4440.00,0.00
2026-05-26,-0.00,-0.00,0.02,0.06,0.60,0.03,0.30,4455.00,0.07
2026-05-27,0.00,0.00,0.02,0.00,0.00,0.01,0.10,6175.00,5.59
2026-05-28,0.00,0.00,0.02,0.00,0.00,0.01,0.10,6180.00,0.02
2026-05-29,0.00,0.00,0.02,0.06,0.60,0.00,0.00,7445.00,3.40
2026-06-01,-0.01,-0.01,0.03,0.00,0.00,-0.05,-0.50,7425.00,0.01
2026-06-02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,7385.00,0.00
2026-06-03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,7395.00,0.03
2026-06-04,0.00,0.00,0.03,0.00,0.00,0.00,0.00,7395.00,0.00
2026-06-05,0.00,0.00,0.03,0.00,0.00,0.00,0.00,7340.00,0.00
2026-06-08,0.01,0.01,0.04,0.07,0.70,0.00,0.00,7350.00,0.07
2026-06-09,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4010.00,0.00
2026-06-10,-0.00,-0.00,0.04,0.00,0.00,-0.04,-0.40,4025.00,0.10
2026-06-11,0.00,0.00,0.04,0.01,0.10,-0.01,-0.10,4340.00,1.45
2026-06-12,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4355.00,0.09
2026-06-15,0.00,0.00,0.04,0.00,0.00,0.00,0.00,3910.00,0.00
2026-06-16,0.00,0.00,0.04,0.00,0.00,0.03,0.30,3765.00,0.13
2026-06-17,-0.00,-0.00,0.04,0.01,0.10,-0.02,-0.20,10030.00,12.49
2026-06-18,0.00,0.00,0.04,0.00,0.00,0.00,0.00,10030.00,0.00
2026-06-22,0.00,0.00,0.04,0.00,0.00,0.00,0.00,9695.00,0.00
2026-06-23,0.00,0.00,0.04,0.00,0.00,0.00,0.00,13445.00,5.58
