Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2012-04-11,,,,0.01,0.09,,,1100.00,1.00
2012-04-12,0.01,0.01,,0.07,0.61,0.00,0.00,6800.00,1.84
2012-04-13,0.00,0.00,,0.04,0.35,-0.02,-0.17,6300.00,0.84
2012-04-16,0.00,0.00,,0.02,0.17,0.04,0.35,7375.00,1.44
2012-04-17,0.01,0.01,,0.02,0.17,0.06,0.52,6220.00,0.26
2012-04-18,-0.00,-0.00,,1.26,10.93,0.00,0.00,8067.00,2.14
2012-04-19,0.00,0.00,,0.09,0.78,0.09,0.78,7600.00,0.63
2012-04-20,-0.00,-0.00,,0.05,0.43,0.01,0.09,7012.00,0.41
2012-04-23,-0.00,-0.00,,0.12,1.04,-0.01,-0.09,6489.00,0.35
2012-04-24,0.00,0.00,,0.03,0.26,0.03,0.26,6000.00,0.27
2012-04-25,0.00,0.00,,0.19,1.65,-0.17,-1.47,5500.00,0.09
2012-04-26,-0.00,-0.00,,0.05,0.43,0.00,0.00,5642.00,1.28
2012-04-27,0.00,0.00,,0.06,0.52,0.03,0.26,10208.00,6.37
2012-04-30,0.00,0.00,,0.08,0.69,0.02,0.17,11264.00,2.22
2012-05-01,-0.00,-0.00,,0.13,1.13,-0.15,-1.30,18627.00,6.53
2012-05-02,0.00,0.00,,0.08,0.70,0.06,0.52,23631.00,4.18
2012-05-03,0.00,0.00,,0.05,0.43,0.04,0.35,26594.00,2.78
2012-05-04,-0.00,-0.00,,0.04,0.35,0.02,0.17,27644.00,1.65
2012-05-07,-0.00,-0.00,,0.02,0.17,-0.01,-0.09,26821.00,0.45
2012-05-08,0.00,0.00,,0.03,0.26,0.04,0.35,26235.00,0.58
2012-05-09,-0.00,-0.00,0.05,0.05,0.43,0.02,0.17,26790.00,0.46
2012-05-10,-0.00,-0.00,0.04,0.33,2.87,0.31,2.70,26745.00,0.43
2012-05-11,-0.00,-0.00,0.04,0.03,0.26,0.00,0.00,28230.00,1.24
2012-05-14,-0.00,-0.00,0.04,0.07,0.61,0.01,0.09,30615.00,1.90
2012-05-15,-0.00,-0.00,0.04,0.04,0.35,0.02,0.17,33435.00,1.73
2012-05-16,-0.01,-0.01,0.04,0.14,1.23,0.02,0.17,34900.00,1.34
2012-05-17,-0.00,-0.00,0.04,0.12,1.06,-0.08,-0.70,34850.00,0.11
2012-05-18,-0.01,-0.01,0.05,0.13,1.16,0.00,0.00,35255.00,0.31
2012-05-21,0.00,0.00,0.05,0.04,0.36,0.03,0.27,36605.00,0.80
2012-05-22,0.00,0.00,0.06,0.03,0.27,0.00,0.00,37100.00,0.31
2012-05-23,-0.01,-0.01,0.06,0.13,1.16,0.05,0.44,37925.00,0.45
2012-05-24,0.01,0.01,0.06,0.10,0.88,0.00,0.00,40110.00,1.27
2012-05-25,0.00,0.00,0.06,0.03,0.27,0.00,0.00,36995.00,0.07
2012-05-29,0.00,0.00,0.06,0.05,0.44,0.03,0.27,36735.00,0.54
2012-05-30,-0.01,-0.01,0.06,0.09,0.80,0.02,0.18,32200.00,0.96
2012-05-31,0.01,0.01,0.07,0.05,0.44,0.06,0.53,27305.00,0.03
2012-06-01,0.01,0.01,0.08,0.09,0.79,0.01,0.09,24195.00,0.49
2012-06-04,-0.01,-0.01,0.08,0.00,0.00,-0.10,-0.87,21945.00,0.02
2012-06-05,-0.00,-0.00,0.09,0.00,0.00,-0.05,-0.44,21360.00,0.01
2012-06-06,-0.00,-0.00,0.08,0.04,0.35,-0.05,-0.44,20755.00,0.14
2012-06-07,0.00,0.00,0.08,0.15,1.33,0.16,1.42,20215.00,0.07
2012-06-08,0.00,0.00,0.09,0.24,2.12,0.29,2.57,19720.00,0.09
2012-06-11,-0.00,-0.00,0.09,0.25,2.21,0.23,2.03,18080.00,0.12
2012-06-12,0.01,0.01,0.09,0.02,0.18,0.08,0.71,15210.00,0.06
2012-06-13,0.00,0.00,0.09,0.11,0.96,-0.01,-0.09,12695.00,0.61
2012-06-14,0.00,0.00,0.09,0.08,0.70,-0.06,-0.52,10420.00,0.11
2012-06-15,-0.00,-0.00,0.09,0.02,0.18,-0.04,-0.35,10290.00,0.12
2012-06-18,0.00,0.00,0.08,0.01,0.09,0.06,0.53,9780.00,0.08
2012-06-19,0.00,0.00,0.08,0.00,0.00,0.01,0.09,8350.00,0.08
2012-06-20,0.01,0.01,0.08,0.01,0.09,0.07,0.61,7995.00,0.55
2012-06-21,0.01,0.01,0.08,0.00,0.00,0.06,0.52,7185.00,0.11
2012-06-22,-0.00,-0.00,0.08,0.02,0.17,-0.03,-0.26,4830.00,0.79
2012-06-25,0.00,0.00,0.08,0.02,0.17,0.05,0.43,4780.00,0.36
2012-06-26,-0.00,-0.00,0.08,0.04,0.35,-0.01,-0.09,3865.00,0.39
2012-06-27,0.00,0.00,0.07,0.01,0.09,0.00,0.00,2955.00,4.33
2012-06-28,0.00,0.00,0.07,0.05,0.43,-0.02,-0.17,3440.00,3.05
2012-06-29,0.00,0.00,0.06,0.00,0.00,0.03,0.26,2900.00,0.34
2012-07-02,0.01,0.01,0.05,0.00,0.00,0.06,0.52,2895.00,0.14
2012-07-03,0.00,0.00,0.05,0.00,0.00,0.00,0.00,2880.00,0.00
2012-07-05,0.00,0.00,0.05,0.00,0.00,0.02,0.17,2750.00,0.15
2012-07-06,0.00,0.00,0.05,0.00,0.00,0.00,0.00,2740.00,0.44
2012-07-09,-0.00,-0.00,0.05,0.00,0.00,-0.01,-0.09,2805.00,1.07
2012-07-10,-0.01,-0.01,0.06,0.10,0.87,0.01,0.09,2705.00,0.07
2012-07-11,-0.00,-0.00,0.05,0.10,0.87,0.03,0.26,2735.00,0.55
2012-07-12,0.00,0.00,0.05,0.00,0.00,0.00,0.00,2350.00,0.00
2012-07-13,0.01,0.01,0.06,0.01,0.09,0.09,0.78,2330.00,0.30
2012-07-16,0.00,0.00,0.06,0.09,0.77,-0.03,-0.26,2505.00,1.88
2012-07-17,0.01,0.01,0.06,0.00,0.00,0.06,0.51,2715.00,1.84
2012-07-18,-0.00,-0.00,0.06,0.14,1.19,0.03,0.26,6830.00,12.15
2012-07-19,0.01,0.01,0.06,0.03,0.25,0.04,0.34,6670.00,0.18
2012-07-20,0.00,0.00,0.06,0.06,0.51,0.07,0.59,6860.00,0.67
2012-07-23,-0.01,-0.01,0.07,0.12,1.02,-0.02,-0.17,6740.00,0.21
2012-07-24,-0.01,-0.01,0.07,0.00,0.00,-0.07,-0.60,6670.00,0.04
2012-07-25,0.01,0.01,0.08,0.21,1.78,-0.02,-0.17,8650.00,4.75
2012-07-26,-0.01,-0.01,0.09,0.09,0.77,-0.03,-0.25,8100.00,0.22
2012-07-27,0.00,0.00,0.09,0.07,0.60,0.08,0.68,7620.00,0.12
2012-07-30,0.01,0.01,0.10,0.00,0.00,0.11,0.94,7605.00,0.09
2012-07-31,-0.00,-0.00,0.10,0.00,0.00,-0.05,-0.42,7620.00,0.09
2012-08-01,0.01,0.01,0.10,0.05,0.42,0.14,1.19,8085.00,1.15
2012-08-02,0.01,0.01,0.10,0.18,1.51,0.27,2.28,8610.00,1.27
2012-08-03,0.01,0.01,0.11,0.37,3.08,0.42,3.51,10465.00,3.66
2012-08-06,-0.00,-0.00,0.11,0.03,0.25,-0.02,-0.17,10390.00,0.14
2012-08-07,0.00,0.00,0.10,0.02,0.17,-0.02,-0.17,10450.00,0.13
2012-08-08,-0.00,-0.00,0.10,0.05,0.42,0.04,0.33,10425.00,0.10
2012-08-09,0.01,0.01,0.10,0.03,0.25,0.08,0.67,10645.00,0.41
2012-08-10,0.00,0.00,0.10,0.00,0.00,0.04,0.33,10660.00,0.09
2012-08-13,-0.00,-0.00,0.10,0.07,0.58,0.05,0.41,10590.00,0.31
2012-08-14,0.00,0.00,0.10,0.00,0.00,0.02,0.17,10355.00,0.03
2012-08-15,-0.01,-0.01,0.11,0.19,1.59,0.03,0.25,6770.00,1.67
2012-08-16,0.00,0.00,0.11,0.09,0.75,0.10,0.84,6985.00,0.79
2012-08-17,0.00,0.00,0.11,0.00,0.00,0.02,0.17,6760.00,0.01
2012-08-20,0.00,0.00,0.10,0.00,0.00,0.04,0.33,6740.00,0.15
2012-08-21,0.00,0.00,0.10,0.06,0.50,0.07,0.58,6770.00,0.13
2012-08-22,0.01,0.01,0.09,0.00,0.00,0.06,0.50,4815.00,0.42
2012-08-23,-0.00,-0.00,0.08,0.21,1.74,0.14,1.16,4820.00,0.39
2012-08-24,0.01,0.01,0.08,0.04,0.33,0.17,1.41,4815.00,0.17
2012-08-27,-0.00,-0.00,0.08,0.07,0.57,-0.08,-0.65,4800.00,0.08
2012-08-28,0.00,0.00,0.08,0.02,0.16,0.06,0.49,4815.00,0.21
2012-08-29,-0.01,-0.01,0.08,0.21,1.73,0.11,0.90,4450.00,0.45
2012-08-30,0.01,0.01,0.08,0.09,0.74,0.09,0.74,3985.00,0.40
2012-08-31,0.00,0.00,0.08,0.14,1.14,-0.12,-0.98,2210.00,1.27
2012-09-04,-0.00,-0.00,0.08,0.02,0.16,-0.01,-0.08,2300.00,1.43
2012-09-05,-0.00,-0.00,0.08,0.01,0.08,-0.02,-0.16,2425.00,1.61
2012-09-06,-0.01,-0.01,0.08,0.10,0.82,0.02,0.16,2405.00,0.25
2012-09-07,0.00,0.00,0.08,0.04,0.33,0.01,0.08,2295.00,0.96
2012-09-10,-0.00,-0.00,0.08,0.13,1.07,0.05,0.41,2315.00,0.60
2012-09-11,0.00,0.00,0.08,0.00,0.00,0.00,0.00,2150.00,0.00
2012-09-12,0.00,0.00,0.08,0.08,0.66,0.06,0.50,7800.00,14.53
2012-09-13,0.01,0.01,0.07,0.04,0.33,0.07,0.58,7295.00,0.16
2012-09-14,0.00,0.00,0.07,0.00,0.00,0.00,0.00,7040.00,0.06
2012-09-17,0.00,0.00,0.07,0.05,0.41,0.08,0.65,7120.00,0.24
2012-09-18,-0.00,-0.00,0.08,0.20,1.63,0.09,0.73,7170.00,0.28
2012-09-19,0.00,0.00,0.08,0.13,1.05,0.12,0.98,7230.00,0.29
2012-09-20,0.00,0.00,0.08,0.14,1.13,0.15,1.22,7365.00,0.64
2012-09-21,-0.01,-0.01,0.08,0.06,0.49,-0.08,-0.65,7845.00,1.47
2012-09-24,0.01,0.01,0.08,0.08,0.65,0.13,1.06,7840.00,0.09
2012-09-25,-0.01,-0.01,0.08,0.02,0.16,-0.11,-0.89,7880.00,0.15
2012-09-26,-0.00,-0.00,0.08,0.07,0.58,0.00,0.00,8025.00,0.49
2012-09-27,0.00,0.00,0.08,0.06,0.49,0.03,0.25,8035.00,0.27
2012-09-28,0.00,0.00,0.08,0.00,0.00,0.06,0.49,7965.00,0.03
2012-10-01,0.00,0.00,0.08,0.00,0.00,0.03,0.25,7835.00,0.03
2012-10-02,0.00,0.00,0.08,0.03,0.24,0.02,0.16,7705.00,0.09
2012-10-03,0.00,0.00,0.08,0.00,0.00,0.00,0.00,7510.00,0.00
2012-10-04,-0.00,-0.00,0.08,0.01,0.08,-0.01,-0.08,7565.00,0.22
2012-10-05,-0.00,-0.00,0.08,0.04,0.33,-0.01,-0.08,7500.00,0.12
2012-10-08,-0.00,-0.00,0.07,0.07,0.57,0.00,0.00,7475.00,0.12
