Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2000-01-03,,,,1.36,9.25,,,219200.00,1.00
2000-01-04,-0.05,-0.05,,0.68,4.85,0.00,0.00,274950.00,1.20
2000-01-05,0.07,0.07,,1.26,8.38,0.06,0.43,280633.00,1.04
2000-01-06,0.15,0.14,,2.67,15.45,0.26,1.73,293650.00,1.13
2000-01-07,0.09,0.08,,1.63,8.69,0.31,1.79,261640.00,0.51
2000-01-10,0.05,0.05,,1.15,5.84,0.31,1.65,249400.00,0.75
2000-01-11,-0.00,-0.00,,0.32,1.63,-0.05,-0.25,238100.00,0.72
2000-01-12,0.01,0.01,,1.05,5.31,0.03,0.15,236250.00,0.95
2000-01-13,0.08,0.08,,2.09,9.76,-0.08,-0.40,257522.00,1.66
2000-01-14,-0.04,-0.04,,1.41,6.83,-0.06,-0.28,243450.00,0.48
2000-01-18,-0.07,-0.07,,1.78,9.24,-0.47,-2.28,240927.00,0.90
2000-01-19,0.12,0.11,,2.40,11.15,-0.05,-0.26,244283.00,1.15
2000-01-20,-0.04,-0.04,,1.68,8.12,0.11,0.51,249823.00,1.27
2000-01-21,-0.10,-0.11,,1.80,9.71,-0.36,-1.74,247107.00,0.86
2000-01-24,0.03,0.03,,1.15,6.05,0.42,2.27,241687.00,0.69
2000-01-25,0.01,0.01,,0.62,3.23,-0.11,-0.58,236681.00,0.68
2000-01-26,0.04,0.04,,1.20,6.00,-0.06,-0.31,236835.00,1.01
2000-01-27,-0.01,-0.01,,0.89,4.47,0.32,1.60,251483.00,1.99
2000-01-28,-0.01,-0.01,,0.68,3.46,-0.16,-0.80,242526.00,0.34
2000-01-31,0.01,0.01,,0.78,3.92,-0.47,-2.39,233185.00,0.24
2000-02-01,0.03,0.03,1.00,0.99,4.82,0.00,0.00,231555.00,0.81
2000-02-02,0.06,0.06,0.98,1.83,8.42,-0.37,-1.80,225585.00,0.94
2000-02-03,0.00,0.00,0.96,0.68,3.12,0.05,0.23,222135.00,1.00
2000-02-04,0.07,0.07,0.85,0.89,3.83,1.26,5.79,215045.00,0.89
2000-02-07,-0.01,-0.01,0.82,0.42,1.82,0.00,0.00,212235.00,0.36
2000-02-08,0.01,0.01,0.80,0.79,3.40,0.11,0.48,210265.00,0.71
2000-02-09,-0.01,-0.01,0.81,0.52,2.26,-0.42,-1.81,211065.00,0.88
2000-02-10,0.02,0.02,0.81,0.94,4.00,-0.05,-0.22,207005.00,0.69
2000-02-11,0.00,0.00,0.76,0.94,4.00,-0.10,-0.43,194845.00,0.95
2000-02-14,-0.02,-0.02,0.75,0.63,2.72,-0.21,-0.89,193710.00,0.49
2000-02-15,-0.01,-0.01,0.70,0.41,1.78,-0.31,-1.34,193575.00,1.10
2000-02-16,-0.08,-0.09,0.65,2.20,10.45,-0.05,-0.22,192040.00,1.30
2000-02-17,0.08,0.08,0.70,1.10,4.83,0.89,4.23,179185.00,0.33
2000-02-18,-0.04,-0.04,0.60,1.57,7.21,0.00,0.00,170645.00,0.24
2000-02-22,0.04,0.04,0.61,1.31,5.80,0.00,0.00,176745.00,1.63
2000-02-23,-0.03,-0.03,0.62,2.10,9.56,0.16,0.71,177230.00,0.97
2000-02-24,-0.01,-0.01,0.61,0.79,3.62,-0.13,-0.59,178375.00,1.47
2000-02-25,0.00,0.00,0.61,1.10,5.03,-0.16,-0.73,159625.00,0.79
2000-02-28,0.00,0.00,0.60,1.15,5.25,0.00,0.00,160260.00,0.59
2000-02-29,0.02,0.02,0.60,0.73,3.27,0.00,0.00,168740.00,1.34
2000-03-01,-0.02,-0.02,0.60,0.79,3.63,-0.11,-0.49,165560.00,0.74
2000-03-02,-0.05,-0.05,0.59,1.15,5.53,-0.10,-0.46,156860.00,0.24
2000-03-03,0.09,0.08,0.67,1.67,7.38,0.36,1.73,150620.00,0.65
2000-03-06,-0.06,-0.06,0.66,2.09,9.78,0.00,0.00,145615.00,0.62
2000-03-07,0.02,0.02,0.66,0.84,3.85,-0.21,-0.98,146885.00,0.70
2000-03-08,-0.01,-0.01,0.66,0.94,4.33,-0.16,-0.73,143615.00,0.58
2000-03-09,0.03,0.03,0.67,0.94,4.19,0.00,0.00,135790.00,0.22
2000-03-10,-0.06,-0.06,0.70,1.15,5.46,-0.21,-0.94,137085.00,1.23
2000-03-13,0.00,0.00,0.70,0.78,3.69,-0.31,-1.47,152555.00,3.24
2000-03-14,-0.03,-0.04,0.71,1.20,5.88,0.00,0.00,151315.00,0.46
2000-03-15,0.05,0.04,0.73,1.05,4.92,0.11,0.54,152400.00,1.54
2000-03-16,0.02,0.02,0.67,1.05,4.80,0.00,0.00,144920.00,0.70
2000-03-17,0.01,0.01,0.60,0.95,4.30,-0.53,-2.42,147505.00,0.75
2000-03-20,-0.02,-0.02,0.58,0.32,1.48,-0.42,-1.90,150800.00,0.71
2000-03-21,0.01,0.01,0.57,0.57,2.60,0.05,0.23,139475.00,0.44
2000-03-22,0.01,0.01,0.56,0.84,3.78,0.26,1.19,136420.00,0.81
2000-03-23,-0.02,-0.02,0.57,0.89,4.09,0.05,0.23,125765.00,0.39
2000-03-24,0.01,0.01,0.57,0.47,2.15,0.00,0.00,126045.00,1.04
2000-03-27,-0.13,-0.14,0.74,3.45,18.20,-0.53,-2.42,125165.00,0.61
2000-03-28,0.08,0.07,0.79,2.93,14.35,-0.06,-0.32,120305.00,1.06
2000-03-29,0.05,0.04,0.81,1.88,8.80,0.11,0.54,117605.00,0.59
2000-03-30,-0.03,-0.03,0.80,1.67,8.10,-0.21,-0.98,119410.00,0.61
2000-03-31,0.08,0.08,0.79,2.62,11.78,-0.73,-3.54,125195.00,1.71
2000-04-03,-0.00,-0.00,0.76,1.05,4.73,-0.31,-1.39,127105.00,1.01
2000-04-04,-0.01,-0.01,0.76,0.63,2.86,-0.10,-0.45,127310.00,0.84
2000-04-05,0.01,0.01,0.76,1.05,4.73,-0.13,-0.59,131380.00,1.25
2000-04-06,0.01,0.01,0.75,0.73,3.24,-0.10,-0.45,132240.00,0.36
2000-04-07,0.01,0.01,0.71,0.79,3.46,0.31,1.38,132990.00,1.38
2000-04-10,-0.01,-0.01,0.72,1.04,4.62,-0.10,-0.44,112175.00,0.69
2000-04-11,0.02,0.02,0.71,1.57,6.81,-0.32,-1.42,112050.00,0.60
2000-04-12,0.01,0.01,0.69,0.63,2.70,0.21,0.91,103215.00,0.56
2000-04-13,0.00,0.00,0.69,0.32,1.37,0.16,0.69,102915.00,0.92
2000-04-14,-0.04,-0.05,0.71,1.21,5.42,-0.15,-0.64,105195.00,1.49
2000-04-17,0.00,0.00,0.70,0.42,1.87,0.00,0.00,107240.00,1.38
2000-04-18,0.08,0.08,0.76,2.57,10.58,0.00,0.00,110380.00,1.12
2000-04-19,0.03,0.03,0.76,1.36,5.43,-0.16,-0.66,113560.00,1.53
2000-04-20,-0.20,-0.22,1.05,3.98,19.79,-2.62,-10.47,174125.00,7.24
2000-04-24,0.02,0.02,1.05,1.15,5.63,0.02,0.10,174275.00,0.77
2000-04-25,0.02,0.02,0.93,1.04,4.99,0.32,1.57,186375.00,1.71
2000-04-26,-0.01,-0.01,0.89,0.63,3.05,0.21,1.01,184670.00,0.51
2000-04-27,-0.01,-0.01,0.88,0.84,4.11,-0.15,-0.73,190980.00,1.02
2000-04-28,0.03,0.03,0.88,0.94,4.47,0.00,0.00,197900.00,1.07
2000-05-01,-0.02,-0.02,0.83,1.04,5.03,-0.05,-0.24,194830.00,0.78
2000-05-02,0.00,0.00,0.83,0.74,3.57,0.27,1.31,193200.00,0.50
2000-05-03,-0.04,-0.04,0.84,0.79,3.95,-0.20,-0.96,194705.00,0.70
2000-05-04,-0.01,-0.01,0.84,0.79,3.97,0.32,1.60,188645.00,0.23
2000-05-05,0.02,0.02,0.84,0.42,2.08,0.10,0.50,195660.00,0.96
2000-05-08,-0.04,-0.04,0.84,1.26,6.47,-0.02,-0.10,190940.00,0.46
2000-05-09,0.00,0.00,0.84,0.47,2.41,0.05,0.26,189250.00,0.23
2000-05-10,-0.02,-0.02,0.84,0.79,4.13,-0.11,-0.56,189540.00,0.38
2000-05-11,0.05,0.05,0.86,1.00,5.00,0.19,0.99,189850.00,0.34
2000-05-12,0.03,0.03,0.87,1.15,5.57,0.00,0.00,189305.00,0.44
2000-05-15,-0.03,-0.03,0.86,1.68,8.35,-0.42,-2.04,185980.00,0.48
2000-05-16,0.07,0.07,0.90,1.10,5.10,1.25,6.22,181490.00,0.32
2000-05-17,-0.00,-0.00,0.84,0.84,3.90,-0.36,-1.67,179070.00,0.42
2000-05-18,-0.04,-0.04,0.84,1.15,5.54,-0.05,-0.23,173620.00,0.37
2000-05-19,-0.04,-0.04,0.48,0.68,3.40,-0.37,-1.78,114795.00,0.73
2000-05-22,0.05,0.05,0.51,1.10,5.23,0.32,1.60,110520.00,0.44
2000-05-23,-0.03,-0.03,0.52,1.15,5.65,-0.63,-2.99,100785.00,1.23
2000-05-24,0.01,0.01,0.52,0.74,3.60,-0.21,-1.03,100350.00,0.85
2000-05-25,-0.01,-0.01,0.52,0.42,2.07,-0.21,-1.02,92420.00,0.40
2000-05-26,0.02,0.02,0.51,0.53,2.57,-0.05,-0.25,83965.00,0.51
