Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-09-17,,,,0.19,0.77,,,11200.00,1.00
2025-09-18,0.00,0.00,,0.02,0.08,-0.02,-0.08,5650.00,0.02
2025-09-19,-0.00,-0.00,,0.10,0.41,-0.04,-0.16,5033.00,0.76
2025-09-22,0.00,0.00,,0.02,0.08,-0.02,-0.08,3800.00,0.03
2025-09-23,-0.00,-0.00,,0.01,0.04,-0.01,-0.04,3240.00,0.31
2025-09-24,-0.00,-0.00,,0.04,0.16,-0.03,-0.12,2917.00,0.45
2025-09-25,-0.00,-0.00,,0.00,0.00,-0.04,-0.16,2500.00,0.00
2025-09-26,0.00,0.00,,0.04,0.16,0.04,0.16,2625.00,1.33
2025-09-29,0.00,0.00,,0.04,0.16,0.05,0.20,2400.00,0.25
2025-09-30,0.00,0.00,,0.04,0.16,-0.01,-0.04,2540.00,1.50
2025-10-01,0.00,0.00,,0.03,0.12,0.05,0.20,2464.00,0.69
2025-10-02,0.00,0.00,,0.09,0.37,0.04,0.16,3025.00,3.04
2025-10-03,-0.00,-0.00,,0.02,0.08,0.01,0.04,2808.00,0.07
2025-10-06,0.00,0.00,,0.04,0.16,-0.04,-0.16,2621.00,0.08
2025-10-07,0.00,0.00,,0.03,0.12,0.04,0.16,2467.00,0.12
2025-10-08,0.00,0.00,,0.13,0.53,0.02,0.08,2619.00,1.87
2025-10-09,0.00,0.00,,0.00,0.00,0.00,0.00,2471.00,0.04
2025-10-10,0.00,0.00,,0.03,0.12,0.06,0.24,2489.00,1.12
2025-10-13,0.00,0.00,,0.00,0.00,0.06,0.24,2358.00,0.00
2025-10-14,0.00,0.00,,0.09,0.36,-0.01,-0.04,2455.00,1.75
2025-10-15,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1900.00,0.05
2025-10-16,0.00,0.00,0.02,0.03,0.12,0.05,0.20,2060.00,1.60
2025-10-17,0.00,0.00,0.02,0.01,0.04,0.01,0.04,1890.00,0.21
2025-10-20,0.00,0.00,0.02,0.08,0.32,0.05,0.20,3195.00,8.20
2025-10-21,0.00,0.00,0.02,0.11,0.44,0.01,0.04,3920.00,3.95
2025-10-22,-0.00,-0.00,0.03,0.10,0.40,0.00,0.00,4925.00,4.35
2025-10-23,0.00,0.00,0.02,0.15,0.60,-0.02,-0.08,5665.00,2.61
2025-10-24,0.00,0.00,0.02,0.08,0.32,0.01,0.04,5765.00,0.95
2025-10-27,0.00,0.00,0.02,0.02,0.08,0.00,0.00,5880.00,0.49
2025-10-28,0.00,0.00,0.02,0.04,0.16,0.04,0.16,5925.00,0.79
2025-10-29,-0.01,-0.01,0.03,0.11,0.44,-0.05,-0.20,5995.00,0.52
2025-10-30,0.00,0.00,0.03,0.08,0.32,-0.01,-0.04,5795.00,0.90
2025-10-31,0.00,0.00,0.03,0.06,0.24,0.05,0.20,5840.00,0.19
2025-11-03,-0.00,-0.00,0.04,0.01,0.04,-0.04,-0.16,5920.00,0.30
2025-11-04,0.00,0.00,0.04,0.01,0.04,0.06,0.24,5970.00,0.22
2025-11-05,-0.00,-0.00,0.04,0.03,0.12,-0.09,-0.36,5810.00,0.29
2025-11-06,0.00,0.00,0.04,0.00,0.00,0.03,0.12,5815.00,0.03
2025-11-07,0.00,0.00,0.04,0.04,0.16,0.04,0.16,5775.00,0.35
2025-11-10,0.00,0.00,0.04,0.10,0.40,0.02,0.08,6460.00,2.12
2025-11-11,0.00,0.00,0.04,0.11,0.44,0.05,0.20,10220.00,7.78
2025-11-12,-0.00,-0.00,0.04,0.03,0.12,-0.03,-0.12,10430.00,0.41
2025-11-13,-0.00,-0.00,0.04,0.13,0.52,-0.06,-0.24,10645.00,0.71
2025-11-14,-0.00,-0.00,0.04,0.06,0.24,-0.03,-0.12,10825.00,0.37
2025-11-17,0.00,0.00,0.04,0.11,0.44,0.08,0.32,10310.00,1.54
2025-11-18,0.00,0.00,0.04,0.13,0.52,0.05,0.20,11475.00,3.38
2025-11-19,-0.00,-0.00,0.04,0.07,0.28,0.02,0.08,10705.00,0.56
2025-11-20,0.00,0.00,0.04,0.20,0.80,-0.04,-0.16,14535.00,6.29
2025-11-21,0.00,0.00,0.04,0.06,0.24,0.02,0.08,14365.00,0.15
2025-11-24,0.00,0.00,0.04,0.04,0.16,0.02,0.08,14410.00,0.26
2025-11-25,0.00,0.00,0.04,0.17,0.68,-0.02,-0.08,14615.00,0.60
2025-11-26,0.00,0.00,0.03,0.15,0.60,0.07,0.28,15975.00,1.90
2025-11-28,-0.00,-0.00,0.03,0.17,0.68,-0.04,-0.16,17255.00,1.78
2025-12-01,-0.00,-0.00,0.04,0.09,0.36,-0.14,-0.56,17430.00,0.26
2025-12-02,-0.00,-0.00,0.03,0.10,0.40,-0.03,-0.12,23535.00,5.26
2025-12-03,-0.00,-0.00,0.03,0.16,0.64,0.02,0.08,23895.00,0.36
2025-12-04,0.00,0.00,0.03,0.04,0.16,0.02,0.08,23910.00,0.08
2025-12-05,0.00,0.00,0.03,0.07,0.28,0.02,0.08,26240.00,1.78
2025-12-08,0.00,0.00,0.03,0.08,0.32,0.01,0.04,27175.00,0.76
2025-12-09,-0.00,-0.00,0.03,0.19,0.76,0.04,0.16,27335.00,0.62
2025-12-10,0.00,0.00,0.03,0.06,0.24,0.01,0.04,23530.00,0.14
2025-12-11,0.00,0.00,0.03,0.04,0.16,0.05,0.20,23385.00,0.06
2025-12-12,-0.00,-0.00,0.03,0.11,0.44,-0.05,-0.20,23980.00,0.81
