Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2016-01-04,,,,0.23,1.14,,,7600.00,1.00
2016-01-05,0.00,0.00,,0.13,0.64,-0.02,-0.10,4850.00,0.43
2016-01-06,-0.02,-0.02,,0.23,1.16,-0.23,-1.14,9400.00,1.97
2016-01-07,-0.02,-0.02,,0.25,1.29,-0.32,-1.61,8975.00,0.86
2016-01-08,-0.01,-0.01,,0.30,1.56,0.06,0.31,8800.00,0.92
2016-01-11,-0.02,-0.02,,0.29,1.53,-0.07,-0.36,9183.00,1.21
2016-01-12,0.01,0.01,,0.39,2.05,0.25,1.32,8657.00,0.64
2016-01-13,-0.01,-0.01,,0.31,1.65,0.05,0.26,8500.00,0.87
2016-01-14,-0.00,-0.00,,0.35,1.87,-0.12,-0.64,8200.00,0.71
2016-01-15,-0.01,-0.01,,0.42,2.27,-0.45,-2.40,7870.00,0.62
2016-01-19,-0.01,-0.01,,0.56,3.05,0.29,1.57,8464.00,1.70
2016-01-20,0.00,0.00,,0.78,4.24,-0.23,-1.25,9850.00,2.55
2016-01-21,0.00,0.00,,0.33,1.79,-0.09,-0.49,9800.00,0.94
2016-01-22,0.02,0.02,,0.18,0.96,0.23,1.25,9714.00,0.89
2016-01-25,-0.02,-0.02,,0.34,1.85,-0.07,-0.37,9640.00,0.89
2016-01-26,0.02,0.02,,0.36,1.91,0.21,1.14,9431.00,0.67
2016-01-27,-0.01,-0.01,,0.27,1.45,-0.03,-0.16,9094.00,0.41
2016-01-28,0.01,0.01,,0.17,0.91,0.18,0.97,8789.00,0.41
2016-01-29,0.04,0.04,,0.61,3.12,0.16,0.85,8511.00,0.41
2016-02-01,-0.00,-0.00,,0.14,0.72,-0.11,-0.56,8555.00,1.10
2016-02-02,-0.02,-0.02,0.27,0.14,0.74,-0.31,-1.59,8240.00,0.16
2016-02-03,0.01,0.01,0.27,0.27,1.41,0.18,0.95,8940.00,1.80
2016-02-04,0.01,0.01,0.27,0.29,1.50,0.04,0.21,8280.00,0.64
2016-02-05,-0.01,-0.01,0.26,0.14,0.73,-0.16,-0.83,8055.00,0.40
2016-02-08,-0.02,-0.02,0.26,0.15,0.80,-0.28,-1.46,7955.00,0.77
2016-02-09,0.01,0.01,0.26,0.34,1.80,-0.08,-0.43,7895.00,1.25
2016-02-10,-0.01,-0.01,0.26,0.24,1.28,0.09,0.48,7795.00,0.45
2016-02-11,-0.01,-0.01,0.26,0.21,1.13,-0.26,-1.38,8160.00,1.80
2016-02-12,0.01,0.01,0.26,0.23,1.22,0.03,0.16,8225.00,0.86
2016-02-16,0.02,0.02,0.26,0.29,1.50,0.24,1.27,8330.00,0.84
2016-02-17,0.01,0.01,0.26,0.00,0.00,0.25,1.29,7625.00,0.04
2016-02-18,-0.00,-0.00,0.26,0.09,0.46,-0.02,-0.10,6965.00,1.71
2016-02-19,-0.00,-0.00,0.27,0.47,2.42,0.28,1.43,6870.00,1.06
2016-02-22,0.01,0.01,0.26,0.11,0.56,0.24,1.23,6775.00,0.99
2016-02-23,-0.01,-0.01,0.25,0.09,0.46,-0.15,-0.76,6590.00,0.74
2016-02-24,0.00,0.00,0.24,0.14,0.71,-0.09,-0.46,6425.00,0.47
2016-02-25,0.02,0.02,0.24,0.14,0.70,0.23,1.17,6465.00,0.70
2016-02-26,0.00,0.00,0.24,0.13,0.65,0.09,0.45,6825.00,1.58
2016-02-29,0.01,0.01,0.19,0.19,0.95,0.06,0.30,7110.00,1.29
2016-03-01,0.01,0.01,0.19,0.19,0.94,0.02,0.10,6875.00,0.68
2016-03-02,0.01,0.01,0.17,0.15,0.73,0.09,0.44,7615.00,2.11
2016-03-03,0.01,0.01,0.17,0.20,0.96,0.12,0.59,7045.00,0.67
2016-03-04,0.01,0.01,0.17,0.29,1.39,0.04,0.19,7100.00,0.90
2016-03-07,0.02,0.02,0.16,0.23,1.08,0.10,0.48,7035.00,0.27
2016-03-08,-0.02,-0.02,0.16,0.24,1.15,-0.12,-0.56,6860.00,0.38
2016-03-09,0.00,0.00,0.16,0.06,0.29,0.08,0.38,6805.00,1.29
2016-03-10,-0.01,-0.01,0.16,0.24,1.15,-0.01,-0.05,6740.00,0.33
2016-03-11,0.02,0.02,0.16,0.15,0.71,0.28,1.35,6190.00,0.60
2016-03-14,-0.00,-0.00,0.16,0.07,0.33,-0.01,-0.05,5885.00,0.17
2016-03-15,-0.01,-0.01,0.15,0.11,0.53,-0.07,-0.33,5670.00,0.48
2016-03-16,0.01,0.01,0.15,0.29,1.37,-0.03,-0.14,5830.00,0.60
2016-03-17,0.02,0.02,0.16,0.49,2.27,-0.01,-0.05,5600.00,1.30
2016-03-18,0.01,0.01,0.16,0.22,1.01,-0.09,-0.42,6175.00,3.04
