Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2016-09-29,,,,0.06,0.54,,,1500.00,1.00
2016-09-30,0.00,0.00,,0.00,0.00,0.00,0.00,750.00,0.00
2016-10-03,0.01,0.01,,0.00,0.00,0.06,0.54,833.00,1.20
2016-10-04,0.00,0.00,,0.00,0.00,0.00,0.00,625.00,0.00
2016-10-05,-0.00,-0.00,,0.00,0.00,-0.02,-0.18,1000.00,2.50
2016-10-06,0.00,0.00,,0.00,0.00,0.02,0.18,883.00,0.34
2016-10-07,0.00,0.00,,0.00,0.00,0.00,0.00,757.00,0.00
2016-10-10,0.01,0.01,,0.37,3.27,0.04,0.36,1288.00,3.88
2016-10-11,-0.02,-0.02,,0.00,0.00,-0.22,-1.95,1200.00,0.42
2016-10-12,-0.01,-0.01,,0.08,0.73,0.01,0.09,1580.00,3.16
2016-10-13,-0.00,-0.00,,0.04,0.36,-0.01,-0.09,1555.00,0.84
2016-10-14,0.00,0.00,,0.01,0.09,0.00,0.00,1692.00,1.89
2016-10-17,-0.00,-0.00,,0.00,0.00,-0.05,-0.45,1623.00,0.49
2016-10-18,-0.00,-0.00,,0.03,0.27,-0.02,-0.18,1786.00,2.18
2016-10-19,0.00,0.00,,0.00,0.00,0.00,0.00,1667.00,0.00
2016-10-20,0.00,0.00,,0.06,0.55,0.00,0.00,1681.00,1.13
2016-10-21,0.00,0.00,,0.02,0.18,0.03,0.27,1629.00,0.49
2016-10-24,0.00,0.00,,0.00,0.00,0.00,0.00,1539.00,0.00
2016-10-25,0.00,0.00,,0.02,0.18,0.06,0.55,1568.00,1.34
2016-10-26,-0.00,-0.00,,0.96,8.74,-0.03,-0.27,2000.00,5.10
2016-10-27,-0.01,-0.01,0.10,0.08,0.73,0.02,0.18,2145.00,2.05
2016-10-28,0.00,0.00,0.10,0.00,0.00,0.00,0.00,2145.00,0.00
2016-10-31,-0.01,-0.01,0.10,0.05,0.46,-0.06,-0.55,2140.00,0.42
2016-11-01,0.00,0.00,0.10,0.00,0.00,0.00,0.00,2140.00,0.00
2016-11-02,-0.01,-0.01,0.11,0.00,0.00,-0.16,-1.47,2115.00,0.95
2016-11-03,-0.01,-0.01,0.11,0.03,0.28,-0.14,-1.31,2210.00,1.00
2016-11-04,-0.00,-0.00,0.11,0.04,0.38,-0.04,-0.38,2285.00,0.66
2016-11-07,0.00,0.00,0.10,0.10,0.95,0.06,0.57,2185.00,1.37
2016-11-08,0.01,0.01,0.09,0.00,0.00,0.13,1.23,2175.00,0.14
2016-11-09,0.01,0.01,0.10,0.03,0.28,0.05,0.47,1955.00,0.31
2016-11-10,-0.00,-0.00,0.10,0.08,0.74,0.02,0.19,2245.00,3.16
2016-11-11,-0.01,-0.01,0.10,0.00,0.00,-0.08,-0.74,2115.00,0.28
2016-11-14,-0.00,-0.00,0.10,0.04,0.38,-0.01,-0.09,2765.00,4.99
