Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2016-01-04,,,,0.37,1.72,,,394400.00,1.00
2016-01-05,-0.01,-0.01,,0.20,0.94,-0.17,-0.79,226250.00,0.26
2016-01-06,-0.01,-0.02,,0.21,1.00,-0.33,-1.55,206700.00,0.81
2016-01-07,-0.02,-0.02,,0.21,1.01,-0.29,-1.38,185250.00,0.65
2016-01-08,-0.01,-0.01,,0.44,2.15,0.12,0.58,188740.00,1.07
2016-01-11,0.00,0.00,,0.28,1.36,0.16,0.78,180017.00,0.76
2016-01-12,0.01,0.01,,0.28,1.35,0.18,0.88,182686.00,1.09
2016-01-13,-0.02,-0.02,,0.56,2.76,0.05,0.24,169100.00,0.44
2016-01-14,-0.00,-0.00,,0.31,1.53,-0.06,-0.30,166333.00,0.87
2016-01-15,-0.04,-0.04,,0.31,1.59,-0.56,-2.76,166760.00,1.02
2016-01-19,0.01,0.01,,0.27,1.37,0.23,1.18,164636.00,0.87
2016-01-20,-0.02,-0.02,,0.44,2.28,-0.34,-1.73,168350.00,1.24
2016-01-21,0.01,0.01,,0.39,2.01,-0.10,-0.52,160915.00,0.45
2016-01-22,0.03,0.02,,0.15,0.75,0.39,2.01,158221.00,0.78
2016-01-25,-0.01,-0.01,,0.15,0.76,-0.07,-0.35,152073.00,0.43
2016-01-26,0.02,0.02,,0.30,1.49,0.10,0.50,156494.00,1.42
2016-01-27,-0.01,-0.01,,0.29,1.45,-0.07,-0.35,149965.00,0.30
2016-01-28,0.01,0.01,,0.24,1.19,0.23,1.15,146978.00,0.65
2016-01-29,0.01,0.01,,0.30,1.47,-0.07,-0.35,141863.00,0.35
2016-02-01,0.01,0.01,,0.25,1.22,-0.03,-0.15,139760.00,0.71
2016-02-02,-0.02,-0.02,0.24,0.23,1.15,-0.24,-1.17,124825.00,0.77
2016-02-03,0.01,0.01,0.25,0.41,2.01,0.18,0.90,125835.00,0.62
2016-02-04,-0.00,-0.00,0.25,0.17,0.84,-0.14,-0.69,124030.00,1.06
2016-02-05,-0.02,-0.02,0.25,0.35,1.75,-0.07,-0.34,121865.00,0.64
2016-02-08,-0.03,-0.04,0.27,0.28,1.45,-0.55,-2.75,119615.00,1.32
2016-02-09,-0.01,-0.01,0.27,0.43,2.24,-0.46,-2.38,116380.00,0.62
2016-02-10,0.01,0.01,0.27,0.14,0.72,0.23,1.20,110420.00,0.72
2016-02-11,-0.01,-0.02,0.27,0.27,1.42,-0.24,-1.24,123570.00,2.73
2016-02-12,0.01,0.01,0.28,0.25,1.30,0.06,0.31,122545.00,1.01
2016-02-16,0.02,0.02,0.25,0.19,0.97,0.33,1.71,116475.00,0.42
2016-02-17,0.02,0.02,0.27,0.21,1.04,0.31,1.58,112160.00,0.51
2016-02-18,-0.00,-0.00,0.25,0.17,0.84,0.12,0.60,106835.00,0.96
2016-02-19,0.00,0.00,0.25,0.18,0.89,-0.12,-0.60,111300.00,1.45
2016-02-22,0.00,0.00,0.24,0.10,0.50,-0.01,-0.05,113525.00,1.48
2016-02-23,-0.01,-0.01,0.24,0.23,1.15,-0.03,-0.15,113530.00,0.58
2016-02-24,-0.01,-0.01,0.23,0.37,1.87,-0.33,-1.66,111120.00,1.57
2016-02-25,0.01,0.01,0.23,0.23,1.15,0.11,0.56,114450.00,0.98
2016-02-26,-0.00,-0.00,0.23,0.18,0.90,0.06,0.30,112895.00,0.58
2016-02-29,-0.00,-0.00,0.23,0.16,0.80,0.00,0.00,112300.00,0.34
2016-03-01,0.02,0.02,0.24,0.25,1.22,0.35,1.75,110560.00,0.59
2016-03-02,-0.00,-0.00,0.23,0.15,0.74,-0.17,-0.83,108700.00,0.54
2016-03-03,0.01,0.01,0.23,0.27,1.31,0.08,0.39,107350.00,0.48
2016-03-04,0.01,0.01,0.23,0.21,1.01,0.07,0.34,107690.00,1.28
2016-03-07,0.00,0.00,0.22,0.28,1.35,-0.14,-0.67,108070.00,0.79
2016-03-08,-0.02,-0.02,0.19,0.22,1.08,-0.20,-0.96,104915.00,0.90
2016-03-09,0.00,0.00,0.19,0.13,0.64,0.03,0.15,106275.00,0.93
