Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2016-01-04,,,,0.60,3.44,,,90700.00,1.00
2016-01-05,-0.00,-0.00,,0.27,1.55,0.07,0.40,83250.00,0.91
2016-01-06,-0.00,-0.00,,0.39,2.25,-0.23,-1.32,86900.00,1.08
2016-01-07,-0.01,-0.02,,0.22,1.29,-0.26,-1.50,99100.00,1.37
2016-01-08,-0.01,-0.01,,0.42,2.48,0.20,1.17,115440.00,1.57
2016-01-11,-0.00,-0.00,,0.30,1.77,0.09,0.53,119133.00,1.16
2016-01-12,-0.00,-0.00,,0.36,2.13,0.06,0.35,123929.00,1.23
2016-01-13,-0.02,-0.02,,0.67,4.04,0.08,0.47,135275.00,1.59
2016-01-14,0.01,0.01,,0.43,2.58,0.07,0.42,130500.00,0.71
2016-01-15,-0.02,-0.02,,0.41,2.52,-0.44,-2.64,150880.00,2.22
2016-01-19,0.00,0.00,,0.26,1.60,0.11,0.68,151282.00,1.03
2016-01-20,-0.02,-0.02,,0.76,4.75,-0.22,-1.35,160567.00,1.64
2016-01-21,-0.02,-0.02,,0.43,2.74,0.02,0.12,160623.00,1.00
2016-01-22,0.02,0.02,,0.25,1.57,0.17,1.08,169014.00,1.65
2016-01-25,-0.03,-0.03,,0.51,3.28,-0.03,-0.19,167980.00,0.91
2016-01-26,0.02,0.02,,0.56,3.54,0.00,0.00,169588.00,1.14
2016-01-27,0.01,0.01,,0.58,3.64,-0.01,-0.06,174771.00,1.47
2016-01-28,0.03,0.03,,0.61,3.71,0.19,1.19,177456.00,1.26
2016-01-29,0.03,0.03,,0.49,2.90,0.02,0.12,184663.00,1.70
2016-02-01,-0.01,-0.01,,1.10,6.59,-0.12,-0.71,184540.00,0.99
2016-02-02,-0.01,-0.01,0.26,0.29,1.75,-0.14,-0.84,186765.00,0.72
2016-02-03,0.01,0.01,0.26,0.74,4.44,0.17,1.03,191650.00,0.91
2016-02-04,-0.00,-0.00,0.26,0.58,3.49,-0.07,-0.42,192935.00,0.62
2016-02-05,-0.01,-0.01,0.26,0.48,2.92,-0.02,-0.12,195180.00,0.93
2016-02-08,0.01,0.01,0.26,0.43,2.60,-0.16,-0.97,195135.00,0.92
2016-02-09,0.01,0.01,0.26,0.40,2.41,0.15,0.91,195690.00,0.76
2016-02-10,-0.01,-0.01,0.26,0.42,2.56,0.06,0.36,196355.00,0.85
2016-02-11,-0.02,-0.02,0.26,0.45,2.80,-0.33,-2.01,196565.00,1.11
2016-02-12,0.02,0.02,0.27,0.46,2.80,0.22,1.37,201840.00,0.98
2016-02-16,0.01,0.01,0.26,0.63,3.79,0.18,1.10,192320.00,0.75
2016-02-17,-0.00,-0.00,0.26,0.34,2.05,0.11,0.66,193385.00,0.91
2016-02-18,-0.01,-0.01,0.26,0.34,2.07,0.06,0.36,188060.00,0.83
2016-02-19,0.01,0.01,0.25,0.33,1.99,-0.06,-0.37,188270.00,0.88
2016-02-22,0.00,0.00,0.24,0.15,0.90,0.10,0.60,180035.00,0.63
2016-02-23,-0.02,-0.02,0.23,0.44,2.69,0.00,0.00,182300.00,1.09
2016-02-24,0.01,0.01,0.23,0.65,3.92,-0.19,-1.16,180725.00,0.90
