Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-10-24,,,,2.24,8.93,,,229700.00,1.00
2025-10-27,-0.00,-0.00,,0.12,0.48,-0.08,-0.32,190050.00,0.79
2025-10-28,-0.01,-0.01,,0.22,0.88,-0.12,-0.48,190600.00,1.01
2025-10-29,-0.02,-0.02,,0.82,3.37,0.04,0.16,147150.00,0.11
2025-10-30,-0.01,-0.01,,0.12,0.50,-0.05,-0.21,118000.00,0.01
2025-10-31,0.01,0.01,,0.28,1.14,0.45,1.86,99633.00,0.08
2025-11-03,-0.02,-0.02,,0.40,1.67,-0.12,-0.49,86986.00,0.13
2025-11-04,-0.04,-0.04,,0.56,2.43,-0.32,-1.34,77325.00,0.13
2025-11-05,0.03,0.03,,0.21,0.89,0.44,1.91,69722.00,0.13
2025-11-06,-0.01,-0.01,,0.26,1.11,-0.08,-0.34,64290.00,0.24
2025-11-07,0.02,0.02,,0.37,1.56,0.03,0.13,68145.00,1.57
2025-11-10,0.02,0.02,,0.38,1.57,0.14,0.59,62625.00,0.03
2025-11-11,-0.01,-0.01,,0.32,1.34,0.02,0.08,58269.00,0.10
2025-11-12,0.01,0.01,,0.03,0.12,0.28,1.17,54136.00,0.01
2025-11-13,-0.02,-0.02,,0.55,2.33,0.00,0.00,53600.00,0.86
2025-11-14,-0.02,-0.02,,0.26,1.13,-0.29,-1.23,50319.00,0.02
2025-11-17,-0.02,-0.02,,0.41,1.81,0.01,0.04,47512.00,0.05
2025-11-18,0.01,0.01,,0.37,1.61,0.02,0.09,45478.00,0.24
2025-11-19,-0.01,-0.01,,0.68,3.00,0.18,0.78,43416.00,0.15
2025-11-20,-0.01,-0.01,,0.48,2.14,0.20,0.88,41280.00,0.02
2025-11-21,-0.01,-0.01,0.27,0.31,1.40,-0.22,-0.98,30020.00,0.15
2025-11-24,0.03,0.03,0.31,0.52,2.28,0.35,1.58,22875.00,0.33
2025-11-25,-0.01,-0.01,0.31,0.16,0.71,-0.14,-0.61,13415.00,0.19
2025-11-26,0.02,0.02,0.31,0.43,1.86,0.05,0.22,12685.00,0.17
2025-11-28,0.02,0.02,0.31,0.09,0.38,0.41,1.78,12715.00,0.16
2025-12-01,-0.02,-0.02,0.31,0.26,1.13,-0.24,-1.02,12550.00,0.36
2025-12-02,0.02,0.02,0.31,0.33,1.40,0.15,0.65,12110.00,0.19
2025-12-03,0.01,0.01,0.29,0.06,0.25,0.13,0.55,11655.00,0.05
2025-12-04,-0.00,-0.00,0.27,0.12,0.51,-0.08,-0.34,11580.00,0.64
2025-12-05,-0.01,-0.01,0.27,0.00,0.00,-0.21,-0.89,11055.00,0.44
2025-12-08,0.01,0.01,0.26,0.16,0.68,0.10,0.43,5775.00,0.19
2025-12-09,0.02,0.02,0.27,0.64,2.66,0.05,0.21,15480.00,12.66
2025-12-10,0.00,0.00,0.26,0.45,1.86,-0.29,-1.20,15665.00,0.62
2025-12-11,0.00,0.00,0.26,0.21,0.87,-0.09,-0.37,16510.00,1.05
2025-12-12,-0.01,-0.01,0.25,0.82,3.43,0.33,1.36,14725.00,0.71
2025-12-15,-0.01,-0.01,0.24,0.26,1.10,-0.10,-0.42,14700.00,0.04
2025-12-16,0.00,0.00,0.23,0.10,0.42,0.11,0.46,14590.00,0.03
2025-12-17,0.01,0.01,0.22,0.29,1.21,0.44,1.85,14055.00,0.01
2025-12-18,-0.01,-0.01,0.22,0.43,1.81,0.20,0.83,13810.00,0.10
2025-12-19,0.02,0.02,0.23,0.27,1.11,0.39,1.64,37135.00,12.58
2025-12-22,0.01,0.01,0.22,0.15,0.61,0.43,1.77,37250.00,0.18
2025-12-23,0.01,0.01,0.19,0.13,0.52,0.18,0.73,36945.00,0.04
2025-12-24,-0.00,-0.00,0.19,0.36,1.45,-0.30,-1.21,37075.00,0.14
2025-12-26,0.03,0.03,0.20,0.12,0.47,0.51,2.06,36985.00,0.01
2025-12-29,-0.04,-0.04,0.25,0.34,1.40,-0.79,-3.11,37140.00,0.14
2025-12-30,0.01,0.01,0.25,0.17,0.69,0.44,1.81,36955.00,0.02
2025-12-31,-0.02,-0.02,0.25,0.32,1.32,-0.17,-0.69,36935.00,0.05
2026-01-02,0.02,0.02,0.26,0.22,0.89,0.47,1.94,37070.00,0.09
2026-01-05,0.04,0.04,0.30,0.21,0.81,0.99,4.01,36995.00,0.16
2026-01-06,0.01,0.01,0.30,0.35,1.34,0.40,1.55,38395.00,0.86
