Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2000-01-03,,,,0.34,13.28,,,33800.00,1.00
2000-01-04,0.22,0.20,,0.88,28.21,0.00,0.00,71850.00,1.53
2000-01-05,-0.04,-0.04,,0.63,21.00,0.26,8.33,58367.00,0.54
2000-01-06,0.00,0.00,,0.24,8.00,-0.12,-4.00,52075.00,0.64
2000-01-07,0.13,0.12,,0.81,23.96,-0.03,-1.00,53820.00,1.13
2000-01-10,-0.06,-0.06,,0.56,17.55,0.24,7.10,54800.00,1.09
2000-01-11,0.00,0.00,,0.43,13.48,0.06,1.88,49743.00,0.39
2000-01-12,0.02,0.02,,0.81,24.92,0.00,0.00,47475.00,0.67
2000-01-13,-0.06,-0.06,,0.50,16.34,0.00,0.00,45667.00,0.68
2000-01-14,-0.06,-0.06,,0.12,4.17,-0.06,-1.96,41460.00,0.09
2000-01-18,-0.11,-0.12,,0.38,14.84,-0.07,-2.43,40373.00,0.73
2000-01-19,0.05,0.05,,0.31,11.52,-0.03,-1.17,38933.00,0.59
2000-01-20,0.07,0.07,,0.75,26.04,0.12,4.46,40177.00,1.37
2000-01-21,0.00,0.00,,0.37,12.85,0.31,10.76,38093.00,0.29
2000-01-24,-0.05,-0.05,,0.50,18.18,0.37,12.85,38427.00,1.12
2000-01-25,0.05,0.05,,0.10,3.47,0.03,1.09,36081.00,0.02
2000-01-26,0.13,0.12,,0.47,14.46,0.12,4.17,34688.00,0.36
2000-01-27,-0.11,-0.12,,0.50,17.36,-0.13,-4.00,33311.00,0.30
2000-01-28,-0.05,-0.05,,0.38,13.82,0.00,0.00,32389.00,0.49
2000-01-31,0.07,0.07,,0.25,8.50,0.25,9.09,31245.00,0.30
2000-02-01,0.02,0.02,1.33,0.06,2.00,0.06,2.04,29920.00,0.24
2000-02-02,-0.08,-0.09,1.13,0.31,11.27,-0.03,-1.00,25780.00,1.05
2000-02-03,0.07,0.07,1.15,0.23,7.82,0.14,5.09,25720.00,1.17
2000-02-04,-0.06,-0.07,1.17,0.50,18.18,0.06,2.04,26940.00,2.14
2000-02-07,0.00,0.00,1.07,0.22,8.00,0.00,0.00,24215.00,0.26
2000-02-08,1.27,0.82,4.66,4.41,70.56,0.34,12.36,67875.00,13.74
2000-02-09,-0.28,-0.34,4.81,1.59,35.57,-0.81,-12.96,88110.00,4.81
2000-02-10,-0.05,-0.05,4.82,0.68,16.00,0.09,2.01,96995.00,2.16
2000-02-11,0.02,0.02,4.81,0.63,14.52,0.19,4.47,100420.00,0.99
2000-02-14,0.01,0.01,4.80,0.66,15.07,0.16,3.69,105945.00,1.08
2000-02-15,-0.06,-0.06,4.78,0.50,12.14,0.17,3.88,108070.00,0.67
2000-02-16,0.11,0.10,4.78,0.50,10.96,0.13,3.16,112465.00,0.99
2000-02-17,0.36,0.31,4.90,1.81,29.24,0.22,4.82,129335.00,3.03
2000-02-18,-0.09,-0.10,4.93,1.38,24.56,0.56,9.05,144555.00,2.18
2000-02-22,-0.15,-0.17,4.98,1.00,21.05,-0.28,-4.98,150685.00,1.10
2000-02-23,-0.03,-0.03,4.99,0.62,13.42,0.13,2.74,158815.00,1.03
2000-02-24,-0.05,-0.05,4.99,0.50,11.42,0.00,0.00,161325.00,0.39
2000-02-25,0.03,0.03,4.96,0.38,8.44,-0.07,-1.60,162450.00,0.20
2000-02-28,-0.06,-0.06,4.96,0.25,5.88,-0.16,-3.56,163470.00,0.22
2000-02-29,0.18,0.16,4.98,1.00,20.00,0.13,3.06,170320.00,0.86
2000-03-01,0.14,0.13,4.99,1.00,17.57,0.31,6.20,180675.00,1.19
2000-03-02,0.05,0.05,4.96,0.56,9.33,0.19,3.34,184055.00,0.51
2000-03-03,-0.01,-0.01,4.96,0.63,10.61,0.00,0.00,187995.00,0.58
2000-03-06,0.02,0.02,4.94,0.44,7.26,-0.19,-3.20,188420.00,0.35
2000-03-07,0.14,0.13,4.94,2.12,30.81,0.06,0.99,207000.00,1.83
2000-03-08,-0.04,-0.04,2.12,1.00,15.17,0.56,8.14,167735.00,0.88
2000-03-09,0.12,0.11,1.84,1.18,15.99,-0.15,-2.28,151125.00,0.61
2000-03-10,0.15,0.14,1.86,2.72,32.00,-0.13,-1.76,158430.00,2.24
2000-03-13,-0.06,-0.06,1.89,1.12,14.00,-0.12,-1.41,157425.00,0.51
2000-03-14,-0.16,-0.17,2.01,2.25,33.33,-0.38,-4.75,163840.00,1.48
2000-03-15,-0.03,-0.03,2.00,0.76,11.59,-0.09,-1.33,164510.00,0.52
2000-03-16,-0.09,-0.09,2.01,0.94,15.67,0.13,1.98,160845.00,0.23
2000-03-17,-0.07,-0.08,1.60,0.88,15.83,-0.81,-13.50,144935.00,0.51
2000-03-20,0.03,0.03,1.56,1.38,24.00,1.38,24.82,131925.00,0.42
2000-03-21,-0.05,-0.06,1.46,0.62,11.40,-0.25,-4.35,125655.00,0.32
2000-03-22,0.02,0.02,1.46,0.37,6.69,-0.19,-3.49,118430.00,0.16
2000-03-23,0.15,0.14,1.52,1.00,15.67,-0.03,-0.54,116755.00,0.25
2000-03-24,-0.09,-0.09,1.57,0.88,15.15,0.12,1.88,116335.00,0.21
2000-03-27,-0.06,-0.07,1.57,1.12,20.59,-0.19,-3.27,120135.00,0.93
2000-03-28,0.01,0.01,1.46,1.00,18.18,0.25,4.60,117325.00,0.77
2000-03-29,-0.05,-0.05,1.38,0.75,14.29,0.50,9.09,108970.00,0.43
2000-03-30,-0.08,-0.09,1.40,0.88,18.30,0.13,2.48,106830.00,0.49
2000-03-31,-0.06,-0.07,1.41,1.00,22.22,0.00,0.00,103305.00,0.37
2000-04-03,-0.00,-0.00,1.41,0.62,13.84,0.31,6.89,100955.00,0.19
2000-04-04,-0.05,-0.05,1.30,0.75,17.65,-0.17,-3.79,83810.00,0.42
2000-04-05,0.06,0.06,1.33,1.25,27.78,-0.31,-7.29,79650.00,0.81
2000-04-06,0.11,0.11,1.32,0.50,10.00,0.00,0.00,76630.00,0.41
2000-04-07,0.00,0.00,1.16,0.37,7.40,0.00,0.00,59595.00,0.25
2000-04-10,0.01,0.01,1.16,0.31,6.13,0.00,0.00,56280.00,0.24
2000-04-11,-0.04,-0.04,1.05,0.75,15.37,0.13,2.57,44905.00,0.33
2000-04-12,-0.07,-0.07,1.06,0.69,15.13,0.18,3.69,41655.00,0.49
2000-04-13,-0.04,-0.04,1.03,0.37,8.45,0.06,1.32,40985.00,0.59
2000-04-14,-0.16,-0.17,1.14,1.37,37.13,0.18,4.11,40495.00,1.59
2000-04-17,-0.15,-0.17,1.22,0.75,24.04,-0.31,-8.40,43935.00,2.82
2000-04-18,-0.02,-0.02,1.21,0.56,18.30,0.07,2.24,47960.00,2.52
2000-04-19,0.31,0.27,1.69,1.06,26.50,0.44,14.38,51620.00,1.79
2000-04-20,-0.03,-0.03,1.58,0.37,9.54,0.19,4.75,51120.00,0.37
2000-04-24,-0.08,-0.09,1.57,0.81,22.75,0.12,3.09,51005.00,0.43
2000-04-25,0.05,0.05,1.58,0.44,11.73,0.13,3.65,46000.00,0.26
2000-04-26,0.05,0.05,1.60,0.41,10.41,0.25,6.67,42125.00,0.30
2000-04-27,-0.03,-0.03,1.60,0.50,13.12,-0.38,-9.64,40440.00,0.34
2000-04-28,-0.08,-0.08,1.59,0.76,21.71,-0.06,-1.57,38885.00,0.53
2000-05-01,0.07,0.07,1.61,0.56,14.93,-0.12,-3.43,38690.00,0.89
2000-05-02,0.02,0.02,1.61,0.06,1.57,0.06,1.60,38410.00,0.35
2000-05-03,-0.05,-0.05,1.61,0.25,6.91,-0.25,-6.56,37025.00,0.20
2000-05-04,-0.02,-0.02,1.59,0.19,5.34,-0.12,-3.31,36310.00,1.38
2000-05-05,-0.04,-0.04,1.53,0.34,9.97,0.06,1.69,35095.00,0.21
2000-05-08,0.06,0.06,1.56,0.37,10.22,-0.10,-2.93,34715.00,0.20
2000-05-09,0.00,0.00,1.55,0.00,0.00,0.00,0.00,34050.00,0.00
2000-05-10,-0.09,-0.09,1.57,0.31,9.37,-0.12,-3.31,34080.00,0.45
2000-05-11,-0.04,-0.04,1.56,0.34,10.66,0.19,5.74,33540.00,0.29
2000-05-12,0.02,0.02,1.57,0.32,9.85,-0.07,-2.19,33115.00,0.48
2000-05-15,0.00,0.00,1.47,0.16,4.92,0.00,0.00,29945.00,0.04
2000-05-16,0.08,0.07,1.38,0.19,5.43,0.16,4.92,24160.00,0.34
2000-05-17,-0.05,-0.06,1.39,0.38,11.48,0.19,5.43,18265.00,0.16
2000-05-18,0.02,0.02,0.83,0.31,9.17,0.19,5.74,14115.00,0.65
2000-05-19,0.00,0.00,0.82,0.24,7.10,0.00,0.00,13265.00,0.16
2000-05-22,0.00,0.00,0.77,0.37,10.95,-0.07,-2.07,12610.00,0.68
2000-05-23,-0.09,-0.10,0.81,0.19,6.21,-0.13,-3.85,12070.00,0.11
2000-05-24,-0.04,-0.04,0.79,0.31,10.54,0.06,1.96,13920.00,3.58
2000-05-25,0.04,0.04,0.81,0.20,6.54,-0.08,-2.72,13720.00,0.70
2000-05-26,-0.18,-0.20,0.99,0.56,22.40,-0.06,-1.96,13235.00,0.84
2000-05-30,0.10,0.10,1.02,0.25,9.09,0.31,12.40,12075.00,0.94
2000-05-31,0.18,0.17,1.23,0.75,23.08,-0.19,-6.91,12375.00,1.58
2000-06-01,-0.04,-0.04,1.23,0.50,16.03,-0.25,-7.69,12485.00,0.76
2000-06-02,0.04,0.04,1.24,0.82,25.23,0.00,0.00,10680.00,1.31
2000-06-05,0.00,0.00,1.23,0.63,19.38,0.25,7.69,11190.00,1.55
2000-06-06,0.08,0.07,1.24,0.31,8.86,0.00,0.00,11385.00,0.97
2000-06-07,0.00,0.00,1.24,0.25,7.14,0.25,7.14,11470.00,0.15
2000-06-08,0.07,0.07,1.22,0.25,6.67,0.00,0.00,11065.00,0.67
2000-06-09,-0.03,-0.04,1.22,0.12,3.31,-0.25,-6.67,10815.00,0.43
2000-06-12,-0.09,-0.09,1.26,0.60,18.13,0.00,0.00,10880.00,1.57
2000-06-13,0.19,0.17,1.43,0.06,1.52,0.57,17.22,10980.00,0.28
2000-06-14,-0.10,-0.11,1.46,0.44,12.46,-0.38,-9.64,10815.00,0.46
2000-06-15,0.04,0.04,1.45,0.00,0.00,0.13,3.68,10765.00,0.18
2000-06-16,0.02,0.02,1.45,0.26,6.93,0.22,6.01,10465.00,0.31
2000-06-19,-0.03,-0.04,1.46,0.16,4.42,-0.16,-4.27,10565.00,0.39
2000-06-20,0.00,0.00,1.46,0.00,0.00,0.00,0.00,10180.00,0.09
