Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-03-07,,,,0.01,0.10,,,529400.00,1.00
2025-03-10,0.00,0.00,,0.02,0.20,-0.01,-0.10,265700.00,0.01
2025-03-11,0.00,0.00,,0.01,0.10,0.00,0.00,186567.00,0.15
2025-03-12,0.00,0.00,,0.01,0.10,-0.01,-0.10,141450.00,0.04
2025-03-13,0.00,0.00,,0.01,0.10,0.00,0.00,119480.00,0.26
2025-03-14,-0.00,-0.00,,0.01,0.10,0.00,0.00,130100.00,1.41
2025-03-17,0.00,0.00,,0.01,0.10,0.01,0.10,132614.00,1.11
2025-03-18,0.00,0.00,,0.02,0.20,0.00,0.00,356650.00,5.40
2025-03-19,0.00,0.00,,0.01,0.10,-0.01,-0.10,324844.00,0.22
2025-03-20,0.00,0.00,,0.01,0.10,0.00,0.00,304830.00,0.41
2025-03-21,0.00,0.00,,0.00,0.00,0.00,0.00,277218.00,0.00
2025-03-24,0.00,0.00,,0.01,0.10,0.01,0.10,264050.00,0.45
2025-03-25,0.00,0.00,,0.01,0.10,0.00,0.00,249977.00,0.32
2025-03-26,0.00,0.00,,0.05,0.50,0.00,0.00,262857.00,1.64
2025-03-27,0.00,0.00,,0.00,0.00,0.00,0.00,246507.00,0.07
2025-03-28,0.00,0.00,,0.01,0.10,-0.01,-0.10,251744.00,1.31
2025-03-31,0.00,0.00,,0.00,0.00,0.01,0.10,237306.00,0.03
2025-04-01,0.01,0.01,,0.06,0.60,0.00,0.00,224667.00,0.04
2025-04-02,0.00,0.00,,0.00,0.00,0.00,0.00,212842.00,0.00
2025-04-03,0.00,0.00,,0.04,0.40,-0.04,-0.40,205420.00,0.31
2025-04-04,-0.00,-0.00,0.02,0.01,0.10,-0.04,-0.40,179230.00,0.03
2025-04-07,-0.00,-0.00,0.02,0.04,0.40,0.01,0.10,179220.00,0.01
2025-04-08,0.00,0.00,0.02,0.03,0.30,0.03,0.30,177820.00,0.00
2025-04-09,0.00,0.00,0.02,0.00,0.00,0.01,0.10,178860.00,0.15
2025-04-10,0.00,0.00,0.02,0.00,0.00,0.00,0.00,177315.00,0.00
2025-04-11,0.00,0.00,0.02,0.02,0.20,-0.02,-0.20,168825.00,0.08
2025-04-14,0.00,0.00,0.02,0.02,0.20,-0.02,-0.20,162215.00,0.10
2025-04-15,0.00,0.00,0.02,0.01,0.10,-0.01,-0.10,69785.00,1.09
2025-04-16,0.00,0.00,0.02,0.02,0.20,0.01,0.10,66500.00,0.07
2025-04-17,0.00,0.00,0.02,0.01,0.10,0.03,0.30,60285.00,0.01
2025-04-21,0.02,0.02,0.07,0.20,1.97,-0.01,-0.10,60325.00,0.03
2025-04-22,0.00,0.00,0.07,0.20,1.97,-0.15,-1.48,54545.00,0.07
2025-04-23,-0.01,-0.01,0.08,0.25,2.50,0.05,0.49,50555.00,0.03
2025-04-24,-0.01,-0.01,0.09,0.04,0.40,-0.02,-0.20,29160.00,0.08
2025-04-25,0.00,0.00,0.09,0.00,0.00,0.01,0.10,28825.00,0.38
2025-04-28,0.00,0.00,0.09,0.02,0.20,-0.01,-0.10,21240.00,8.41
2025-04-29,0.00,0.00,0.09,0.02,0.20,0.01,0.10,22000.00,0.98
2025-04-30,0.00,0.00,0.09,0.00,0.00,0.00,0.00,21970.00,0.42
2025-05-01,0.00,0.00,0.09,0.00,0.00,0.01,0.10,22495.00,0.47
2025-05-02,0.00,0.00,0.09,0.00,0.00,0.00,0.00,19320.00,0.05
2025-05-05,0.00,0.00,0.08,0.02,0.20,0.00,0.00,19430.00,0.40
2025-05-06,-0.00,-0.00,0.08,0.01,0.10,-0.01,-0.10,19735.00,0.40
2025-05-07,-0.00,-0.00,0.08,0.02,0.20,0.01,0.10,19770.00,0.05
2025-05-08,0.00,0.00,0.08,0.00,0.00,0.01,0.10,18435.00,0.01
2025-05-09,0.00,0.00,0.08,0.00,0.00,0.00,0.00,18400.00,0.00
2025-05-12,0.00,0.00,0.08,0.00,0.00,0.01,0.10,18705.00,1.04
2025-05-13,0.00,0.00,0.08,0.00,0.00,0.00,0.00,17970.00,0.04
2025-05-14,0.00,0.00,0.08,0.00,0.00,0.00,0.00,14155.00,0.00
2025-05-15,0.00,0.00,0.08,0.00,0.00,0.00,0.00,13920.00,0.00
2025-05-16,0.00,0.00,0.08,0.00,0.00,0.00,0.00,13900.00,0.00
2025-05-19,0.00,0.00,0.05,0.02,0.20,0.01,0.10,23810.00,8.40
2025-05-20,0.00,0.00,0.05,0.00,0.00,0.00,0.00,23655.00,0.02
2025-05-21,0.00,0.00,0.03,0.00,0.00,0.00,0.00,23590.00,0.00
2025-05-22,0.00,0.00,0.01,0.00,0.00,0.00,0.00,23470.00,0.00
2025-05-23,0.00,0.00,0.01,0.00,0.00,0.00,0.00,22935.00,0.01
2025-05-27,0.00,0.00,0.01,0.00,0.00,0.00,0.00,14005.00,0.00
2025-05-28,-0.00,-0.00,0.02,0.00,0.00,-0.01,-0.10,13180.00,0.38
2025-05-29,0.00,0.00,0.02,0.00,0.00,0.00,0.00,12720.00,0.00
2025-05-30,0.00,0.00,0.02,0.01,0.10,0.01,0.10,12375.00,0.29
2025-06-02,0.00,0.00,0.02,0.01,0.10,-0.01,-0.10,13230.00,1.36
2025-06-03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,12840.00,0.00
2025-06-04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,12445.00,0.00
2025-06-05,0.00,0.00,0.01,0.01,0.10,0.02,0.20,12485.00,0.14
2025-06-06,0.00,0.00,0.01,0.01,0.10,0.02,0.20,12740.00,0.42
2025-06-09,0.00,0.00,0.01,0.00,0.00,0.01,0.10,12990.00,0.38
2025-06-10,0.00,0.00,0.01,0.00,0.00,0.00,0.00,12015.00,0.00
2025-06-11,0.00,0.00,0.01,0.00,0.00,0.00,0.00,11975.00,0.00
2025-06-12,-0.00,-0.00,0.01,0.00,0.00,-0.01,-0.10,11980.00,0.01
2025-06-13,0.00,0.00,0.01,0.00,0.00,0.00,0.00,11980.00,0.00
2025-06-16,0.00,0.00,0.01,0.01,0.10,0.00,0.00,12160.00,0.30
2025-06-17,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2155.00,0.00
2025-06-18,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2555.00,3.33
2025-06-20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2555.00,0.00
2025-06-23,0.00,0.00,0.01,0.00,0.00,0.02,0.20,2620.00,0.50
2025-06-24,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2610.00,0.00
2025-06-25,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2610.00,0.00
2025-06-26,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2360.00,0.00
2025-06-27,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2510.00,1.20
2025-06-30,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2330.00,0.00
2025-07-01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1430.00,0.00
2025-07-02,0.00,0.00,0.01,0.00,0.00,0.02,0.20,1510.00,1.06
2025-07-03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1510.00,0.00
