Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2014-09-12,,,,38850.00,72.27,,,6085.00,1.00
2014-09-15,0.45,0.37,,28425.60,36.44,12936.00,24.06,5722.00,0.94
2014-09-16,-0.01,-0.01,,24124.80,31.09,9072.00,11.63,5120.00,0.76
2014-09-17,-0.09,-0.09,,10027.50,14.17,924.00,1.19,4302.00,0.43
2014-09-18,-0.16,-0.18,,11046.00,18.62,-3738.00,-5.28,3690.00,0.34
2014-09-19,-0.02,-0.02,,5754.00,9.86,-1554.00,-2.62,3178.00,0.19
2014-09-22,0.14,0.13,,12222.00,18.35,-588.00,-1.01,2840.00,0.29
2014-09-23,-0.02,-0.02,,9408.00,14.41,6888.00,10.34,2658.00,0.52
2014-09-24,-0.03,-0.03,,6615.00,10.45,2016.00,3.09,2399.00,0.13
2014-09-25,0.01,0.01,,9114.00,14.23,-1071.00,-1.69,2194.00,0.16
2014-09-26,0.02,0.02,,3864.00,5.94,525.00,0.82,2005.00,0.06
2014-09-29,0.07,0.07,,7035.00,10.12,-630.00,-0.97,1877.00,0.25
2014-09-30,0.03,0.03,,6629.70,9.24,1890.00,2.72,1789.00,0.41
2014-10-01,-0.04,-0.04,,4494.00,6.54,294.00,0.41,1679.00,0.15
2014-10-02,-0.03,-0.03,,8022.00,12.07,1008.00,1.47,1590.00,0.21
2014-10-03,-0.02,-0.02,,5008.50,7.71,1386.00,2.09,1502.00,0.13
2014-10-06,-0.06,-0.06,,6069.00,9.90,168.00,0.26,1424.00,0.12
2014-10-07,-0.01,-0.01,,5565.00,9.17,-1050.00,-1.71,1356.00,0.15
2014-10-08,0.03,0.03,,4158.00,6.63,168.00,0.28,1292.00,0.10
2014-10-09,0.01,0.01,,6090.00,9.58,-483.00,-0.77,1241.00,0.23
2014-10-10,-0.04,-0.04,1.90,4842.60,7.95,-2436.00,-3.83,945.00,0.18
2014-10-13,-0.12,-0.12,1.03,6951.00,12.92,-2079.00,-3.41,691.00,0.38
2014-10-14,-0.01,-0.01,1.03,4071.90,7.61,294.00,0.55,501.00,0.24
2014-10-15,-0.02,-0.02,0.99,3607.80,6.90,-1008.00,-1.88,414.00,0.25
