Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-11-04,,,,0.30,2.58,,,1300.00,1.00
2025-11-05,0.01,0.01,,0.18,1.53,0.32,2.75,1550.00,1.16
2025-11-06,-0.04,-0.04,,0.44,3.89,-0.05,-0.42,10600.00,2.71
2025-11-07,-0.00,-0.00,,0.18,1.60,-0.03,-0.27,9875.00,0.78
2025-11-10,-0.01,-0.01,,0.24,2.15,0.14,1.24,9000.00,0.61
2025-11-11,-0.04,-0.04,,0.15,1.40,-0.34,-3.05,9550.00,1.29
2025-11-12,-0.01,-0.01,,0.33,3.12,0.17,1.59,9986.00,1.26
2025-11-13,-0.01,-0.01,,0.11,1.05,-0.04,-0.38,12375.00,2.35
2025-11-14,-0.02,-0.02,,0.17,1.66,-0.06,-0.57,13111.00,1.45
2025-11-17,-0.01,-0.01,,0.28,2.77,-0.18,-1.76,13500.00,1.26
2025-11-18,0.01,0.01,,0.18,1.76,-0.01,-0.10,12791.00,0.45
2025-11-19,-0.03,-0.03,,0.29,2.92,0.00,0.00,12008.00,0.28
2025-11-20,-0.02,-0.02,,0.70,7.19,0.15,1.51,12200.00,1.19
2025-11-21,0.00,0.00,,0.04,0.41,0.00,0.00,12114.00,0.91
2025-11-24,0.03,0.03,,0.25,2.50,0.02,0.21,12067.00,0.94
2025-11-25,0.00,0.00,,0.20,1.99,-0.01,-0.10,12000.00,0.92
2025-11-26,0.01,0.01,,0.13,1.28,0.05,0.50,13759.00,3.05
2025-11-28,-0.00,-0.00,,0.18,1.78,0.05,0.49,13594.00,0.79
2025-12-01,-0.02,-0.02,,0.34,3.42,-0.16,-1.58,13942.00,1.45
2025-12-02,0.02,0.02,,0.32,3.15,0.02,0.20,14705.00,1.99
2025-12-03,0.02,0.02,0.31,0.33,3.18,0.07,0.69,15915.00,1.60
2025-12-04,0.01,0.01,0.31,0.34,3.24,0.02,0.19,17635.00,2.05
2025-12-05,-0.02,-0.02,0.29,0.19,1.85,-0.12,-1.14,16655.00,0.55
2025-12-08,0.02,0.02,0.30,0.22,2.11,0.08,0.78,17665.00,1.58
2025-12-09,0.01,0.01,0.30,0.23,2.19,-0.04,-0.38,18115.00,0.80
2025-12-10,-0.02,-0.02,0.27,0.21,2.04,-0.14,-1.33,19295.00,1.86
2025-12-11,-0.00,-0.00,0.27,0.35,3.40,-0.13,-1.26,22555.00,3.45
2025-12-12,-0.02,-0.02,0.27,0.45,4.44,0.20,1.94,22265.00,1.05
2025-12-15,-0.04,-0.04,0.29,0.44,4.53,-0.11,-1.09,23615.00,1.95
2025-12-16,-0.01,-0.01,0.29,0.14,1.46,-0.04,-0.41,23705.00,0.79
2025-12-17,-0.02,-0.02,0.30,0.22,2.34,0.01,0.10,24120.00,0.58
2025-12-18,-0.01,-0.01,0.28,0.34,3.64,0.13,1.38,27100.00,2.32
2025-12-19,0.01,0.01,0.28,0.15,1.59,0.00,0.00,27655.00,0.93
2025-12-22,-0.02,-0.02,0.28,0.41,4.43,0.15,1.59,28730.00,1.13
2025-12-23,-0.02,-0.02,0.27,0.21,2.31,-0.07,-0.76,29100.00,0.65
2025-12-24,0.02,0.02,0.28,0.22,2.38,0.02,0.22,29510.00,0.65
2025-12-26,-0.03,-0.03,0.28,0.35,3.91,0.04,0.43,28110.00,0.49
2025-12-29,-0.02,-0.02,0.29,0.32,3.65,-0.11,-1.23,29085.00,1.04
2025-12-30,-0.02,-0.02,0.29,0.17,1.97,-0.01,-0.11,29380.00,0.89
2025-12-31,-0.03,-0.03,0.28,0.22,2.63,-0.13,-1.51,28745.00,0.57
2026-01-02,0.05,0.05,0.34,0.38,4.31,0.07,0.84,27925.00,0.33
2026-01-05,0.02,0.02,0.34,0.06,0.67,0.13,1.48,27415.00,0.95
2026-01-06,-0.01,-0.01,0.34,0.26,2.93,0.07,0.78,27845.00,0.64
2026-01-07,-0.01,-0.01,0.33,0.17,1.93,0.02,0.23,27025.00,0.43
2026-01-08,0.02,0.02,0.34,0.33,3.67,-0.08,-0.91,29265.00,2.03
2026-01-09,-0.01,-0.01,0.34,0.25,2.80,0.03,0.33,28795.00,0.92
2026-01-12,0.04,0.04,0.38,0.48,5.16,-0.01,-0.11,26215.00,1.00
2026-01-13,0.01,0.01,0.38,0.18,1.92,0.05,0.54,26540.00,1.12
2026-01-14,0.01,0.01,0.36,0.11,1.16,0.10,1.07,25700.00,1.14
2026-01-15,-0.01,-0.01,0.36,0.22,2.36,0.00,0.00,27790.00,2.18
2026-01-16,0.03,0.03,0.37,0.53,5.54,-0.03,-0.32,28040.00,0.68
2026-01-20,-0.06,-0.06,0.42,0.46,5.10,-0.25,-2.61,26745.00,1.39
2026-01-21,0.01,0.01,0.42,0.56,6.16,0.01,0.11,26775.00,0.98
2026-01-22,-0.03,-0.03,0.43,0.33,3.72,0.10,1.10,26470.00,1.00
2026-01-23,0.02,0.02,0.43,0.45,4.99,0.01,0.11,27355.00,1.33
2026-01-26,-0.04,-0.04,0.44,0.41,4.74,0.04,0.44,27380.00,0.72
2026-01-27,0.02,0.02,0.44,0.33,3.72,0.00,0.00,27435.00,0.55
2026-01-28,0.00,0.00,0.43,0.18,2.03,0.11,1.24,26995.00,0.80
2026-01-29,-0.02,-0.02,0.44,0.34,3.93,-0.12,-1.35,26445.00,0.57
2026-01-30,-0.02,-0.02,0.43,0.25,2.95,-0.08,-0.92,26955.00,0.99
