Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2007-02-06,,,,38.50,12.10,,,74886.00,1.00
2007-02-07,0.06,0.06,,26.25,7.77,2.80,0.88,43554.00,0.28
2007-02-08,0.02,0.02,,7.70,2.24,0.70,0.21,31666.00,0.25
2007-02-09,0.00,0.00,,5.25,1.52,2.10,0.61,24344.00,0.10
2007-02-12,-0.03,-0.03,,15.05,4.48,0.00,0.00,19873.00,0.10
2007-02-13,-0.02,-0.02,,8.75,2.66,-2.80,-0.83,16772.00,0.08
2007-02-14,-0.01,-0.01,,11.90,3.67,-5.25,-1.60,14616.00,0.11
2007-02-15,0.02,0.02,,9.80,2.95,0.00,0.00,12883.00,0.06
2007-02-16,-0.03,-0.03,,14.00,4.32,0.35,0.11,11587.00,0.11
2007-02-20,-0.02,-0.02,,10.50,3.30,-2.45,-0.76,10626.00,0.19
2007-02-21,-0.00,-0.00,,4.90,1.55,1.75,0.55,9689.00,0.03
2007-02-22,0.01,0.01,,5.60,1.75,4.90,1.55,8925.00,0.06
2007-02-23,-0.04,-0.04,,13.65,4.43,-1.40,-0.44,8375.00,0.21
2007-02-26,-0.01,-0.01,,7.00,2.29,-2.10,-0.68,7910.00,0.24
2007-02-27,-0.03,-0.03,,8.40,2.82,-8.40,-2.74,7492.00,0.22
2007-02-28,0.00,0.00,,15.05,5.04,0.70,0.24,7176.00,0.34
2007-03-01,-0.02,-0.02,,7.70,2.63,0.70,0.23,6809.00,0.14
2007-03-02,-0.01,-0.01,,6.65,2.30,-1.75,-0.60,6480.00,0.14
2007-03-05,-0.01,-0.01,,18.20,6.34,15.40,5.32,6212.00,0.22
2007-03-06,0.07,0.06,,19.25,6.29,17.50,6.10,5994.00,0.31
2007-03-07,-0.00,-0.00,0.44,9.80,3.20,0.70,0.23,2320.00,0.60
2007-03-08,-0.01,-0.01,0.37,10.50,3.45,8.40,2.75,1733.00,0.28
2007-03-09,0.01,0.01,0.36,10.85,3.51,6.65,2.19,1465.00,1.72
2007-03-12,0.02,0.02,0.37,4.20,1.33,5.60,1.81,1348.00,0.04
2007-03-13,-0.02,-0.02,0.37,7.70,2.50,0.00,0.00,1310.00,0.93
2007-03-14,0.02,0.02,0.38,25.90,8.22,0.00,0.00,1420.00,2.45
2007-03-15,-0.01,-0.01,0.37,10.15,3.24,-3.15,-1.00,1362.00,0.37
2007-03-16,0.02,0.02,0.37,9.10,2.84,2.80,0.89,1369.00,0.66
2007-03-19,0.02,0.02,0.37,23.80,7.31,24.50,7.65,1478.00,2.29
2007-03-20,-0.01,-0.01,0.36,9.80,3.04,4.20,1.29,1439.00,0.85
2007-03-21,-0.03,-0.03,0.37,12.60,4.01,1.05,0.33,1470.00,0.63
2007-03-22,-0.01,-0.01,0.37,14.35,4.59,-4.90,-1.56,1469.00,0.34
2007-03-23,0.00,0.00,0.35,6.65,2.13,5.25,1.68,1395.00,0.21
2007-03-26,-0.05,-0.05,0.39,14.70,4.94,-2.45,-0.78,1353.00,0.76
2007-03-27,0.02,0.02,0.38,13.65,4.51,15.05,5.05,1296.00,0.38
2007-03-28,-0.01,-0.01,0.38,5.60,1.88,-1.40,-0.46,1192.00,0.29
2007-03-29,0.02,0.02,0.38,4.90,1.61,7.35,2.46,1176.00,0.54
2007-03-30,-0.07,-0.07,0.45,32.20,11.40,10.50,3.46,1667.00,6.43
2007-04-02,0.04,0.04,0.47,15.40,5.26,4.55,1.61,1688.00,1.07
2007-04-03,-0.02,-0.02,0.41,9.10,3.17,-0.70,-0.24,1632.00,0.45
2007-04-04,0.02,0.02,0.42,10.50,3.58,-1.75,-0.61,1629.00,0.82
2007-04-05,0.02,0.02,0.42,8.75,2.94,4.20,1.43,1653.00,0.59
2007-04-09,-0.01,-0.01,0.42,13.65,4.63,3.15,1.06,1554.00,0.35
2007-04-10,-0.05,-0.05,0.45,15.40,5.51,-2.10,-0.71,1625.00,0.91
2007-04-11,0.03,0.03,0.46,14.70,5.12,-1.75,-0.63,1609.00,0.56
2007-04-12,0.02,0.02,0.45,11.20,3.83,0.00,0.00,1463.00,0.38
2007-04-13,0.01,0.01,0.45,14.00,4.76,-2.10,-0.72,1473.00,0.48
2007-04-16,0.02,0.02,0.45,8.05,2.67,0.00,0.00,1458.00,0.42
2007-04-17,0.00,0.00,0.45,6.65,2.20,0.00,0.00,1316.00,0.41
2007-04-18,0.02,0.02,0.46,12.25,3.96,0.35,0.12,1288.00,0.50
2007-04-19,-0.03,-0.03,0.46,8.05,2.67,-0.35,-0.11,1259.00,0.28
2007-04-20,0.02,0.02,0.47,4.55,1.48,6.30,2.09,1251.00,0.26
2007-04-23,-0.01,-0.01,0.47,5.25,1.72,-2.10,-0.68,1258.00,0.34
2007-04-24,0.00,0.00,0.43,7.00,2.29,5.95,1.95,1250.00,0.70
2007-04-25,-0.00,-0.00,0.43,7.35,2.41,3.15,1.03,1256.00,0.49
2007-04-26,0.00,0.00,0.43,2.45,0.80,0.00,0.00,1266.00,0.43
2007-04-27,0.00,0.00,0.42,22.40,7.31,-1.40,-0.46,1256.00,0.36
2007-04-30,-0.07,-0.07,0.42,21.35,7.48,0.00,0.00,749.00,0.76
2007-05-01,0.01,0.01,0.40,8.05,2.80,-0.35,-0.12,685.00,0.75
2007-05-02,0.04,0.04,0.42,19.25,6.42,24.85,8.64,661.00,0.37
2007-05-03,-0.01,-0.01,0.42,7.00,2.35,0.70,0.23,609.00,0.52
2007-05-04,-0.00,-0.00,0.42,12.60,4.26,-7.35,-2.47,580.00,0.67
2007-05-07,0.01,0.01,0.42,10.50,3.50,-2.10,-0.71,581.00,0.97
2007-05-08,0.01,0.01,0.37,6.65,2.19,3.85,1.28,529.00,0.81
2007-05-09,0.00,0.00,0.36,5.25,1.73,-0.35,-0.12,500.00,0.61
2007-05-10,-0.03,-0.03,0.37,8.05,2.74,-2.45,-0.81,540.00,2.55
2007-05-11,0.01,0.01,0.37,8.75,2.94,-2.10,-0.71,519.00,0.53
2007-05-14,-0.04,-0.05,0.40,17.85,6.28,4.20,1.41,558.00,2.48
2007-05-15,-0.01,-0.01,0.40,6.30,2.24,2.80,0.99,594.00,2.15
2007-05-16,-0.00,-0.00,0.38,10.50,3.74,1.75,0.62,613.00,1.67
2007-05-17,0.00,0.00,0.38,5.60,1.99,-3.50,-1.25,833.00,5.71
2007-05-18,0.01,0.01,0.37,6.65,2.33,1.05,0.37,878.00,1.40
2007-05-21,-0.00,-0.00,0.37,5.25,1.84,0.35,0.12,870.00,0.31
2007-05-22,0.00,0.00,0.37,8.05,2.82,1.40,0.49,956.00,2.71
2007-05-23,0.02,0.02,0.38,8.40,2.87,-0.70,-0.25,1019.00,1.84
2007-05-24,-0.02,-0.02,0.38,7.70,2.68,-2.10,-0.72,1024.00,0.63
2007-05-25,0.01,0.01,0.39,10.15,3.50,-6.65,-2.31,1033.00,0.60
2007-05-29,0.02,0.02,0.30,12.60,4.25,-5.25,-1.81,1038.00,0.66
2007-05-30,0.03,0.03,0.32,21.70,7.12,-2.10,-0.71,1066.00,1.00
2007-05-31,0.05,0.05,0.33,20.65,6.45,3.15,1.03,1341.00,4.28
2007-06-01,0.06,0.06,0.38,22.05,6.49,2.80,0.87,1429.00,1.46
2007-06-04,0.05,0.05,0.41,19.25,5.42,9.45,2.78,1629.00,2.69
2007-06-05,-0.12,-0.12,0.60,42.00,13.39,0.35,0.10,1866.00,2.84
2007-06-06,-0.05,-0.06,0.64,24.50,8.25,6.65,2.12,1980.00,1.37
2007-06-07,-0.01,-0.01,0.64,11.20,3.83,0.00,0.00,1997.00,0.33
2007-06-08,-0.01,-0.01,0.63,5.60,1.93,0.00,0.00,2018.00,0.88
2007-06-11,0.05,0.04,0.65,17.15,5.65,0.00,0.00,2171.00,1.54
2007-06-12,-0.04,-0.04,0.64,11.20,3.84,-2.45,-0.81,2119.00,0.17
2007-06-13,-0.01,-0.01,0.64,14.00,4.84,11.20,3.84,2096.00,0.39
2007-06-14,-0.01,-0.01,0.65,9.10,3.19,4.55,1.57,2066.00,0.21
2007-06-15,-0.01,-0.01,0.65,4.55,1.60,0.00,0.00,1887.00,0.63
2007-06-18,-0.00,-0.00,0.64,11.55,4.08,8.40,2.96,1854.00,0.31
2007-06-19,0.02,0.02,0.65,9.80,3.38,3.15,1.11,1867.00,0.28
2007-06-20,-0.02,-0.02,0.65,7.70,2.70,0.35,0.12,1755.00,0.20
2007-06-21,0.00,0.00,0.65,8.05,2.83,0.00,0.00,1716.00,0.65
2007-06-22,0.04,0.04,0.66,11.55,3.90,-0.35,-0.12,1855.00,1.85
2007-06-25,0.00,0.00,0.66,6.30,2.12,1.40,0.47,1904.00,0.84
2007-06-26,0.00,0.00,0.66,8.75,2.93,6.30,2.12,1900.00,0.32
2007-06-27,-0.00,-0.00,0.65,7.00,2.35,-1.40,-0.47,1952.00,1.08
2007-06-28,-0.02,-0.02,0.62,9.10,3.10,-0.35,-0.12,1743.00,0.90
