Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2022-09-07,,,,0.00,0.00,,,100.00,1.00
2022-09-08,0.00,0.00,,0.00,0.00,0.00,0.00,100.00,1.00
2022-09-09,0.04,0.04,,0.14,0.62,0.78,3.60,333.00,2.40
2022-09-12,0.01,0.01,,0.17,0.75,0.21,0.93,1025.00,3.02
2022-09-13,-0.08,-0.08,,0.97,4.64,-0.81,-3.57,1560.00,2.37
2022-09-14,0.00,0.00,,0.24,1.15,-0.15,-0.72,1950.00,2.00
2022-09-15,-0.04,-0.04,,0.85,4.24,-0.31,-1.48,2543.00,2.40
2022-09-16,-0.00,-0.00,,0.28,1.40,-0.26,-1.30,2775.00,1.59
2022-09-19,-0.00,-0.00,,0.32,1.61,-0.38,-1.90,3078.00,1.79
2022-09-20,-0.01,-0.01,,0.40,2.04,-0.30,-1.51,3320.00,1.66
2022-09-21,-0.02,-0.02,,0.95,4.93,0.24,1.22,5627.00,5.10
2022-09-22,0.01,0.01,,0.47,2.41,0.04,0.21,5717.00,1.17
2022-09-23,-0.02,-0.02,,0.50,2.62,-0.12,-0.62,5946.00,1.46
2022-09-26,-0.00,-0.00,,0.46,2.41,-0.10,-0.52,6907.00,2.81
2022-09-27,-0.01,-0.01,,0.78,4.13,0.29,1.52,7033.00,1.25
2022-09-28,0.03,0.03,,0.41,2.11,0.26,1.38,7531.00,1.99
2022-09-29,-0.02,-0.02,,0.60,3.15,-0.29,-1.49,7953.00,1.85
2022-09-30,-0.03,-0.03,,0.86,4.65,0.05,0.26,8467.00,2.03
2022-10-03,0.05,0.04,,0.74,3.82,0.31,1.67,9005.00,2.08
2022-10-04,0.05,0.05,,0.36,1.77,0.76,3.93,9765.00,2.48
2022-10-05,0.00,0.00,0.48,0.72,3.54,-0.23,-1.13,10225.00,0.91
2022-10-06,-0.01,-0.01,0.48,0.50,2.49,0.04,0.20,11910.00,2.84
2022-10-07,-0.08,-0.08,0.52,0.26,1.40,-1.39,-6.92,12420.00,0.89
2022-10-10,-0.03,-0.03,0.52,0.77,4.29,-0.13,-0.70,12700.00,0.69
2022-10-11,-0.03,-0.03,0.46,0.45,2.57,-0.40,-2.23,12880.00,0.57
2022-10-12,0.00,0.00,0.46,0.25,1.42,0.09,0.51,13240.00,0.84
2022-10-13,0.06,0.06,0.50,1.87,10.08,-0.70,-3.99,14235.00,1.83
2022-10-14,-0.04,-0.04,0.51,0.80,4.47,0.12,0.65,14765.00,1.02
2022-10-17,0.05,0.05,0.55,0.33,1.75,0.82,4.58,15330.00,1.10
2022-10-18,0.01,0.01,0.55,0.96,5.06,0.75,3.98,15685.00,0.80
2022-10-19,-0.01,-0.01,0.55,0.56,2.99,-0.14,-0.74,14680.00,0.59
2022-10-20,-0.00,-0.00,0.54,0.54,2.88,0.31,1.65,14735.00,0.53
2022-10-21,0.04,0.04,0.56,0.88,4.53,-0.18,-0.96,14765.00,0.63
2022-10-24,0.03,0.03,0.57,0.68,3.39,0.23,1.18,14295.00,0.70
2022-10-25,0.02,0.02,0.57,0.50,2.44,0.03,0.15,15170.00,1.73
2022-10-26,-0.12,-0.12,0.70,0.86,4.76,-2.32,-11.34,17675.00,3.68
2022-10-27,-0.03,-0.03,0.70,0.65,3.71,0.04,0.22,18050.00,1.23
2022-10-28,0.06,0.06,0.73,0.97,5.22,0.12,0.68,18300.00,1.21
2022-10-31,-0.02,-0.03,0.72,0.39,2.15,-0.24,-1.29,18430.00,1.16
2022-11-01,-0.03,-0.03,0.69,0.80,4.52,0.25,1.38,17695.00,0.54
2022-11-02,-0.05,-0.05,0.71,1.26,7.52,-0.08,-0.45,18490.00,1.36
2022-11-03,-0.04,-0.04,0.72,0.58,3.61,-0.12,-0.72,17640.00,0.95
2022-11-04,0.05,0.05,0.71,0.83,4.93,0.40,2.49,17810.00,0.81
2022-11-07,0.05,0.04,0.72,0.75,4.26,0.20,1.19,18210.00,0.92
2022-11-08,0.01,0.01,0.71,0.44,2.48,0.12,0.68,18250.00,0.44
2022-11-09,-0.03,-0.03,0.72,0.29,1.68,-0.23,-1.30,18025.00,0.37
2022-11-10,0.12,0.11,0.82,0.85,4.40,1.27,7.37,18000.00,1.42
2022-11-11,0.02,0.02,0.81,0.56,2.83,0.07,0.36,18160.00,1.00
2022-11-14,-0.03,-0.03,0.80,0.39,2.04,-0.59,-2.98,18530.00,1.31
2022-11-15,0.00,0.00,0.80,0.59,3.08,0.51,2.66,19035.00,1.19
2022-11-16,0.01,0.01,0.80,0.30,1.56,0.21,1.10,20920.00,2.21
2022-11-17,-0.00,-0.00,0.80,0.62,3.23,-0.46,-2.39,21070.00,0.51
