Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2026-04-14,,,,0.42,1.98,,,4900.00,1.00
2026-04-15,0.00,0.00,,0.25,1.18,0.00,0.00,4350.00,0.87
2026-04-16,0.00,0.00,,0.19,0.89,-0.05,-0.24,6667.00,1.69
2026-04-17,0.00,0.00,,0.15,0.70,0.12,0.56,6300.00,0.83
2026-04-20,0.01,0.01,,0.13,0.61,0.10,0.47,5820.00,0.67
2026-04-21,-0.00,-0.00,,0.17,0.79,0.02,0.09,5867.00,1.04
2026-04-22,0.02,0.02,,0.34,1.55,0.25,1.17,6300.00,1.41
2026-04-23,0.00,0.00,,0.21,0.96,-0.03,-0.14,6712.00,1.43
2026-04-24,0.01,0.01,,0.16,0.73,0.15,0.68,7922.00,2.22
2026-04-27,0.01,0.01,,0.11,0.50,0.10,0.45,8020.00,1.11
2026-04-28,-0.01,-0.01,,0.32,1.47,-0.28,-1.26,8336.00,1.38
2026-04-29,0.01,0.01,,0.24,1.09,0.31,1.42,8275.00,0.92
2026-04-30,0.00,0.00,,0.41,1.86,0.24,1.09,10585.00,3.62
2026-05-01,0.02,0.02,,0.75,3.32,-0.19,-0.86,11743.00,2.28
2026-05-04,0.01,0.01,,0.20,0.87,0.20,0.89,11760.00,1.02
2026-05-05,0.02,0.02,,0.31,1.33,0.30,1.31,11812.00,1.07
2026-05-06,0.00,0.00,,0.20,0.86,0.22,0.95,11794.00,0.98
2026-05-07,0.00,0.00,,0.11,0.47,0.01,0.04,13217.00,2.83
2026-05-08,0.00,0.00,,0.27,1.15,-0.18,-0.77,13226.00,1.01
2026-05-11,0.01,0.01,,0.32,1.35,0.11,0.47,13860.00,1.87
2026-05-12,-0.01,-0.01,0.15,0.52,2.22,-0.20,-0.85,14695.00,1.47
2026-05-13,0.01,0.01,0.15,0.33,1.39,0.28,1.20,16180.00,2.07
2026-05-14,0.00,0.00,0.15,0.24,1.01,-0.02,-0.08,18045.00,2.69
2026-05-15,-0.03,-0.03,0.21,0.42,1.83,-0.50,-2.10,19345.00,1.61
2026-05-18,-0.02,-0.02,0.22,0.43,1.90,-0.02,-0.09,20010.00,0.86
2026-05-19,0.00,0.00,0.22,0.51,2.25,-0.07,-0.31,21210.00,1.42
2026-05-20,0.01,0.01,0.20,0.22,0.96,0.17,0.75,21940.00,1.07
2026-05-21,0.01,0.01,0.21,0.19,0.82,0.08,0.35,25570.00,3.21
2026-05-22,-0.00,-0.00,0.21,0.23,0.99,0.09,0.39,26220.00,1.17
2026-05-26,0.01,0.01,0.21,0.14,0.60,0.21,0.91,28650.00,2.01
2026-05-27,0.01,0.01,0.20,0.26,1.10,0.15,0.64,32095.00,2.51
2026-05-28,0.00,0.00,0.20,0.37,1.57,0.18,0.76,38385.00,3.48
2026-05-29,0.01,0.01,0.20,0.16,0.68,0.09,0.38,39205.00,1.40
2026-06-01,0.01,0.01,0.18,0.21,0.88,0.03,0.13,41005.00,1.53
2026-06-02,-0.00,-0.00,0.18,0.25,1.05,-0.01,-0.04,43580.00,1.46
2026-06-03,0.00,0.00,0.17,0.27,1.13,0.07,0.29,44935.00,0.88
2026-06-04,-0.01,-0.01,0.18,0.36,1.52,-0.15,-0.63,52475.00,3.09
2026-06-05,-0.02,-0.02,0.20,0.48,2.07,-0.33,-1.39,54055.00,1.28
2026-06-08,0.01,0.01,0.20,0.30,1.29,0.29,1.25,57315.00,1.37
2026-06-09,-0.00,-0.00,0.19,0.44,1.89,0.13,0.56,58685.00,0.91
2026-06-10,-0.01,-0.01,0.19,0.48,2.08,0.09,0.39,60520.00,0.96
2026-06-11,0.02,0.02,0.20,0.43,1.82,0.09,0.39,63445.00,1.45
2026-06-12,-0.00,-0.00,0.20,0.21,0.89,0.00,0.00,63555.00,0.80
2026-06-15,0.01,0.01,0.17,0.16,0.67,0.21,0.89,65440.00,1.05
2026-06-16,-0.00,-0.00,0.15,0.20,0.84,0.12,0.50,67170.00,0.77
2026-06-17,0.01,0.01,0.15,0.15,0.63,0.11,0.46,68130.00,0.72
2026-06-18,0.01,0.01,0.16,0.19,0.79,0.26,1.09,71380.00,1.24
2026-06-22,0.01,0.01,0.15,0.11,0.45,0.08,0.33,70230.00,0.84
2026-06-23,-0.02,-0.02,0.17,0.38,1.59,-0.29,-1.19,72365.00,1.01
