Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2022-07-19,,,,425685.00,57.10,,,7.00,1.00
2022-07-20,-0.01,-0.01,,166130.00,22.60,-60680.00,-8.14,6.00,0.67
2022-07-21,-0.03,-0.03,,60643.00,8.54,-20720.00,-2.82,4.00,0.25
2022-07-22,-0.01,-0.01,,92500.00,13.09,51800.00,7.29,3.00,0.33
2022-07-25,0.01,0.01,,54390.00,7.62,-42920.00,-6.07,3.00,0.33
2022-07-26,-0.02,-0.02,,44400.00,6.36,-25530.00,-3.58,2.00,0.00
2022-07-27,-0.05,-0.05,,64750.00,9.72,-24790.00,-3.55,2.00,0.50
2022-07-28,0.05,0.05,,84360.00,12.07,-40330.00,-6.05,2.00,0.00
2022-07-29,-0.08,-0.09,,32560.00,5.08,-32930.00,-4.71,2.00,0.00
2022-08-01,0.01,0.01,,62530.00,9.66,-20350.00,-3.18,2.00,0.00
2022-08-02,-0.04,-0.04,,51060.00,8.24,-11100.00,-1.71,1.00,1.00
2022-08-03,0.03,0.03,,29600.00,4.66,2220.00,0.36,1.00,0.00
2022-08-04,0.07,0.06,,51800.00,7.65,-2960.00,-0.47,1.00,0.00
2022-08-05,0.13,0.12,,1158470.00,151.84,1135900.00,167.76,2.00,7.50
2022-08-08,-0.11,-0.12,,186406.00,27.53,0.00,0.00,2.00,1.50
2022-08-09,-0.07,-0.07,,214822.00,34.17,-29230.00,-4.32,2.00,1.50
2022-08-10,-0.05,-0.06,,84545.00,14.21,-51060.00,-8.12,2.00,1.00
2022-08-11,-0.11,-0.11,,103415.00,19.42,-39590.00,-6.65,2.00,0.50
2022-08-12,-0.22,-0.25,,532800.00,128.23,186850.00,35.09,3.00,8.33
2022-08-15,-0.11,-0.12,,106560.00,28.80,-8510.00,-2.05,4.00,1.25
2022-08-16,-0.15,-0.16,1.26,263292.00,83.82,-4810.00,-1.30,4.00,5.75
2022-08-17,-0.16,-0.17,1.33,51430.00,19.41,-17390.00,-5.54,4.00,1.75
2022-08-18,-0.28,-0.34,1.57,220890.00,116.60,-370.00,-0.14,9.00,10.22
2022-08-19,0.01,0.01,1.58,81400.00,42.39,10730.00,5.66,11.00,3.36
2022-08-22,0.02,0.02,1.59,60310.00,30.87,-5920.00,-3.08,12.00,1.83
2022-08-23,-0.39,-0.49,1.97,142450.00,119.57,20720.00,10.61,17.00,6.59
2022-08-24,-0.21,-0.23,2.02,55130.00,58.43,3330.00,2.80,24.00,5.79
2022-08-25,-0.18,-0.19,1.98,25160.00,32.38,-7400.00,-7.84,28.00,2.75
2022-08-26,-0.10,-0.11,1.98,18130.00,25.93,4070.00,5.24,34.00,3.21
2022-08-29,0.09,0.09,2.06,14800.00,19.42,-4810.00,-6.88,35.00,1.00
2022-08-30,-0.14,-0.15,2.05,20720.00,31.64,2590.00,3.40,42.00,3.00
2022-08-31,-0.03,-0.03,2.02,5550.00,8.72,-2590.00,-3.95,42.00,0.38
2022-09-01,-0.08,-0.08,1.93,7030.00,11.95,-1480.00,-2.33,44.00,0.61
2022-09-02,-0.09,-0.10,1.72,8140.00,15.28,370.00,0.63,44.00,0.36
2022-09-06,-0.04,-0.04,1.74,5180.00,10.14,0.00,0.00,44.00,0.27
2022-09-07,-0.04,-0.04,1.75,5180.00,10.61,-370.00,-0.72,45.00,0.31
2022-09-08,0.03,0.03,1.82,5550.00,11.03,0.00,0.00,45.00,0.20
2022-09-09,0.17,0.16,2.07,26640.00,45.28,1480.00,2.94,60.00,4.95
2022-09-12,-0.30,-0.36,2.15,34780.00,84.68,7770.00,13.21,72.00,3.67
2022-09-13,-0.11,-0.11,2.15,7178.00,19.60,1110.00,2.70,77.00,1.40
2022-09-14,-0.02,-0.02,2.16,2960.00,8.28,-370.00,-1.01,78.00,0.54
2022-09-15,0.08,0.07,2.22,4403.00,11.44,370.00,1.04,80.00,0.59
2022-09-16,-0.10,-0.10,2.09,4736.00,13.62,0.00,0.00,76.00,0.25
2022-09-19,-0.04,-0.04,2.07,1887.00,5.67,370.00,1.06,75.00,0.19
2022-09-20,-0.06,-0.06,2.04,3145.00,10.00,370.00,1.11,75.00,0.24
2022-09-21,-0.12,-0.13,1.69,3700.00,13.35,-1591.00,-5.06,71.00,0.35
2022-09-22,-0.05,-0.05,1.60,1443.00,5.47,-1443.00,-5.21,64.00,0.16
2022-09-23,0.01,0.01,1.55,1110.00,4.17,-74.00,-0.28,61.00,0.16
2022-09-26,0.05,0.05,1.58,5180.00,18.45,1850.00,6.94,57.00,0.60
2022-09-27,0.03,0.03,1.53,3589.00,12.44,2257.00,8.04,56.00,0.29
2022-09-28,0.04,0.04,1.51,1295.00,4.33,0.00,0.00,50.00,0.16
