Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2021-04-08,,,,0.00,0.00,,,10.00,1.00
2021-04-09,-0.07,-0.08,,39.20,28.22,3.00,2.00,113090.00,2.00
2021-04-12,-0.08,-0.09,,8.30,6.51,-8.90,-6.41,85887.00,0.37
2021-04-13,-0.04,-0.04,,12.60,10.30,1.40,1.10,68268.00,0.23
2021-04-14,0.01,0.01,,10.60,8.60,1.60,1.31,57166.00,0.22
2021-04-15,0.03,0.03,,3.60,2.84,1.80,1.46,48113.00,0.06
2021-04-16,0.02,0.02,,5.10,3.92,3.50,2.76,41867.00,0.10
2021-04-19,-0.02,-0.02,,6.30,4.95,0.00,0.00,37070.00,0.09
2021-04-20,0.01,0.01,,1.99,1.55,1.70,1.34,33203.00,0.07
2021-04-21,-0.01,-0.01,,1.58,1.23,0.10,0.08,29969.00,0.03
2021-04-22,0.03,0.03,,9.26,7.02,-0.30,-0.23,28548.00,0.50
2021-04-23,0.00,0.00,,7.85,5.95,3.20,2.42,26870.00,0.31
2021-04-26,0.01,0.01,,8.50,6.35,-1.70,-1.29,25702.00,0.45
2021-04-27,0.01,0.01,,6.50,4.83,2.40,1.79,24804.00,0.53
2021-04-28,-0.01,-0.01,,3.50,2.62,1.40,1.04,23773.00,0.39
2021-04-29,0.03,0.03,,7.91,5.74,-1.10,-0.82,23077.00,0.55
2021-04-30,0.04,0.04,,11.40,7.92,0.20,0.15,22526.00,0.61
2021-05-03,0.01,0.01,,6.07,4.19,2.90,2.01,21718.00,0.37
2021-05-04,0.01,0.01,,10.90,7.44,-0.30,-0.21,21266.00,0.62
2021-05-05,0.01,0.01,,4.80,3.25,1.00,0.68,20678.00,0.46
2021-05-06,0.01,0.01,0.52,3.55,2.39,1.00,0.68,21026.00,0.33
2021-05-07,0.01,0.01,0.44,4.60,3.08,0.60,0.40,10210.00,0.96
2021-05-10,-0.10,-0.11,0.49,15.40,11.48,0.20,0.13,8870.00,0.53
2021-05-11,-0.07,-0.07,0.54,12.80,10.26,-2.50,-1.86,8222.00,0.30
2021-05-12,-0.11,-0.11,0.66,17.60,15.78,0.60,0.48,7812.00,0.58
2021-05-13,-0.28,-0.33,1.17,31.60,39.45,-1.20,-1.08,8199.00,1.29
2021-05-14,-0.03,-0.03,1.16,13.08,16.81,4.90,6.12,8714.00,1.69
2021-05-17,0.02,0.02,1.17,2.00,2.53,0.00,0.00,8860.00,0.72
2021-05-18,0.06,0.06,1.20,5.10,6.10,1.00,1.27,9174.00,0.93
