Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-07-11,,,,0.10,1.00,,,742700.00,1.00
2025-07-14,0.00,0.00,,0.02,0.20,0.02,0.20,394100.00,0.12
2025-07-15,0.00,0.00,,0.01,0.10,0.00,0.00,297800.00,0.35
2025-07-16,0.00,0.00,,0.02,0.20,0.02,0.20,224875.00,0.03
2025-07-17,0.00,0.00,,0.00,0.00,0.00,0.00,179900.00,0.00
2025-07-18,0.00,0.00,,0.01,0.10,0.02,0.20,221233.00,1.93
2025-07-21,0.00,0.00,,0.00,0.00,0.00,0.00,191529.00,0.07
2025-07-22,-0.00,-0.00,,0.00,0.00,-0.01,-0.10,167725.00,0.01
2025-07-23,0.00,0.00,,0.04,0.40,0.01,0.10,152244.00,0.19
2025-07-24,-0.00,-0.00,,0.00,0.00,-0.02,-0.20,137190.00,0.01
2025-07-25,0.00,0.00,,0.00,0.00,0.00,0.00,125545.00,0.07
2025-07-28,-0.00,-0.00,,0.00,0.00,-0.01,-0.10,119250.00,0.42
2025-07-29,0.00,0.00,,0.00,0.00,0.00,0.00,110077.00,0.00
2025-07-30,0.00,0.00,,0.00,0.00,0.01,0.10,102307.00,0.01
2025-07-31,-0.00,-0.00,,0.01,0.10,-0.02,-0.20,97427.00,0.30
2025-08-01,0.00,0.00,,0.02,0.20,0.00,0.00,93250.00,0.33
2025-08-04,0.00,0.00,,0.00,0.00,0.00,0.00,87776.00,0.00
2025-08-05,0.00,0.00,,0.01,0.10,0.00,0.00,89633.00,1.35
2025-08-06,0.00,0.00,,0.01,0.10,0.00,0.00,85663.00,0.17
2025-08-07,-0.00,-0.00,,0.02,0.20,0.01,0.10,81965.00,0.14
2025-08-08,0.00,0.00,0.02,0.00,0.00,0.00,0.00,44830.00,0.00
2025-08-11,0.00,0.00,0.02,0.01,0.10,0.01,0.10,104075.00,11.82
2025-08-12,-0.00,-0.00,0.02,0.01,0.10,-0.01,-0.10,105290.00,1.23
2025-08-13,0.00,0.00,0.02,0.10,1.00,0.00,0.00,106595.00,0.30
2025-08-14,-0.00,-0.00,0.02,0.01,0.10,0.00,0.00,112890.00,1.12
2025-08-15,0.00,0.00,0.02,0.03,0.30,0.03,0.30,100825.00,1.85
2025-08-18,0.00,0.00,0.02,0.01,0.10,-0.01,-0.10,105560.00,1.02
2025-08-19,-0.00,-0.00,0.02,0.00,0.00,-0.01,-0.10,112470.00,1.24
2025-08-20,0.00,0.00,0.02,0.22,2.19,0.01,0.10,153625.00,5.54
2025-08-21,-0.00,-0.00,0.02,0.06,0.60,-0.01,-0.10,160215.00,0.83
2025-08-22,0.00,0.00,0.02,0.01,0.10,0.00,0.00,165750.00,0.72
2025-08-25,-0.00,-0.00,0.02,0.01,0.10,-0.01,-0.10,173760.00,1.21
2025-08-26,0.00,0.00,0.02,0.01,0.10,0.00,0.00,179040.00,0.59
2025-08-27,0.00,0.00,0.02,0.01,0.10,0.00,0.00,179020.00,0.01
2025-08-28,0.00,0.00,0.02,0.00,0.00,0.00,0.00,177565.00,0.00
2025-08-29,0.00,0.00,0.02,0.00,0.00,0.00,0.00,176115.00,0.01
2025-09-02,-0.00,-0.00,0.02,0.01,0.10,0.00,0.00,176260.00,0.02
2025-09-03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,171980.00,0.21
2025-09-04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,184070.00,1.39
2025-09-05,0.00,0.00,0.02,0.00,0.00,0.00,0.00,187355.00,0.41
2025-09-08,0.00,0.00,0.02,0.00,0.00,0.00,0.00,188760.00,0.15
2025-09-09,0.00,0.00,0.02,0.00,0.00,0.01,0.10,127920.00,0.11
2025-09-10,0.00,0.00,0.02,0.00,0.00,0.01,0.10,121485.00,0.01
2025-09-11,0.00,0.00,0.02,0.00,0.00,0.00,0.00,120195.00,0.05
2025-09-12,0.00,0.00,0.02,0.00,0.00,0.00,0.00,113900.00,0.00
2025-09-15,0.00,0.00,0.02,0.00,0.00,0.00,0.00,104570.00,0.00
2025-09-16,-0.00,-0.00,0.02,0.02,0.20,-0.01,-0.10,115025.00,2.76
2025-09-17,0.00,0.00,0.02,0.02,0.20,0.00,0.00,108230.00,0.03
2025-09-18,-0.00,-0.00,0.01,0.00,0.00,-0.01,-0.10,65665.00,0.00
2025-09-19,0.00,0.00,0.01,0.00,0.00,0.00,0.00,59145.00,0.05
2025-09-22,0.00,0.00,0.01,0.00,0.00,0.00,0.00,53155.00,0.00
2025-09-23,0.00,0.00,0.01,0.00,0.00,0.00,0.00,42700.00,0.03
2025-09-24,0.00,0.00,0.01,0.00,0.00,0.00,0.00,37420.00,0.00
2025-09-25,0.00,0.00,0.01,0.00,0.00,0.00,0.00,37375.00,0.00
2025-09-26,0.00,0.00,0.01,0.00,0.00,0.00,0.00,37375.00,0.00
2025-09-29,-0.00,-0.00,0.01,0.00,0.00,-0.01,-0.10,41925.00,2.21
2025-09-30,0.00,0.00,0.01,0.00,0.00,0.00,0.00,41770.00,0.00
2025-10-01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,39990.00,0.00
2025-10-02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,27190.00,0.00
2025-10-03,0.00,0.00,0.01,0.02,0.20,0.02,0.20,23890.00,0.48
2025-10-06,0.00,0.00,0.01,0.00,0.00,0.01,0.10,23170.00,0.59
