Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2023-12-06,,,,0.19,0.81,,,2400.00,1.00
2023-12-07,0.01,0.01,,0.12,0.51,0.01,0.04,1800.00,0.67
2023-12-08,0.01,0.01,,0.02,0.08,0.15,0.63,1500.00,0.60
2023-12-11,0.02,0.02,,0.00,0.00,0.37,1.55,1175.00,0.17
2023-12-12,0.01,0.01,,0.10,0.41,0.17,0.70,1000.00,0.30
2023-12-13,0.01,0.01,,0.35,1.41,0.08,0.33,2683.00,4.14
2023-12-14,-0.00,-0.00,,0.12,0.48,0.10,0.40,2371.00,0.21
2023-12-15,0.00,0.00,,0.02,0.08,0.05,0.20,2100.00,0.10
2023-12-18,0.00,0.00,,0.08,0.32,0.10,0.40,1933.00,0.31
2023-12-19,0.00,0.00,,0.02,0.08,0.09,0.36,1760.00,0.11
2023-12-20,-0.02,-0.02,,0.43,1.75,-0.01,-0.04,1655.00,0.36
2023-12-21,0.01,0.01,,0.09,0.36,0.19,0.77,1542.00,0.19
2023-12-22,0.00,0.00,,0.06,0.24,0.12,0.48,1485.00,0.54
2023-12-26,0.01,0.01,,0.06,0.24,0.07,0.28,1407.00,0.28
2023-12-27,0.00,0.00,,0.06,0.24,0.01,0.04,1393.00,0.86
2023-12-28,0.00,0.00,,0.00,0.00,0.02,0.08,1312.00,0.08
2023-12-29,-0.00,-0.00,,0.04,0.16,-0.05,-0.20,1247.00,0.16
2024-01-02,-0.01,-0.01,,0.14,0.57,-0.33,-1.32,1217.00,0.58
2024-01-03,-0.02,-0.02,,0.00,0.00,-0.39,-1.58,1158.00,0.09
2024-01-04,-0.00,-0.00,,0.12,0.50,0.05,0.21,1105.00,0.09
2024-01-05,0.00,0.00,0.15,0.03,0.12,0.00,0.00,995.00,0.20
2024-01-08,0.02,0.02,0.17,0.15,0.60,0.46,1.90,955.00,0.42
2024-01-09,-0.00,-0.00,0.17,0.00,0.00,-0.03,-0.12,915.00,0.11
2024-01-10,0.01,0.01,0.16,0.00,0.00,0.16,0.64,910.00,0.11
2024-01-11,0.01,0.01,0.16,0.04,0.16,0.12,0.48,905.00,0.22
2024-01-12,0.00,0.00,0.15,0.06,0.24,0.04,0.16,370.00,1.08
2024-01-16,0.00,0.00,0.15,0.09,0.36,0.13,0.52,375.00,1.60
2024-01-17,-0.00,-0.00,0.15,0.07,0.28,-0.18,-0.71,375.00,0.53
2024-01-18,0.01,0.01,0.16,0.00,0.00,0.33,1.32,350.00,0.29
2024-01-19,0.02,0.02,0.17,0.37,1.43,0.14,0.55,425.00,4.00
2024-01-22,0.01,0.01,0.15,0.02,0.08,0.22,0.85,410.00,0.73
2024-01-23,0.00,0.00,0.15,0.05,0.19,-0.03,-0.11,405.00,0.49
2024-01-24,0.00,0.00,0.15,0.21,0.80,0.27,1.03,390.00,1.28
2024-01-25,0.00,0.00,0.15,0.07,0.27,0.10,0.38,395.00,1.27
2024-01-26,-0.00,-0.00,0.15,0.09,0.34,-0.01,-0.04,400.00,3.25
2024-01-29,0.01,0.01,0.16,0.24,0.91,0.11,0.42,405.00,0.49
2024-01-30,0.00,0.00,0.16,0.00,0.00,0.03,0.11,400.00,0.25
2024-01-31,-0.02,-0.02,0.16,0.18,0.69,-0.22,-0.83,385.00,1.04
2024-02-01,0.01,0.01,0.15,0.00,0.00,0.38,1.46,385.00,0.26
2024-02-02,0.01,0.01,0.14,0.00,0.00,0.29,1.09,395.00,0.76
2024-02-05,0.01,0.01,0.14,0.23,0.85,-0.07,-0.26,420.00,1.67
2024-02-06,-0.00,-0.00,0.13,0.04,0.15,-0.17,-0.63,440.00,1.82
2024-02-07,0.01,0.01,0.13,0.02,0.07,0.20,0.75,450.00,0.67
2024-02-08,0.00,0.00,0.13,0.02,0.07,0.12,0.44,455.00,0.44
2024-02-09,0.01,0.01,0.13,0.12,0.44,0.12,0.44,470.00,1.06
2024-02-12,-0.00,-0.00,0.13,0.13,0.48,0.03,0.11,550.00,3.64
2024-02-13,-0.01,-0.02,0.15,0.00,0.00,-0.41,-1.50,525.00,0.19
2024-02-14,0.01,0.01,0.15,0.23,0.84,0.17,0.63,565.00,1.77
2024-02-15,-0.00,-0.00,0.15,0.03,0.11,-0.04,-0.15,595.00,1.18
2024-02-16,-0.01,-0.01,0.14,0.13,0.48,-0.13,-0.48,520.00,0.38
2024-02-20,-0.01,-0.01,0.15,0.19,0.71,-0.28,-1.04,580.00,2.59
2024-02-21,-0.00,-0.00,0.15,0.10,0.38,-0.16,-0.60,1095.00,9.59
2024-02-22,0.04,0.04,0.20,0.07,0.25,0.97,3.65,1090.00,0.37
2024-02-23,0.00,0.00,0.20,0.20,0.72,0.30,1.09,1190.00,2.10
2024-02-26,0.00,0.00,0.20,0.12,0.43,0.12,0.43,2945.00,12.36
2024-02-27,-0.00,-0.00,0.20,0.23,0.83,0.13,0.47,3000.00,0.43
2024-02-28,-0.00,-0.00,0.20,0.07,0.25,-0.14,-0.51,3020.00,0.17
2024-02-29,0.01,0.01,0.19,0.02,0.07,0.29,1.05,3035.00,0.23
2024-03-01,0.02,0.02,0.19,0.12,0.42,0.36,1.29,3060.00,0.20
2024-03-04,0.00,0.00,0.19,0.19,0.67,0.20,0.70,3240.00,1.20
2024-03-05,-0.02,-0.02,0.20,0.12,0.43,-0.55,-1.93,3355.00,0.89
2024-03-06,0.01,0.01,0.20,0.06,0.21,0.35,1.25,3320.00,0.03
2024-03-07,0.02,0.02,0.21,0.04,0.14,0.50,1.76,3320.00,0.09
2024-03-08,-0.02,-0.02,0.22,0.44,1.55,-0.12,-0.42,3570.00,1.46
2024-03-11,-0.00,-0.00,0.22,0.20,0.71,-0.28,-0.99,3570.00,0.14
2024-03-12,0.02,0.02,0.23,0.00,0.00,0.52,1.84,3485.00,0.09
2024-03-13,-0.01,-0.01,0.22,0.09,0.32,-0.26,-0.90,3520.00,0.23
2024-03-14,-0.01,-0.01,0.22,0.08,0.28,-0.29,-1.02,3515.00,0.26
