Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-03-21,,,,0.75,16.67,,,1038100.00,1.00
2025-03-24,0.06,0.06,,0.95,19.87,0.00,0.00,804700.00,0.71
2025-03-25,-0.11,-0.12,,0.44,10.33,-0.08,-1.67,549333.00,0.07
2025-03-26,-0.13,-0.14,,0.84,22.70,0.14,3.29,420850.00,0.08
2025-03-27,0.05,0.05,,0.68,17.44,-0.01,-0.27,356100.00,0.27
2025-03-28,-0.38,-0.48,,1.76,73.03,-0.10,-2.56,354567.00,0.98
2025-03-31,-0.11,-0.12,,1.23,57.48,0.07,2.90,332214.00,0.60
2025-04-01,-0.08,-0.08,,0.59,29.95,-0.06,-2.80,319988.00,0.73
2025-04-02,-0.20,-0.23,,0.68,43.31,0.06,3.05,324522.00,1.11
2025-04-03,0.01,0.01,,0.29,18.35,-0.04,-2.55,313210.00,0.67
2025-04-04,-0.06,-0.07,,0.22,14.86,0.00,0.00,292000.00,0.27
2025-04-07,-0.08,-0.08,,0.26,19.12,-0.04,-2.70,271967.00,0.19
2025-04-08,-0.07,-0.08,,0.25,19.84,0.12,8.82,254785.00,0.19
2025-04-09,0.25,0.23,,0.36,22.78,0.04,3.17,246650.00,0.57
2025-04-10,-0.08,-0.09,,0.20,13.79,-0.03,-1.90,233140.00,0.19
2025-04-11,-0.03,-0.03,,0.09,6.38,-0.02,-1.38,219562.00,0.07
2025-04-14,0.11,0.10,,0.35,22.44,0.02,1.42,216276.00,0.76
2025-04-15,0.15,0.14,,0.37,20.56,0.12,7.69,209750.00,0.47
2025-04-16,-0.05,-0.05,,0.19,11.11,0.00,0.00,202247.00,0.33
2025-04-17,0.05,0.05,,0.37,20.67,0.25,14.62,200300.00,0.82
2025-04-21,-0.01,-0.01,2.14,0.34,19.10,0.07,3.91,150650.00,0.30
2025-04-22,0.03,0.03,2.12,0.15,8.20,-0.05,-2.81,123830.00,0.28
2025-04-23,-0.01,-0.01,2.10,0.18,9.94,0.02,1.09,123650.00,0.28
2025-04-24,0.03,0.03,2.08,0.09,4.84,0.04,2.21,122255.00,0.06
2025-04-25,-0.10,-0.10,2.07,0.37,22.02,-0.01,-0.54,121000.00,0.60
2025-04-28,-0.05,-0.05,1.61,0.21,13.12,-0.04,-2.38,104775.00,0.21
2025-04-29,-0.06,-0.06,1.58,0.27,18.00,0.15,9.37,97015.00,0.44
2025-04-30,0.01,0.01,1.57,0.09,5.92,0.07,4.67,86165.00,0.20
2025-05-01,0.06,0.06,1.40,0.25,15.53,0.08,5.26,69520.00,0.40
2025-05-02,0.00,0.00,1.40,0.12,7.45,-0.01,-0.62,60060.00,0.37
2025-05-05,-0.04,-0.04,1.39,0.15,9.68,0.09,5.59,56850.00,0.28
2025-05-06,-0.08,-0.09,1.39,0.19,13.38,0.02,1.29,55605.00,0.48
2025-05-07,0.06,0.06,1.37,0.18,11.92,0.11,7.75,55020.00,0.67
2025-05-08,0.00,0.00,1.03,0.17,11.26,-0.01,-0.66,49430.00,0.59
2025-05-09,0.00,0.00,0.99,0.11,7.28,0.02,1.32,48335.00,0.46
2025-05-12,0.14,0.13,1.09,0.27,15.70,0.12,7.95,53180.00,2.12
2025-05-13,-0.03,-0.04,1.04,0.34,20.48,0.05,2.91,47880.00,1.21
2025-05-14,0.09,0.09,0.94,0.24,13.26,0.23,13.86,47300.00,1.84
2025-05-15,-0.07,-0.07,0.96,0.15,8.93,-0.03,-1.66,45105.00,0.52
2025-05-16,-0.04,-0.04,0.95,0.17,10.56,-0.02,-1.19,37265.00,0.17
2025-05-19,0.05,0.05,0.97,0.16,9.47,0.04,2.48,36335.00,0.73
2025-05-20,0.09,0.09,1.02,0.30,16.30,-0.14,-8.28,35665.00,0.60
2025-05-21,0.01,0.01,1.02,0.21,11.35,-0.10,-5.43,35115.00,0.68
2025-05-22,-0.05,-0.05,1.03,0.18,10.23,0.01,0.54,35665.00,0.52
2025-05-23,-0.05,-0.05,0.98,0.11,6.55,-0.11,-6.25,32285.00,0.14
2025-05-27,0.00,0.00,0.96,0.10,5.95,0.00,0.00,34045.00,1.69
2025-05-28,-0.05,-0.05,0.95,0.09,5.62,0.00,0.00,32250.00,0.22
2025-05-29,0.09,0.09,1.00,0.20,11.43,0.08,5.00,33035.00,1.00
2025-05-30,-0.01,-0.01,0.99,0.19,10.98,-0.01,-0.57,32355.00,0.44
2025-06-02,-0.04,-0.04,1.00,0.15,9.04,-0.01,-0.58,31425.00,0.11
2025-06-03,0.02,0.02,0.99,0.10,5.88,0.03,1.81,33970.00,1.96
2025-06-04,-0.03,-0.03,0.94,0.10,6.06,0.05,2.94,33295.00,0.40
2025-06-05,0.03,0.03,0.92,0.08,4.71,0.05,3.03,31975.00,0.33
2025-06-06,-0.01,-0.01,0.93,0.07,4.14,0.00,0.00,31730.00,0.76
2025-06-09,-0.04,-0.04,0.94,0.11,6.75,0.01,0.59,31800.00,0.74
2025-06-10,-0.03,-0.03,0.80,0.17,10.76,0.00,0.00,27440.00,0.93
2025-06-11,0.07,0.07,0.83,0.10,5.92,0.08,5.06,25650.00,0.85
2025-06-12,-0.04,-0.04,0.77,0.09,5.52,0.03,1.78,22150.00,0.78
2025-06-13,0.01,0.01,0.73,0.28,16.97,0.01,0.61,23730.00,2.31
2025-06-16,-0.02,-0.02,0.72,0.12,7.41,0.00,0.00,24690.00,1.04
2025-06-17,-0.06,-0.06,0.72,0.51,33.33,0.06,3.70,26930.00,2.65
2025-06-18,0.01,0.01,0.63,0.11,7.14,-0.03,-1.96,26295.00,0.33
2025-06-20,-0.01,-0.01,0.63,0.13,8.50,0.10,6.49,25365.00,0.21
2025-06-23,-0.05,-0.05,0.63,0.14,9.59,-0.01,-0.65,25825.00,1.07
2025-06-24,-0.06,-0.06,0.64,0.19,13.87,0.01,0.68,26860.00,0.93
2025-06-25,0.01,0.01,0.65,0.19,13.67,0.00,0.00,24250.00,0.22
2025-06-26,0.03,0.03,0.65,0.19,13.29,0.06,4.32,32080.00,5.10
2025-06-27,1.27,0.82,4.56,3.28,101.23,0.18,12.59,3931415.00,19.85
2025-06-30,-0.07,-0.08,4.58,0.64,21.33,-0.54,-16.67,3992760.00,0.31
2025-07-01,0.43,0.36,4.75,2.71,63.17,-0.31,-10.33,4887670.00,3.66
2025-07-02,-0.34,-0.42,4.98,0.63,22.34,-0.94,-21.91,4938975.00,0.22
2025-07-03,-0.12,-0.12,5.01,0.32,12.85,-0.24,-8.51,4972635.00,0.14
2025-07-07,-0.19,-0.21,5.08,0.46,22.77,-0.10,-4.02,4995410.00,0.09
2025-07-08,-0.05,-0.05,5.09,0.22,11.46,0.08,3.96,5009610.00,0.06
2025-07-09,-0.06,-0.06,5.09,0.18,9.94,0.06,3.12,5020340.00,0.05
2025-07-10,0.08,0.08,5.09,0.36,18.37,0.05,2.76,5032960.00,0.06
2025-07-11,0.05,0.04,5.09,0.20,9.76,0.17,8.67,5046805.00,0.06
2025-07-14,-0.01,-0.01,5.08,0.18,8.91,0.07,3.41,5061535.00,0.06
2025-07-15,0.01,0.00,5.08,0.18,8.87,-0.01,-0.50,5066185.00,0.03
2025-07-16,0.06,0.06,5.08,0.27,12.50,-0.04,-1.97,5074790.00,0.04
2025-07-17,-0.03,-0.03,5.07,0.27,12.92,0.09,4.17,5078535.00,0.03
2025-07-18,-0.01,-0.01,5.08,0.32,15.46,-0.06,-2.87,5087655.00,0.04
2025-07-21,0.01,0.01,5.07,0.22,10.48,-0.03,-1.45,5098410.00,0.04
2025-07-22,-0.03,-0.03,5.07,0.18,8.87,0.00,0.00,5101570.00,0.02
2025-07-23,0.01,0.01,5.06,0.15,7.28,0.04,1.97,5103020.00,0.01
2025-07-24,0.09,0.09,5.06,0.45,20.00,-0.02,-0.97,5111785.00,0.04
2025-07-25,-0.02,-0.02,5.06,0.28,12.73,0.07,3.11,5110035.00,0.03
2025-07-28,0.30,0.27,2.52,0.59,20.56,0.15,6.82,1238665.00,0.48
2025-07-29,-0.07,-0.07,2.52,0.66,24.63,0.20,6.97,1189795.00,0.22
2025-07-30,-0.13,-0.14,2.00,0.38,16.31,0.02,0.75,299435.00,0.32
2025-07-31,0.04,0.04,1.61,0.15,6.20,0.17,7.30,246865.00,0.17
2025-08-01,0.05,0.04,1.56,0.51,20.16,-0.03,-1.24,215570.00,0.28
2025-08-04,0.00,0.00,1.38,0.38,15.02,0.07,2.77,196680.00,0.45
2025-08-05,-0.09,-0.10,1.42,0.32,13.97,-0.13,-5.14,185125.00,0.42
2025-08-06,-0.05,-0.05,1.42,0.19,8.76,-0.04,-1.75,175630.00,0.27
2025-08-07,-0.04,-0.04,1.40,0.07,3.37,-0.12,-5.53,163500.00,0.22
2025-08-08,0.03,0.03,1.40,0.24,11.21,0.09,4.33,149550.00,0.13
2025-08-11,0.00,0.00,1.40,0.14,6.54,-0.07,-3.27,137310.00,0.49
2025-08-12,-0.01,-0.01,1.40,0.13,6.13,-0.06,-2.80,131510.00,0.24
2025-08-13,0.03,0.03,1.38,0.14,6.42,0.08,3.77,123980.00,0.38
2025-08-14,-0.02,-0.02,1.38,0.28,13.08,0.03,1.38,118180.00,0.26
2025-08-15,0.02,0.02,1.38,0.20,9.13,0.02,0.93,113015.00,0.78
