Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2016-04-22,,,,0.05,0.12,,,300.00,1.00
2016-04-25,0.00,0.00,,0.02,0.05,0.08,0.20,750.00,1.60
2016-04-26,0.00,0.00,,0.01,0.02,0.09,0.22,567.00,0.35
2016-04-27,0.00,0.00,,0.00,0.00,0.20,0.49,450.00,0.22
2016-04-28,0.00,0.00,,0.00,0.00,0.00,0.00,360.00,0.00
2016-04-29,-0.02,-0.02,,0.71,1.77,-0.02,-0.05,333.00,0.60
2016-05-02,0.02,0.02,,0.68,1.66,0.16,0.40,557.00,3.41
2016-05-03,-0.02,-0.02,,0.11,0.27,-0.74,-1.81,962.00,3.95
2016-05-04,-0.01,-0.01,,0.00,0.00,-0.58,-1.45,878.00,0.23
2016-05-05,0.00,0.00,,0.00,0.00,0.00,0.00,790.00,0.00
2016-05-06,0.00,0.00,,0.00,0.00,0.00,0.00,718.00,0.00
2016-05-09,0.00,0.00,,0.00,0.00,0.00,0.00,658.00,0.00
2016-05-10,0.01,0.01,,0.00,0.00,0.35,0.89,700.00,1.71
2016-05-11,0.00,0.00,,0.00,0.00,0.01,0.03,664.00,0.30
2016-05-12,0.00,0.00,,0.00,0.00,0.05,0.13,633.00,0.32
2016-05-13,-0.01,-0.01,,0.01,0.03,-0.30,-0.75,612.00,0.49
2016-05-16,-0.01,-0.01,,0.06,0.15,-0.14,-0.35,600.00,0.67
2016-05-17,0.00,0.00,,0.00,0.00,0.00,0.00,572.00,0.17
2016-05-18,0.00,0.00,,0.01,0.03,-0.01,-0.03,563.00,0.71
2016-05-19,-0.01,-0.01,,0.26,0.67,-0.40,-1.01,585.00,1.71
2016-05-20,0.01,0.01,0.15,0.00,0.00,0.28,0.72,580.00,0.34
2016-05-23,0.00,0.00,0.15,0.00,0.00,0.03,0.08,530.00,0.38
2016-05-24,0.01,0.01,0.15,0.01,0.03,0.48,1.22,540.00,0.74
2016-05-25,0.00,0.00,0.15,0.00,0.00,0.00,0.00,535.00,0.00
2016-05-26,0.01,0.01,0.16,0.09,0.22,0.51,1.28,580.00,1.55
2016-05-27,-0.00,-0.00,0.15,0.06,0.15,-0.11,-0.27,680.00,3.24
2016-05-31,-0.00,-0.00,0.13,0.31,0.77,-0.02,-0.05,735.00,4.08
2016-06-01,0.00,0.00,0.11,0.00,0.00,0.00,0.00,545.00,0.00
2016-06-02,0.01,0.01,0.10,0.12,0.30,0.23,0.57,550.00,0.55
2016-06-03,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1550.00,12.90
2016-06-06,0.02,0.02,0.11,0.20,0.49,0.45,1.11,1560.00,0.13
2016-06-07,0.00,0.00,0.11,0.00,0.00,0.00,0.00,1560.00,0.00
2016-06-08,0.00,0.00,0.11,0.00,0.00,0.14,0.34,1510.00,0.13
2016-06-09,0.00,0.00,0.11,0.00,0.00,0.00,0.00,1500.00,0.00
2016-06-10,-0.02,-0.02,0.14,0.00,0.00,-0.95,-2.30,1500.00,0.13
2016-06-13,-0.02,-0.02,0.15,0.12,0.30,-0.49,-1.22,1520.00,0.46
2016-06-14,-0.01,-0.01,0.16,0.27,0.69,-0.26,-0.66,1590.00,1.13
2016-06-15,0.01,0.01,0.16,0.59,1.50,0.68,1.74,1675.00,1.07
2016-06-16,0.00,0.00,0.16,0.00,0.00,0.07,0.18,1660.00,0.06
2016-06-17,0.00,0.00,0.15,0.00,0.00,0.00,0.00,1610.00,0.00
2016-06-20,0.00,0.00,0.15,0.00,0.00,0.00,0.00,1600.00,0.00
2016-06-21,0.02,0.02,0.17,0.00,0.00,0.90,2.28,1595.00,0.06
2016-06-22,0.00,0.00,0.16,0.03,0.07,0.13,0.32,1610.00,0.43
2016-06-23,0.01,0.01,0.17,0.12,0.29,0.33,0.81,1675.00,0.78
2016-06-24,-0.05,-0.05,0.24,0.32,0.82,-1.76,-4.29,1665.00,0.42
2016-06-27,-0.02,-0.02,0.26,0.00,0.00,-0.88,-2.26,1560.00,0.06
2016-06-28,0.02,0.02,0.27,0.31,0.80,0.61,1.60,1470.00,0.82
2016-06-29,0.00,0.00,0.27,0.00,0.00,0.00,0.00,1470.00,0.00
2016-06-30,0.03,0.03,0.29,0.40,1.00,1.22,3.13,2625.00,8.91
2016-07-01,0.00,0.00,0.29,0.00,0.00,0.00,0.00,1625.00,0.00
2016-07-05,0.00,0.00,0.28,0.00,0.00,0.00,0.00,1615.00,0.00
2016-07-06,-0.01,-0.01,0.28,0.00,0.00,-0.32,-0.80,1630.00,0.18
2016-07-07,0.00,0.00,0.28,0.00,0.00,0.11,0.28,1630.00,0.12
2016-07-08,0.01,0.01,0.29,0.00,0.00,0.51,1.28,1635.00,0.06
2016-07-11,0.01,0.01,0.28,0.01,0.02,0.48,1.19,1650.00,0.30
2016-07-12,0.01,0.01,0.27,0.00,0.00,0.30,0.74,1640.00,0.30
2016-07-13,0.00,0.00,0.27,0.11,0.27,0.03,0.07,1595.00,0.56
2016-07-14,0.00,0.00,0.27,0.00,0.00,0.16,0.39,1525.00,0.26
2016-07-15,-0.00,-0.00,0.27,0.05,0.12,-0.12,-0.29,1565.00,0.58
2016-07-18,-0.00,-0.00,0.27,0.00,0.00,-0.04,-0.10,1580.00,0.19
2016-07-19,0.00,0.00,0.27,0.00,0.00,0.00,0.00,1580.00,0.00
2016-07-20,0.00,0.00,0.26,0.00,0.00,0.00,0.00,1575.00,0.00
2016-07-21,0.00,0.00,0.26,0.00,0.00,0.20,0.49,1545.00,0.06
2016-07-22,0.00,0.00,0.25,0.08,0.19,0.05,0.12,1545.00,0.84
2016-07-25,0.00,0.00,0.17,0.00,0.00,0.00,0.00,1510.00,0.00
2016-07-26,0.00,0.00,0.14,0.10,0.24,0.11,0.27,1520.00,0.20
2016-07-27,0.00,0.00,0.12,0.00,0.00,0.00,0.00,1460.00,0.00
2016-07-28,0.00,0.00,0.12,0.00,0.00,0.00,0.00,1460.00,0.00
2016-07-29,0.00,0.00,0.07,0.00,0.00,0.17,0.41,310.00,1.29
2016-08-01,0.00,0.00,0.07,0.00,0.00,0.00,0.00,310.00,0.00
