Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2000-01-03,,,,2.25,6.86,,,2315600.00,1.00
2000-01-04,-0.07,-0.07,,2.12,6.96,-0.34,-1.04,1803300.00,0.72
2000-01-05,0.01,0.01,,1.75,5.70,-0.06,-0.20,2316800.00,1.44
2000-01-06,-0.07,-0.08,,2.91,10.22,0.02,0.07,2514450.00,1.24
2000-01-07,0.01,0.01,,1.47,5.11,0.09,0.32,2353720.00,0.73
2000-01-10,0.05,0.05,,1.72,5.70,0.50,1.74,2247867.00,0.76
2000-01-11,-0.04,-0.04,,2.06,7.11,-0.22,-0.73,2323743.00,1.20
2000-01-12,-0.08,-0.08,,2.12,7.93,-0.19,-0.66,2674975.00,1.92
2000-01-13,0.03,0.03,,1.03,3.74,0.91,3.41,2899978.00,1.62
2000-01-14,0.02,0.02,,1.09,3.87,0.50,1.82,2938540.00,1.12
2000-01-18,-0.02,-0.02,,0.75,2.72,-0.19,-0.67,2986727.00,1.16
2000-01-19,-0.02,-0.02,,1.56,5.75,0.10,0.36,2861517.00,0.52
2000-01-20,0.01,0.01,,1.10,4.03,0.13,0.48,2852600.00,0.96
2000-01-21,0.00,0.00,,0.88,3.22,0.03,0.11,2803629.00,0.77
2000-01-24,-0.03,-0.03,,1.25,4.73,0.38,1.39,2774360.00,0.85
2000-01-25,-0.09,-0.10,,3.28,13.67,0.18,0.68,2941775.00,1.85
2000-01-26,-0.01,-0.01,,1.75,7.35,-0.19,-0.79,3071565.00,1.68
2000-01-27,-0.08,-0.08,,3.31,15.11,0.25,1.05,3240633.00,1.89
2000-01-28,-0.01,-0.01,,0.71,3.28,0.18,0.82,3302916.00,1.34
2000-01-31,0.07,0.06,,1.94,8.40,0.05,0.23,3297960.00,0.97
2000-02-01,0.01,0.01,0.71,0.69,2.96,0.22,0.95,3265910.00,0.51
2000-02-02,-0.02,-0.02,0.68,1.12,4.89,0.25,1.07,3271720.00,0.43
2000-02-03,0.02,0.02,0.69,1.10,4.70,0.09,0.39,3246380.00,0.87
2000-02-04,-0.03,-0.03,0.66,1.40,6.19,0.21,0.90,3193600.00,0.64
2000-02-07,-0.04,-0.04,0.66,1.25,5.75,0.00,0.00,3233050.00,0.77
2000-02-08,0.04,0.04,0.65,1.25,5.53,0.31,1.43,3258410.00,0.68
2000-02-09,0.07,0.06,0.70,1.34,5.56,0.35,1.55,3316610.00,1.19
2000-02-10,0.05,0.05,0.68,1.56,6.14,0.85,3.53,3362330.00,1.80
2000-02-11,-0.01,-0.01,0.67,1.38,5.46,0.71,2.79,3337250.00,1.26
2000-02-14,-0.16,-0.18,0.86,3.65,17.20,-0.97,-3.84,3657940.00,2.65
2000-02-15,0.00,0.00,0.86,2.16,10.14,1.90,8.95,4460870.00,4.38
2000-02-16,0.05,0.04,0.89,0.96,4.31,0.94,4.41,4751240.00,1.53
2000-02-17,0.04,0.04,0.90,1.19,5.12,0.97,4.35,5011500.00,1.59
2000-02-18,-0.19,-0.21,1.12,2.75,14.64,-2.06,-8.86,6653630.00,5.26
2000-02-22,0.04,0.04,1.13,1.28,6.57,1.34,7.14,7085700.00,1.55
2000-02-23,0.03,0.03,1.10,0.37,1.85,0.47,2.41,7054850.00,0.69
