Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2000-01-03,,,,0.68,4.29,,,1702930.00,1.00
2000-01-04,-0.05,-0.05,,0.56,3.71,-0.52,-3.28,2152204.00,1.21
2000-01-05,-0.02,-0.02,,0.59,4.01,-0.14,-0.93,2510146.00,1.29
2000-01-06,-0.02,-0.02,,0.34,2.36,-0.21,-1.43,2533730.00,1.03
2000-01-07,0.02,0.02,,0.52,3.53,0.39,2.70,2785410.00,1.36
2000-01-10,0.09,0.08,,0.96,6.00,1.00,6.79,3100665.00,1.51
2000-01-11,-0.04,-0.04,,0.48,3.12,-0.24,-1.50,3039616.00,0.88
2000-01-12,0.05,0.05,,0.50,3.10,0.30,1.95,2975525.00,0.85
2000-01-13,0.00,0.00,,0.40,2.47,0.00,0.00,2954698.00,0.94
2000-01-14,0.05,0.05,,0.72,4.25,0.48,2.97,3078751.00,1.36
2000-01-18,0.10,0.09,,1.04,5.60,0.64,3.78,3325220.00,1.74
2000-01-19,0.00,0.00,,0.64,3.45,-0.42,-2.26,3445889.00,1.39
2000-01-20,-0.04,-0.05,,0.70,3.94,-0.68,-3.66,3490602.00,1.15
2000-01-21,0.01,0.01,,0.88,4.91,-0.28,-1.58,3541122.00,1.19
2000-01-24,-0.02,-0.02,,0.54,3.07,-0.26,-1.45,3438587.00,0.58
2000-01-25,0.00,0.00,,0.56,3.18,-0.30,-1.71,3320951.00,0.47
2000-01-26,0.02,0.02,,0.42,2.33,0.54,3.06,3318993.00,0.99
2000-01-27,-0.00,-0.00,,0.56,3.13,-0.02,-0.11,3284171.00,0.82
2000-01-28,-0.02,-0.02,,0.78,4.46,-0.20,-1.12,3288042.00,1.02
2000-01-31,0.04,0.04,,1.30,7.13,-0.12,-0.69,3405457.00,1.66
2000-02-01,0.04,0.04,0.65,0.66,3.49,0.26,1.43,3565334.00,1.37
2000-02-02,0.07,0.07,0.64,1.12,5.55,0.50,2.65,3727300.00,1.57
2000-02-03,-0.02,-0.02,0.64,1.94,9.81,-2.08,-10.31,4027607.00,2.29
2000-02-04,-0.06,-0.07,0.69,1.22,6.59,-1.98,-10.02,4636345.00,3.19
2000-02-07,-0.07,-0.07,0.74,0.50,2.89,-1.34,-7.24,5091516.00,2.53
2000-02-08,0.07,0.06,0.72,0.48,2.60,0.94,5.44,5142718.00,1.11
2000-02-09,-0.08,-0.09,0.77,1.04,6.16,-1.34,-7.27,5501261.00,1.79
2000-02-10,0.04,0.04,0.76,0.98,5.57,0.86,5.09,5723271.00,1.22
2000-02-11,0.00,0.00,0.76,1.46,8.29,0.76,4.32,6177781.00,1.92
2000-02-14,-0.03,-0.03,0.76,0.50,2.93,-0.38,-2.16,6186094.00,0.71
2000-02-15,-0.02,-0.02,0.67,0.82,4.88,-0.58,-3.39,6317807.00,1.33
2000-02-16,-0.03,-0.03,0.68,0.50,3.07,-0.72,-4.28,6505358.00,1.31
2000-02-17,0.05,0.05,0.69,0.74,4.32,0.46,2.83,6553397.00,0.76
2000-02-18,-0.02,-0.02,0.69,0.60,3.57,-0.62,-3.62,6731754.00,1.15
2000-02-22,0.05,0.05,0.71,0.60,3.39,0.88,5.23,6996885.00,1.04
2000-02-23,0.05,0.05,0.73,0.48,2.59,0.84,4.75,7171672.00,0.70
2000-02-24,0.02,0.02,0.73,0.76,4.02,0.04,0.22,7222603.00,0.60
2000-02-25,-0.03,-0.03,0.74,0.38,2.07,-0.18,-0.95,7252226.00,0.45
2000-02-28,-0.04,-0.04,0.75,0.46,2.60,-0.30,-1.63,7306823.00,0.61
2000-02-29,0.04,0.04,0.75,0.72,3.91,0.28,1.58,7207831.00,0.51
2000-03-01,-0.01,-0.01,0.74,0.60,3.30,-0.24,-1.30,7159229.00,0.55
2000-03-02,0.01,0.01,0.69,0.48,2.61,-0.22,-1.21,7013070.00,0.42
2000-03-03,0.04,0.04,0.71,0.80,4.17,0.30,1.63,6766931.00,0.64
2000-03-06,0.03,0.03,0.68,0.92,4.65,0.86,4.49,6356057.00,1.03
2000-03-07,-0.03,-0.03,0.64,0.92,4.78,0.38,1.92,5913586.00,0.68
2000-03-08,0.03,0.03,0.61,0.78,3.93,0.26,1.35,5788679.00,0.55
2000-03-09,0.02,0.02,0.51,0.74,3.67,-0.08,-0.40,5564420.00,0.96
2000-03-10,-0.02,-0.02,0.50,0.48,2.42,-0.50,-2.48,5528236.00,1.13
2000-03-13,-0.01,-0.01,0.51,0.86,4.40,-0.76,-3.84,5109310.00,0.68
2000-03-14,-0.04,-0.04,0.52,0.64,3.41,-0.28,-1.43,5085593.00,0.76
2000-03-15,-0.04,-0.05,0.54,0.52,2.90,-0.44,-2.34,4827085.00,0.67
2000-03-16,0.04,0.04,0.54,0.96,5.14,0.16,0.89,4600354.00,0.87
2000-03-17,0.01,0.01,0.52,0.74,3.93,-0.38,-2.03,4484361.00,0.59
2000-03-20,0.05,0.05,0.53,0.78,3.96,0.38,2.02,4294673.00,0.92
2000-03-21,-0.02,-0.02,0.51,1.00,5.15,-0.94,-4.77,4304854.00,1.74
2000-03-22,-0.03,-0.03,0.50,0.72,3.83,-1.08,-5.56,4565087.00,2.25
2000-03-23,0.02,0.02,0.50,0.78,4.06,-0.22,-1.17,4601186.00,1.09
2000-03-24,-0.01,-0.01,0.49,0.30,1.58,-0.06,-0.31,4643234.00,0.89
2000-03-27,-0.01,-0.01,0.47,0.24,1.28,-0.28,-1.48,4595148.00,0.76
2000-03-28,0.00,0.00,0.45,0.40,2.13,0.08,0.43,4587890.00,0.77
2000-03-29,-0.03,-0.03,0.46,0.54,2.96,-0.28,-1.49,4585057.00,0.84
2000-03-30,-0.03,-0.03,0.47,0.58,3.29,-0.68,-3.73,4589860.00,0.66
2000-03-31,0.01,0.01,0.44,0.60,3.37,0.26,1.47,4593843.00,0.96
2000-04-03,-0.00,-0.00,0.43,0.68,3.83,-0.18,-1.01,4417889.00,0.69
2000-04-04,-0.06,-0.06,0.47,1.40,8.40,-0.96,-5.40,4528748.00,1.38
2000-04-05,-0.00,-0.00,0.44,1.10,6.61,-0.50,-3.00,4721861.00,1.50
2000-04-06,0.06,0.06,0.50,0.94,5.33,0.54,3.25,4668294.00,0.92
2000-04-07,0.03,0.03,0.51,0.42,2.32,0.62,3.52,4484516.00,0.57
2000-04-10,-0.07,-0.07,0.56,1.28,7.58,0.00,0.00,4460932.00,0.68
