Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2025-02-27,,,,0.79,21.94,,,740800.00,1.00
2025-02-28,0.04,0.04,,0.90,23.94,-0.19,-5.28,459600.00,0.39
2025-03-03,0.01,0.01,,0.44,11.58,-0.33,-8.78,317400.00,0.10
2025-03-04,-0.05,-0.05,,0.35,9.72,0.00,0.00,250475.00,0.20
2025-03-05,0.02,0.02,,0.29,7.90,0.23,6.39,209620.00,0.22
2025-03-06,0.01,0.01,,0.15,4.07,0.00,0.00,178867.00,0.14
2025-03-07,-0.01,-0.01,,0.08,2.19,-0.09,-2.44,155429.00,0.10
2025-03-10,0.00,0.00,,0.25,6.85,0.14,3.84,139475.00,0.20
2025-03-11,-0.01,-0.01,,0.19,5.28,0.00,0.00,124089.00,0.01
2025-03-12,0.04,0.04,,0.25,6.65,0.00,0.00,114350.00,0.23
2025-03-13,0.01,0.01,,0.15,3.95,0.03,0.80,111645.00,0.76
2025-03-14,0.03,0.03,,0.28,7.18,-0.09,-2.37,107567.00,0.58
2025-03-17,-0.01,-0.01,,0.28,7.27,0.00,0.00,101646.00,0.30
2025-03-18,-0.02,-0.02,,0.27,7.14,0.04,1.04,95036.00,0.10
2025-03-19,0.06,0.05,,0.29,7.27,0.06,1.59,89820.00,0.19
2025-03-20,0.01,0.01,,0.30,7.41,-0.10,-2.51,94106.00,1.68
2025-03-21,-0.04,-0.04,,0.35,8.97,-0.04,-0.99,90276.00,0.32
2025-03-24,0.03,0.03,,0.11,2.75,0.09,2.31,87211.00,0.40
2025-03-25,-0.01,-0.01,,0.09,2.27,-0.01,-0.25,83889.00,0.29
2025-03-26,-0.04,-0.04,,0.28,7.37,-0.06,-1.51,82355.00,0.65
2025-03-27,0.00,0.00,0.46,0.26,6.82,-0.15,-3.95,49960.00,1.86
2025-03-28,0.04,0.04,0.45,0.26,6.57,0.09,2.36,42130.00,0.52
2025-03-31,-0.02,-0.02,0.46,0.11,2.83,-0.02,-0.51,41605.00,0.54
2025-04-01,0.01,0.01,0.41,0.20,5.09,-0.01,-0.26,40735.00,0.79
2025-04-02,-0.00,-0.00,0.41,0.25,6.38,0.04,1.02,39165.00,0.38
2025-04-03,0.00,0.00,0.41,0.19,4.85,-0.12,-3.06,38450.00,0.28
2025-04-04,0.00,0.00,0.40,0.41,10.43,-0.22,-5.61,38640.00,0.48
2025-04-07,-0.04,-0.04,0.43,0.23,6.10,-0.22,-5.60,38335.00,0.57
2025-04-08,0.06,0.06,0.48,0.28,7.00,0.21,5.57,38960.00,0.35
2025-04-09,-0.03,-0.03,0.47,0.06,1.54,-0.10,-2.50,37695.00,0.04
2025-04-10,-0.04,-0.04,0.49,0.20,5.33,-0.19,-4.88,34015.00,0.32
2025-04-11,0.04,0.04,0.50,0.17,4.36,0.05,1.33,31375.00,0.32
2025-04-14,0.02,0.02,0.50,0.41,10.28,0.04,1.03,30910.00,0.69
2025-04-15,-0.03,-0.03,0.51,0.11,2.84,-0.01,-0.25,30700.00,0.16
2025-04-16,0.05,0.05,0.50,0.26,6.42,0.14,3.62,29945.00,0.06
2025-04-17,-0.04,-0.04,0.51,0.04,1.03,-0.18,-4.44,22080.00,0.05
2025-04-21,0.03,0.03,0.51,0.06,1.50,0.14,3.59,20695.00,0.06
2025-04-22,0.02,0.02,0.50,0.34,8.31,0.28,6.98,19355.00,0.43
2025-04-23,0.03,0.03,0.51,0.30,7.14,0.20,4.89,19670.00,1.55
2025-04-24,-0.02,-0.02,0.49,0.15,3.65,-0.15,-3.57,17310.00,0.35
2025-04-25,0.05,0.05,0.51,0.21,4.88,-0.01,-0.24,14020.00,1.93
2025-04-28,-0.04,-0.04,0.52,0.17,4.13,-0.13,-3.02,14170.00,1.75
2025-04-29,0.01,0.01,0.52,0.05,1.20,0.03,0.73,13855.00,1.17
2025-04-30,-0.01,-0.01,0.52,0.08,1.94,0.00,0.00,13045.00,1.23
2025-05-01,0.00,0.00,0.52,0.25,6.05,-0.02,-0.49,18085.00,6.39
2025-05-02,0.01,0.01,0.52,0.39,9.35,0.01,0.24,22505.00,4.41
2025-05-05,-0.08,-0.08,0.60,0.30,7.81,-0.19,-4.56,21755.00,0.17
2025-05-06,0.04,0.04,0.60,0.29,7.23,0.04,1.04,21520.00,0.79
2025-05-07,-0.06,-0.06,0.60,0.34,9.04,0.09,2.24,21025.00,0.17
2025-05-08,0.05,0.05,0.62,0.11,2.79,0.23,6.12,21165.00,0.20
2025-05-09,-0.03,-0.03,0.61,0.17,4.46,0.02,0.51,20745.00,0.13
2025-05-12,0.02,0.02,0.60,0.15,3.87,-0.08,-2.10,20275.00,0.02
2025-05-13,0.03,0.03,0.61,0.08,2.00,0.04,1.03,19255.00,0.05
2025-05-14,0.00,0.00,0.59,0.00,0.00,0.00,0.00,19025.00,0.02
2025-05-15,0.00,0.00,0.57,0.00,0.00,0.00,0.00,18940.00,0.00
2025-05-16,0.00,0.00,0.55,0.00,0.00,0.00,0.00,18885.00,0.00
2025-05-19,-0.10,-0.11,0.65,0.16,4.44,-0.25,-6.25,19405.00,0.60
2025-05-20,-0.10,-0.11,0.73,0.34,10.53,-0.15,-4.17,19695.00,0.72
2025-05-21,-0.23,-0.26,1.04,0.66,26.40,-0.23,-7.12,22430.00,3.79
2025-05-22,-0.10,-0.11,1.08,0.32,14.29,-0.08,-3.20,23765.00,1.38
2025-05-23,-0.13,-0.14,1.11,0.35,18.04,-0.13,-5.80,23965.00,1.30
2025-05-27,-0.14,-0.15,1.17,0.75,44.91,-0.06,-3.09,37610.00,7.92
2025-05-28,0.17,0.16,1.39,0.45,22.96,0.02,1.20,42555.00,2.70
2025-05-29,0.69,0.52,2.92,1.98,59.82,1.91,97.45,1416775.00,19.41
2025-05-30,-0.12,-0.13,2.95,1.01,34.83,0.07,2.11,1451115.00,0.55
2025-06-02,-0.07,-0.07,2.96,1.33,49.08,0.41,14.14,2014765.00,5.64
2025-06-03,-0.09,-0.10,2.96,0.50,20.33,0.03,1.11,2051555.00,0.36
2025-06-04,0.15,0.14,3.01,0.25,8.87,0.34,13.82,2073680.00,0.22
2025-06-05,-0.09,-0.10,3.02,0.58,22.66,0.12,4.26,2086965.00,0.13
2025-06-06,0.11,0.10,3.04,0.38,13.43,0.34,13.28,2096545.00,0.09
2025-06-09,-0.07,-0.08,3.05,0.90,34.35,0.07,2.47,2102540.00,0.06
2025-06-10,0.07,0.07,3.06,0.30,10.71,0.38,14.50,2112495.00,0.09
2025-06-11,0.03,0.02,3.06,0.16,5.57,-0.01,-0.36,2115885.00,0.03
2025-06-12,0.02,0.02,3.06,0.22,7.53,-0.07,-2.44,2127320.00,0.11
2025-06-13,-0.07,-0.07,3.07,0.23,8.42,-0.16,-5.48,2133495.00,0.06
2025-06-16,-0.05,-0.05,3.07,0.32,12.31,0.02,0.73,2139485.00,0.06
2025-06-17,-0.02,-0.02,3.05,0.35,13.73,0.10,3.85,2140755.00,0.02
2025-06-18,0.04,0.03,3.03,0.32,12.12,0.02,0.78,2142975.00,0.03
2025-06-20,-0.04,-0.04,2.91,0.25,9.84,-0.07,-2.65,2140715.00,0.02
2025-06-23,-0.06,-0.06,2.89,0.22,9.21,-0.05,-1.97,2145860.00,0.06
2025-06-24,0.03,0.03,2.84,0.29,11.79,-0.03,-1.26,2147805.00,0.03
2025-06-25,-0.08,-0.08,2.80,0.19,8.37,-0.07,-2.85,2134255.00,0.01
2025-06-26,0.01,0.01,2.74,0.13,5.65,-0.02,-0.88,2129260.00,0.01
2025-06-27,0.00,0.00,1.13,0.12,5.19,-0.05,-2.17,755600.00,0.04
2025-06-30,-0.03,-0.04,1.05,0.42,18.83,0.00,0.00,716585.00,0.03
2025-07-01,-0.08,-0.08,1.07,2.29,111.71,1.94,87.00,2317010.00,18.72
2025-07-02,-0.05,-0.05,1.03,0.25,12.82,-0.19,-9.27,2317485.00,0.32
2025-07-03,-0.05,-0.05,0.86,0.32,17.30,0.05,2.56,2311965.00,0.15
2025-07-07,-0.10,-0.11,0.87,0.24,14.46,-0.03,-1.62,2312380.00,0.12
2025-07-08,-0.04,-0.04,0.74,0.16,10.06,-0.01,-0.60,2317350.00,0.13
2025-07-09,0.08,0.08,0.81,0.16,9.30,0.13,8.18,2319460.00,0.07
2025-07-10,0.00,0.00,0.75,0.10,5.81,-0.03,-1.74,2312755.00,0.03
2025-07-11,0.05,0.05,0.78,0.28,15.47,0.10,5.81,2326440.00,0.15
2025-07-14,0.14,0.13,0.97,0.59,28.50,-0.06,-3.31,2418810.00,0.86
2025-07-15,0.00,0.00,0.95,0.27,13.04,-0.02,-0.97,2432740.00,0.17
2025-07-16,0.01,0.01,0.94,0.16,7.66,0.09,4.35,2434950.00,0.07
2025-07-17,0.02,0.02,0.95,0.25,11.74,0.15,7.18,2444530.00,0.09
2025-07-18,0.03,0.03,0.95,0.23,10.45,-0.01,-0.47,2451390.00,0.08
2025-07-21,-0.02,-0.02,0.94,0.20,9.30,-0.01,-0.45,2461045.00,0.09
2025-07-22,-0.04,-0.04,0.93,0.10,4.83,-0.01,-0.47,2460805.00,0.05
2025-07-23,-0.05,-0.05,0.93,0.11,5.58,-0.04,-1.93,2461455.00,0.03
2025-07-24,-0.06,-0.06,0.91,0.20,10.75,0.06,3.05,2463925.00,0.03
2025-07-25,-0.01,-0.01,0.91,0.11,5.98,0.05,2.69,2464930.00,0.01
2025-07-28,0.02,0.02,0.91,0.12,6.38,0.15,8.15,2465410.00,0.01
2025-07-29,-0.06,-0.07,0.93,0.15,8.52,-0.05,-2.66,2470295.00,0.05
2025-07-30,0.00,0.00,0.89,0.15,8.52,0.03,1.70,304455.00,0.21
2025-07-31,0.03,0.03,0.89,0.17,9.34,0.02,1.14,271100.00,0.30
2025-08-01,-0.07,-0.07,0.90,0.17,10.00,0.02,1.10,256305.00,0.21
2025-08-04,0.02,0.02,0.82,0.09,5.20,-0.01,-0.59,243980.00,0.13
2025-08-05,0.06,0.06,0.83,0.12,6.52,0.04,2.31,232595.00,0.29
2025-08-06,-0.01,-0.01,0.79,0.19,10.44,0.06,3.26,229365.00,0.44
2025-08-07,0.09,0.09,0.85,0.16,8.04,0.02,1.10,227995.00,0.17
2025-08-08,-0.04,-0.04,0.84,0.54,28.13,0.20,10.05,353155.00,8.06
2025-08-11,0.08,0.08,0.72,0.23,11.11,0.08,4.17,258040.00,0.67
2025-08-12,-0.06,-0.06,0.76,0.20,10.31,-0.09,-4.35,240665.00,0.23
2025-08-13,-0.02,-0.02,0.76,0.26,13.68,-0.01,-0.52,236880.00,0.37
2025-08-14,0.04,0.04,0.77,0.22,11.11,0.05,2.63,228490.00,0.27
2025-08-15,-0.03,-0.03,0.77,0.07,3.65,-0.01,-0.51,220645.00,0.18
2025-08-18,0.00,0.00,0.77,0.13,6.77,0.00,0.00,210750.00,0.17
2025-08-19,0.01,0.01,0.76,0.18,9.33,-0.01,-0.52,206310.00,0.20
2025-08-20,-0.01,-0.01,0.74,0.19,9.95,0.01,0.52,205870.00,0.36
2025-08-21,0.05,0.05,0.73,0.15,7.50,-0.06,-3.14,204775.00,0.26
