Date,Returns,Returns_Log,Volatilidade_20,Range_Diario,Range_Percentual,Gap,Gap_Percentual,Volume_Medio_20,Volume_Ratio
2015-04-15,,,,3.18,15.88,,,1022900.00,1.00
2015-04-16,-0.02,-0.02,,1.84,9.40,0.27,1.35,633850.00,0.39
2015-04-17,0.15,0.14,,3.49,15.47,0.25,1.28,490033.00,0.41
2015-04-20,0.20,0.18,,4.46,16.43,1.20,5.32,508375.00,1.11
2015-04-21,-0.13,-0.14,,5.02,21.29,0.83,3.06,472260.00,0.69
2015-04-22,0.01,0.01,,2.18,9.18,1.41,5.98,420717.00,0.39
2015-04-23,-0.00,-0.00,,2.24,9.48,-0.04,-0.17,377929.00,0.32
2015-04-24,-0.16,-0.18,,4.46,22.56,0.06,0.25,372350.00,0.90
2015-04-27,-0.13,-0.14,,3.80,22.11,0.37,1.87,404067.00,1.63
2015-04-28,-0.00,-0.00,,1.19,6.94,0.00,0.00,386150.00,0.58
2015-04-29,0.00,0.00,,1.12,6.52,0.14,0.82,365127.00,0.42
2015-04-30,-0.08,-0.09,,2.80,17.80,0.05,0.29,357442.00,0.76
2015-05-01,-0.03,-0.03,,1.95,12.83,0.39,2.48,353769.00,0.88
2015-05-04,0.06,0.06,,1.52,9.45,0.29,1.91,355686.00,1.07
2015-05-05,-0.02,-0.03,,2.01,12.82,0.37,2.30,347267.00,0.66
2015-05-06,-0.03,-0.03,,1.17,7.70,-0.08,-0.51,331538.00,0.29
2015-05-07,0.03,0.03,,0.42,2.67,0.32,2.11,316129.00,0.22
2015-05-08,0.05,0.05,,0.96,5.84,0.61,3.88,307350.00,0.51
2015-05-11,0.05,0.05,,1.52,8.76,0.35,2.13,307084.00,0.98
2015-05-12,0.00,0.00,,0.78,4.48,0.31,1.79,300635.00,0.59
2015-05-13,0.03,0.03,1.39,1.24,6.94,1.06,6.09,254210.00,0.37
2015-05-14,-0.05,-0.05,1.40,0.88,5.17,-0.10,-0.56,250245.00,0.66
2015-05-15,0.01,0.01,1.28,1.54,8.97,-0.09,-0.53,246040.00,0.48
2015-05-18,-0.01,-0.01,1.00,0.64,3.76,0.15,0.87,222210.00,0.39
2015-05-19,-0.07,-0.07,0.93,2.00,12.60,0.42,2.47,211990.00,0.58
2015-05-20,0.02,0.02,0.94,1.12,6.90,0.15,0.95,209250.00,0.52
2015-05-21,0.01,0.01,0.94,0.70,4.27,0.01,0.06,206925.00,0.36
2015-05-22,0.08,0.08,0.83,1.72,9.70,0.31,1.89,203480.00,1.30
2015-05-26,-0.02,-0.02,0.68,1.35,7.75,0.27,1.52,183700.00,1.43
2015-05-27,-0.01,-0.01,0.68,2.50,14.50,1.73,9.93,186190.00,1.48
2015-05-28,-0.00,-0.00,0.68,0.98,5.71,0.54,3.13,187510.00,0.97
2015-05-29,-0.04,-0.04,0.62,1.24,7.53,-0.06,-0.35,190145.00,1.71
2015-06-01,-0.03,-0.03,0.62,1.59,9.93,0.15,0.91,184890.00,1.11
2015-06-02,0.03,0.03,0.60,1.49,9.01,0.27,1.69,175310.00,1.08
2015-06-03,0.07,0.07,0.64,1.28,7.21,0.26,1.57,170095.00,0.74
2015-06-04,-0.06,-0.06,0.67,1.33,7.99,-0.17,-0.96,185915.00,2.22
2015-06-05,0.05,0.05,0.68,0.83,4.77,0.41,2.46,188975.00,0.69
2015-06-08,0.04,0.04,0.67,1.15,6.38,0.00,0.00,186370.00,0.57
2015-06-09,0.04,0.04,0.66,1.41,7.54,-0.15,-0.83,186780.00,1.66
2015-06-10,0.01,0.01,0.66,0.94,4.96,0.18,0.96,186060.00,0.88
2015-06-11,0.00,0.00,0.65,0.48,2.53,0.13,0.69,184415.00,0.33
2015-06-12,0.01,0.01,0.62,0.39,2.04,0.11,0.58,179425.00,0.37
2015-06-15,-0.01,-0.01,0.62,1.00,5.28,0.30,1.57,179070.00,0.62
2015-06-16,-0.06,-0.06,0.66,1.87,10.49,0.26,1.37,179245.00,0.50
2015-06-17,0.02,0.02,0.61,1.03,5.64,0.31,1.74,176590.00,0.40
2015-06-18,-0.03,-0.03,0.62,1.85,10.40,0.07,0.38,181835.00,1.17
2015-06-19,-0.02,-0.02,0.63,0.90,5.18,0.12,0.67,192220.00,1.47
2015-06-22,0.02,0.02,0.56,1.22,6.91,-0.01,-0.06,183740.00,0.52
2015-06-23,-0.02,-0.02,0.56,0.72,4.15,0.12,0.68,175620.00,0.57
2015-06-24,-0.01,-0.01,0.56,0.68,3.95,-0.09,-0.52,168600.00,0.80
2015-06-25,-0.02,-0.02,0.56,1.12,6.60,-0.07,-0.41,164850.00,0.64
2015-06-26,-0.04,-0.04,0.56,0.87,5.32,0.13,0.77,175735.00,3.09
2015-06-29,-0.04,-0.04,0.57,0.83,5.28,-0.19,-1.16,168875.00,0.40
2015-06-30,-0.01,-0.01,0.56,1.57,10.08,-0.22,-1.40,164370.00,0.60
2015-07-01,-0.00,-0.00,0.48,0.82,5.28,0.25,1.60,162950.00,0.59
2015-07-02,-0.02,-0.02,0.43,0.45,2.95,-0.05,-0.32,149090.00,0.90
2015-07-06,0.04,0.04,0.42,0.76,4.79,0.33,2.16,147410.00,0.66
2015-07-07,0.01,0.01,0.40,1.01,6.29,0.39,2.46,151540.00,1.24
2015-07-08,-0.10,-0.11,0.50,1.90,13.20,0.03,0.19,143945.00,1.10
2015-07-09,0.02,0.02,0.51,1.62,11.00,0.43,2.99,144355.00,1.19
2015-07-10,-0.01,-0.01,0.51,1.09,7.50,0.35,2.38,149330.00,1.08
2015-07-13,-0.04,-0.04,0.51,0.88,6.29,0.11,0.76,150445.00,0.58
2015-07-14,-0.06,-0.06,0.53,0.94,7.14,-0.07,-0.50,155240.00,1.33
2015-07-15,0.01,0.01,0.52,1.49,11.18,0.20,1.52,161875.00,1.38
2015-07-16,0.10,0.10,0.65,1.48,10.07,0.29,2.18,165775.00,0.89
2015-07-17,0.12,0.11,0.79,1.67,10.18,0.04,0.27,163845.00,1.07
2015-07-20,0.03,0.03,0.79,0.73,4.32,0.52,3.17,157195.00,0.95
2015-07-21,0.05,0.04,0.81,1.79,10.14,0.36,2.13,166795.00,1.72
2015-07-22,0.01,0.01,0.80,0.54,3.03,0.23,1.30,165715.00,0.47
2015-07-23,-0.05,-0.05,0.83,1.63,9.64,0.21,1.18,166205.00,0.87
2015-07-24,-0.04,-0.04,0.83,1.33,8.17,0.08,0.47,164035.00,0.38
2015-07-27,0.01,0.01,0.82,0.36,2.20,-0.09,-0.55,138455.00,0.23
2015-07-28,0.04,0.04,0.82,1.06,6.21,0.84,5.13,138110.00,0.44
2015-07-29,-0.04,-0.04,0.84,0.63,3.84,-0.09,-0.53,136045.00,0.42
2015-07-30,-0.03,-0.03,0.84,0.97,6.08,-0.02,-0.12,133020.00,0.27
2015-07-31,0.01,0.01,0.84,0.45,2.80,0.08,0.50,128000.00,0.27
2015-08-03,-0.06,-0.06,0.86,1.17,7.77,-0.09,-0.56,125315.00,0.35
2015-08-04,-0.10,-0.10,0.92,1.68,12.33,0.01,0.07,127200.00,1.78
2015-08-05,0.00,0.00,0.85,0.60,4.40,0.00,0.00,132130.00,1.95
2015-08-06,-0.08,-0.08,0.88,1.42,11.30,0.01,0.07,135420.00,1.76
2015-08-07,-0.05,-0.05,0.90,1.23,10.29,0.23,1.83,134005.00,0.99
2015-08-10,0.08,0.07,0.94,1.16,9.01,0.11,0.92,134535.00,0.73
2015-08-11,0.05,0.05,0.93,1.06,7.81,0.26,2.02,130880.00,1.02
2015-08-12,0.00,0.00,0.93,0.48,3.53,0.00,0.00,121875.00,0.35
2015-08-13,0.06,0.06,0.88,0.85,5.92,0.21,1.55,119575.00,0.86
2015-08-14,0.01,0.01,0.77,0.70,4.82,0.11,0.77,112895.00,0.36
2015-08-17,-0.02,-0.02,0.76,0.70,4.93,0.02,0.14,107520.00,0.39
2015-08-18,0.03,0.03,0.74,0.47,3.22,0.48,3.38,95005.00,0.38
2015-08-19,0.02,0.02,0.75,0.87,5.82,0.08,0.55,94585.00,0.74
2015-08-20,-0.02,-0.02,0.73,0.94,6.41,0.57,3.82,93305.00,1.27
2015-08-21,0.08,0.08,0.79,1.42,8.95,-0.01,-0.07,94915.00,1.00
2015-08-24,-0.01,-0.01,0.79,1.32,8.41,-0.83,-5.23,101440.00,1.60
2015-08-25,-0.08,-0.08,0.82,1.96,13.54,0.38,2.42,106070.00,1.44
2015-08-26,0.02,0.02,0.81,1.03,6.94,0.41,2.83,105150.00,0.37
2015-08-27,0.03,0.03,0.82,0.74,4.82,0.07,0.47,104765.00,0.27
2015-08-28,0.04,0.04,0.83,0.78,4.91,0.03,0.20,105055.00,0.38
2015-08-31,0.04,0.04,0.80,1.12,6.78,0.00,0.00,117015.00,2.42
2015-09-01,-0.08,-0.08,0.78,1.42,9.33,-0.26,-1.57,111145.00,0.98
2015-09-02,0.04,0.04,0.79,1.45,9.18,0.26,1.71,100335.00,0.41
2015-09-03,-0.04,-0.04,0.74,1.06,7.01,-0.18,-1.14,91070.00,0.58
2015-09-04,0.03,0.02,0.71,0.83,5.35,0.22,1.45,86215.00,0.41
2015-09-08,-0.00,-0.00,0.67,0.77,4.97,0.27,1.74,84525.00,0.77
2015-09-09,-0.01,-0.01,0.65,0.34,2.21,0.03,0.19,79765.00,0.49
2015-09-10,-0.01,-0.01,0.65,0.30,1.97,-0.13,-0.84,78785.00,0.30
2015-09-11,0.06,0.06,0.66,1.29,7.98,-0.16,-1.05,81395.00,1.90
2015-09-14,-0.01,-0.01,0.66,0.66,4.11,-0.09,-0.56,80905.00,0.38
2015-09-15,-0.02,-0.02,0.66,0.41,2.60,-0.12,-0.75,80245.00,0.36
2015-09-16,-0.01,-0.01,0.66,0.65,4.19,-0.14,-0.89,79715.00,0.32
2015-09-17,0.01,0.01,0.65,0.47,3.01,-0.08,-0.52,76755.00,0.14
2015-09-18,-0.04,-0.04,0.67,1.02,6.82,-0.25,-1.60,74200.00,0.91
2015-09-21,-0.01,-0.01,0.60,0.80,5.42,0.16,1.07,70560.00,0.32
2015-09-22,-0.01,-0.01,0.60,0.47,3.23,-0.10,-0.68,64160.00,0.53
2015-09-23,0.02,0.01,0.53,0.68,4.61,0.11,0.76,57430.00,0.32
2015-09-24,0.01,0.01,0.53,0.55,3.69,0.05,0.34,59000.00,1.20
2015-09-25,-0.02,-0.02,0.52,0.58,3.98,0.07,0.47,59705.00,0.71
2015-09-28,0.02,0.02,0.50,1.52,10.23,0.00,0.00,65295.00,2.33
2015-09-29,-0.07,-0.07,0.53,1.72,12.45,0.22,1.48,54440.00,1.20
2015-09-30,-0.07,-0.07,0.51,1.83,14.22,0.14,1.01,52275.00,1.25
2015-10-01,-0.02,-0.02,0.49,1.80,14.27,1.26,9.79,58780.00,2.91
2015-10-02,0.05,0.05,0.52,0.92,6.92,0.51,4.04,58980.00,0.96
2015-10-05,0.02,0.02,0.52,0.82,6.07,0.63,4.74,58435.00,0.42
2015-10-06,-0.00,-0.00,0.52,1.75,13.00,-0.14,-1.04,59795.00,1.54
2015-10-07,0.01,0.01,0.52,1.42,10.45,0.00,0.00,59875.00,0.67
2015-10-08,-0.04,-0.04,0.53,1.05,8.02,0.39,2.87,62320.00,1.16
2015-10-09,0.03,0.03,0.49,1.06,7.87,-0.05,-0.38,56325.00,0.61
2015-10-12,-0.05,-0.05,0.51,0.95,7.44,-0.05,-0.37,57345.00,0.90
2015-10-13,-0.03,-0.03,0.52,0.71,5.72,0.17,1.33,57560.00,0.57
2015-10-14,-0.02,-0.02,0.52,0.54,4.43,-0.46,-3.71,59075.00,0.95
2015-10-15,0.11,0.10,0.67,1.35,9.98,0.07,0.57,62770.00,1.35
2015-10-16,-0.01,-0.01,0.66,2.85,21.22,0.26,1.92,68060.00,2.54
2015-10-19,-0.10,-0.10,0.73,1.40,11.55,-0.10,-0.74,72780.00,1.60
2015-10-20,-0.00,-0.00,0.73,0.90,7.44,-0.40,-3.30,76010.00,1.30
2015-10-21,-0.01,-0.01,0.73,0.97,8.09,0.20,1.65,80595.00,1.37
2015-10-22,0.02,0.02,0.73,0.64,5.25,0.07,0.58,79080.00,0.51
2015-10-23,0.02,0.02,0.74,0.73,5.86,0.73,5.99,79670.00,0.68
2015-10-26,0.00,0.00,0.73,0.59,4.73,0.03,0.24,76600.00,1.18
2015-10-27,-0.03,-0.03,0.70,0.70,5.77,-0.16,-1.28,75365.00,0.54
2015-10-28,0.06,0.06,0.70,0.73,5.65,0.10,0.82,74105.00,0.55
2015-10-29,-0.04,-0.04,0.71,0.85,6.84,0.00,0.00,68140.00,0.76
2015-10-30,-0.02,-0.02,0.68,0.43,3.52,0.17,1.37,67525.00,0.65
