Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,10027.19,356219650000,3571882112283500.00,3571882.11,,0.00
2000-01-04,9310.96,356219650000,3316746912363999.50,3316746.91,-7.14,18621.92
2000-01-05,9310.96,356219650000,3316746912363999.50,3316746.91,0.00,0.00
2000-01-06,10743.42,356219650000,3827017312203000.50,3827017.31,15.38,32230.26
2000-01-07,10743.42,356219650000,3827017312203000.50,3827017.31,0.00,32230.26
2000-01-10,17189.47,356219650000,6123226987085500.00,6123226.99,60.00,103136.82
2000-01-11,17189.47,356219650000,6123226987085500.00,6123226.99,0.00,120326.29
2000-01-12,19875.33,356219650000,7079983096234501.00,7079983.10,15.63,377631.27
2000-01-13,22919.30,356219650000,8164305024245000.00,8164305.02,15.32,435466.70
2000-01-14,22919.30,356219650000,8164305024245000.00,8164305.02,0.00,183354.40
2000-01-18,22740.24,356219650000,8100520333716001.00,8100520.33,-0.78,90960.96
2000-01-19,22561.19,356219650000,8036739205383500.00,8036739.21,-0.79,67683.57
2000-01-20,22561.19,356219650000,8036739205383500.00,8036739.21,0.00,22561.19
2000-01-21,25605.15,356219650000,9121057571197500.00,9121057.57,13.49,307261.80
2000-01-24,33662.72,356219650000,11991322336448000.00,11991322.34,31.47,538603.52
2000-01-25,28649.12,356219650000,10205379499208000.00,10205379.50,-14.89,171894.72
2000-01-26,27216.67,356219650000,9695112661565500.00,9695112.66,-5.00,54433.34
2000-01-27,31514.04,356219650000,11225920298886000.00,11225920.30,15.79,409682.52
2000-01-28,32946.49,356219650000,11736187136528500.00,11736187.14,4.55,362411.39
2000-01-31,30439.69,356219650000,10843215717908500.00,10843215.72,-7.61,60879.38
2000-02-01,27932.89,356219650000,9950244299288500.00,9950244.30,-8.24,83798.67
2000-02-02,27574.78,356219650000,9822678480427000.00,9822678.48,-1.28,110299.12
2000-02-03,28291.01,356219650000,10077813680346500.00,10077813.68,2.60,56582.02
2000-02-04,27932.89,356219650000,9950244299288500.00,9950244.30,-1.27,27932.89
2000-02-07,29365.35,356219650000,10460514699127500.00,10460514.70,5.13,146826.75
2000-02-08,28649.12,356219650000,10205379499208000.00,10205379.50,-2.44,28649.12
2000-02-09,28828.18,356219650000,10269164189737000.00,10269164.19,0.63,115312.72
2000-02-10,29723.46,356219650000,10588080517989000.00,10588080.52,3.11,89170.38
2000-02-11,37960.09,356219650000,13522129973768500.00,13522129.97,27.71,683281.62
2000-02-14,32588.38,356219650000,11608621317667000.00,11608621.32,-14.15,260707.04
2000-02-15,31514.04,356219650000,11225920298886000.00,11225920.30,-3.30,94542.12
2000-02-16,32946.49,356219650000,11736187136528500.00,11736187.14,4.55,197678.94
2000-02-17,42615.57,356219650000,15180503429950500.00,15180503.43,29.35,2088162.93
2000-02-18,47271.05,356219650000,16838876886132504.00,16838876.89,10.92,519981.55
2000-02-22,52284.65,356219650000,18624819723372500.00,18624819.72,10.61,209138.60
2000-02-23,51568.42,356219650000,18369684523453000.00,18369684.52,-1.37,257842.10
2000-02-24,51568.42,356219650000,18369684523453000.00,18369684.52,0.00,51568.42
2000-02-25,51210.31,356219650000,18242118704591500.00,18242118.70,-0.69,307261.86
2000-02-28,44406.14,356219650000,15818339648651000.00,15818339.65,-13.29,355249.12
2000-02-29,42973.68,356219650000,15308069248812002.00,15308069.25,-3.23,300815.76
2000-03-01,45838.60,356219650000,16328610048490000.00,16328610.05,6.67,412547.40
2000-03-02,54791.45,356219650000,19517791141992500.00,19517791.14,19.53,657497.40
2000-03-03,68757.90,356219650000,24492915072734996.00,24492915.07,25.49,687579.00
2000-03-06,79501.32,356219650000,28319932384938004.00,28319932.38,15.62,715511.88
2000-03-07,72339.04,356219650000,25768587510135996.00,25768587.51,-9.01,289356.16
2000-03-08,58014.48,356219650000,20665897760532000.00,20665897.76,-19.80,348086.88
2000-03-09,73771.49,356219650000,26278854347778500.00,26278854.35,27.16,737714.90
2000-03-10,65892.98,356219650000,23472374273057000.00,23472374.27,-10.68,197678.94
2000-03-13,63207.13,356219650000,22515621726104500.00,22515621.73,-4.08,442449.91
2000-03-14,63028.07,356219650000,22451837035575500.00,22451837.04,-0.28,1071477.19
2000-03-15,45838.60,356219650000,16328610048490000.00,16328610.05,-27.27,320870.20
2000-03-16,46196.71,356219650000,16456175867351500.00,16456175.87,0.78,230983.55
2000-03-17,45838.60,356219650000,16328610048490000.00,16328610.05,-0.78,137515.80
2000-03-20,42973.68,356219650000,15308069248812002.00,15308069.25,-6.25,42973.68
2000-03-21,38676.32,356219650000,13777265173688000.00,13777265.17,-10.00,77352.64
2000-03-22,37243.86,356219650000,13266994773849000.00,13266994.77,-3.70,446926.32
2000-03-23,37960.09,356219650000,13522129973768500.00,13522129.97,1.92,75920.18
2000-03-24,40108.77,356219650000,14287532011330498.00,14287532.01,5.66,200543.85
2000-03-27,45838.60,356219650000,16328610048490000.00,16328610.05,14.29,550063.20
2000-03-28,41541.23,356219650000,14797802411169502.00,14797802.41,-9.38,83082.46
2000-03-29,38676.32,356219650000,13777265173688000.00,13777265.17,-6.90,154705.28
2000-03-30,40825.00,356219650000,14542667211250000.00,14542667.21,5.56,122475.00
2000-03-31,43359.38,356219650000,15445463167817000.00,15445463.17,6.21,173437.52
2000-04-03,45312.50,356219650000,16141202890625000.00,16141202.89,4.50,679687.50
2000-04-04,43750.00,356219650000,15584609687500002.00,15584609.69,-3.45,218750.00
2000-04-05,42968.75,356219650000,15306313085937500.00,15306313.09,-1.79,0.00
2000-04-06,45312.50,356219650000,16141202890625000.00,16141202.89,5.45,45312.50
2000-04-07,45703.12,356219650000,16280349410307998.00,16280349.41,0.86,0.00
2000-04-10,45312.50,356219650000,16141202890625000.00,16141202.89,-0.85,135937.50
2000-04-11,42968.75,356219650000,15306313085937500.00,15306313.09,-5.17,85937.50
2000-04-12,39062.50,356219650000,13914830078125000.00,13914830.08,-9.09,156250.00
2000-04-13,37500.00,356219650000,13358236875000000.00,13358236.88,-4.00,37500.00
2000-04-14,35937.50,356219650000,12801643671875000.00,12801643.67,-4.17,35937.50
2000-04-17,30859.38,356219650000,10992717542817000.00,10992717.54,-14.13,277734.42
2000-04-18,32421.88,356219650000,11549310745942000.00,11549310.75,5.06,64843.76
2000-04-19,33593.75,356219650000,11966753867187500.00,11966753.87,3.61,67187.50
2000-04-20,32812.50,356219650000,11688457265625000.00,11688457.27,-2.33,32812.50
2000-04-24,32421.88,356219650000,11549310745942000.00,11549310.75,-1.19,64843.76
2000-04-25,30859.38,356219650000,10992717542817000.00,10992717.54,-4.82,30859.38
2000-04-26,29687.50,356219650000,10575270859375000.00,10575270.86,-3.80,29687.50
2000-04-27,29687.50,356219650000,10575270859375000.00,10575270.86,0.00,0.00
2000-04-28,28515.62,356219650000,10157824175933000.00,10157824.18,-3.95,85546.86
2000-05-01,28906.25,356219650000,10296974257812500.00,10296974.26,1.37,0.00
2000-05-02,28906.25,356219650000,10296974257812500.00,10296974.26,0.00,0.00
2000-05-03,27734.38,356219650000,9879531136567000.00,9879531.14,-4.05,0.00
2000-05-04,32421.88,356219650000,11549310745942000.00,11549310.75,16.90,97265.64
2000-05-05,32812.50,356219650000,11688457265625000.00,11688457.27,1.20,0.00
2000-05-08,32812.50,356219650000,11688457265625000.00,11688457.27,0.00,65625.00
2000-05-09,32031.25,356219650000,11410160664062500.00,11410160.66,-2.38,0.00
2000-05-10,30468.75,356219650000,10853567460937500.00,10853567.46,-4.88,30468.75
2000-05-11,31250.00,356219650000,11131864062500000.00,11131864.06,2.56,156250.00
2000-05-12,29687.50,356219650000,10575270859375000.00,10575270.86,-5.00,29687.50
2000-05-15,26562.50,356219650000,9462084453125000.00,9462084.45,-10.53,159375.00
2000-05-16,26953.12,356219650000,9601230972808000.00,9601230.97,1.47,0.00
2000-05-17,23437.50,356219650000,8348898046875000.00,8348898.05,-13.04,468750.00
2000-05-18,20312.50,356219650000,7235711640625000.00,7235711.64,-13.33,467187.50
2000-05-19,20312.50,356219650000,7235711640625000.00,7235711.64,0.00,121875.00
2000-05-22,22656.25,356219650000,8070601445312500.00,8070601.45,11.54,67968.75
2000-05-23,23437.50,356219650000,8348898046875000.00,8348898.05,3.45,0.00
2000-05-24,23437.50,356219650000,8348898046875000.00,8348898.05,0.00,70312.50
2000-05-25,21875.00,356219650000,7792304843750001.00,7792304.84,-6.67,153125.00
2000-05-26,21875.00,356219650000,7792304843750001.00,7792304.84,0.00,0.00
2000-05-30,21093.75,356219650000,7514008242187500.00,7514008.24,-3.57,126562.50
2000-05-31,20703.12,356219650000,7374858160308000.00,7374858.16,-1.85,41406.24
2000-06-01,21093.75,356219650000,7514008242187500.00,7514008.24,1.89,126562.50
2000-06-02,22656.25,356219650000,8070601445312500.00,8070601.45,7.41,158593.75
2000-06-05,24218.75,356219650000,8627194648437500.00,8627194.65,6.90,72656.25
2000-06-06,28125.00,356219650000,10018677656250000.00,10018677.66,16.13,112500.00
2000-06-07,26562.50,356219650000,9462084453125000.00,9462084.45,-5.56,239062.50
2000-06-08,25000.00,356219650000,8905491250000000.00,8905491.25,-5.88,75000.00
2000-06-09,25000.00,356219650000,8905491250000000.00,8905491.25,0.00,125000.00
2000-06-12,24218.75,356219650000,8627194648437500.00,8627194.65,-3.12,0.00
2000-06-13,23437.50,356219650000,8348898046875000.00,8348898.05,-3.23,23437.50
2000-06-14,21875.00,356219650000,7792304843750001.00,7792304.84,-6.67,153125.00
2000-06-15,21875.00,356219650000,7792304843750001.00,7792304.84,0.00,43750.00
2000-06-16,19531.25,356219650000,6957415039062500.00,6957415.04,-10.71,156250.00
2000-06-19,19531.25,356219650000,6957415039062500.00,6957415.04,0.00,19531.25
2000-06-20,18750.00,356219650000,6679118437500000.00,6679118.44,-4.00,93750.00
2000-06-21,21093.75,356219650000,7514008242187500.00,7514008.24,12.50,506250.00
2000-06-22,20312.50,356219650000,7235711640625000.00,7235711.64,-3.70,142187.50
2000-06-23,20312.50,356219650000,7235711640625000.00,7235711.64,0.00,121875.00
2000-06-26,22265.62,356219650000,7931451363433000.00,7931451.36,9.62,111328.10
2000-06-27,20312.50,356219650000,7235711640625000.00,7235711.64,-8.77,487500.00
2000-06-28,21093.75,356219650000,7514008242187500.00,7514008.24,3.85,379687.50
2000-06-29,20312.50,356219650000,7235711640625000.00,7235711.64,-3.70,467187.50
2000-06-30,21875.00,356219650000,7792304843750001.00,7792304.84,7.69,350000.00
2000-07-03,21875.00,356219650000,7792304843750001.00,7792304.84,0.00,196875.00
2000-07-05,22656.25,356219650000,8070601445312500.00,8070601.45,3.57,226562.50
2000-07-06,26562.50,356219650000,9462084453125000.00,9462084.45,17.24,1753125.00
2000-07-07,30078.12,356219650000,10714417379058000.00,10714417.38,13.24,691796.76
2000-07-10,29296.88,356219650000,10436124339692000.00,10436124.34,-2.60,527343.84
2000-07-11,27343.75,356219650000,9740381054687500.00,9740381.05,-6.67,273437.50
2000-07-12,26171.88,356219650000,9322937933442000.00,9322937.93,-4.29,732812.64
2000-07-13,26562.50,356219650000,9462084453125000.00,9462084.45,1.49,318750.00
2000-07-14,26171.88,356219650000,9322937933442000.00,9322937.93,-1.47,104687.52
2000-07-17,26171.88,356219650000,9322937933442000.00,9322937.93,0.00,157031.28
2000-07-18,25000.00,356219650000,8905491250000000.00,8905491.25,-4.48,350000.00
2000-07-19,22656.25,356219650000,8070601445312500.00,8070601.45,-9.38,294531.25
2000-07-20,25000.00,356219650000,8905491250000000.00,8905491.25,10.34,650000.00
2000-07-21,25000.00,356219650000,8905491250000000.00,8905491.25,0.00,175000.00
2000-07-24,23437.50,356219650000,8348898046875000.00,8348898.05,-6.25,93750.00
2000-07-25,23437.50,356219650000,8348898046875000.00,8348898.05,0.00,351562.50
2000-07-26,23437.50,356219650000,8348898046875000.00,8348898.05,0.00,70312.50
2000-07-27,21875.00,356219650000,7792304843750001.00,7792304.84,-6.67,65625.00
2000-07-28,21484.38,356219650000,7653158324067000.00,7653158.32,-1.79,171875.04
2000-07-31,19531.25,356219650000,6957415039062500.00,6957415.04,-9.09,39062.50
2000-08-01,19531.25,356219650000,6957415039062500.00,6957415.04,0.00,97656.25
2000-08-02,19531.25,356219650000,6957415039062500.00,6957415.04,0.00,78125.00
2000-08-03,18359.38,356219650000,6539971917817000.00,6539971.92,-6.00,128515.66
2000-08-04,19140.62,356219650000,6818264957183000.00,6818264.96,4.26,38281.24
2000-08-07,19140.62,356219650000,6818264957183000.00,6818264.96,0.00,57421.86
2000-08-08,18359.38,356219650000,6539971917817000.00,6539971.92,-4.08,128515.66
2000-08-09,19140.62,356219650000,6818264957183000.00,6818264.96,4.26,210546.82
2000-08-10,18750.00,356219650000,6679118437500000.00,6679118.44,-2.04,18750.00
2000-08-11,18359.38,356219650000,6539971917817000.00,6539971.92,-2.08,18359.38
2000-08-14,17968.75,356219650000,6400821835937500.00,6400821.84,-2.13,53906.25
2000-08-15,16796.88,356219650000,5983378714692000.00,5983378.71,-6.52,201562.56
2000-08-16,16796.88,356219650000,5983378714692000.00,5983378.71,0.00,83984.40
2000-08-17,16796.88,356219650000,5983378714692000.00,5983378.71,0.00,67187.52
2000-08-18,15625.00,356219650000,5565932031250000.00,5565932.03,-6.98,359375.00
2000-08-21,17187.50,356219650000,6122525234375000.00,6122525.23,10.00,360937.50
2000-08-22,18750.00,356219650000,6679118437500000.00,6679118.44,9.09,600000.00
2000-08-23,21484.38,356219650000,7653158324067000.00,7653158.32,14.58,343750.08
2000-08-24,23046.88,356219650000,8209751527192000.00,8209751.53,7.27,184375.04
2000-08-25,24609.38,356219650000,8766344730317000.00,8766344.73,6.78,664453.26
2000-08-28,25000.00,356219650000,8905491250000000.00,8905491.25,1.59,475000.00
2000-08-29,26171.88,356219650000,9322937933442000.00,9322937.93,4.69,104687.52
2000-08-30,31250.00,356219650000,11131864062500000.00,11131864.06,19.40,718750.00
2000-08-31,34375.00,356219650000,12245050468750000.00,12245050.47,10.00,1546875.00
2000-09-01,34375.00,356219650000,12245050468750000.00,12245050.47,0.00,446875.00
2000-09-05,30468.75,356219650000,10853567460937500.00,10853567.46,-11.36,304687.50
2000-09-06,32812.50,356219650000,11688457265625000.00,11688457.27,7.69,164062.50
2000-09-07,33593.75,356219650000,11966753867187500.00,11966753.87,2.38,369531.25
2000-09-08,39062.50,356219650000,13914830078125000.00,13914830.08,16.28,1250000.00
2000-09-11,38281.25,356219650000,13636533476562502.00,13636533.48,-2.00,382812.50
2000-09-12,37109.38,356219650000,13219090355317000.00,13219090.36,-3.06,111328.14
2000-09-13,33984.38,356219650000,12105903949067000.00,12105903.95,-8.42,237890.66
2000-09-14,35156.25,356219650000,12523347070312500.00,12523347.07,3.45,457031.25
2000-09-15,33203.12,356219650000,11827603785308002.00,11827603.79,-5.56,166015.60
2000-09-18,30859.38,356219650000,10992717542817000.00,10992717.54,-7.06,216015.66
2000-09-19,32031.25,356219650000,11410160664062500.00,11410160.66,3.80,672656.25
2000-09-20,32812.50,356219650000,11688457265625000.00,11688457.27,2.44,721875.00
2000-09-21,31250.00,356219650000,11131864062500000.00,11131864.06,-4.76,187500.00
2000-09-22,36718.75,356219650000,13079940273437498.00,13079940.27,17.50,1358593.75
2000-09-25,44531.25,356219650000,15862906289062500.00,15862906.29,21.28,2627343.75
2000-09-26,42187.50,356219650000,15028016484375000.00,15028016.48,-5.26,717187.50
2000-09-27,45312.50,356219650000,16141202890625000.00,16141202.89,7.41,589062.50
2000-09-28,42968.75,356219650000,15306313085937500.00,15306313.09,-5.17,343750.00
2000-09-29,43359.38,356219650000,15445463167817000.00,15445463.17,0.91,520312.56
2000-10-02,39843.75,356219650000,14193126679687500.00,14193126.68,-8.11,438281.25
2000-10-03,38281.25,356219650000,13636533476562502.00,13636533.48,-3.92,535937.50
2000-10-04,37890.62,356219650000,13497383394683000.00,13497383.39,-1.02,303124.96
