Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2014-06-19,14.11,247029387,3485584650.57,3.49,,22337541.00
2014-06-20,14.31,247029387,3534990527.97,3.53,1.42,1066095.00
2014-06-23,15.15,247029387,3742495213.05,3.74,5.87,1508940.00
2014-06-24,15.81,247029387,3905534608.47,3.91,4.36,793662.00
2014-06-25,15.45,247029387,3816604029.15,3.82,-2.28,477405.00
2014-06-26,15.54,247029387,3838836673.98,3.84,0.58,562548.00
2014-06-27,15.96,247029387,3942589016.52,3.94,2.70,191520.00
2014-06-30,15.97,247029387,3945059310.39,3.95,0.06,322594.00
2014-07-01,17.74,247029387,4382301325.38,4.38,11.08,807170.00
2014-07-02,19.44,247029387,4802251283.28,4.80,9.58,938952.00
2014-07-03,20.44,247029387,5049280670.28,5.05,5.14,398580.00
2014-07-07,19.00,247029387,4693558353.00,4.69,-7.05,1286300.00
2014-07-08,17.70,247029387,4372420149.90,4.37,-6.84,513300.00
2014-07-09,17.92,247029387,4426766615.04,4.43,1.24,534016.00
2014-07-10,16.50,247029387,4075984885.50,4.08,-7.92,1065900.00
2014-07-11,17.75,247029387,4384771619.25,4.38,7.58,433100.00
2014-07-14,16.51,247029387,4078455179.37,4.08,-6.99,1802892.00
2014-07-15,16.50,247029387,4075984885.50,4.08,-0.06,519750.00
2014-07-16,16.39,247029387,4048811652.93,4.05,-0.67,431057.00
2014-07-17,16.24,247029387,4011757244.88,4.01,-0.92,506688.00
2014-07-18,16.20,247029387,4001876069.40,4.00,-0.25,239760.00
2014-07-21,15.20,247029387,3754846682.40,3.75,-6.17,342000.00
2014-07-22,16.25,247029387,4014227538.75,4.01,6.91,108875.00
2014-07-23,15.91,247029387,3930237547.17,3.93,-2.09,536167.00
2014-07-24,15.79,247029387,3900594020.73,3.90,-0.75,1013718.00
2014-07-25,15.69,247029387,3875891082.03,3.88,-0.63,869226.00
2014-07-28,15.37,247029387,3796841678.19,3.80,-2.04,146015.00
2014-07-29,15.65,247029387,3866009906.55,3.87,1.82,90770.00
2014-07-30,15.20,247029387,3754846682.40,3.75,-2.88,123120.00
2014-07-31,14.46,247029387,3572044936.02,3.57,-4.87,455490.00
2014-08-01,13.23,247029387,3268198790.01,3.27,-8.51,337365.00
2014-08-04,13.39,247029387,3307723491.93,3.31,1.21,382954.00
2014-08-05,13.02,247029387,3216322618.74,3.22,-2.76,312480.00
2014-08-06,12.36,247029387,3053283223.32,3.05,-5.07,208884.00
2014-08-07,12.03,247029387,2971763525.61,2.97,-2.67,206916.00
2014-08-08,11.70,247029387,2890243827.90,2.89,-2.74,149760.00
2014-08-11,11.86,247029387,2929768529.82,2.93,1.37,232456.00
2014-08-12,11.97,247029387,2956941762.39,2.96,0.93,92169.00
2014-08-13,12.09,247029387,2986585288.83,2.99,1.00,59241.00
2014-08-14,11.99,247029387,2961882350.13,2.96,-0.83,464013.00
2014-08-15,11.65,247029387,2877892358.55,2.88,-2.84,659390.00
2014-08-18,12.24,247029387,3023639696.88,3.02,5.06,211752.00
2014-08-19,12.46,247029387,3077986162.02,3.08,1.80,128338.00
2014-08-20,12.89,247029387,3184208798.43,3.18,3.45,317094.00
2014-08-21,12.46,247029387,3077986162.02,3.08,-3.34,382522.00
2014-08-22,12.60,247029387,3112570276.20,3.11,1.12,195300.00
2014-08-25,13.24,247029387,3270669083.88,3.27,5.08,393228.00
2014-08-26,13.44,247029387,3320074961.28,3.32,1.51,163968.00
2014-08-27,13.90,247029387,3433708479.30,3.43,3.42,255760.00
2014-08-28,14.93,247029387,3688148747.91,3.69,7.41,291135.00
2014-08-29,14.96,247029387,3695559629.52,3.70,0.20,86768.00
2014-09-02,14.62,247029387,3611569637.94,3.61,-2.27,201756.00
2014-09-03,14.37,247029387,3549812291.19,3.55,-1.71,219861.00
2014-09-04,14.18,247029387,3502876707.66,3.50,-1.32,207028.00
2014-09-05,13.98,247029387,3453470830.26,3.45,-1.41,261426.00
2014-09-08,14.32,247029387,3537460821.84,3.54,2.43,409552.00
2014-09-09,13.75,247029387,3396654071.25,3.40,-3.98,532125.00
2014-09-10,13.76,247029387,3399124365.12,3.40,0.07,319232.00
2014-09-11,12.98,247029387,3206441443.26,3.21,-5.67,621742.00
2014-09-12,12.70,247029387,3137273214.90,3.14,-2.16,458470.00
2014-09-15,13.91,247029387,3436178773.17,3.44,9.53,429819.00
2014-09-16,13.69,247029387,3381832308.03,3.38,-1.58,757057.00
2014-09-17,13.04,247029387,3221263206.48,3.22,-4.75,376856.00
2014-09-18,13.24,247029387,3270669083.88,3.27,1.53,169472.00
2014-09-19,12.71,247029387,3139743508.77,3.14,-4.00,1037136.00
2014-09-22,12.89,247029387,3184208798.43,3.18,1.42,368654.00
2014-09-23,14.01,247029387,3460881711.87,3.46,8.69,428706.00
2014-09-24,14.08,247029387,3478173768.96,3.48,0.50,404096.00
2014-09-25,13.95,247029387,3446059948.65,3.45,-0.92,309690.00
2014-09-26,14.14,247029387,3492995532.18,3.49,1.36,494900.00
2014-09-29,14.39,247029387,3554752878.93,3.55,1.77,463358.00
2014-09-30,14.21,247029387,3510287589.27,3.51,-1.25,7335202.00
2014-10-01,19.00,247029387,4693558353.00,4.69,33.71,17261500.00
2014-10-02,19.38,247029387,4787429520.06,4.79,2.00,2969016.00
2014-10-03,22.48,247029387,5553220619.76,5.55,16.00,4603904.00
2014-10-06,24.13,247029387,5960819108.31,5.96,7.34,4594352.00
2014-10-07,22.45,247029387,5545809738.15,5.55,-6.96,2851150.00
2014-10-08,21.00,247029387,5187617127.00,5.19,-6.46,1476300.00
2014-10-09,19.01,247029387,4696028646.87,4.70,-9.48,3018788.00
2014-10-10,19.61,247029387,4844246279.07,4.84,3.16,1149146.00
2014-10-13,20.24,247029387,4999874792.88,5.00,3.21,1068672.00
2014-10-14,20.00,247029387,4940587740.00,4.94,-1.19,1406000.00
2014-10-15,19.08,247029387,4713320703.96,4.71,-4.60,2148408.00
2014-10-16,20.77,247029387,5130800367.99,5.13,8.86,843262.00
2014-10-17,20.79,247029387,5135740955.73,5.14,0.10,970893.00
2014-10-20,19.98,247029387,4935647152.26,4.94,-3.90,1584414.00
2014-10-21,21.16,247029387,5227141828.92,5.23,5.91,945852.00
2014-10-22,23.50,247029387,5805190594.50,5.81,11.06,1927000.00
2014-10-23,22.98,247029387,5676735313.26,5.68,-2.21,1008822.00
2014-10-24,21.35,247029387,5274077412.45,5.27,-7.09,764330.00
2014-10-27,20.09,247029387,4962820384.83,4.96,-5.90,544439.00
2014-10-28,20.30,247029387,5014696556.10,5.01,1.05,623210.00
2014-10-29,20.39,247029387,5036929200.93,5.04,0.44,173315.00
2014-10-30,19.91,247029387,4918355095.17,4.92,-2.35,1387727.00
2014-10-31,21.93,247029387,5417354456.91,5.42,10.15,2015367.00
2014-11-03,22.58,247029387,5577923558.46,5.58,2.96,474180.00
2014-11-04,22.42,247029387,5538398856.54,5.54,-0.71,612066.00
2014-11-05,23.14,247029387,5716260015.18,5.72,3.21,358670.00
2014-11-06,24.01,247029387,5931175581.87,5.93,3.76,768320.00
2014-11-07,23.49,247029387,5802720300.63,5.80,-2.17,735237.00
2014-11-10,22.69,247029387,5605096791.03,5.61,-3.41,1039202.00
2014-11-11,21.91,247029387,5412413869.17,5.41,-3.44,558705.00
2014-11-12,21.60,247029387,5335834759.20,5.34,-1.41,464400.00
2014-11-13,21.65,247029387,5348186228.55,5.35,0.23,424340.00
2014-11-14,21.64,247029387,5345715934.68,5.35,-0.05,218564.00
2014-11-17,20.26,247029387,5004815380.62,5.00,-6.38,399122.00
2014-11-18,21.33,247029387,5269136824.71,5.27,5.28,311418.00
2014-11-19,20.97,247029387,5180206245.39,5.18,-1.69,314550.00
2014-11-20,22.17,247029387,5476641509.79,5.48,5.72,372456.00
2014-11-21,22.81,247029387,5634740317.47,5.63,2.89,344431.00
2014-11-24,23.84,247029387,5889180586.08,5.89,4.52,607920.00
2014-11-25,23.92,247029387,5908942937.04,5.91,0.34,248768.00
2014-11-26,26.27,247029387,6489461996.49,6.49,9.82,396677.00
2014-11-28,26.77,247029387,6612976689.99,6.61,1.90,513984.00
2014-12-01,27.81,247029387,6869887252.47,6.87,3.88,903825.00
2014-12-02,29.20,247029387,7213258100.40,7.21,5.00,1264360.00
2014-12-03,32.89,247029387,8124796538.43,8.12,12.64,1644500.00
2014-12-04,32.74,247029387,8087742130.38,8.09,-0.46,2291800.00
2014-12-05,32.83,247029387,8109974775.21,8.11,0.27,1375577.00
2014-12-08,30.87,247029387,7625797176.69,7.63,-5.97,1043406.00
2014-12-09,30.17,247029387,7452876605.79,7.45,-2.27,1116290.00
2014-12-10,28.75,247029387,7102094876.25,7.10,-4.71,715875.00
2014-12-11,28.46,247029387,7030456354.02,7.03,-1.01,694424.00
2014-12-12,30.35,247029387,7497341895.45,7.50,6.64,892290.00
2014-12-15,23.06,247029387,5696497664.22,5.70,-24.02,7669756.00
2014-12-16,23.32,247029387,5760725304.84,5.76,1.13,3563296.00
2014-12-17,23.43,247029387,5787898537.41,5.79,0.47,1333167.00
2014-12-18,24.05,247029387,5941056757.35,5.94,2.65,1380470.00
2014-12-19,23.86,247029387,5894121173.82,5.89,-0.79,2271472.00
2014-12-22,23.90,247029387,5904002349.30,5.90,0.17,1531990.00
2014-12-23,22.71,247029387,5610037378.77,5.61,-4.98,3229362.00
2014-12-24,20.97,247029387,5180206245.39,5.18,-7.66,1925046.00
2014-12-26,21.44,247029387,5296310057.28,5.30,2.24,688224.00
2014-12-29,20.23,247029387,4997404499.01,5.00,-5.64,2330496.00
2014-12-30,19.03,247029387,4700969234.61,4.70,-5.93,1922030.00
2014-12-31,18.89,247029387,4666385120.43,4.67,-0.74,3324640.00
2015-01-02,20.26,247029387,5004815380.62,5.00,7.25,1481006.00
2015-01-05,21.96,247029387,5424765338.52,5.42,8.39,1453752.00
2015-01-06,23.02,247029387,5686616488.74,5.69,4.83,1818580.00
2015-01-07,23.33,247029387,5763195598.71,5.76,1.35,1098843.00
2015-01-08,23.55,247029387,5817542063.85,5.82,0.94,10303125.00
2015-01-09,23.50,247029387,5805190594.50,5.81,-0.21,1790700.00
2015-01-12,23.75,247029387,5866947941.25,5.87,1.06,2296625.00
2015-01-13,23.79,247029387,5876829116.73,5.88,0.17,3911076.00
2015-01-14,24.32,247029387,6007754691.84,6.01,2.23,2086656.00
2015-01-15,24.27,247029387,5995403222.49,6.00,-0.21,2259537.00
2015-01-16,25.57,247029387,6316541425.59,6.32,5.36,2378010.00
2015-01-20,25.38,247029387,6269605842.06,6.27,-0.74,2837484.00
2015-01-21,25.00,247029387,6175734675.00,6.18,-1.50,897500.00
2015-01-22,26.31,247029387,6499343171.97,6.50,5.24,7558863.00
2015-01-23,26.62,247029387,6575922281.94,6.58,1.18,2039092.00
2015-01-26,26.16,247029387,6462288763.92,6.46,-1.73,1234752.00
2015-01-27,25.78,247029387,6368417596.86,6.37,-1.45,961594.00
2015-01-28,27.44,247029387,6778486379.28,6.78,6.44,3103464.00
2015-01-29,27.37,247029387,6761194322.19,6.76,-0.26,3640210.00
2015-01-30,27.01,247029387,6672263742.87,6.67,-1.32,6150177.00
2015-02-02,19.25,247029387,4755315699.75,4.76,-28.73,17844750.00
2015-02-03,15.54,247029387,3838836673.98,3.84,-19.27,6993000.00
2015-02-04,15.78,247029387,3898123726.86,3.90,1.54,4557264.00
2015-02-05,15.95,247029387,3940118722.65,3.94,1.08,2665245.00
2015-02-06,15.92,247029387,3932707841.04,3.93,-0.19,1318176.00
2015-02-09,15.89,247029387,3925296959.43,3.93,-0.19,1307747.00
2015-02-10,15.78,247029387,3898123726.86,3.90,-0.69,1295538.00
2015-02-11,15.83,247029387,3910475196.21,3.91,0.32,1245821.00
2015-02-12,16.43,247029387,4058692828.41,4.06,3.79,1309471.00
2015-02-13,17.14,247029387,4234083693.18,4.23,4.32,1266646.00
2015-02-17,16.37,247029387,4043871065.19,4.04,-4.49,815226.00
2015-02-18,17.63,247029387,4355128092.81,4.36,7.70,1156528.00
2015-02-19,17.19,247029387,4246435162.53,4.25,-2.50,971235.00
2015-02-20,17.18,247029387,4243964868.66,4.24,-0.06,1073750.00
2015-02-23,17.29,247029387,4271138101.23,4.27,0.64,648375.00
2015-02-24,16.88,247029387,4169856052.56,4.17,-2.37,1188352.00
2015-02-25,17.30,247029387,4273608395.10,4.27,2.49,588200.00
2015-02-26,16.01,247029387,3954940485.87,3.95,-7.46,1860362.00
2015-02-27,15.74,247029387,3888242551.38,3.89,-1.69,1141150.00
2015-03-02,16.46,247029387,4066103710.02,4.07,4.57,1606496.00
2015-03-03,15.40,247029387,3804252559.80,3.80,-6.44,1620080.00
2015-03-04,15.60,247029387,3853658437.20,3.85,1.30,1263600.00
2015-03-05,16.08,247029387,3972232542.96,3.97,3.08,733248.00
2015-03-06,15.66,247029387,3868480200.42,3.87,-2.61,839376.00
2015-03-09,15.13,247029387,3737554625.31,3.74,-3.38,1417681.00
2015-03-10,15.33,247029387,3786960502.71,3.79,1.32,838551.00
2015-03-11,15.35,247029387,3791901090.45,3.79,0.13,643165.00
2015-03-12,15.53,247029387,3836366380.11,3.84,1.17,914717.00
2015-03-13,15.50,247029387,3828955498.50,3.83,-0.19,844750.00
2015-03-16,15.71,247029387,3880831669.77,3.88,1.35,744654.00
2015-03-17,15.63,247029387,3861069318.81,3.86,-0.51,425136.00
2015-03-18,15.57,247029387,3846247555.59,3.85,-0.38,674181.00
2015-03-19,15.90,247029387,3927767253.30,3.93,2.12,643950.00
2015-03-20,15.28,247029387,3774609033.36,3.77,-3.90,1627320.00
2015-03-23,15.15,247029387,3742495213.05,3.74,-0.85,2128575.00
2015-03-24,15.13,247029387,3737554625.31,3.74,-0.13,1106003.00
2015-03-25,14.30,247029387,3532520234.10,3.53,-5.49,1392820.00
2015-03-26,14.03,247029387,3465822299.61,3.47,-1.89,1045235.00
2015-03-27,14.01,247029387,3460881711.87,3.46,-0.14,1130607.00
2015-03-30,13.21,247029387,3263258202.27,3.26,-5.71,1245703.00
2015-03-31,13.09,247029387,3233614675.83,3.23,-0.91,856086.00
2015-04-01,13.24,247029387,3270669083.88,3.27,1.15,914884.00
2015-04-02,13.02,247029387,3216322618.74,3.22,-1.66,648396.00
2015-04-06,12.69,247029387,3134802921.03,3.13,-2.53,1084995.00
2015-04-07,12.22,247029387,3018699109.14,3.02,-3.70,1346644.00
2015-04-08,12.33,247029387,3045872341.71,3.05,0.90,1172583.00
2015-04-09,12.87,247029387,3179268210.69,3.18,4.38,4030884.00
2015-04-10,12.82,247029387,3166916741.34,3.17,-0.39,1569168.00
2015-04-13,13.34,247029387,3295372022.58,3.30,4.06,1539436.00
2015-04-14,13.05,247029387,3223733500.35,3.22,-2.17,1346760.00
2015-04-15,13.15,247029387,3248436439.05,3.25,0.77,1447815.00
2015-04-16,12.53,247029387,3095278219.11,3.10,-4.71,1116423.00
2015-04-17,12.48,247029387,3082926749.76,3.08,-0.40,1292928.00
2015-04-20,12.75,247029387,3149624684.25,3.15,2.16,1838550.00
2015-04-21,12.52,247029387,3092807925.24,3.09,-1.80,1650136.00
2015-04-22,12.51,247029387,3090337631.37,3.09,-0.08,1431144.00
2015-04-23,12.41,247029387,3065634692.67,3.07,-0.80,1510297.00
2015-04-24,11.92,247029387,2944590293.04,2.94,-3.95,1214648.00
2015-04-27,11.74,247029387,2900125003.38,2.90,-1.51,1452238.00
2015-04-28,11.55,247029387,2853189419.85,2.85,-1.62,848925.00
2015-04-29,11.37,247029387,2808724130.19,2.81,-1.56,776571.00
2015-04-30,10.50,247029387,2593808563.50,2.59,-7.65,1613850.00
2015-05-01,11.01,247029387,2719793550.87,2.72,4.86,458016.00
2015-05-04,10.96,247029387,2707442081.52,2.71,-0.45,578688.00
2015-05-05,10.91,247029387,2695090612.17,2.70,-0.46,470221.00
2015-05-06,8.32,247029387,2055284499.84,2.06,-23.74,4898816.00
2015-05-07,8.66,247029387,2139274491.42,2.14,4.09,1383868.00
2015-05-08,8.86,247029387,2188680368.82,2.19,2.31,727406.00
2015-05-11,9.00,247029387,2223264483.00,2.22,1.58,1002600.00
2015-05-12,9.06,247029387,2238086246.22,2.24,0.67,736578.00
2015-05-13,8.96,247029387,2213383307.52,2.21,-1.10,672000.00
2015-05-14,8.92,247029387,2203502132.04,2.20,-0.45,1098944.00
2015-05-15,8.95,247029387,2210913013.65,2.21,0.34,547740.00
2015-05-18,9.22,247029387,2277610948.14,2.28,3.02,568874.00
2015-05-19,10.63,247029387,2625922383.81,2.63,15.29,6239810.00
2015-05-20,11.69,247029387,2887773534.03,2.89,9.97,5088657.00
2015-05-21,11.17,247029387,2759318252.79,2.76,-4.45,2103311.00
2015-05-22,11.03,247029387,2724734138.61,2.72,-1.25,6091869.00
2015-05-26,10.91,247029387,2695090612.17,2.70,-1.09,1141186.00
2015-05-27,11.12,247029387,2746966783.44,2.75,1.92,674984.00
2015-05-28,10.96,247029387,2707442081.52,2.71,-1.44,464704.00
2015-05-29,10.95,247029387,2704971787.65,2.70,-0.09,859575.00
2015-06-01,10.16,247029387,2509818571.92,2.51,-7.21,824992.00
2015-06-02,10.70,247029387,2643214440.90,2.64,5.31,560680.00
2015-06-03,14.95,247029387,3693089335.65,3.69,39.72,14878240.00
2015-06-04,14.51,247029387,3584396405.37,3.58,-2.94,6291536.00
2015-06-05,14.54,247029387,3591807286.98,3.59,0.21,1975986.00
2015-06-08,14.64,247029387,3616510225.68,3.62,0.69,2374608.00
2015-06-09,14.61,247029387,3609099344.07,3.61,-0.20,1608561.00
2015-06-10,15.04,247029387,3715321980.48,3.72,2.94,2332704.00
2015-06-11,14.60,247029387,3606629050.20,3.61,-2.93,1817700.00
2015-06-12,14.64,247029387,3616510225.68,3.62,0.27,998448.00
2015-06-15,16.96,247029387,4189618403.52,4.19,15.85,9480640.00
2015-06-16,15.69,247029387,3875891082.03,3.88,-7.49,3993105.00
2015-06-17,16.05,247029387,3964821661.35,3.96,2.29,1698090.00
2015-06-18,16.36,247029387,4041400771.32,4.04,1.93,2010644.00
2015-06-19,16.48,247029387,4071044297.76,4.07,0.73,1830928.00
2015-06-22,16.43,247029387,4058692828.41,4.06,-0.30,1631499.00
2015-06-23,16.87,247029387,4167385758.69,4.17,2.68,2631720.00
2015-06-24,15.93,247029387,3935178134.91,3.94,-5.57,1766637.00
2015-06-25,16.05,247029387,3964821661.35,3.96,0.75,1574505.00
2015-06-26,15.89,247029387,3925296959.43,3.93,-1.00,15503873.00
2015-06-29,14.92,247029387,3685678454.04,3.69,-6.10,2806452.00
2015-06-30,15.97,247029387,3945059310.39,3.95,7.04,3061449.00
2015-07-01,16.09,247029387,3974702836.83,3.97,0.75,1382131.00
2015-07-02,15.89,247029387,3925296959.43,3.93,-1.24,1225119.00
2015-07-06,16.96,247029387,4189618403.52,4.19,6.73,1972448.00
2015-07-07,16.66,247029387,4115509587.42,4.12,-1.77,859656.00
2015-07-08,15.94,247029387,3937648428.78,3.94,-4.32,871918.00
2015-07-09,16.46,247029387,4066103710.02,4.07,3.26,1514320.00
2015-07-10,17.67,247029387,4365009268.29,4.37,7.35,1949001.00
2015-07-13,17.29,247029387,4271138101.23,4.27,-2.15,1986621.00
2015-07-14,17.67,247029387,4365009268.29,4.37,2.20,3433281.00
2015-07-15,16.89,247029387,4172326346.43,4.17,-4.41,3014865.00
2015-07-16,16.99,247029387,4197029285.13,4.20,0.59,1394879.00
2015-07-17,16.99,247029387,4197029285.13,4.20,0.00,2879805.00
2015-07-20,17.25,247029387,4261256925.75,4.26,1.53,1605975.00
2015-07-21,17.63,247029387,4355128092.81,4.36,2.20,5548161.00
2015-07-22,18.09,247029387,4468761610.83,4.47,2.61,2159946.00
2015-07-23,18.10,247029387,4471231904.70,4.47,0.06,1138490.00
2015-07-24,18.01,247029387,4448999259.87,4.45,-0.50,1819010.00
2015-07-27,19.14,247029387,4728142467.18,4.73,6.27,2740848.00
2015-07-28,19.63,247029387,4849186866.81,4.85,2.56,6680089.00
2015-07-29,19.27,247029387,4760256287.49,4.76,-1.83,3017682.00
2015-07-30,18.88,247029387,4663914826.56,4.66,-2.02,4701120.00
2015-07-31,19.72,247029387,4871419511.64,4.87,4.45,11522396.00
2015-08-03,19.87,247029387,4908473919.69,4.91,0.76,1818105.00
2015-08-04,19.79,247029387,4888711568.73,4.89,-0.40,1139904.00
2015-08-05,19.23,247029387,4750375112.01,4.75,-2.83,1999920.00
2015-08-06,18.41,247029387,4547811014.67,4.55,-4.26,1782088.00
2015-08-07,18.29,247029387,4518167488.23,4.52,-0.65,1490635.00
2015-08-10,18.11,247029387,4473702198.57,4.47,-0.98,2606029.00
2015-08-11,18.71,247029387,4621919830.77,4.62,3.31,1790547.00
2015-08-12,18.25,247029387,4508286312.75,4.51,-2.46,2706475.00
2015-08-13,18.21,247029387,4498405137.27,4.50,-0.22,1722666.00
2015-08-14,18.91,247029387,4671325708.17,4.67,3.84,1423923.00
2015-08-17,18.87,247029387,4661444532.69,4.66,-0.21,3134307.00
2015-08-18,19.36,247029387,4782488932.32,4.78,2.60,5860272.00
2015-08-19,18.20,247029387,4495934843.40,4.50,-5.99,2031120.00
2015-08-20,17.29,247029387,4271138101.23,4.27,-5.00,1685775.00
2015-08-21,17.41,247029387,4300781627.67,4.30,0.69,1951661.00
2015-08-24,16.72,247029387,4130331350.64,4.13,-3.96,2193664.00
2015-08-25,17.13,247029387,4231613399.31,4.23,2.45,2413617.00
2015-08-26,17.70,247029387,4372420149.90,4.37,3.33,2810760.00
2015-08-27,17.63,247029387,4355128092.81,4.36,-0.40,2514038.00
2015-08-28,18.75,247029387,4631801006.25,4.63,6.35,1993125.00
2015-08-31,18.98,247029387,4688617765.26,4.69,1.23,2364908.00
2015-09-01,18.77,247029387,4636741593.99,4.64,-1.11,2036545.00
2015-09-02,19.20,247029387,4742964230.40,4.74,2.29,2492160.00
2015-09-03,18.58,247029387,4589806010.46,4.59,-3.23,2443270.00
2015-09-04,18.89,247029387,4666385120.43,4.67,1.67,2261133.00
2015-09-08,20.46,247029387,5054221258.02,5.05,8.31,5964090.00
2015-09-09,19.88,247029387,4910944213.56,4.91,-2.83,4260284.00
2015-09-10,20.65,247029387,5101156841.55,5.10,3.87,4173365.00
2015-09-11,20.84,247029387,5148092425.08,5.15,0.92,2719620.00
2015-09-14,21.30,247029387,5261725943.10,5.26,2.21,3203520.00
2015-09-15,21.33,247029387,5269136824.71,5.27,0.14,3801006.00
2015-09-16,20.93,247029387,5170325069.91,5.17,-1.88,3562286.00
2015-09-17,21.49,247029387,5308661526.63,5.31,2.68,2632525.00
2015-09-18,21.99,247029387,5432176220.13,5.43,2.33,4562925.00
2015-09-21,21.15,247029387,5224671535.05,5.22,-3.82,1988100.00
2015-09-22,21.40,247029387,5286428881.80,5.29,1.18,3224980.00
2015-09-23,21.29,247029387,5259255649.23,5.26,-0.51,2303578.00
2015-09-24,21.63,247029387,5343245640.81,5.34,1.60,2647512.00
2015-09-25,20.08,247029387,4960350090.96,4.96,-7.17,3138504.00
2015-09-28,17.68,247029387,4367479562.16,4.37,-11.95,3668600.00
2015-09-29,16.65,247029387,4113039293.55,4.11,-5.83,1758240.00
2015-09-30,17.28,247029387,4268667807.36,4.27,3.78,3362688.00
2015-10-01,16.79,247029387,4147623407.73,4.15,-2.84,2998694.00
2015-10-02,18.65,247029387,4607098067.55,4.61,11.08,2760200.00
2015-10-05,18.43,247029387,4552751602.41,4.55,-1.18,3007776.00
2015-10-06,18.52,247029387,4574984247.24,4.57,0.49,3265076.00
2015-10-07,20.07,247029387,4957879797.09,4.96,8.37,3295494.00
2015-10-08,20.04,247029387,4950468915.48,4.95,-0.15,1937868.00
2015-10-09,20.70,247029387,5113508310.90,5.11,3.29,9534420.00
2015-10-12,20.52,247029387,5069043021.24,5.07,-0.87,2287980.00
2015-10-13,20.13,247029387,4972701560.31,4.97,-1.90,1954623.00
2015-10-14,18.63,247029387,4602157479.81,4.60,-7.45,2142450.00
2015-10-15,19.43,247029387,4799780989.41,4.80,4.29,3553747.00
2015-10-16,19.40,247029387,4792370107.80,4.79,-0.15,1404560.00
2015-10-19,19.27,247029387,4760256287.49,4.76,-0.67,3819314.00
2015-10-20,18.53,247029387,4577454541.11,4.58,-3.84,3859799.00
2015-10-21,17.18,247029387,4243964868.66,4.24,-7.29,4226280.00
2015-10-22,17.00,247029387,4199499579.00,4.20,-1.05,1939700.00
2015-10-23,15.85,247029387,3915415783.95,3.92,-6.76,2631100.00
2015-10-26,17.18,247029387,4243964868.66,4.24,8.39,4793220.00
2015-10-27,16.39,247029387,4048811652.93,4.05,-4.60,2722379.00
2015-10-28,17.49,247029387,4320543978.63,4.32,6.71,2763420.00
2015-10-29,16.93,247029387,4182207521.91,4.18,-3.20,1535551.00
2015-10-30,16.38,247029387,4046341359.06,4.05,-3.25,800982.00
2015-11-02,17.31,247029387,4276078688.97,4.28,5.68,1085337.00
2015-11-03,17.57,247029387,4340306329.59,4.34,1.50,2342081.00
2015-11-04,18.22,247029387,4500875431.14,4.50,3.70,1532302.00
2015-11-05,18.01,247029387,4448999259.87,4.45,-1.15,1058988.00
2015-11-06,19.12,247029387,4723201879.44,4.72,6.16,1168232.00
2015-11-09,19.12,247029387,4723201879.44,4.72,0.00,1552544.00
2015-11-10,19.25,247029387,4755315699.75,4.76,0.68,1318625.00
2015-11-11,19.27,247029387,4760256287.49,4.76,0.10,1352754.00
2015-11-12,18.10,247029387,4471231904.70,4.47,-6.07,3884260.00
2015-11-13,18.42,247029387,4550281308.54,4.55,1.77,1368606.00
2015-11-16,18.16,247029387,4486053667.92,4.49,-1.41,1565392.00
2015-11-17,17.81,247029387,4399593382.47,4.40,-1.93,1542346.00
2015-11-18,17.95,247029387,4434177496.65,4.43,0.79,2085790.00
2015-11-19,17.01,247029387,4201969872.87,4.20,-5.24,1758834.00
2015-11-20,17.25,247029387,4261256925.75,4.26,1.41,4850700.00
2015-11-23,18.23,247029387,4503345725.01,4.50,5.68,1082862.00
2015-11-24,18.48,247029387,4565103071.76,4.57,1.37,724416.00
2015-11-25,19.54,247029387,4826954221.98,4.83,5.74,1166538.00
2015-11-27,19.92,247029387,4920825389.04,4.92,1.94,2324664.00
2015-11-30,19.56,247029387,4831894809.72,4.83,-1.81,2804904.00
2015-12-01,20.26,247029387,5004815380.62,5.00,3.58,1637008.00
2015-12-02,20.36,247029387,5029518319.32,5.03,0.49,2194808.00
2015-12-03,19.05,247029387,4705909822.35,4.71,-6.43,1205865.00
2015-12-04,19.00,247029387,4693558353.00,4.69,-0.26,1797400.00
2015-12-07,17.95,247029387,4434177496.65,4.43,-5.53,1841670.00
2015-12-08,18.50,247029387,4570043659.50,4.57,3.06,1117400.00
2015-12-09,17.69,247029387,4369949856.03,4.37,-4.38,1632787.00
2015-12-10,18.04,247029387,4456410141.48,4.46,1.98,1273624.00
2015-12-11,18.56,247029387,4584865422.72,4.58,2.88,1314048.00
2015-12-14,19.18,247029387,4738023642.66,4.74,3.34,2224880.00
2015-12-15,19.91,247029387,4918355095.17,4.92,3.81,2528570.00
2015-12-16,20.00,247029387,4940587740.00,4.94,0.45,3316000.00
2015-12-17,19.50,247029387,4817073046.50,4.82,-2.50,3342300.00
2015-12-18,19.61,247029387,4844246279.07,4.84,0.56,19037388.00
2015-12-21,19.89,247029387,4913414507.43,4.91,1.43,1328652.00
2015-12-22,18.73,247029387,4626860418.51,4.63,-5.83,2163315.00
