Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2019-06-21,1255.50,941095800,1181545776900.00,1181.55,,1276843.50
2019-06-24,1331.10,941095800,1252692619380.00,1252.69,6.02,644252.40
2019-06-25,1242.00,941095800,1168840983600.00,1168.84,-6.69,255852.00
2019-06-26,1323.00,941095800,1245069743400.00,1245.07,6.52,117747.00
2019-06-27,1331.10,941095800,1252692619380.00,1252.69,0.61,161063.10
2019-06-28,1242.00,941095800,1168840983600.00,1168.84,-6.69,77004.00
2019-07-01,1080.00,941095800,1016383464000.00,1016.38,-13.04,291600.00
2019-07-02,1116.45,941095800,1050686405910.00,1050.69,3.37,33493.50
2019-07-03,1125.90,941095800,1059579761220.00,1059.58,0.85,39406.50
2019-07-05,1120.50,941095800,1054497843900.00,1054.50,-0.48,22410.00
2019-07-08,1027.35,941095800,966834770130.00,966.83,-8.31,124309.35
2019-07-09,1233.90,941095800,1161218107620.00,1161.22,20.11,565126.20
2019-07-10,1134.00,941095800,1067202637200.00,1067.20,-8.10,1046682.00
2019-07-11,1053.00,941095800,990973877400.00,990.97,-7.14,495963.00
2019-07-12,1023.30,941095800,963023332140.00,963.02,-2.82,156564.90
2019-07-15,996.30,941095800,937613745540.00,937.61,-2.64,77711.40
2019-07-16,915.30,941095800,861384985740.00,861.38,-8.13,144617.40
2019-07-17,877.50,941095800,825811564500.00,825.81,-4.13,111442.50
2019-07-18,842.40,941095800,792779101920.00,792.78,-4.00,155001.60
2019-07-19,855.90,941095800,805483895220.00,805.48,1.60,21397.50
2019-07-22,861.30,941095800,810565812540.00,810.57,0.63,57707.10
2019-07-23,915.30,941095800,861384985740.00,861.38,6.27,118073.70
2019-07-24,909.90,941095800,856303068420.00,856.30,-0.59,70062.30
2019-07-25,908.55,941095800,855032589090.00,855.03,-0.15,39067.65
2019-07-26,920.70,941095800,866466903060.00,866.47,1.34,34065.90
2019-07-29,904.50,941095800,851221151100.00,851.22,-1.76,14472.00
2019-07-30,920.70,941095800,866466903060.00,866.47,1.79,37748.70
2019-07-31,888.30,941095800,835975399140.00,835.98,-3.52,10659.60
2019-08-01,888.30,941095800,835975399140.00,835.98,0.00,22207.50
2019-08-02,818.10,941095800,769910473980.00,769.91,-7.90,83446.20
2019-08-05,745.20,941095800,701304590160.00,701.30,-8.91,145314.00
2019-08-06,799.20,941095800,752123763360.00,752.12,7.25,16783.20
2019-08-07,803.25,941095800,755935201350.00,755.94,0.51,44982.00
2019-08-08,793.80,941095800,747041846040.00,747.04,-1.18,9525.60
2019-08-09,753.30,941095800,708927466140.00,708.93,-5.10,13559.40
2019-08-12,760.59,941095800,715788054522.00,715.79,0.97,22057.11
2019-08-13,769.50,941095800,724173218100.00,724.17,1.17,30010.50
2019-08-14,771.39,941095800,725951889162.00,725.95,0.25,30084.21
2019-08-15,756.00,941095800,711468424800.00,711.47,-2.00,14364.00
2019-08-16,739.80,941095800,696222672840.00,696.22,-2.14,6658.20
2019-08-19,739.80,941095800,696222672840.00,696.22,0.00,15535.80
2019-08-20,739.80,941095800,696222672840.00,696.22,0.00,0.00
2019-08-21,499.50,941095800,470077352100.00,470.08,-32.48,187812.00
2019-08-22,567.00,941095800,533601318600.00,533.60,13.51,53298.00
2019-08-23,540.00,941095800,508191732000.00,508.19,-4.76,10260.00
2019-08-26,545.40,941095800,513273649320.00,513.27,1.00,60539.40
2019-08-27,526.50,941095800,495486938700.00,495.49,-3.47,8424.00
2019-08-28,499.50,941095800,470077352100.00,470.08,-5.13,58441.50
2019-08-29,537.30,941095800,505650773340.00,505.65,7.57,30088.80
2019-08-30,526.50,941095800,495486938700.00,495.49,-2.01,8424.00
2019-09-03,564.30,941095800,531060359940.00,531.06,7.18,156311.10
2019-09-04,583.20,941095800,548847070560.00,548.85,3.35,54237.60
2019-09-05,565.65,941095800,532330839270.00,532.33,-3.01,52605.45
2019-09-06,594.00,941095800,559010905200.00,559.01,5.01,52866.00
2019-09-09,602.10,941095800,566633781180.00,566.63,1.36,27696.60
2019-09-10,634.50,941095800,597125285100.00,597.13,5.38,86292.00
2019-09-11,680.67,941095800,640575678186.00,640.58,7.28,6806.70
2019-09-12,615.60,941095800,579338574480.00,579.34,-9.56,49863.60
2019-09-13,618.30,941095800,581879533140.00,581.88,0.44,54410.40
2019-09-16,685.80,941095800,645403499640.00,645.40,10.92,39090.60
2019-09-17,680.40,941095800,640321582320.00,640.32,-0.79,29257.20
2019-09-18,661.50,941095800,622534871700.00,622.53,-2.78,97240.50
2019-09-19,594.00,941095800,559010905200.00,559.01,-10.20,35640.00
2019-09-20,594.00,941095800,559010905200.00,559.01,0.00,32670.00
2019-09-23,584.01,941095800,549609358158.00,549.61,-1.68,32704.56
2019-09-24,558.90,941095800,525978442620.00,525.98,-4.30,21797.10
2019-09-25,553.50,941095800,520896525300.00,520.90,-0.97,6642.00
2019-09-26,506.79,941095800,476937940482.00,476.94,-8.44,31927.77
2019-09-27,550.80,941095800,518355566640.00,518.36,8.68,14871.60
2019-09-30,583.47,941095800,549101166426.00,549.10,5.93,14586.75
2019-10-01,513.00,941095800,482782145400.00,482.78,-12.08,94392.00
2019-10-02,542.70,941095800,510732690660.00,510.73,5.79,19537.20
2019-10-03,486.00,941095800,457372558800.00,457.37,-10.45,58320.00
2019-10-04,504.90,941095800,475159269420.00,475.16,3.89,15651.90
2019-10-07,572.40,941095800,538683235920.00,538.68,13.37,27475.20
2019-10-08,561.60,941095800,528519401280.00,528.52,-1.89,2246.40
2019-10-09,494.10,941095800,464995434780.00,465.00,-12.02,28163.70
2019-10-10,498.15,941095800,468806872770.00,468.81,0.82,46826.10
2019-10-11,534.60,941095800,503109814680.00,503.11,7.32,27264.60
2019-10-14,513.00,941095800,482782145400.00,482.78,-4.04,43605.00
2019-10-15,540.00,941095800,508191732000.00,508.19,5.26,27540.00
2019-10-16,661.50,941095800,622534871700.00,622.53,22.50,357871.50
2019-10-17,631.80,941095800,594584326440.00,594.58,-4.49,59389.20
2019-10-18,639.90,941095800,602207202420.00,602.21,1.28,60790.50
2019-10-21,661.50,941095800,622534871700.00,622.53,3.38,29106.00
2019-10-22,637.20,941095800,599666243760.00,599.67,-3.67,17204.40
2019-10-23,664.20,941095800,625075830360.00,625.08,4.24,77711.40
2019-10-24,637.20,941095800,599666243760.00,599.67,-4.07,22939.20
2019-10-25,643.14,941095800,605256352812.00,605.26,0.93,8360.82
2019-10-28,669.60,941095800,630157747680.00,630.16,4.11,14061.60
2019-10-29,631.80,941095800,594584326440.00,594.58,-5.65,123201.00
2019-10-30,540.00,941095800,508191732000.00,508.19,-14.53,111240.00
2019-10-31,537.30,941095800,505650773340.00,505.65,-0.50,40834.80
2019-11-01,556.20,941095800,523437483960.00,523.44,3.52,52839.00
2019-11-04,607.50,941095800,571715698500.00,571.72,9.22,67432.50
2019-11-05,584.55,941095800,550117549890.00,550.12,-3.78,29227.50
2019-11-06,553.50,941095800,520896525300.00,520.90,-5.31,88006.50
2019-11-07,540.00,941095800,508191732000.00,508.19,-2.44,24300.00
2019-11-08,602.91,941095800,567396068778.00,567.40,11.65,88627.77
2019-11-11,574.02,941095800,540207811116.00,540.21,-4.79,21812.76
2019-11-12,572.40,941095800,538683235920.00,538.68,-0.28,35488.80
2019-11-13,580.50,941095800,546306111900.00,546.31,1.42,22059.00
2019-11-14,578.88,941095800,544781536704.00,544.78,-0.28,4052.16
2019-11-15,556.20,941095800,523437483960.00,523.44,-3.92,16129.80
2019-11-18,564.30,941095800,531060359940.00,531.06,1.46,251113.50
2019-11-19,567.00,941095800,533601318600.00,533.60,0.48,25515.00
2019-11-20,561.60,941095800,528519401280.00,528.52,-0.95,27518.40
2019-11-21,594.00,941095800,559010905200.00,559.01,5.77,147906.00
2019-11-22,764.10,941095800,719091300780.00,719.09,28.64,818351.10
2019-11-25,702.00,941095800,660649251600.00,660.65,-8.13,357318.00
2019-11-26,652.05,941095800,613641516390.00,613.64,-7.12,112804.65
2019-11-27,666.90,941095800,627616789020.00,627.62,2.28,281431.80
2019-11-29,658.26,941095800,619485721308.00,619.49,-1.30,37520.82
2019-12-02,637.20,941095800,599666243760.00,599.67,-3.20,68817.60
2019-12-03,660.96,941095800,622026679968.00,622.03,3.73,231996.96
2019-12-04,631.80,941095800,594584326440.00,594.58,-4.41,106774.20
2019-12-05,685.80,941095800,645403499640.00,645.40,8.55,270205.20
2019-12-06,715.50,941095800,673354044900.00,673.35,4.33,239692.50
2019-12-09,706.59,941095800,664968881322.00,664.97,-1.25,286168.95
2019-12-10,661.50,941095800,622534871700.00,622.53,-6.38,142222.50
2019-12-11,594.00,941095800,559010905200.00,559.01,-10.20,534006.00
2019-12-12,596.70,941095800,561551863860.00,561.55,0.45,56089.80
2019-12-13,571.05,941095800,537412756590.00,537.41,-4.30,173599.20
2019-12-16,544.05,941095800,512003169990.00,512.00,-4.73,45700.20
2019-12-17,550.80,941095800,518355566640.00,518.36,1.24,39106.80
2019-12-18,561.60,941095800,528519401280.00,528.52,1.96,78062.40
2019-12-19,596.70,941095800,561551863860.00,561.55,6.25,201087.90
2019-12-20,675.00,941095800,635239665000.00,635.24,13.12,673650.00
2019-12-23,680.40,941095800,640321582320.00,640.32,0.80,333396.00
2019-12-24,675.00,941095800,635239665000.00,635.24,-0.79,239625.00
2019-12-26,765.45,941095800,720361780110.00,720.36,13.40,582507.45
2019-12-27,774.90,941095800,729255135420.00,729.26,1.23,328557.60
2019-12-30,801.90,941095800,754664722020.00,754.66,3.48,402553.80
