Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,0.68,11369710,7731402.80,0.01,,20465.96
2000-01-04,0.68,11369710,7731402.80,0.01,0.00,15866.44
2000-01-05,0.68,11369710,7731402.80,0.01,0.00,11497.44
2000-01-06,0.69,11369710,7845099.90,0.01,1.47,17033.34
2000-01-07,0.68,11369710,7731402.80,0.01,-1.45,11957.80
2000-01-10,0.69,11369710,7845099.90,0.01,1.47,24733.74
2000-01-11,0.68,11369710,7731402.80,0.01,-1.45,1839.40
2000-01-12,0.70,11369710,7958797.00,0.01,2.94,4734.10
2000-01-13,0.71,11369710,8072494.10,0.01,1.43,3361.14
2000-01-14,0.68,11369710,7731402.80,0.01,-4.23,7588.12
2000-01-18,0.70,11369710,7958797.00,0.01,2.94,16333.10
2000-01-19,0.71,11369710,8072494.10,0.01,1.43,12965.31
2000-01-20,0.79,11369710,8982070.90,0.01,11.27,31256.35
2000-01-21,0.79,11369710,8982070.90,0.01,0.00,31256.35
2000-01-24,0.76,11369710,8640979.60,0.01,-3.80,6681.92
2000-01-25,0.79,11369710,8982070.90,0.01,3.95,47285.45
2000-01-26,0.78,11369710,8868373.80,0.01,-1.27,20310.42
2000-01-27,0.72,11369710,8186191.20,0.01,-7.69,11930.40
2000-01-28,0.75,11369710,8527282.50,0.01,4.17,10905.75
2000-01-31,0.70,11369710,7958797.00,0.01,-6.67,473.20
2000-02-01,0.66,11369710,7504008.60,0.01,-5.71,27452.04
2000-02-02,0.68,11369710,7731402.80,0.01,3.03,3219.12
2000-02-03,0.67,11369710,7617705.70,0.01,-1.47,7023.61
2000-02-04,0.65,11369710,7390311.50,0.01,-2.99,1538.55
2000-02-07,0.67,11369710,7617705.70,0.01,3.08,9742.47
2000-02-08,0.65,11369710,7390311.50,0.01,-2.99,5714.80
2000-02-09,0.65,11369710,7390311.50,0.01,0.00,2198.30
2000-02-10,0.65,11369710,7390311.50,0.01,0.00,4395.95
2000-02-11,0.62,11369710,7049220.20,0.01,-4.62,8596.30
2000-02-14,0.63,11369710,7162917.30,0.01,1.61,37495.71
2000-02-15,0.61,11369710,6935523.10,0.01,-3.17,1237.69
2000-02-16,0.65,11369710,7390311.50,0.01,6.56,1758.25
2000-02-17,0.62,11369710,7049220.20,0.01,-4.62,4193.06
2000-02-18,0.62,11369710,7049220.20,0.01,0.00,0.00
2000-02-22,0.62,11369710,7049220.20,0.01,0.00,15514.88
2000-02-23,0.60,11369710,6821826.00,0.01,-3.23,8724.60
2000-02-24,0.59,11369710,6708128.90,0.01,-1.67,997.69
2000-02-25,0.60,11369710,6821826.00,0.01,1.69,3246.60
2000-02-28,0.62,11369710,7049220.20,0.01,3.33,2096.84
2000-02-29,0.62,11369710,7049220.20,0.01,0.00,0.00
2000-03-01,0.60,11369710,6821826.00,0.01,-3.23,202.80
2000-03-02,0.62,11369710,7049220.20,0.01,3.33,2096.84
2000-03-03,0.61,11369710,6935523.10,0.01,-1.61,2475.38
2000-03-06,0.63,11369710,7162917.30,0.01,3.28,8947.89
2000-03-07,0.70,11369710,7958797.00,0.01,11.11,104864.90
2000-03-08,0.69,11369710,7845099.90,0.01,-1.43,21933.72
2000-03-09,0.72,11369710,8186191.20,0.01,4.35,60139.44
2000-03-10,0.71,11369710,8072494.10,0.01,-1.39,33133.57
2000-03-13,0.68,11369710,7731402.80,0.01,-4.23,229.84
2000-03-14,0.68,11369710,7731402.80,0.01,0.00,3909.32
