Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,36.12,12726807,459692268.84,0.46,,3294144.00
2000-01-04,29.52,12726807,375695342.64,0.38,-18.27,14529744.00
2000-01-05,29.77,12726807,378877044.39,0.38,0.85,2488772.00
2000-01-06,29.98,12726807,381549673.86,0.38,0.71,5852096.00
2000-01-07,29.83,12726807,379640652.81,0.38,-0.50,7463466.00
2000-01-10,30.60,12726807,389440294.20,0.39,2.58,4449240.00
2000-01-11,29.31,12726807,373022713.17,0.37,-4.22,6020274.00
2000-01-12,26.63,12726807,338914870.41,0.34,-9.14,30991994.00
2000-01-13,28.95,12726807,368441062.65,0.37,8.71,21098760.00
2000-01-14,33.02,12726807,420239167.14,0.42,14.06,4213352.00
2000-01-18,32.82,12726807,417693805.74,0.42,-0.61,5750064.00
2000-01-19,33.39,12726807,424948085.73,0.42,1.74,23933952.00
2000-01-20,32.61,12726807,415021176.27,0.42,-2.34,7754658.00
2000-01-21,30.60,12726807,389440294.20,0.39,-6.16,138140640.00
2000-01-24,28.07,12726807,357241472.49,0.36,-8.27,9319240.00
2000-01-25,25.85,12726807,328987960.95,0.33,-7.91,14734500.00
2000-01-26,26.11,12726807,332296930.77,0.33,1.01,15284794.00
2000-01-27,25.70,12726807,327078939.90,0.33,-1.57,12654680.00
2000-01-28,24.36,12726807,310025018.52,0.31,-5.21,7790328.00
2000-01-31,23.07,12726807,293607437.49,0.29,-5.30,15189288.00
2000-02-01,23.53,12726807,299461768.71,0.30,1.99,15482740.00
2000-02-02,26.73,12726807,340187551.11,0.34,13.60,22757922.00
2000-02-03,26.83,12726807,341460231.81,0.34,0.37,10012956.00
2000-02-04,26.11,12726807,332296930.77,0.33,-2.68,12088930.00
2000-02-07,26.01,12726807,331024250.07,0.33,-0.38,6268410.00
2000-02-08,25.54,12726807,325042650.78,0.33,-1.81,72926916.00
2000-02-09,25.90,12726807,329624301.30,0.33,1.41,18969160.00
2000-02-10,30.62,12726807,389694830.34,0.39,18.22,36462296.00
2000-02-11,33.44,12726807,425584426.08,0.43,9.21,26056448.00
2000-02-14,32.79,12726807,417312001.53,0.42,-1.94,7856484.00
2000-02-15,32.95,12726807,419348290.65,0.42,0.49,15038380.00
