Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,10.00,31646589,316465890.00,0.32,,676000.00
2016-01-05,9.93,31646589,314250628.77,0.31,-0.70,238320.00
2016-01-06,9.97,31646589,315516492.33,0.32,0.40,90727.00
2016-01-07,9.67,31646589,306022515.63,0.31,-3.01,222410.00
2016-01-08,9.68,31646589,306338981.52,0.31,0.10,533368.00
2016-01-11,9.81,31646589,310453038.09,0.31,1.34,315882.00
2016-01-12,9.68,31646589,306338981.52,0.31,-1.33,204248.00
2016-01-13,9.53,31646589,301591993.17,0.30,-1.55,182976.00
2016-01-14,9.47,31646589,299693197.83,0.30,-0.63,186559.00
2016-01-15,9.43,31646589,298427334.27,0.30,-0.42,580888.00
2016-01-19,9.36,31646589,296212073.04,0.30,-0.74,156312.00
2016-01-20,9.24,31646589,292414482.36,0.29,-1.28,457380.00
2016-01-21,9.27,31646589,293363880.03,0.29,0.32,296640.00
2016-01-22,9.76,31646589,308870708.64,0.31,5.29,344528.00
2016-01-25,9.59,31646589,303490788.51,0.30,-1.74,143850.00
2016-01-26,9.71,31646589,307288379.19,0.31,1.25,186432.00
2016-01-27,9.46,31646589,299376731.94,0.30,-2.57,160820.00
2016-01-28,9.41,31646589,297794402.49,0.30,-0.53,76221.00
2016-01-29,9.80,31646589,310136572.20,0.31,4.14,226380.00
2016-02-01,9.97,31646589,315516492.33,0.32,1.73,155532.00
2016-02-02,9.61,31646589,304123720.29,0.30,-3.61,277729.00
2016-02-03,9.63,31646589,304756652.07,0.30,0.21,164673.00
2016-02-04,9.69,31646589,306655447.41,0.31,0.62,123063.00
2016-02-05,9.60,31646589,303807254.40,0.30,-0.93,315840.00
2016-02-08,9.53,31646589,301591993.17,0.30,-0.73,101971.00
2016-02-09,9.00,31646589,284819301.00,0.28,-5.56,643500.00
2016-02-10,8.97,31646589,283869903.33,0.28,-0.33,243984.00
2016-02-11,8.90,31646589,281654642.10,0.28,-0.78,83660.00
2016-02-12,8.90,31646589,281654642.10,0.28,0.00,220720.00
2016-02-16,8.75,31646589,276907653.75,0.28,-1.69,298375.00
2016-02-17,9.67,31646589,306022515.63,0.31,10.51,572464.00
2016-02-18,8.86,31646589,280388778.54,0.28,-8.38,100118.00
2016-02-19,8.80,31646589,278489983.20,0.28,-0.68,158400.00
2016-02-22,8.81,31646589,278806449.09,0.28,0.11,128626.00
2016-02-23,8.50,31646589,268996006.50,0.27,-3.52,183600.00
2016-02-24,8.56,31646589,270894801.84,0.27,0.71,164352.00
2016-02-25,8.59,31646589,271844199.51,0.27,0.35,178672.00
2016-02-26,8.71,31646589,275641790.19,0.28,1.40,250848.00
2016-02-29,9.03,31646589,285768698.67,0.29,3.67,365715.00
2016-03-01,9.04,31646589,286085164.56,0.29,0.11,222384.00
2016-03-02,9.61,31646589,304123720.29,0.30,6.31,233523.00
2016-03-03,9.55,31646589,302224924.95,0.30,-0.62,447895.00
2016-03-04,9.87,31646589,312351833.43,0.31,3.35,885339.00
2016-03-07,10.06,31646589,318364685.34,0.32,1.93,625732.00
2016-03-08,9.88,31646589,312668299.32,0.31,-1.79,4456868.00
2016-03-09,10.01,31646589,316782355.89,0.32,1.32,426426.00
2016-03-10,9.94,31646589,314567094.66,0.31,-0.70,606340.00
2016-03-11,9.96,31646589,315200026.44,0.32,0.20,137448.00
2016-03-14,9.83,31646589,311085969.87,0.31,-1.31,206430.00
2016-03-15,10.05,31646589,318048219.45,0.32,2.24,747720.00
2016-03-16,10.11,31646589,319947014.79,0.32,0.60,292179.00
2016-03-17,10.21,31646589,323111673.69,0.32,0.99,599327.00
2016-03-18,10.04,31646589,317731753.56,0.32,-1.67,488948.00
2016-03-21,10.15,31646589,321212878.35,0.32,1.10,229390.00
2016-03-22,10.28,31646589,325326934.92,0.33,1.28,776140.00
2016-03-23,10.33,31646589,326909264.37,0.33,0.49,962756.00
2016-03-24,10.40,31646589,329124525.60,0.33,0.68,148720.00
2016-03-28,10.38,31646589,328491593.82,0.33,-0.19,724524.00
2016-03-29,10.48,31646589,331656252.72,0.33,0.96,888704.00
2016-03-30,10.64,31646589,336719706.96,0.34,1.53,430920.00
2016-03-31,10.85,31646589,343365490.65,0.34,1.97,1094765.00
2016-04-01,10.80,31646589,341783161.20,0.34,-0.46,930960.00
2016-04-04,10.83,31646589,342732558.87,0.34,0.28,411540.00
2016-04-05,10.78,31646589,341150229.42,0.34,-0.46,352506.00
2016-04-06,10.88,31646589,344314888.32,0.34,0.93,685440.00
2016-04-07,10.61,31646589,335770309.29,0.34,-2.48,262067.00
2016-04-08,10.64,31646589,336719706.96,0.34,0.28,162792.00
2016-04-11,10.77,31646589,340833763.53,0.34,1.22,353256.00
2016-04-12,10.84,31646589,343049024.76,0.34,0.65,456364.00
2016-04-13,10.83,31646589,342732558.87,0.34,-0.09,371469.00
2016-04-14,10.78,31646589,341150229.42,0.34,-0.46,503426.00
2016-04-15,10.79,31646589,341466695.31,0.34,0.09,51792.00
2016-04-18,10.81,31646589,342099627.09,0.34,0.19,537257.00
2016-04-19,10.88,31646589,344314888.32,0.34,0.65,613632.00
2016-04-20,10.88,31646589,344314888.32,0.34,0.00,110976.00
2016-04-21,10.85,31646589,343365490.65,0.34,-0.28,171430.00
2016-04-22,10.90,31646589,344947820.10,0.34,0.46,323730.00
2016-04-25,10.79,31646589,341466695.31,0.34,-1.01,306436.00
2016-04-26,10.80,31646589,341783161.20,0.34,0.09,268920.00
2016-04-27,10.87,31646589,343998422.43,0.34,0.65,305447.00
2016-04-28,10.79,31646589,341466695.31,0.34,-0.74,359307.00
2016-04-29,10.81,31646589,342099627.09,0.34,0.19,235658.00
2016-05-02,10.92,31646589,345580751.88,0.35,1.02,174720.00
2016-05-03,10.88,31646589,344314888.32,0.34,-0.37,825792.00
2016-05-04,10.86,31646589,343681956.54,0.34,-0.18,423540.00
2016-05-05,10.84,31646589,343049024.76,0.34,-0.18,333872.00
2016-05-06,10.85,31646589,343365490.65,0.34,0.09,139965.00
2016-05-09,10.77,31646589,340833763.53,0.34,-0.74,599889.00
2016-05-10,10.77,31646589,340833763.53,0.34,0.00,270327.00
2016-05-11,10.61,31646589,335770309.29,0.34,-1.49,361801.00
2016-05-12,10.35,31646589,327542196.15,0.33,-2.45,272205.00
2016-05-13,10.12,31646589,320263480.68,0.32,-2.22,458436.00
2016-05-16,10.09,31646589,319314083.01,0.32,-0.30,650805.00
2016-05-17,10.00,31646589,316465890.00,0.32,-0.89,465000.00
2016-05-18,10.12,31646589,320263480.68,0.32,1.20,760012.00
2016-05-19,10.04,31646589,317731753.56,0.32,-0.79,327304.00
2016-05-20,9.95,31646589,314883560.55,0.31,-0.90,331335.00
2016-05-23,10.08,31646589,318997617.12,0.32,1.31,296352.00
2016-05-24,10.17,31646589,321845810.13,0.32,0.89,722070.00
2016-05-25,10.74,31646589,339884365.86,0.34,5.60,792612.00
2016-05-26,10.70,31646589,338618502.30,0.34,-0.37,269640.00
2016-05-27,11.05,31646589,349694808.45,0.35,3.27,398905.00
2016-05-31,10.95,31646589,346530149.55,0.35,-0.90,344925.00
2016-06-01,10.92,31646589,345580751.88,0.35,-0.27,290472.00
2016-06-02,10.99,31646589,347796013.11,0.35,0.64,103306.00
2016-06-03,11.00,31646589,348112479.00,0.35,0.09,212300.00
2016-06-06,10.93,31646589,345897217.77,0.35,-0.64,342109.00
2016-06-07,10.95,31646589,346530149.55,0.35,0.18,408435.00
2016-06-08,11.11,31646589,351593603.79,0.35,1.46,318857.00
2016-06-09,11.11,31646589,351593603.79,0.35,0.00,234421.00
2016-06-10,11.24,31646589,355707660.36,0.36,1.17,313596.00
2016-06-13,10.91,31646589,345264285.99,0.35,-2.94,138557.00
2016-06-14,11.05,31646589,349694808.45,0.35,1.28,109395.00
2016-06-15,11.09,31646589,350960672.01,0.35,0.36,202947.00
2016-06-16,11.28,31646589,356973523.92,0.36,1.71,644088.00
2016-06-17,11.36,31646589,359505251.04,0.36,0.71,319216.00
2016-06-20,11.51,31646589,364252239.39,0.36,1.32,275089.00
2016-06-21,11.71,31646589,370581557.19,0.37,1.74,228345.00
2016-06-22,11.55,31646589,365518102.95,0.37,-1.37,123585.00
2016-06-23,11.85,31646589,375012079.65,0.38,2.60,282030.00
2016-06-24,11.72,31646589,370898023.08,0.37,-1.10,2104912.00
2016-06-27,11.75,31646589,371847420.75,0.37,0.26,412425.00
2016-06-28,11.53,31646589,364885171.17,0.36,-1.87,287097.00
2016-06-29,11.70,31646589,370265091.30,0.37,1.47,267930.00
2016-06-30,11.90,31646589,376594409.10,0.38,1.71,226100.00
2016-07-01,11.90,31646589,376594409.10,0.38,0.00,265370.00
2016-07-05,11.80,31646589,373429750.20,0.37,-0.84,240720.00
2016-07-06,11.84,31646589,374695613.76,0.37,0.34,467680.00
2016-07-07,11.77,31646589,372480352.53,0.37,-0.59,384879.00
2016-07-08,11.95,31646589,378176738.55,0.38,1.53,752850.00
2016-07-11,12.08,31646589,382290795.12,0.38,1.09,479576.00
2016-07-12,12.29,31646589,388936578.81,0.39,1.74,489142.00
2016-07-13,12.61,31646589,399063487.29,0.40,2.60,977275.00
2016-07-14,12.56,31646589,397481157.84,0.40,-0.40,464720.00
2016-07-15,12.59,31646589,398430555.51,0.40,0.24,911516.00
2016-07-18,12.80,31646589,405076339.20,0.41,1.67,591360.00
2016-07-19,12.81,31646589,405392805.09,0.41,0.08,443226.00
2016-07-20,12.67,31646589,400962282.63,0.40,-1.09,286342.00
2016-07-21,13.54,31646589,428494815.06,0.43,6.87,5139784.00
2016-07-22,14.01,31646589,443368711.89,0.44,3.47,4308075.00
2016-07-25,13.90,31646589,439887587.10,0.44,-0.79,4571710.00
2016-07-26,13.98,31646589,442419314.22,0.44,0.58,1666416.00
2016-07-27,13.93,31646589,440836984.77,0.44,-0.36,1048929.00
2016-07-28,13.97,31646589,442102848.33,0.44,0.29,2735326.00
2016-07-29,14.09,31646589,445900439.01,0.45,0.86,914441.00
2016-08-01,14.00,31646589,443052246.00,0.44,-0.64,572600.00
2016-08-02,14.59,31646589,461723733.51,0.46,4.21,4248608.00
2016-08-03,14.69,31646589,464888392.41,0.46,0.69,2150616.00
2016-08-04,14.10,31646589,446216904.90,0.45,-4.02,1445250.00
2016-08-05,14.45,31646589,457293211.05,0.46,2.48,754290.00
2016-08-08,14.44,31646589,456976745.16,0.46,-0.07,631028.00
2016-08-09,14.53,31646589,459824938.17,0.46,0.62,332737.00
2016-08-10,14.49,31646589,458559074.61,0.46,-0.28,675234.00
2016-08-11,14.43,31646589,456660279.27,0.46,-0.41,2796534.00
2016-08-12,14.44,31646589,456976745.16,0.46,0.07,737884.00
2016-08-15,14.54,31646589,460141404.06,0.46,0.69,569968.00
2016-08-16,14.46,31646589,457609676.94,0.46,-0.55,336918.00
2016-08-17,14.50,31646589,458875540.50,0.46,0.28,474150.00
2016-08-18,14.49,31646589,458559074.61,0.46,-0.07,595539.00
2016-08-19,14.48,31646589,458242608.72,0.46,-0.07,718208.00
2016-08-22,14.57,31646589,461090801.73,0.46,0.62,2093709.00
2016-08-23,14.61,31646589,462356665.29,0.46,0.27,524499.00
2016-08-24,14.55,31646589,460457869.95,0.46,-0.41,512160.00
2016-08-25,14.55,31646589,460457869.95,0.46,0.00,551445.00
2016-08-26,14.45,31646589,457293211.05,0.46,-0.69,417605.00
2016-08-29,14.51,31646589,459192006.39,0.46,0.42,529615.00
2016-08-30,14.54,31646589,460141404.06,0.46,0.21,860768.00
2016-08-31,14.49,31646589,458559074.61,0.46,-0.34,1914129.00
2016-09-01,14.52,31646589,459508472.28,0.46,0.21,310728.00
2016-09-02,14.52,31646589,459508472.28,0.46,0.00,3060816.00
2016-09-06,14.71,31646589,465521324.19,0.47,1.31,2337419.00
2016-09-07,14.95,31646589,473116505.55,0.47,1.63,1490515.00
2016-09-08,15.07,31646589,476914096.23,0.48,0.80,614856.00
2016-09-09,14.92,31646589,472167107.88,0.47,-1.00,507280.00
2016-09-12,15.05,31646589,476281164.45,0.48,0.87,776580.00
2016-09-13,14.70,31646589,465204858.30,0.47,-2.33,680610.00
2016-09-14,14.58,31646589,461407267.62,0.46,-0.82,1020600.00
2016-09-15,14.67,31646589,464255460.63,0.46,0.62,946215.00
2016-09-16,14.45,31646589,457293211.05,0.46,-1.50,1940635.00
2016-09-19,14.72,31646589,465837790.08,0.47,1.87,796352.00
2016-09-20,13.53,31646589,428178349.17,0.43,-8.08,6643230.00
2016-09-21,13.81,31646589,437039394.09,0.44,2.07,823076.00
2016-09-22,14.22,31646589,450014495.58,0.45,2.97,880218.00
2016-09-23,14.60,31646589,462040199.40,0.46,2.67,543120.00
2016-09-26,14.64,31646589,463306062.96,0.46,0.27,534360.00
2016-09-27,14.53,31646589,459824938.17,0.46,-0.75,361797.00
2016-09-28,14.61,31646589,462356665.29,0.46,0.55,397392.00
2016-09-29,14.60,31646589,462040199.40,0.46,-0.07,487640.00
2016-09-30,14.61,31646589,462356665.29,0.46,0.07,447066.00
2016-10-03,14.74,31646589,466470721.86,0.47,0.89,1547700.00
2016-10-04,14.75,31646589,466787187.75,0.47,0.07,492650.00
2016-10-05,14.78,31646589,467736585.42,0.47,0.20,1523818.00
2016-10-06,14.87,31646589,470584778.43,0.47,0.61,1055770.00
2016-10-07,14.76,31646589,467103653.64,0.47,-0.74,305532.00
2016-10-10,14.91,31646589,471850641.99,0.47,1.02,1853313.00
2016-10-11,14.90,31646589,471534176.10,0.47,-0.07,1896770.00
2016-10-12,14.96,31646589,473432971.44,0.47,0.40,1335928.00
2016-10-13,14.88,31646589,470901244.32,0.47,-0.53,752928.00
2016-10-14,14.76,31646589,467103653.64,0.47,-0.81,559404.00
2016-10-17,14.98,31646589,474065903.22,0.47,1.49,495838.00
2016-10-18,14.76,31646589,467103653.64,0.47,-1.47,614016.00
2016-10-19,14.88,31646589,470901244.32,0.47,0.81,217248.00
2016-10-20,14.72,31646589,465837790.08,0.47,-1.08,158976.00
2016-10-21,14.90,31646589,471534176.10,0.47,1.22,1630060.00
2016-10-24,14.89,31646589,471217710.21,0.47,-0.07,336514.00
2016-10-25,14.87,31646589,470584778.43,0.47,-0.13,391081.00
2016-10-26,14.71,31646589,465521324.19,0.47,-1.08,278019.00
2016-10-27,14.84,31646589,469635380.76,0.47,0.88,529788.00
2016-10-28,14.85,31646589,469951846.65,0.47,0.07,378675.00
2016-10-31,14.75,31646589,466787187.75,0.47,-0.67,417425.00
2016-11-01,14.40,31646589,455710881.60,0.46,-2.37,515520.00
2016-11-02,14.10,31646589,446216904.90,0.45,-2.08,372240.00
2016-11-03,14.10,31646589,446216904.90,0.45,0.00,139590.00
2016-11-04,14.50,31646589,458875540.50,0.46,2.84,253750.00
2016-11-07,14.90,31646589,471534176.10,0.47,2.76,475310.00
