Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,12.75,193284438,2464376584.50,2.46,,80325.00
2000-01-04,13.56,193284438,2620936979.28,2.62,6.35,43392.00
2000-01-05,12.88,193284438,2489503561.44,2.49,-5.01,60536.00
2000-01-06,12.75,193284438,2464376584.50,2.46,-1.01,155550.00
2000-01-07,13.38,193284438,2586145780.44,2.59,4.94,116406.00
2000-01-10,13.69,193284438,2646063956.22,2.65,2.32,24642.00
2000-01-11,14.06,193284438,2717579198.28,2.72,2.70,199652.00
2000-01-12,14.25,193284438,2754303241.50,2.75,1.35,366225.00
2000-01-13,15.25,193284438,2947587679.50,2.95,7.02,114375.00
2000-01-14,16.75,193284438,3237514336.50,3.24,9.84,805675.00
2000-01-18,16.44,193284438,3177596160.72,3.18,-1.85,1400688.00
2000-01-19,15.50,193284438,2995908789.00,3.00,-5.72,1946800.00
2000-01-20,15.06,193284438,2910863636.28,2.91,-2.84,939744.00
2000-01-21,15.00,193284438,2899266570.00,2.90,-0.40,408000.00
2000-01-24,14.75,193284438,2850945460.50,2.85,-1.67,351050.00
2000-01-25,14.88,193284438,2876072437.44,2.88,0.88,279744.00
2000-01-26,14.88,193284438,2876072437.44,2.88,0.00,29760.00
2000-01-27,14.75,193284438,2850945460.50,2.85,-0.87,97350.00
2000-01-28,15.50,193284438,2995908789.00,3.00,5.08,257300.00
2000-01-31,14.56,193284438,2814221417.28,2.81,-6.06,282464.00
2000-02-01,14.88,193284438,2876072437.44,2.88,2.20,302064.00
2000-02-02,14.38,193284438,2779430218.44,2.78,-3.36,104974.00
2000-02-03,15.00,193284438,2899266570.00,2.90,4.31,681000.00
2000-02-04,14.88,193284438,2876072437.44,2.88,-0.80,2403120.00
2000-02-07,15.50,193284438,2995908789.00,3.00,4.17,4381850.00
2000-02-08,17.00,193284438,3285835446.00,3.29,9.68,3666900.00
2000-02-09,17.50,193284438,3382477665.00,3.38,2.94,3524500.00
2000-02-10,17.00,193284438,3285835446.00,3.29,-2.86,2614600.00
2000-02-11,18.38,193284438,3552567970.44,3.55,8.12,1758966.00
2000-02-14,19.00,193284438,3672404322.00,3.67,3.37,4430800.00
2000-02-15,19.44,193284438,3757449474.72,3.76,2.32,4443984.00
2000-02-16,19.38,193284438,3745852408.44,3.75,-0.31,2753898.00
2000-02-17,19.12,193284438,3695598454.56,3.70,-1.34,1722712.00
