Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,0.81,54951061,44510359.41,0.04,,161172.99
2000-01-04,0.80,54951061,43960848.80,0.04,-1.23,4314612.00
2000-01-05,0.80,54951061,43960848.80,0.04,0.00,149042.40
2000-01-06,0.79,54951061,43411338.19,0.04,-1.25,111412.91
2000-01-07,0.80,54951061,43960848.80,0.04,1.27,135278.40
2000-01-10,0.80,54951061,43960848.80,0.04,0.00,211520.00
2000-01-11,0.80,54951061,43960848.80,0.04,0.00,159545.60
2000-01-12,0.79,54951061,43411338.19,0.04,-1.25,133945.29
2000-01-13,0.80,54951061,43960848.80,0.04,1.27,240133.60
2000-01-14,0.82,54951061,45059870.02,0.05,2.50,202329.26
2000-01-18,0.81,54951061,44510359.41,0.04,-1.22,220398.57
2000-01-19,0.82,54951061,45059870.02,0.05,1.23,170959.34
2000-01-20,0.83,54951061,45609380.63,0.05,1.22,262102.38
2000-01-21,0.83,54951061,45609380.63,0.05,0.00,223397.82
2000-01-24,0.82,54951061,45059870.02,0.05,-1.20,155923.82
2000-01-25,0.82,54951061,45059870.02,0.05,0.00,142187.18
2000-01-26,0.81,54951061,44510359.41,0.04,-1.22,144487.80
2000-01-27,0.81,54951061,44510359.41,0.04,0.00,89479.89
2000-01-28,0.83,54951061,45609380.63,0.05,2.47,146363.86
2000-01-31,0.82,54951061,45059870.02,0.05,-1.20,675669.34
2000-02-01,0.83,54951061,45609380.63,0.05,1.22,193336.05
2000-02-02,0.83,54951061,45609380.63,0.05,0.00,702134.35
2000-02-03,0.82,54951061,45059870.02,0.05,-1.20,790013.42
2000-02-04,0.82,54951061,45059870.02,0.05,0.00,343589.02
2000-02-07,0.81,54951061,44510359.41,0.04,-1.22,171991.35
2000-02-08,0.81,54951061,44510359.41,0.04,0.00,257436.63
2000-02-09,0.81,54951061,44510359.41,0.04,0.00,105615.09
2000-02-10,0.80,54951061,43960848.80,0.04,-1.23,197213.60
2000-02-11,0.80,54951061,43960848.80,0.04,0.00,505076.80
2000-02-14,0.79,54951061,43411338.19,0.04,-1.25,197073.40
2000-02-15,0.79,54951061,43411338.19,0.04,0.00,284343.12
2000-02-16,0.79,54951061,43411338.19,0.04,0.00,174718.77
2000-02-17,0.79,54951061,43411338.19,0.04,0.00,459777.63
2000-02-18,0.79,54951061,43411338.19,0.04,0.00,414533.54
2000-02-22,0.80,54951061,43960848.80,0.04,1.27,419056.00
2000-02-23,0.80,54951061,43960848.80,0.04,0.00,388994.40
2000-02-24,0.79,54951061,43411338.19,0.04,-1.25,647551.94
2000-02-25,0.78,54951061,42861827.58,0.04,-1.27,624170.04
2000-02-28,0.78,54951061,42861827.58,0.04,0.00,477088.56
2000-02-29,0.83,54951061,45609380.63,0.05,6.41,876869.27
2000-03-01,0.81,54951061,44510359.41,0.04,-2.41,149254.65
2000-03-02,0.81,54951061,44510359.41,0.04,0.00,576299.61
2000-03-03,0.82,54951061,45059870.02,0.05,1.23,523272.34
2000-03-06,0.81,54951061,44510359.41,0.04,-1.22,331331.31
2000-03-07,0.79,54951061,43411338.19,0.04,-2.47,722661.19
2000-03-08,0.81,54951061,44510359.41,0.04,2.53,624339.90
2000-03-09,0.83,54951061,45609380.63,0.05,2.47,491325.14
2000-03-10,0.80,54951061,43960848.80,0.04,-3.61,609931.20
2000-03-13,0.81,54951061,44510359.41,0.04,1.25,724271.22
2000-03-14,0.82,54951061,45059870.02,0.05,1.23,838646.80
2000-03-15,0.82,54951061,45059870.02,0.05,0.00,501368.50
2000-03-16,0.84,54951061,46158891.24,0.05,2.44,725805.36
2000-03-17,0.85,54951061,46708401.85,0.05,1.19,621113.70
2000-03-20,0.83,54951061,45609380.63,0.05,-2.35,561970.59
2000-03-21,0.83,54951061,45609380.63,0.05,0.00,481366.80
2000-03-22,0.82,54951061,45059870.02,0.05,-1.20,96338.52
2000-03-23,0.81,54951061,44510359.41,0.04,-1.22,172541.34
2000-03-24,0.80,54951061,43960848.80,0.04,-1.23,62478.40
2000-03-27,0.80,54951061,43960848.80,0.04,0.00,67368.00
2000-03-28,0.80,54951061,43960848.80,0.04,0.00,194316.00
2000-03-29,0.80,54951061,43960848.80,0.04,0.00,139081.60
2000-03-30,0.80,54951061,43960848.80,0.04,0.00,41108.80
2000-03-31,0.81,54951061,44510359.41,0.04,1.25,190877.31
2000-04-03,0.84,54951061,46158891.24,0.05,3.70,223046.88
2000-04-04,0.83,54951061,45609380.63,0.05,-1.19,201226.86
2000-04-05,0.81,54951061,44510359.41,0.04,-2.41,112949.64
2000-04-06,0.81,54951061,44510359.41,0.04,0.00,44189.55
2000-04-07,0.83,54951061,45609380.63,0.05,2.47,199912.14
2000-04-10,0.81,54951061,44510359.41,0.04,-2.41,184459.68
2000-04-11,0.80,54951061,43960848.80,0.04,-1.23,105760.00
2000-04-12,0.80,54951061,43960848.80,0.04,0.00,174033.60
2000-04-13,0.80,54951061,43960848.80,0.04,0.00,125861.60
2000-04-14,0.79,54951061,43411338.19,0.04,-1.25,223540.77
2000-04-17,0.81,54951061,44510359.41,0.04,2.53,141737.04
2000-04-18,0.80,54951061,43960848.80,0.04,-1.23,100327.20
2000-04-19,0.79,54951061,43411338.19,0.04,-1.25,143960.12
2000-04-20,0.79,54951061,43411338.19,0.04,0.00,71532.92
2000-04-24,0.79,54951061,43411338.19,0.04,0.00,128043.99
2000-04-25,0.81,54951061,44510359.41,0.04,2.53,77010.75
2000-04-26,0.81,54951061,44510359.41,0.04,0.00,503138.79
2000-04-27,0.84,54951061,46158891.24,0.05,3.70,592509.96
2000-04-28,0.84,54951061,46158891.24,0.05,0.00,162578.64
2000-05-01,0.84,54951061,46158891.24,0.05,0.00,184446.36
2000-05-02,0.81,54951061,44510359.41,0.04,-3.57,165023.73
2000-05-03,0.85,54951061,46708401.85,0.05,4.94,177599.00
2000-05-04,0.87,54951061,47807423.07,0.05,2.35,454936.05
2000-05-05,0.87,54951061,47807423.07,0.05,0.00,554588.46
2000-05-08,0.87,54951061,47807423.07,0.05,0.00,850986.15
2000-05-09,0.87,54951061,47807423.07,0.05,0.00,675116.52
2000-05-10,0.88,54951061,48356933.68,0.05,1.15,1001605.44
2000-05-11,0.89,54951061,48906444.29,0.05,1.14,1208614.66
2000-05-12,0.89,54951061,48906444.29,0.05,0.00,864907.34
2000-05-15,0.90,54951061,49455954.90,0.05,1.12,291745.80
2000-05-16,0.90,54951061,49455954.90,0.05,0.00,639721.80
2000-05-17,0.91,54951061,50005465.51,0.05,1.11,532295.40
2000-05-18,0.90,54951061,49455954.90,0.05,-1.10,444952.80
2000-05-19,0.91,54951061,50005465.51,0.05,1.11,875279.86
2000-05-22,0.91,54951061,50005465.51,0.05,0.00,155527.19
2000-05-23,0.91,54951061,50005465.51,0.05,0.00,837582.20
2000-05-24,0.93,54951061,51104486.73,0.05,2.20,706097.85
2000-05-25,0.93,54951061,51104486.73,0.05,0.00,1042515.12
