Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,14.64,50288494,736223552.16,0.74,,1591368.00
2016-01-05,14.83,50288494,745778366.02,0.75,1.30,542778.00
2016-01-06,14.74,50288494,741252401.56,0.74,-0.61,935990.00
2016-01-07,14.33,50288494,720634119.02,0.72,-2.78,1003100.00
2016-01-08,14.11,50288494,709570650.34,0.71,-1.54,2908071.00
2016-01-11,14.18,50288494,713090844.92,0.71,0.50,1066336.00
2016-01-12,14.13,50288494,710576420.22,0.71,-0.35,1145943.00
2016-01-13,13.79,50288494,693478332.26,0.69,-2.41,1882335.00
2016-01-14,13.78,50288494,692975447.32,0.69,-0.07,1132716.00
2016-01-15,13.64,50288494,685935058.16,0.69,-1.02,1354452.00
2016-01-19,13.56,50288494,681911978.64,0.68,-0.59,1446852.00
2016-01-20,13.66,50288494,686940828.04,0.69,0.74,1155636.00
2016-01-21,13.42,50288494,674871589.48,0.67,-1.76,861564.00
2016-01-22,13.58,50288494,682917748.52,0.68,1.19,805294.00
2016-01-25,13.24,50288494,665819660.56,0.67,-2.50,770568.00
2016-01-26,13.33,50288494,670345625.02,0.67,0.68,545197.00
2016-01-27,13.01,50288494,654253306.94,0.65,-2.40,1762855.00
2016-01-28,13.19,50288494,663305235.86,0.66,1.38,1299215.00
2016-01-29,13.30,50288494,668836970.20,0.67,0.83,1526840.00
2016-02-01,13.31,50288494,669339855.14,0.67,0.08,1393557.00
2016-02-02,13.23,50288494,665316775.62,0.67,-0.60,1243620.00
2016-02-03,13.17,50288494,662299465.98,0.66,-0.45,4430388.00
2016-02-04,13.01,50288494,654253306.94,0.65,-1.21,965342.00
2016-02-05,12.65,50288494,636149449.10,0.64,-2.77,1474990.00
2016-02-08,12.50,50288494,628606175.00,0.63,-1.19,2152500.00
2016-02-09,12.48,50288494,627600405.12,0.63,-0.16,834912.00
2016-02-10,12.40,50288494,623577325.60,0.62,-0.64,623720.00
2016-02-11,12.21,50288494,614022511.74,0.61,-1.53,1349205.00
2016-02-12,12.52,50288494,629611944.88,0.63,2.54,1165612.00
2016-02-16,12.68,50288494,637658103.92,0.64,1.28,526220.00
2016-02-17,12.29,50288494,618045591.26,0.62,-3.08,973368.00
2016-02-18,12.26,50288494,616536936.44,0.62,-0.24,686560.00
2016-02-19,12.28,50288494,617542706.32,0.62,0.16,832584.00
2016-02-22,12.26,50288494,616536936.44,0.62,-0.16,549248.00
2016-02-23,12.13,50288494,609999432.22,0.61,-1.06,704753.00
2016-02-24,12.22,50288494,614525396.68,0.61,0.74,509574.00
2016-02-25,12.31,50288494,619051361.14,0.62,0.74,297902.00
2016-02-26,12.51,50288494,629109059.94,0.63,1.62,728082.00
2016-02-29,12.33,50288494,620057131.02,0.62,-1.44,790353.00
2016-03-01,12.72,50288494,639669643.68,0.64,3.16,834432.00
2016-03-02,12.58,50288494,632629254.52,0.63,-1.10,544714.00
2016-03-03,12.62,50288494,634640794.28,0.63,0.32,569162.00
2016-03-04,12.78,50288494,642686953.32,0.64,1.27,1398132.00
2016-03-07,12.97,50288494,652241767.18,0.65,1.49,544740.00
2016-03-08,12.62,50288494,634640794.28,0.63,-2.70,652454.00
2016-03-09,12.46,50288494,626594635.24,0.63,-1.27,457282.00
2016-03-10,12.63,50288494,635143679.22,0.64,1.36,568350.00
2016-03-11,13.03,50288494,655259076.82,0.66,3.17,506867.00
2016-03-14,13.09,50288494,658276386.46,0.66,0.46,829906.00
2016-03-15,12.48,50288494,627600405.12,0.63,-4.66,597792.00
2016-03-16,12.48,50288494,627600405.12,0.63,0.00,776256.00
2016-03-17,12.83,50288494,645201378.02,0.65,2.80,700518.00
2016-03-18,12.95,50288494,651235997.30,0.65,0.94,2033150.00
2016-03-21,12.83,50288494,645201378.02,0.65,-0.93,605576.00
2016-03-22,12.57,50288494,632126369.58,0.63,-2.03,574449.00
2016-03-23,12.47,50288494,627097520.18,0.63,-0.80,1929109.00
2016-03-24,12.63,50288494,635143679.22,0.64,1.28,390267.00
2016-03-28,12.56,50288494,631623484.64,0.63,-0.55,518728.00
2016-03-29,13.10,50288494,658779271.40,0.66,4.30,767660.00
2016-03-30,13.16,50288494,661796581.04,0.66,0.46,498764.00
2016-03-31,13.07,50288494,657270616.58,0.66,-0.68,526721.00
2016-04-01,13.13,50288494,660287926.22,0.66,0.46,332189.00
2016-04-04,12.78,50288494,642686953.32,0.64,-2.67,485640.00
2016-04-05,12.50,50288494,628606175.00,0.63,-2.19,1658750.00
2016-04-06,12.56,50288494,631623484.64,0.63,0.48,3102320.00
2016-04-07,12.43,50288494,625085980.42,0.63,-1.04,1351141.00
2016-04-08,12.40,50288494,623577325.60,0.62,-0.24,2731720.00
2016-04-11,12.31,50288494,619051361.14,0.62,-0.73,742293.00
2016-04-12,12.47,50288494,627097520.18,0.63,1.30,897840.00
2016-04-13,13.31,50288494,669339855.14,0.67,6.74,1072786.00
2016-04-14,13.35,50288494,671351394.90,0.67,0.30,1088025.00
2016-04-15,13.28,50288494,667831200.32,0.67,-0.52,464800.00
2016-04-18,13.36,50288494,671854279.84,0.67,0.60,328656.00
2016-04-19,13.37,50288494,672357164.78,0.67,0.07,1270150.00
2016-04-20,13.30,50288494,668836970.20,0.67,-0.52,416290.00
2016-04-21,13.41,50288494,674368704.54,0.67,0.83,1090233.00
2016-04-22,13.56,50288494,681911978.64,0.68,1.12,431208.00
2016-04-25,13.45,50288494,676380244.30,0.68,-0.81,716885.00
2016-04-26,13.81,50288494,694484102.14,0.69,2.68,926651.00
2016-04-27,13.71,50288494,689455252.74,0.69,-0.72,889779.00
2016-04-28,13.59,50288494,683420633.46,0.68,-0.88,1187766.00
2016-04-29,13.82,50288494,694986987.08,0.69,1.69,2070236.00
2016-05-02,13.90,50288494,699010066.60,0.70,0.58,1403900.00
2016-05-03,13.61,50288494,684426403.34,0.68,-2.09,786658.00
2016-05-04,13.33,50288494,670345625.02,0.67,-2.06,981088.00
2016-05-05,13.28,50288494,667831200.32,0.67,-0.38,529872.00
2016-05-06,13.26,50288494,666825430.44,0.67,-0.15,676260.00
2016-05-09,13.33,50288494,670345625.02,0.67,0.53,559860.00
2016-05-10,13.40,50288494,673865819.60,0.67,0.53,424780.00
2016-05-11,13.16,50288494,661796581.04,0.66,-1.79,354004.00
2016-05-12,13.12,50288494,659785041.28,0.66,-0.30,854112.00
2016-05-13,12.86,50288494,646710032.84,0.65,-1.98,1028800.00
2016-05-16,12.84,50288494,645704262.96,0.65,-0.16,934752.00
2016-05-17,12.43,50288494,625085980.42,0.63,-3.19,1444366.00
2016-05-18,13.22,50288494,664813890.68,0.66,6.36,1819072.00
2016-05-19,12.60,50288494,633635024.40,0.63,-4.69,391860.00
2016-05-20,12.73,50288494,640172528.62,0.64,1.03,530841.00
2016-05-23,12.71,50288494,639166758.74,0.64,-0.16,372403.00
2016-05-24,13.10,50288494,658779271.40,0.66,3.07,699540.00
2016-05-25,13.15,50288494,661293696.10,0.66,0.38,415540.00
2016-05-26,13.05,50288494,656264846.70,0.66,-0.76,450225.00
2016-05-27,13.06,50288494,656767731.64,0.66,0.08,408778.00
2016-05-31,12.72,50288494,639669643.68,0.64,-2.60,676704.00
2016-06-01,12.85,50288494,646207147.90,0.65,1.02,471595.00
2016-06-02,13.24,50288494,665819660.56,0.67,3.04,863248.00
2016-06-03,12.84,50288494,645704262.96,0.65,-3.02,566244.00
2016-06-06,12.81,50288494,644195608.14,0.64,-0.23,1802367.00
2016-06-07,12.84,50288494,645704262.96,0.65,0.23,968136.00
2016-06-08,12.84,50288494,645704262.96,0.65,0.00,1335360.00
2016-06-09,12.82,50288494,644698493.08,0.64,-0.16,466648.00
2016-06-10,12.73,50288494,640172528.62,0.64,-0.70,434093.00
2016-06-13,12.64,50288494,635646564.16,0.64,-0.71,939152.00
2016-06-14,12.55,50288494,631120599.70,0.63,-0.71,633775.00
2016-06-15,12.62,50288494,634640794.28,0.63,0.56,975526.00
2016-06-16,12.60,50288494,633635024.40,0.63,-0.16,435960.00
2016-06-17,12.56,50288494,631623484.64,0.63,-0.32,2145248.00
2016-06-20,12.58,50288494,632629254.52,0.63,0.16,571132.00
2016-06-21,12.57,50288494,632126369.58,0.63,-0.08,329334.00
2016-06-22,12.51,50288494,629109059.94,0.63,-0.48,1189701.00
2016-06-23,12.80,50288494,643692723.20,0.64,2.32,753920.00
2016-06-24,12.47,50288494,627097520.18,0.63,-2.58,2859371.00
2016-06-27,12.14,50288494,610502317.16,0.61,-2.65,1141160.00
2016-06-28,12.16,50288494,611508087.04,0.61,0.16,1040896.00
2016-06-29,12.35,50288494,621062900.90,0.62,1.56,549575.00
2016-06-30,12.60,50288494,633635024.40,0.63,2.02,647640.00
2016-07-01,12.41,50288494,624080210.54,0.62,-1.51,420699.00
2016-07-05,12.23,50288494,615028281.62,0.62,-1.45,453733.00
2016-07-06,12.31,50288494,619051361.14,0.62,0.65,478859.00
2016-07-07,12.27,50288494,617039821.38,0.62,-0.32,338652.00
2016-07-08,12.49,50288494,628103290.06,0.63,1.79,599520.00
2016-07-11,12.74,50288494,640675413.56,0.64,2.00,717262.00
2016-07-12,12.97,50288494,652241767.18,0.65,1.81,644609.00
2016-07-13,13.04,50288494,655761961.76,0.66,0.54,535944.00
2016-07-14,13.30,50288494,668836970.20,0.67,1.99,1844710.00
2016-07-15,13.43,50288494,675374474.42,0.68,0.98,381412.00
2016-07-18,13.22,50288494,664813890.68,0.66,-1.56,497072.00
2016-07-19,13.21,50288494,664311005.74,0.66,-0.08,402905.00
2016-07-20,12.98,50288494,652744652.12,0.65,-1.74,1138346.00
