Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,9.50,392259455,3726464822.50,3.73,,494950.00
2016-01-05,9.45,392259455,3706851849.75,3.71,-0.53,176904.00
2016-01-06,8.75,392259455,3432270231.25,3.43,-7.41,424025.00
2016-01-07,8.35,392259455,3275366449.25,3.28,-4.57,433198.00
2016-01-08,8.25,392259455,3236140503.75,3.24,-1.20,261855.00
2016-01-11,7.45,392259455,2922332939.75,2.92,-9.70,716243.00
2016-01-12,7.40,392259455,2902719967.00,2.90,-0.67,263884.00
2016-01-13,6.70,392259455,2628138348.50,2.63,-9.46,440592.00
2016-01-14,6.65,392259455,2608525375.75,2.61,-0.75,865830.00
2016-01-15,6.15,392259455,2412395648.25,2.41,-7.52,291879.00
2016-01-19,6.35,392259455,2490847539.25,2.49,3.25,444627.00
2016-01-20,6.50,392259455,2549686457.50,2.55,2.36,345930.00
2016-01-21,6.65,392259455,2608525375.75,2.61,2.31,559930.00
2016-01-22,8.75,392259455,3432270231.25,3.43,31.58,1339625.00
2016-01-25,9.50,392259455,3726464822.50,3.73,8.57,699580.00
2016-01-26,9.85,392259455,3863755631.75,3.86,3.68,661526.00
2016-01-27,8.90,392259455,3491109149.50,3.49,-9.64,301710.00
2016-01-28,8.85,392259455,3471496176.75,3.47,-0.56,346743.00
2016-01-29,8.90,392259455,3491109149.50,3.49,0.56,180848.00
2016-02-01,9.00,392259455,3530335095.00,3.53,1.12,174060.00
2016-02-02,8.65,392259455,3393044285.75,3.39,-3.89,74217.00
2016-02-03,8.60,392259455,3373431313.00,3.37,-0.58,224804.00
2016-02-04,8.55,392259455,3353818340.25,3.35,-0.58,140220.00
2016-02-05,8.00,392259455,3138075640.00,3.14,-6.43,187520.00
2016-02-08,7.55,392259455,2961558885.25,2.96,-5.63,130766.00
2016-02-09,7.60,392259455,2981171858.00,2.98,0.66,252928.00
2016-02-10,7.85,392259455,3079236721.75,3.08,3.29,213363.00
2016-02-11,8.10,392259455,3177301585.50,3.18,3.18,228744.00
2016-02-12,9.45,392259455,3706851849.75,3.71,16.67,461916.00
2016-02-16,9.80,392259455,3844142659.00,3.84,3.70,340648.00
2016-02-17,10.25,392259455,4020659413.75,4.02,4.59,404875.00
2016-02-18,9.55,392259455,3746077795.25,3.75,-6.83,285736.00
2016-02-19,9.50,392259455,3726464822.50,3.73,-0.52,221350.00
2016-02-22,9.55,392259455,3746077795.25,3.75,0.53,153564.00
2016-02-23,9.20,392259455,3608786986.00,3.61,-3.66,120888.00
2016-02-24,9.35,392259455,3667625904.25,3.67,1.63,148104.00
2016-02-25,8.95,392259455,3510722122.25,3.51,-4.28,132281.00
2016-02-26,9.00,392259455,3530335095.00,3.53,0.56,111060.00
2016-02-29,7.85,392259455,3079236721.75,3.08,-12.78,325932.00
2016-03-01,8.45,392259455,3314592394.75,3.31,7.64,193336.00
2016-03-02,8.80,392259455,3451883204.00,3.45,4.14,548416.00
2016-03-03,11.95,392259455,4687500487.25,4.69,35.80,3680122.00
2016-03-04,13.05,392259455,5118985887.75,5.12,9.21,2424429.00
2016-03-07,13.70,392259455,5373954533.50,5.37,4.98,891322.00
2016-03-08,12.45,392259455,4883630214.75,4.88,-9.12,662589.00
2016-03-09,12.55,392259455,4922856160.25,4.92,0.80,634779.00
2016-03-10,11.80,392259455,4628661569.00,4.63,-5.98,603688.00
2016-03-11,12.45,392259455,4883630214.75,4.88,5.51,706662.00
2016-03-14,12.15,392259455,4765952378.25,4.77,-2.41,255636.00
2016-03-15,11.40,392259455,4471757787.00,4.47,-6.17,520068.00
2016-03-16,11.45,392259455,4491370759.75,4.49,0.44,427543.00
2016-03-17,11.80,392259455,4628661569.00,4.63,3.06,777856.00
2016-03-18,12.70,392259455,4981695078.50,4.98,7.63,467106.00
2016-03-21,12.60,392259455,4942469133.00,4.94,-0.79,534492.00
2016-03-22,12.30,392259455,4824791296.50,4.82,-2.38,297414.00
2016-03-23,11.80,392259455,4628661569.00,4.63,-4.07,437780.00
2016-03-24,11.90,392259455,4667887514.50,4.67,0.85,329630.00
2016-03-28,11.75,392259455,4609048596.25,4.61,-1.26,235470.00
2016-03-29,12.50,392259455,4903243187.50,4.90,6.38,278750.00
2016-03-30,12.15,392259455,4765952378.25,4.77,-2.80,629127.00
2016-03-31,13.25,392259455,5197437778.75,5.20,9.05,1724355.00
2016-04-01,16.30,392259455,6393829116.50,6.39,23.02,3626098.00
2016-04-04,16.20,392259455,6354603171.00,6.35,-0.61,1478412.00
2016-04-05,15.45,392259455,6060408579.75,6.06,-4.63,481422.00
2016-04-06,16.35,392259455,6413442089.25,6.41,5.83,1336122.00
2016-04-07,15.85,392259455,6217312361.75,6.22,-3.06,929444.00
2016-04-08,15.70,392259455,6158473443.50,6.16,-0.95,690172.00
2016-04-11,15.55,392259455,6099634525.25,6.10,-0.96,533365.00
2016-04-12,18.65,392259455,7315638835.75,7.32,19.94,2245833.00
2016-04-13,19.80,392259455,7766737209.00,7.77,6.17,2297988.00
2016-04-14,19.85,392259455,7786350181.75,7.79,0.25,989324.00
2016-04-15,20.25,392259455,7943253963.75,7.94,2.02,1145340.00
2016-04-18,21.15,392259455,8296287473.25,8.30,4.44,1251657.00
2016-04-19,21.15,392259455,8296287473.25,8.30,0.00,1094724.00
2016-04-20,20.60,392259455,8080544773.00,8.08,-2.60,1920744.00
2016-04-21,21.00,392259455,8237448555.00,8.24,1.94,1541400.00
2016-04-22,20.50,392259455,8041318827.50,8.04,-2.38,698230.00
2016-04-25,20.10,392259455,7884415045.50,7.88,-1.95,353760.00
2016-04-26,22.50,392259455,8825837737.50,8.83,11.94,3619350.00
2016-04-27,22.00,392259455,8629708010.00,8.63,-2.22,1747240.00
2016-04-28,21.40,392259455,8394352337.00,8.39,-2.73,909072.00
2016-04-29,20.90,392259455,8198222609.50,8.20,-2.34,920854.00
2016-05-02,21.45,392259455,8413965309.75,8.41,2.63,1002144.00
2016-05-03,20.00,392259455,7845189100.00,7.85,-6.76,1092400.00
2016-05-04,19.90,392259455,7805963154.50,7.81,-0.50,1715778.00
2016-05-05,16.45,392259455,6452668034.75,6.45,-17.34,1536101.00
2016-05-06,16.50,392259455,6472281007.50,6.47,0.30,1254000.00
2016-05-09,16.30,392259455,6393829116.50,6.39,-1.21,528446.00
2016-05-10,15.55,392259455,6099634525.25,6.10,-4.60,1290339.00
2016-05-11,14.40,392259455,5648536152.00,5.65,-7.40,1416384.00
2016-05-12,13.00,392259455,5099372915.00,5.10,-9.72,515320.00
2016-05-13,13.55,392259455,5315115615.25,5.32,4.23,792404.00
2016-05-16,14.30,392259455,5609310206.50,5.61,5.54,511940.00
2016-05-17,14.60,392259455,5726988043.00,5.73,2.10,1058792.00
2016-05-18,14.80,392259455,5805439934.00,5.81,1.37,1229880.00
2016-05-19,13.50,392259455,5295502642.50,5.30,-8.78,884790.00
2016-05-20,14.25,392259455,5589697233.75,5.59,5.56,710790.00
2016-05-23,13.65,392259455,5354341560.75,5.35,-4.21,792246.00
2016-05-24,14.00,392259455,5491632370.00,5.49,2.56,796040.00
2016-05-25,14.65,392259455,5746601015.75,5.75,4.64,625555.00
2016-05-26,15.10,392259455,5923117770.50,5.92,3.07,811172.00
2016-05-27,14.15,392259455,5550471288.25,5.55,-6.29,1121812.00
2016-05-31,14.15,392259455,5550471288.25,5.55,0.00,1019366.00
2016-06-01,13.75,392259455,5393567506.25,5.39,-2.83,837375.00
2016-06-02,13.55,392259455,5315115615.25,5.32,-1.45,543084.00
2016-06-03,13.60,392259455,5334728588.00,5.33,0.37,875024.00
2016-06-06,13.75,392259455,5393567506.25,5.39,1.10,641575.00
2016-06-07,13.40,392259455,5256276697.00,5.26,-2.55,494192.00
2016-06-08,13.00,392259455,5099372915.00,5.10,-2.99,413920.00
2016-06-09,11.60,392259455,4550209678.00,4.55,-10.77,1278552.00
2016-06-10,11.10,392259455,4354079950.50,4.35,-4.31,878010.00
2016-06-13,10.80,392259455,4236402114.00,4.24,-2.70,410832.00
2016-06-14,10.60,392259455,4157950223.00,4.16,-1.85,337504.00
2016-06-15,10.85,392259455,4256015086.75,4.26,2.36,269080.00
2016-06-16,10.75,392259455,4216789141.25,4.22,-0.92,685420.00
2016-06-17,10.75,392259455,4216789141.25,4.22,0.00,464400.00
2016-06-20,11.25,392259455,4412918868.75,4.41,4.65,414675.00
2016-06-21,10.75,392259455,4216789141.25,4.22,-4.44,547605.00
2016-06-22,10.40,392259455,4079498332.00,4.08,-3.26,555152.00
2016-06-23,10.30,392259455,4040272386.50,4.04,-0.96,878178.00
2016-06-24,9.55,392259455,3746077795.25,3.75,-7.28,6647946.00
2016-06-27,10.00,392259455,3922594550.00,3.92,4.71,712600.00
2016-06-28,9.50,392259455,3726464822.50,3.73,-5.00,1015170.00
2016-06-29,9.90,392259455,3883368604.50,3.88,4.21,979308.00
2016-06-30,9.95,392259455,3902981577.25,3.90,0.51,447750.00
2016-07-01,10.20,392259455,4001046441.00,4.00,2.51,334764.00
2016-07-05,9.40,392259455,3687238877.00,3.69,-7.84,453832.00
2016-07-06,9.00,392259455,3530335095.00,3.53,-4.26,262260.00
2016-07-07,9.30,392259455,3648012931.50,3.65,3.33,670158.00
2016-07-08,9.00,392259455,3530335095.00,3.53,-3.23,647460.00
2016-07-11,8.90,392259455,3491109149.50,3.49,-1.11,276790.00
2016-07-12,9.05,392259455,3549948067.75,3.55,1.69,228784.00
2016-07-13,8.40,392259455,3294979422.00,3.29,-7.18,317520.00
2016-07-14,8.70,392259455,3412657258.50,3.41,3.57,547752.00
2016-07-15,8.80,392259455,3451883204.00,3.45,1.15,95216.00
2016-07-18,8.35,392259455,3275366449.25,3.28,-5.11,220106.00
2016-07-19,8.10,392259455,3177301585.50,3.18,-2.99,355428.00
2016-07-20,8.05,392259455,3157688612.75,3.16,-0.62,184989.00
2016-07-21,7.95,392259455,3118462667.25,3.12,-1.24,261396.00
2016-07-22,7.70,392259455,3020397803.50,3.02,-3.14,159852.00
2016-07-25,7.00,392259455,2745816185.00,2.75,-9.09,605500.00
2016-07-26,7.25,392259455,2843881048.75,2.84,3.57,329730.00
2016-07-27,7.50,392259455,2941945912.50,2.94,3.45,884550.00
2016-07-28,7.30,392259455,2863494021.50,2.86,-2.67,423546.00
2016-07-29,7.45,392259455,2922332939.75,2.92,2.05,372947.00
2016-08-01,7.45,392259455,2922332939.75,2.92,0.00,295020.00
2016-08-02,7.35,392259455,2883106994.25,2.88,-1.34,70707.00
2016-08-03,7.55,392259455,2961558885.25,2.96,2.72,167459.00
2016-08-04,7.70,392259455,3020397803.50,3.02,1.99,844690.00
