Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2025-08-28,2.96,12832000,37982720.00,0.04,,2313832.00
2025-08-29,2.96,12832000,37982720.00,0.04,0.00,1726568.00
2025-09-02,2.27,12832000,29128640.00,0.03,-23.31,508707.00
2025-09-03,1.95,12832000,25022400.00,0.03,-14.10,187005.00
2025-09-04,2.07,12832000,26562240.00,0.03,6.15,146349.00
2025-09-05,2.42,12832000,31053440.00,0.03,16.91,166496.00
2025-09-08,2.29,12832000,29385280.00,0.03,-5.37,277548.00
2025-09-09,2.51,12832000,32208320.00,0.03,9.61,298690.00
2025-09-10,2.48,12832000,31823360.00,0.03,-1.20,87296.00
2025-09-11,2.47,12832000,31695040.00,0.03,-0.40,22724.00
2025-09-12,2.41,12832000,30925120.00,0.03,-2.43,50851.00
2025-09-15,2.52,12832000,32336640.00,0.03,4.56,60732.00
2025-09-16,2.36,12832000,30283520.00,0.03,-6.35,44132.00
2025-09-17,2.60,12832000,33363200.00,0.03,10.17,516100.00
2025-09-18,2.40,12832000,30796800.00,0.03,-7.69,182640.00
2025-09-19,2.43,12832000,31181760.00,0.03,1.25,88209.00
2025-09-22,2.49,12832000,31951680.00,0.03,2.47,27888.00
2025-09-23,2.43,12832000,31181760.00,0.03,-2.41,118827.00
2025-09-24,2.35,12832000,30155200.00,0.03,-3.29,154160.00
2025-09-25,2.34,12832000,30026880.00,0.03,-0.43,378846.00
2025-09-26,2.33,12832000,29898560.00,0.03,-0.43,143761.00
2025-09-29,2.27,12832000,29128640.00,0.03,-2.58,69235.00
2025-09-30,2.28,12832000,29256960.00,0.03,0.44,29184.00
2025-10-01,2.32,12832000,29770240.00,0.03,1.75,46400.00
2025-10-02,2.33,12832000,29898560.00,0.03,0.43,10252.00
2025-10-03,2.32,12832000,29770240.00,0.03,-0.43,45008.00
2025-10-06,2.42,12832000,31053440.00,0.03,4.31,75020.00
2025-10-07,2.58,12832000,33106560.00,0.03,6.61,73014.00
2025-10-08,2.49,12832000,31951680.00,0.03,-3.49,51792.00
2025-10-09,2.48,12832000,31823360.00,0.03,-0.40,35216.00
2025-10-10,2.55,12832000,32721600.00,0.03,2.82,1632510.00
2025-10-13,2.97,12832000,38111040.00,0.04,16.47,794475.00
2025-10-14,2.60,12832000,33363200.00,0.03,-12.46,119080.00
2025-10-15,2.35,12832000,30155200.00,0.03,-9.62,86010.00
2025-10-16,2.15,12832000,27588800.00,0.03,-8.51,59125.00
2025-10-17,2.23,12832000,28615360.00,0.03,3.72,47945.00
2025-10-20,2.30,12832000,29513600.00,0.03,3.14,45540.00
2025-10-21,2.31,12832000,29641920.00,0.03,0.43,38808.00
2025-10-22,2.38,12832000,30540160.00,0.03,3.03,34272.00
2025-10-23,2.52,12832000,32336640.00,0.03,5.88,84168.00
2025-10-24,2.53,12832000,32464960.00,0.03,0.40,18722.00
2025-10-27,2.63,12832000,33748160.00,0.03,3.95,73377.00
2025-10-28,2.45,12832000,31438400.00,0.03,-6.84,58310.00
2025-10-29,2.33,12832000,29898560.00,0.03,-4.90,69667.00
2025-10-30,2.30,12832000,29513600.00,0.03,-1.29,74060.00
2025-10-31,2.38,12832000,30540160.00,0.03,3.48,26656.00
2025-11-03,2.53,12832000,32464960.00,0.03,6.30,39215.00
2025-11-04,2.50,12832000,32080000.00,0.03,-1.19,60500.00
2025-11-05,2.53,12832000,32464960.00,0.03,1.20,10879.00
2025-11-06,2.57,12832000,32978240.00,0.03,1.58,31611.00
2025-11-07,2.52,12832000,32336640.00,0.03,-1.95,29484.00
2025-11-10,2.43,12832000,31181760.00,0.03,-3.57,41067.00
2025-11-11,2.16,12832000,27717120.00,0.03,-11.11,26568.00
2025-11-12,2.21,12832000,28358720.00,0.03,2.31,24310.00
2025-11-13,2.26,12832000,29000320.00,0.03,2.26,16046.00
2025-11-14,2.27,12832000,29128640.00,0.03,0.44,5448.00
2025-11-17,2.22,12832000,28487040.00,0.03,-2.20,6438.00
2025-11-18,2.17,12832000,27845440.00,0.03,-2.25,16709.00
2025-11-19,2.09,12832000,26818880.00,0.03,-3.69,16511.00
2025-11-20,2.16,12832000,27717120.00,0.03,3.35,10152.00
2025-11-21,2.01,12832000,25792320.00,0.03,-6.94,42009.00
2025-11-24,1.94,12832000,24894080.00,0.02,-3.48,19594.00
2025-11-25,2.05,12832000,26305600.00,0.03,5.67,16195.00
2025-11-26,2.10,12832000,26947200.00,0.03,2.44,5880.00
2025-11-28,2.03,12832000,26048960.00,0.03,-3.33,16443.00
2025-12-01,2.13,12832000,27332160.00,0.03,4.93,13206.00
2025-12-02,2.22,12832000,28487040.00,0.03,4.23,11322.00
