Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2007-11-09,3.66,14913520,54583483.20,0.05,,7693784.82
2007-11-12,3.66,14913520,54583483.20,0.05,0.00,1409952.78
2007-11-13,3.77,14913520,56223970.40,0.06,3.01,474258.46
2007-11-14,3.76,14913520,56074835.20,0.06,-0.27,2845380.00
2007-11-15,3.72,14913520,55478294.40,0.06,-1.06,390704.16
2007-11-16,3.74,14913520,55776564.80,0.06,0.54,197868.44
2007-11-19,3.70,14913520,55180024.00,0.06,-1.07,31901.40
2007-11-20,3.68,14913520,54881753.60,0.05,-0.54,214882.56
2007-11-21,3.64,14913520,54285212.80,0.05,-1.09,72752.68
2007-11-23,3.64,14913520,54285212.80,0.05,0.00,77029.68
2007-11-26,3.65,14913520,54434348.00,0.05,0.27,110142.40
2007-11-27,3.65,14913520,54434348.00,0.05,0.00,308968.85
2007-11-28,3.65,14913520,54434348.00,0.05,0.00,130166.30
2007-11-29,3.69,14913520,55030888.80,0.06,1.10,198116.10
2007-11-30,3.74,14913520,55776564.80,0.06,1.36,63026.48
2007-12-03,3.74,14913520,55776564.80,0.06,0.00,23449.80
2007-12-04,3.74,14913520,55776564.80,0.06,0.00,42505.10
2007-12-05,3.66,14913520,54583483.20,0.05,-2.14,101839.50
2007-12-06,3.67,14913520,54732618.40,0.05,0.27,109307.28
2007-12-07,3.64,14913520,54285212.80,0.05,-0.82,122678.92
2007-12-10,3.67,14913520,54732618.40,0.05,0.82,297717.74
2007-12-11,3.64,14913520,54285212.80,0.05,-0.82,529230.52
2007-12-12,3.57,14913520,53241266.40,0.05,-1.92,286810.23
2007-12-13,3.46,14913520,51600779.20,0.05,-3.08,248140.82
2007-12-14,3.54,14913520,52793860.80,0.05,2.31,313530.72
2007-12-17,3.54,14913520,52793860.80,0.05,0.00,91562.10
2007-12-18,3.29,14913520,49065480.80,0.05,-7.06,336517.65
2007-12-19,3.18,14913520,47424993.60,0.05,-3.34,366390.06
2007-12-20,3.00,14913520,44740560.00,0.04,-5.66,587844.00
2007-12-21,2.74,14913520,40863044.80,0.04,-8.67,4291952.44
2007-12-24,3.27,14913520,48767210.40,0.05,19.34,1362232.95
2007-12-26,3.35,14913520,49960292.00,0.05,2.45,539581.15
2007-12-27,3.17,14913520,47275858.40,0.05,-5.37,703147.21
2007-12-28,3.21,14913520,47872399.20,0.05,1.26,549738.18
2007-12-31,3.27,14913520,48767210.40,0.05,1.87,671504.31
2008-01-02,3.13,14913520,46679317.60,0.05,-4.28,209753.82
2008-01-03,2.88,14913520,42950937.60,0.04,-7.99,1097055.36
2008-01-04,2.50,14913520,37283800.00,0.04,-13.19,1064975.00
2008-01-07,2.59,14913520,38626016.80,0.04,3.60,715580.74
2008-01-08,2.53,14913520,37731205.60,0.04,-2.32,570110.20
2008-01-09,2.56,14913520,38178611.20,0.04,1.19,414343.68
2008-01-10,2.55,14913520,38029476.00,0.04,-0.39,1863756.75
2008-01-11,2.45,14913520,36538124.00,0.04,-3.92,150743.60
2008-01-14,2.50,14913520,37283800.00,0.04,2.04,303720.00
2008-01-15,2.40,14913520,35792448.00,0.04,-4.00,249244.80
2008-01-16,2.43,14913520,36239853.60,0.04,1.25,1075153.50
2008-01-17,2.45,14913520,36538124.00,0.04,0.82,114258.20
2008-01-18,2.49,14913520,37134664.80,0.04,1.63,143446.41
2008-01-22,2.51,14913520,37432935.20,0.04,0.80,386577.65
2008-01-23,2.43,14913520,36239853.60,0.04,-3.19,372351.33
2008-01-24,2.42,14913520,36090718.40,0.04,-0.41,645852.02
2008-01-25,2.38,14913520,35494177.60,0.04,-1.65,152964.98
2008-01-28,2.40,14913520,35792448.00,0.04,0.84,280284.00
2008-01-29,2.40,14913520,35792448.00,0.04,0.00,52670.40
2008-01-30,2.35,14913520,35046772.00,0.04,-2.08,1335382.80
2008-01-31,2.23,14913520,33257149.60,0.03,-5.11,245574.29
2008-02-01,2.23,14913520,33257149.60,0.03,0.00,2922410.54
2008-02-04,2.31,14913520,34450231.20,0.03,3.59,1097196.87
2008-02-05,2.24,14913520,33406284.80,0.03,-3.03,354650.24
2008-02-06,2.24,14913520,33406284.80,0.03,0.00,261598.40
2008-02-07,2.27,14913520,33853690.40,0.03,1.34,265991.79
2008-02-08,2.28,14913520,34002825.60,0.03,0.44,159939.72
2008-02-11,2.24,14913520,33406284.80,0.03,-1.75,101830.40
2008-02-12,2.27,14913520,33853690.40,0.03,1.34,283784.05
2008-02-13,2.27,14913520,33853690.40,0.03,0.00,455475.50
2008-02-14,2.22,14913520,33108014.40,0.03,-2.20,138330.42
2008-02-15,2.07,14913520,30870986.40,0.03,-6.76,1436677.29
2008-02-19,2.03,14913520,30274445.60,0.03,-1.93,525857.29
2008-02-20,2.07,14913520,30870986.40,0.03,1.97,402366.60
2008-02-21,2.11,14913520,31467527.20,0.03,1.93,92612.12
2008-02-22,2.05,14913520,30572716.00,0.03,-2.84,87569.85
2008-02-25,2.11,14913520,31467527.20,0.03,2.93,102535.45
2008-02-26,2.08,14913520,31020121.60,0.03,-1.42,83959.20
2008-02-27,2.06,14913520,30721851.20,0.03,-0.96,285785.86
2008-02-28,2.00,14913520,29827040.00,0.03,-2.91,256300.00
2008-02-29,1.97,14913520,29379634.40,0.03,-1.50,280248.26
2008-03-03,1.85,14913520,27590012.00,0.03,-6.09,210252.50
2008-03-04,1.82,14913520,27142606.40,0.03,-1.62,245357.84
2008-03-05,1.81,14913520,26993471.20,0.03,-0.55,299337.80
2008-03-06,1.71,14913520,25502119.20,0.03,-5.52,391362.57
2008-03-07,1.97,14913520,29379634.40,0.03,15.20,452412.47
2008-03-10,2.04,14913520,30423580.80,0.03,3.55,354164.40
2008-03-11,2.29,14913520,34151960.80,0.03,12.25,131924.61
2008-03-12,2.40,14913520,35792448.00,0.04,4.80,324489.60
2008-03-13,2.45,14913520,36538124.00,0.04,2.08,257318.60
2008-03-14,2.39,14913520,35643312.80,0.04,-2.45,168592.99
2008-03-17,2.14,14913520,31914932.80,0.03,-10.46,77155.56
2008-03-18,2.16,14913520,32213203.20,0.03,0.93,106658.64
2008-03-19,2.11,14913520,31467527.20,0.03,-2.31,204243.78
2008-03-20,2.05,14913520,30572716.00,0.03,-2.84,654759.75
2008-03-24,2.08,14913520,31020121.60,0.03,1.46,238020.64
2008-03-25,2.08,14913520,31020121.60,0.03,0.00,101077.60
2008-03-26,2.08,14913520,31020121.60,0.03,0.00,84774.56
2008-03-27,2.00,14913520,29827040.00,0.03,-3.85,71324.00
2008-03-28,2.03,14913520,30274445.60,0.03,1.50,44550.38
2008-03-31,2.12,14913520,31616662.40,0.03,4.43,68126.20
2008-04-01,2.16,14913520,32213203.20,0.03,1.89,116817.12
2008-04-02,2.15,14913520,32064068.00,0.03,-0.46,58980.95
2008-04-03,2.15,14913520,32064068.00,0.03,0.00,94367.80
2008-04-04,2.16,14913520,32213203.20,0.03,0.47,240403.68
2008-04-07,2.11,14913520,31467527.20,0.03,-2.31,1122102.22
2008-04-08,2.12,14913520,31616662.40,0.03,0.47,75603.44
2008-04-09,2.11,14913520,31467527.20,0.03,-0.47,107496.06
2008-04-10,2.23,14913520,33257149.60,0.03,5.69,71661.05
2008-04-11,2.12,14913520,31616662.40,0.03,-4.93,185273.16
2008-04-14,2.14,14913520,31914932.80,0.03,0.94,252436.54
2008-04-15,2.12,14913520,31616662.40,0.03,-0.93,545847.00
2008-04-16,2.15,14913520,32064068.00,0.03,1.42,112905.10
2008-04-17,2.13,14913520,31765797.60,0.03,-0.93,30050.04
2008-04-18,2.30,14913520,34301096.00,0.03,7.98,1305169.50
2008-04-21,2.26,14913520,33704555.20,0.03,-1.74,199277.76
2008-04-22,2.22,14913520,33108014.40,0.03,-1.77,87001.80
2008-04-23,2.24,14913520,33406284.80,0.03,0.90,10534.72
2008-04-24,2.26,14913520,33704555.20,0.03,0.89,23913.06
2008-04-25,2.33,14913520,34748501.60,0.03,3.10,147924.71
2008-04-28,2.31,14913520,34450231.20,0.03,-0.86,108632.37
2008-04-29,2.21,14913520,32958879.20,0.03,-4.33,66688.96
2008-04-30,2.19,14913520,32660608.80,0.03,-0.90,28323.27
2008-05-01,2.21,14913520,32958879.20,0.03,0.91,32911.32
2008-05-02,2.20,14913520,32809744.00,0.03,-0.45,58627.80
2008-05-05,2.19,14913520,32660608.80,0.03,-0.45,303820.89
