Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2026-05-18,9.93,15780276,156698140.68,0.16,,141999.00
2026-05-19,9.94,15780276,156855943.44,0.16,0.10,3298092.00
2026-05-20,9.95,15780276,157013746.20,0.16,0.10,15880200.00
2026-05-21,9.96,15780276,157171548.96,0.16,0.10,159360.00
2026-05-22,9.94,15780276,156855943.44,0.16,-0.20,347900.00
2026-05-26,9.94,15780276,156855943.44,0.16,0.00,0.00
2026-05-27,9.96,15780276,157171548.96,0.16,0.20,10050636.00
2026-05-28,9.97,15780276,157329351.72,0.16,0.10,14955.00
2026-05-29,9.97,15780276,157329351.72,0.16,0.00,0.00
2026-06-01,9.98,15780276,157487154.48,0.16,0.10,1537918.00
2026-06-02,9.98,15780276,157487154.48,0.16,0.00,0.00
2026-06-03,9.96,15780276,157171548.96,0.16,-0.20,1992.00
2026-06-04,9.98,15780276,157487154.48,0.16,0.20,1996.00
2026-06-05,9.98,15780276,157487154.48,0.16,0.00,0.00
2026-06-08,9.98,15780276,157487154.48,0.16,0.00,5988.00
2026-06-09,9.98,15780276,157487154.48,0.16,0.00,2994.00
2026-06-10,9.97,15780276,157329351.72,0.16,-0.10,79760.00
2026-06-11,9.98,15780276,157487154.48,0.16,0.10,5988.00
2026-06-12,9.96,15780276,157171548.96,0.16,-0.20,5976.00
2026-06-15,9.98,15780276,157487154.48,0.16,0.20,9980.00
2026-06-16,10.00,15780276,157802760.00,0.16,0.20,287000.00
2026-06-17,10.00,15780276,157802760.00,0.16,0.00,0.00
2026-06-18,10.01,15780276,157960562.76,0.16,0.10,2002.00
2026-06-22,9.99,15780276,157644957.24,0.16,-0.20,65934.00
2026-06-23,10.01,15780276,157960562.76,0.16,0.20,2002.00
