Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2018-09-13,30.00,70234922,2107047660.00,2.11,,30000.00
2018-09-14,37.00,70234922,2598692114.00,2.60,23.33,9501600.00
2018-09-17,37.00,70234922,2598692114.00,2.60,0.00,6674800.00
2018-09-18,37.10,70234922,2605715606.20,2.61,0.27,115010.00
2018-09-19,37.50,70234922,2633809575.00,2.63,1.08,9708750.00
2018-09-20,38.00,70234922,2668927036.00,2.67,1.33,2405400.00
2018-09-21,38.71,70234922,2718793830.62,2.72,1.87,3499384.00
2018-09-24,39.07,70234922,2744078402.54,2.74,0.93,1008006.00
2018-09-25,40.05,70234922,2812908626.10,2.81,2.51,3179970.00
2018-09-26,40.00,70234922,2809396880.00,2.81,-0.12,1944000.00
2018-09-27,43.82,70234922,3077694282.04,3.08,9.55,3251444.00
2018-09-28,41.00,70234922,2879631802.00,2.88,-6.44,2123800.00
2018-10-01,42.00,70234922,2949866724.00,2.95,2.44,76511400.00
2018-10-02,43.54,70234922,3058028503.88,3.06,3.67,114475368.00
2018-10-03,42.94,70234922,3015887550.68,3.02,-1.38,71830032.00
2018-10-04,43.66,70234922,3066456694.52,3.07,1.68,97545172.00
2018-10-05,45.16,70234922,3171809077.52,3.17,3.44,57009984.00
2018-10-08,46.54,70234922,3268733269.88,3.27,3.06,46763392.00
2018-10-09,48.57,70234922,3411310161.54,3.41,4.36,88776246.00
2018-10-10,44.21,70234922,3105085901.62,3.11,-8.98,67840245.00
2018-10-11,39.48,70234922,2772874720.56,2.77,-10.70,74092116.00
2018-10-12,39.98,70234922,2807992181.56,2.81,1.27,54004984.00
2018-10-15,39.75,70234922,2791838149.50,2.79,-0.58,30138450.00
2018-10-16,40.41,70234922,2838193198.02,2.84,1.66,51082281.00
2018-10-17,38.97,70234922,2737054910.34,2.74,-3.56,25653951.00
2018-10-18,38.34,70234922,2692806909.48,2.69,-1.62,23318388.00
2018-10-19,37.26,70234922,2616953193.72,2.62,-2.82,27814590.00
2018-10-22,37.60,70234922,2640833067.20,2.64,0.91,31632880.00
2018-10-23,37.92,70234922,2663308242.24,2.66,0.85,24659376.00
2018-10-24,35.99,70234922,2527754842.78,2.53,-5.09,21457238.00
2018-10-25,35.00,70234922,2458222270.00,2.46,-2.75,28941500.00
2018-10-26,33.23,70234922,2333906458.06,2.33,-5.06,28341867.00
2018-10-29,31.85,70234922,2236982265.70,2.24,-4.15,28661815.00
2018-10-30,31.60,70234922,2219423535.20,2.22,-0.78,21355280.00
2018-10-31,34.05,70234922,2391499094.10,2.39,7.75,31577970.00
2018-11-01,35.71,70234922,2508089064.62,2.51,4.88,28303746.00
2018-11-02,35.02,70234922,2459626968.44,2.46,-1.93,28264642.00
2018-11-05,35.13,70234922,2467352809.86,2.47,0.31,16321398.00
2018-11-06,24.88,70234922,1747444859.36,1.75,-29.18,239181392.00
2018-11-07,23.10,70234922,1622426698.20,1.62,-7.15,56546490.00
2018-11-08,21.17,70234922,1486873298.74,1.49,-8.35,33755565.00
2018-11-09,22.28,70234922,1564834062.16,1.56,5.24,36131476.00
2018-11-12,21.87,70234922,1536037744.14,1.54,-1.84,23042232.00
2018-11-13,22.20,70234922,1559215268.40,1.56,1.51,28820040.00
2018-11-14,21.95,70234922,1541656537.90,1.54,-1.13,35051955.00
2018-11-15,21.64,70234922,1519883712.08,1.52,-1.41,13282632.00
2018-11-16,21.08,70234922,1480552155.76,1.48,-2.59,20238908.00
2018-11-19,22.84,70234922,1604165618.48,1.60,8.35,24411392.00
2018-11-20,23.07,70234922,1620319650.54,1.62,1.01,18695928.00
2018-11-21,22.90,70234922,1608379713.80,1.61,-0.74,8335600.00
2018-11-23,22.49,70234922,1579583395.78,1.58,-1.79,2102815.00
2018-11-26,22.57,70234922,1585202189.54,1.59,0.36,6111956.00
2018-11-27,22.78,70234922,1599951523.16,1.60,0.93,10358066.00
2018-11-28,22.54,70234922,1583095141.88,1.58,-1.05,9712486.00
2018-11-29,22.35,70234922,1569750506.70,1.57,-0.84,12267915.00
2018-11-30,23.29,70234922,1635771333.38,1.64,4.21,17763283.00
2018-12-03,23.20,70234922,1629450190.40,1.63,-0.39,14017440.00
2018-12-04,22.41,70234922,1573964602.02,1.57,-3.41,9593721.00
2018-12-06,22.70,70234922,1594332729.40,1.59,1.29,9581670.00
2018-12-07,22.49,70234922,1579583395.78,1.58,-0.93,10208211.00
2018-12-10,22.40,70234922,1573262252.80,1.57,-0.40,12317760.00
2018-12-11,22.15,70234922,1555703522.30,1.56,-1.12,10016230.00
2018-12-12,22.12,70234922,1553596474.64,1.55,-0.14,9841188.00
2018-12-13,22.11,70234922,1552894125.42,1.55,-0.05,15074598.00
2018-12-14,22.79,70234922,1600653872.38,1.60,3.08,16951202.00
2018-12-17,22.81,70234922,1602058570.82,1.60,0.09,24210534.00
2018-12-18,23.14,70234922,1625236095.08,1.63,1.45,15462148.00
2018-12-19,23.55,70234922,1654032413.10,1.65,1.77,14311335.00
2018-12-20,23.44,70234922,1646306571.68,1.65,-0.47,13735840.00
2018-12-21,23.35,70234922,1639985428.70,1.64,-0.38,16146525.00
2018-12-24,24.27,70234922,1704601556.94,1.70,3.94,4866135.00
2018-12-26,25.35,70234922,1780455272.70,1.78,4.45,15640950.00
2018-12-27,25.34,70234922,1779752923.48,1.78,-0.04,6504778.00
2018-12-28,25.70,70234922,1805037495.40,1.81,1.42,5389290.00
2018-12-31,26.61,70234922,1868951274.42,1.87,3.54,13025595.00
2019-01-02,26.48,70234922,1859820734.56,1.86,-0.49,7949296.00
2019-01-03,25.49,70234922,1790288161.78,1.79,-3.74,8136408.00
2019-01-04,27.00,70234922,1896342894.00,1.90,5.92,8075700.00
2019-01-07,27.74,70234922,1948316736.28,1.95,2.74,10036332.00
2019-01-08,27.91,70234922,1960256673.02,1.96,0.61,9377760.00
2019-01-09,26.60,70234922,1868248925.20,1.87,-4.69,14975800.00
2019-01-10,26.43,70234922,1856308988.46,1.86,-0.64,12580680.00
2019-01-11,26.03,70234922,1828215019.66,1.83,-1.51,10352131.00
2019-01-14,26.47,70234922,1859118385.34,1.86,1.69,27859675.00
2019-01-15,27.68,70234922,1944102640.96,1.94,4.57,11525952.00
