Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,8.57,22813228,195509363.96,0.20,,1384483.50
2016-01-05,8.65,22813228,197334422.20,0.20,0.93,659778.75
2016-01-06,8.67,22813228,197790686.76,0.20,0.23,632043.00
2016-01-07,8.46,22813228,192999908.88,0.19,-2.42,1197301.50
2016-01-08,8.48,22813228,193456173.44,0.19,0.24,1629432.00
2016-01-11,8.64,22813228,197106289.92,0.20,1.89,717336.00
2016-01-12,8.59,22813228,195965628.52,0.20,-0.58,765369.00
2016-01-13,8.40,22813228,191631115.20,0.19,-2.21,939330.00
2016-01-14,8.37,22813228,190946718.36,0.19,-0.36,907726.50
2016-01-15,8.19,22813228,186840337.32,0.19,-2.15,492014.25
2016-01-19,8.21,22813228,187296601.88,0.19,0.24,544938.75
2016-01-20,8.11,22813228,185015279.08,0.19,-1.22,1001787.75
2016-01-21,8.10,22813228,184787146.80,0.18,-0.12,535815.00
2016-01-22,8.12,22813228,185243411.36,0.19,0.25,528003.00
2016-01-25,8.08,22813228,184330882.24,0.18,-0.49,676296.00
2016-01-26,7.82,22813228,178399442.96,0.18,-3.22,411723.00
2016-01-27,7.67,22813228,174977458.76,0.17,-1.92,921550.50
2016-01-28,7.75,22813228,176802517.00,0.18,1.04,720168.75
2016-01-29,8.01,22813228,182733956.28,0.18,3.35,1252563.75
2016-02-01,7.79,22813228,177715046.12,0.18,-2.75,808017.75
2016-02-02,7.66,22813228,174749326.48,0.17,-1.67,405022.50
2016-02-03,7.49,22813228,170871077.72,0.17,-2.22,728028.00
2016-02-04,7.49,22813228,170871077.72,0.17,0.00,369069.75
2016-02-05,7.45,22813228,169958548.60,0.17,-0.53,747607.50
2016-02-08,7.59,22813228,173152400.52,0.17,1.88,414983.25
2016-02-09,7.57,22813228,172696135.96,0.17,-0.26,224829.00
2016-02-10,7.54,22813228,172011739.12,0.17,-0.40,340996.50
2016-02-11,7.56,22813228,172468003.68,0.17,0.27,236439.00
2016-02-12,7.58,22813228,172924268.24,0.17,0.26,139851.00
2016-02-16,7.55,22813228,172239871.40,0.17,-0.40,234427.50
2016-02-17,7.48,22813228,170642945.44,0.17,-0.93,270963.00
2016-02-18,7.36,22813228,167905358.08,0.17,-1.60,203688.00
2016-02-19,7.37,22813228,168133490.36,0.17,0.14,220547.25
2016-02-22,7.55,22813228,172239871.40,0.17,2.44,584370.00
2016-02-23,7.54,22813228,172011739.12,0.17,-0.13,385105.50
2016-02-24,7.56,22813228,172468003.68,0.17,0.27,449064.00
2016-02-25,7.75,22813228,176802517.00,0.18,2.51,177862.50
2016-02-26,7.69,22813228,175433723.32,0.18,-0.77,282030.75
2016-02-29,7.55,22813228,172239871.40,0.17,-1.82,482445.00
2016-03-01,7.59,22813228,173152400.52,0.17,0.53,440599.50
2016-03-02,7.49,22813228,170871077.72,0.17,-1.32,630283.50
2016-03-03,7.48,22813228,170642945.44,0.17,-0.13,486387.00
2016-03-04,7.46,22813228,170186680.88,0.17,-0.27,199741.50
2016-03-07,7.49,22813228,170871077.72,0.17,0.40,348846.75
2016-03-08,7.45,22813228,169958548.60,0.17,-0.53,517961.25
2016-03-09,7.56,22813228,172468003.68,0.17,1.48,913437.00
2016-03-10,7.46,22813228,170186680.88,0.17,-1.32,137637.00
2016-03-11,7.21,22813228,164483373.88,0.16,-3.35,1563849.00
