Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,90.89,49463133,4495704158.37,4.50,,1357896.60
2000-01-04,90.34,49463133,4468499435.22,4.47,-0.61,1122022.80
2000-01-05,89.24,49463133,4414089988.92,4.41,-1.22,1922229.60
2000-01-06,88.14,49463133,4359680542.62,4.36,-1.23,883162.80
2000-01-07,89.52,49463133,4427939666.16,4.43,1.57,1450224.00
2000-01-10,92.26,49463133,4563468650.58,4.56,3.06,402714.90
2000-01-11,91.44,49463133,4522908881.52,4.52,-0.89,917600.40
2000-01-12,90.34,49463133,4468499435.22,4.47,-1.20,1429630.50
2000-01-13,102.42,49463133,5066014081.86,5.07,13.37,2686988.70
2000-01-14,109.84,49463133,5433030528.72,5.43,7.24,5570535.60
2000-01-18,110.93,49463133,5486945343.69,5.49,0.99,3401113.80
2000-01-19,108.19,49463133,5351416359.27,5.35,-2.47,3146706.15
2000-01-20,105.99,49463133,5242597466.67,5.24,-2.03,742459.95
2000-01-21,102.42,49463133,5066014081.86,5.07,-3.37,781976.70
2000-01-24,101.60,49463133,5025454312.80,5.03,-0.80,908304.00
2000-01-25,104.07,49463133,5147628251.31,5.15,2.43,749304.00
2000-01-26,103.52,49463133,5120423528.16,5.12,-0.53,1572986.40
2000-01-27,102.15,49463133,5052659035.95,5.05,-1.32,1480153.50
2000-01-28,102.70,49463133,5079863759.10,5.08,0.54,2557230.00
2000-01-31,104.62,49463133,5174832974.46,5.17,1.87,1186390.80
2000-02-01,105.99,49463133,5242597466.67,5.24,1.31,1397478.15
2000-02-02,109.29,49463133,5405825805.57,5.41,3.11,2083613.85
2000-02-03,108.74,49463133,5378621082.42,5.38,-0.50,2418921.30
2000-02-04,108.46,49463133,5364771405.18,5.36,-0.26,478308.60
2000-02-07,109.84,49463133,5433030528.72,5.43,1.27,792495.60
2000-02-08,115.05,49463133,5690733451.65,5.69,4.74,2932049.25
2000-02-09,111.48,49463133,5514150066.84,5.51,-3.10,677241.00
2000-02-10,112.31,49463133,5555204467.23,5.56,0.74,2496651.30
2000-02-11,108.46,49463133,5364771405.18,5.36,-3.43,1189263.90
2000-02-14,107.09,49463133,5297006912.97,5.30,-1.26,788717.85
2000-02-15,107.91,49463133,5337566682.03,5.34,0.77,2118812.85
2000-02-16,105.99,49463133,5242597466.67,5.24,-1.78,642299.40
2000-02-17,104.62,49463133,5174832974.46,5.17,-1.29,1129896.00
2000-02-18,99.68,49463133,4930485097.44,4.93,-4.72,3542128.80
2000-02-22,99.95,49463133,4943840143.35,4.94,0.27,806596.50
2000-02-23,104.07,49463133,5147628251.31,5.15,4.12,2023120.80
2000-02-24,99.40,49463133,4916635420.20,4.92,-4.49,1082466.00
2000-02-25,96.65,49463133,4780611804.45,4.78,-2.77,1342468.50
2000-02-28,96.49,49463133,4772697703.17,4.77,-0.17,2529967.80
2000-02-29,95.94,49463133,4745492980.02,4.75,-0.57,2006105.40
2000-03-01,96.49,49463133,4772697703.17,4.77,0.57,1832345.10
2000-03-02,95.12,49463133,4704933210.96,4.70,-1.42,1744976.40
2000-03-03,96.22,49463133,4759342657.26,4.76,1.16,2577733.80
2000-03-06,93.19,49463133,4609469364.27,4.61,-3.15,861075.60
2000-03-07,92.64,49463133,4582264641.12,4.58,-0.59,2283112.80
2000-03-08,91.54,49463133,4527855194.82,4.53,-1.19,1699897.80
2000-03-09,89.07,49463133,4405681256.31,4.41,-2.70,986004.90
2000-03-10,89.34,49463133,4419036302.22,4.42,0.30,527999.40
2000-03-13,87.69,49463133,4337422132.77,4.34,-1.85,1207491.30
2000-03-14,88.24,49463133,4364626855.92,4.36,0.63,1583025.60
2000-03-15,89.62,49463133,4432885979.46,4.43,1.56,6014398.20
2000-03-16,92.09,49463133,4555059917.97,4.56,2.76,3120469.65
2000-03-17,94.29,49463133,4663878810.57,4.66,2.39,1753794.00
