Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,10.72,127838883,1370432825.76,1.37,,8169712.00
2016-01-05,10.73,127838883,1371711214.59,1.37,0.09,5403628.00
2016-01-06,10.61,127838883,1356370548.63,1.36,-1.12,5099166.00
2016-01-07,10.31,127838883,1318018883.73,1.32,-2.83,5542656.00
2016-01-08,10.01,127838883,1279667218.83,1.28,-2.91,11385374.00
2016-01-11,10.14,127838883,1296286273.62,1.30,1.30,5793996.00
2016-01-12,10.14,127838883,1296286273.62,1.30,0.00,6726876.00
2016-01-13,9.81,127838883,1254099442.23,1.25,-3.25,4521429.00
2016-01-14,9.86,127838883,1260491386.38,1.26,0.51,6382378.00
2016-01-15,9.92,127838883,1268161719.36,1.27,0.61,10365408.00
2016-01-19,9.73,127838883,1243872331.59,1.24,-1.92,8566292.00
2016-01-20,9.60,127838883,1227253276.80,1.23,-1.34,8026560.00
2016-01-21,9.31,127838883,1190180000.73,1.19,-3.02,4495799.00
2016-01-22,9.53,127838883,1218304554.99,1.22,2.36,5155730.00
2016-01-25,9.17,127838883,1172282557.11,1.17,-3.78,4320904.00
2016-01-26,9.47,127838883,1210634222.01,1.21,3.27,7275801.00
2016-01-27,9.24,127838883,1181231278.92,1.18,-2.43,5153148.00
2016-01-28,9.54,127838883,1219582943.82,1.22,3.25,3675762.00
2016-01-29,9.71,127838883,1241315553.93,1.24,1.78,7813637.00
2016-02-01,9.78,127838883,1250264275.74,1.25,0.72,4690488.00
2016-02-02,9.50,127838883,1214469388.50,1.21,-2.86,5425450.00
2016-02-03,9.58,127838883,1224696499.14,1.22,0.84,4953818.00
2016-02-04,9.61,127838883,1228531665.63,1.23,0.31,5688159.00
2016-02-05,9.37,127838883,1197850333.71,1.20,-2.50,4960478.00
2016-02-08,9.38,127838883,1199128722.54,1.20,0.11,5396314.00
2016-02-09,9.33,127838883,1192736778.39,1.19,-0.53,3438105.00
2016-02-10,9.16,127838883,1171004168.28,1.17,-1.82,4083528.00
2016-02-11,8.87,127838883,1133930892.21,1.13,-3.17,5112668.00
2016-02-12,9.17,127838883,1172282557.11,1.17,3.38,6649167.00
2016-02-16,9.38,127838883,1199128722.54,1.20,2.29,3704162.00
2016-02-17,9.26,127838883,1183788056.58,1.18,-1.28,4121626.00
2016-02-18,8.94,127838883,1142879614.02,1.14,-3.46,5421216.00
2016-02-19,8.96,127838883,1145436391.68,1.15,0.22,6867840.00
2016-02-22,9.24,127838883,1181231278.92,1.18,3.12,8857464.00
2016-02-23,9.05,127838883,1156941891.15,1.16,-2.06,4380200.00
2016-02-24,9.15,127838883,1169725779.45,1.17,1.10,4116585.00
2016-02-25,9.32,127838883,1191458389.56,1.19,1.86,4049540.00
2016-02-26,9.43,127838883,1205520666.69,1.21,1.18,4063387.00
2016-02-29,9.21,127838883,1177396112.43,1.18,-2.33,4045953.00
2016-03-01,9.46,127838883,1209355833.18,1.21,2.71,5748842.00
2016-03-02,9.56,127838883,1222139721.48,1.22,1.06,4325900.00
2016-03-03,9.59,127838883,1225974887.97,1.23,0.31,3288411.00
2016-03-04,9.71,127838883,1241315553.93,1.24,1.25,4314153.00
2016-03-07,9.80,127838883,1252821053.40,1.25,0.93,3451560.00
2016-03-08,9.61,127838883,1228531665.63,1.23,-1.94,3611438.00
2016-03-09,9.61,127838883,1228531665.63,1.23,0.00,2585090.00
2016-03-10,9.61,127838883,1228531665.63,1.23,0.00,2162250.00
2016-03-11,9.79,127838883,1251542664.57,1.25,1.87,2111703.00
2016-03-14,9.70,127838883,1240037165.10,1.24,-0.92,2679140.00
2016-03-15,9.54,127838883,1219582943.82,1.22,-1.65,2696004.00
2016-03-16,9.34,127838883,1194015167.22,1.19,-2.10,2934628.00
2016-03-17,9.76,127838883,1247707498.08,1.25,4.50,6952048.00
2016-03-18,9.92,127838883,1268161719.36,1.27,1.64,12011136.00
2016-03-21,9.87,127838883,1261769775.21,1.26,-0.50,2365839.00
2016-03-22,9.90,127838883,1265604941.70,1.27,0.30,2475990.00
2016-03-23,9.78,127838883,1250264275.74,1.25,-1.21,3188280.00
2016-03-24,9.53,127838883,1218304554.99,1.22,-2.56,4318996.00
2016-03-28,9.45,127838883,1208077444.35,1.21,-0.84,3307500.00
2016-03-29,9.50,127838883,1214469388.50,1.21,0.53,9344200.00
2016-03-30,9.75,127838883,1246429109.25,1.25,2.63,5669625.00
