Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,3.45,670464299,2313101831.55,2.31,,1361742.60
2000-01-04,3.43,670464299,2299692545.57,2.30,-0.58,1771492.10
2000-01-05,3.30,670464299,2212532186.70,2.21,-3.79,846783.30
2000-01-06,3.35,670464299,2246055401.65,2.25,1.52,2266063.95
2000-01-07,3.40,670464299,2279578616.60,2.28,1.49,2325936.60
2000-01-10,3.58,670464299,2400262190.42,2.40,5.29,2473207.20
2000-01-11,3.61,670464299,2420376119.39,2.42,0.84,7436076.55
2000-01-12,3.63,670464299,2433785405.37,2.43,0.55,1829919.30
2000-01-13,3.63,670464299,2433785405.37,2.43,0.00,6321104.13
2000-01-14,3.68,670464299,2467308620.32,2.47,1.38,8150522.88
2000-01-18,3.71,670464299,2487422549.29,2.49,0.82,4078543.98
2000-01-19,3.91,670464299,2621515409.09,2.62,5.39,5613258.56
2000-01-20,3.84,670464299,2574582908.16,2.57,-1.79,4352079.36
2000-01-21,3.76,670464299,2520945764.24,2.52,-2.08,1973041.20
2000-01-24,3.76,670464299,2520945764.24,2.52,0.00,4612850.72
2000-01-25,3.81,670464299,2554468979.19,2.55,1.33,2710719.75
2000-01-26,3.81,670464299,2554468979.19,2.55,0.00,1379684.82
2000-01-27,3.79,670464299,2541059693.21,2.54,-0.52,4642298.99
2000-01-28,3.68,670464299,2467308620.32,2.47,-2.90,4368097.44
2000-01-31,3.63,670464299,2433785405.37,2.43,-1.36,1668620.25
2000-02-01,3.73,670464299,2500831835.27,2.50,2.75,995223.68
2000-02-02,3.73,670464299,2500831835.27,2.50,0.00,1788885.62
2000-02-03,3.76,670464299,2520945764.24,2.52,0.80,1038564.64
2000-02-04,3.76,670464299,2520945764.24,2.52,0.00,3173300.88
2000-02-07,3.81,670464299,2554468979.19,2.55,1.33,2074392.60
2000-02-08,3.86,670464299,2587992194.14,2.59,1.31,1665520.52
2000-02-09,3.86,670464299,2587992194.14,2.59,0.00,2620511.54
2000-02-10,3.84,670464299,2574582908.16,2.57,-0.52,1406238.72
2000-02-11,3.73,670464299,2500831835.27,2.50,-2.86,1390338.85
2000-02-14,3.76,670464299,2520945764.24,2.52,0.80,3627290.80
2000-02-15,3.76,670464299,2520945764.24,2.52,0.00,1817869.76
2000-02-16,3.81,670464299,2554468979.19,2.55,1.33,4734126.93
2000-02-17,3.86,670464299,2587992194.14,2.59,1.31,3470618.64
2000-02-18,3.79,670464299,2541059693.21,2.54,-1.81,3411939.92
2000-02-22,3.71,670464299,2487422549.29,2.49,-2.11,2252255.67
2000-02-23,3.73,670464299,2500831835.27,2.50,0.54,1256603.43
2000-02-24,3.68,670464299,2467308620.32,2.47,-1.34,2617852.64
2000-02-25,3.66,670464299,2453899334.34,2.45,-0.54,1538470.02
2000-02-28,3.63,670464299,2433785405.37,2.43,-0.82,1153203.81
2000-02-29,3.63,670464299,2433785405.37,2.43,0.00,1704216.03
2000-03-01,3.56,670464299,2386852904.44,2.39,-1.93,1637532.36
2000-03-02,3.56,670464299,2386852904.44,2.39,0.00,9662288.56
2000-03-03,3.53,670464299,2366738975.47,2.37,-0.84,1163262.08
2000-03-06,3.63,670464299,2433785405.37,2.43,2.83,3761442.30
2000-03-07,3.58,670464299,2400262190.42,2.40,-1.38,1925760.76
2000-03-08,3.61,670464299,2420376119.39,2.42,0.84,1203267.15
2000-03-09,3.63,670464299,2433785405.37,2.43,0.55,2381305.41
2000-03-10,3.66,670464299,2453899334.34,2.45,0.83,2792803.26
2000-03-13,3.66,670464299,2453899334.34,2.45,0.00,495377.34
2000-03-14,3.63,670464299,2433785405.37,2.43,-0.82,1405721.13
2000-03-15,3.66,670464299,2453899334.34,2.45,0.83,977293.20
2000-03-16,3.66,670464299,2453899334.34,2.45,0.00,3438848.16
2000-03-17,3.68,670464299,2467308620.32,2.47,0.55,1513797.44
2000-03-20,3.68,670464299,2467308620.32,2.47,0.00,1305167.20
2000-03-21,3.63,670464299,2433785405.37,2.43,-1.36,1039737.27
2000-03-22,3.66,670464299,2453899334.34,2.45,0.83,3048527.46
2000-03-23,3.66,670464299,2453899334.34,2.45,0.00,1071508.92
2000-03-24,3.63,670464299,2433785405.37,2.43,-0.82,1818796.98
2000-03-27,3.56,670464299,2386852904.44,2.39,-1.93,1646261.48
2000-03-28,3.63,670464299,2433785405.37,2.43,1.97,1929668.07
2000-03-29,3.64,670464299,2440490048.36,2.44,0.28,1695155.28
2000-03-30,3.69,670464299,2474013263.31,2.47,1.37,1680370.65
2000-03-31,3.72,670464299,2494127192.28,2.49,0.81,1223593.56
2000-04-03,3.75,670464299,2514241121.25,2.51,0.81,1884667.50
2000-04-04,3.75,670464299,2514241121.25,2.51,0.00,1022392.50
2000-04-05,3.69,670464299,2474013263.31,2.47,-1.60,3308346.99
2000-04-06,3.98,670464299,2668447910.02,2.67,7.86,2249480.08
2000-04-07,4.11,670464299,2755608268.89,2.76,3.27,3359949.66
2000-04-10,4.14,670464299,2775722197.86,2.78,0.73,3303281.16
2000-04-11,4.17,670464299,2795836126.83,2.80,0.72,3335311.95
2000-04-12,4.38,670464299,2936633629.62,2.94,5.04,15683308.32
2000-04-13,4.32,670464299,2896405771.68,2.90,-1.37,5050982.88
2000-04-14,4.19,670464299,2809245412.81,2.81,-3.01,2278287.36
2000-04-17,4.14,670464299,2775722197.86,2.78,-1.19,1705982.22
2000-04-18,4.19,670464299,2809245412.81,2.81,1.21,2086540.39
2000-04-19,4.11,670464299,2755608268.89,2.76,-1.91,2429174.40
2000-04-20,4.17,670464299,2795836126.83,2.80,1.46,1318787.52
2000-04-24,4.30,670464299,2882996485.70,2.88,3.12,2054350.80
2000-04-25,4.38,670464299,2936633629.62,2.94,1.86,2029035.00
2000-04-26,4.27,670464299,2862882556.73,2.86,-2.51,1792703.99
2000-04-27,4.43,670464299,2970156844.57,2.97,3.75,3332844.05
2000-04-28,4.48,670464299,3003680059.52,3.00,1.13,2281753.60
2000-05-01,4.48,670464299,3003680059.52,3.00,0.00,2324770.56
2000-05-02,4.40,670464299,2950042915.60,2.95,-1.79,3259933.60
2000-05-03,4.35,670464299,2916519700.65,2.92,-1.14,3142905.45
2000-05-04,4.32,670464299,2896405771.68,2.90,-0.69,1206921.60
2000-05-05,4.30,670464299,2882996485.70,2.88,-0.46,5812090.70
2000-05-08,4.19,670464299,2809245412.81,2.81,-2.56,2025337.06
2000-05-09,4.17,670464299,2795836126.83,2.80,-0.48,729253.77
2000-05-10,4.24,670464299,2842768627.76,2.84,1.68,2345754.56
