Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,10.32,73808749,761706289.68,0.76,,12538800.00
2016-01-05,10.40,73808749,767610989.60,0.77,0.78,6308640.00
2016-01-06,10.00,73808749,738087490.00,0.74,-3.85,6573000.00
2016-01-07,9.77,73808749,721111477.73,0.72,-2.30,7175088.00
2016-01-08,9.81,73808749,724063827.69,0.72,0.41,6527574.00
2016-01-11,9.88,73808749,729230440.12,0.73,0.71,7168928.00
2016-01-12,8.43,73808749,622207754.07,0.62,-14.68,11524653.00
2016-01-13,8.23,73808749,607446004.27,0.61,-2.37,6526390.00
2016-01-14,8.93,73808749,659112128.57,0.66,8.51,7459229.00
2016-01-15,9.05,73808749,667969178.45,0.67,1.34,8040925.00
2016-01-19,8.37,73808749,617779229.13,0.62,-7.51,6418116.00
2016-01-20,8.67,73808749,639921853.83,0.64,3.58,6273612.00
2016-01-21,9.47,73808749,698968853.03,0.70,9.23,4681968.00
2016-01-22,9.97,73808749,735873227.53,0.74,5.28,3942138.00
2016-01-25,9.85,73808749,727016177.65,0.73,-1.20,2740270.00
2016-01-26,9.97,73808749,735873227.53,0.74,1.22,2797582.00
2016-01-27,9.61,73808749,709302077.89,0.71,-3.61,4251464.00
2016-01-28,9.22,73808749,680516665.78,0.68,-4.06,2997422.00
2016-01-29,10.02,73808749,739563664.98,0.74,8.68,5733444.00
2016-02-01,9.82,73808749,724801915.18,0.72,-2.00,7769584.00
2016-02-02,9.69,73808749,715206777.81,0.72,-1.32,11308230.00
2016-02-03,9.10,73808749,671659615.90,0.67,-6.09,10448620.00
2016-02-04,11.10,73808749,819277113.90,0.82,21.98,25626570.00
2016-02-05,11.03,73808749,814110501.47,0.81,-0.63,17867497.00
2016-02-08,11.00,73808749,811896239.00,0.81,-0.27,7235800.00
2016-02-09,10.98,73808749,810420064.02,0.81,-0.18,7178724.00
2016-02-10,10.93,73808749,806729626.57,0.81,-0.46,9701468.00
2016-02-11,11.13,73808749,821491376.37,0.82,1.83,5915595.00
2016-02-12,11.99,73808749,884966900.51,0.88,7.73,10277828.00
2016-02-16,12.64,73808749,932942587.36,0.93,5.42,13842064.00
2016-02-17,12.85,73808749,948442424.65,0.95,1.66,9108080.00
2016-02-18,11.97,73808749,883490725.53,0.88,-6.85,10703574.00
2016-02-19,12.28,73808749,906371437.72,0.91,2.59,7040124.00
2016-02-22,11.27,73808749,831824601.23,0.83,-8.22,12754259.00
2016-02-23,11.42,73808749,842895913.58,0.84,1.33,6044606.00
2016-02-24,11.44,73808749,844372088.56,0.84,0.18,6165016.00
2016-02-25,11.53,73808749,851014875.97,0.85,0.79,3748403.00
2016-02-26,11.62,73808749,857657663.38,0.86,0.78,4422572.00
2016-02-29,11.72,73808749,865038538.28,0.87,0.86,7124588.00
2016-03-01,11.48,73808749,847324438.52,0.85,-2.05,14665700.00
2016-03-02,11.93,73808749,880538375.57,0.88,3.92,8668338.00
2016-03-03,12.13,73808749,895300125.37,0.90,1.68,5097026.00
2016-03-04,12.02,73808749,887181162.98,0.89,-0.91,4904160.00
2016-03-07,12.53,73808749,924823624.97,0.92,4.24,6515600.00
2016-03-08,11.99,73808749,884966900.51,0.88,-4.31,4389539.00
2016-03-09,12.20,73808749,900466737.80,0.90,1.75,8062980.00
2016-03-10,12.05,73808749,889395425.45,0.89,-1.23,3724655.00
2016-03-11,12.42,73808749,916704662.58,0.92,3.07,6719220.00
2016-03-14,12.26,73808749,904895262.74,0.90,-1.29,10333954.00
2016-03-15,11.36,73808749,838467388.64,0.84,-7.34,7619152.00
2016-03-16,11.26,73808749,831086513.74,0.83,-0.88,6584848.00
2016-03-17,11.16,73808749,823705638.84,0.82,-0.89,7054236.00
2016-03-18,12.23,73808749,902681000.27,0.90,9.59,26057238.00
2016-03-21,12.12,73808749,894562037.88,0.89,-0.90,5229780.00
2016-03-22,12.20,73808749,900466737.80,0.90,0.66,6608740.00
2016-03-23,11.76,73808749,867990888.24,0.87,-3.61,6148128.00
2016-03-24,11.84,73808749,873895588.16,0.87,0.68,6326112.00
2016-03-28,11.65,73808749,859871925.85,0.86,-1.60,11407680.00
2016-03-29,12.29,73808749,907109525.21,0.91,5.49,16796743.00
2016-03-30,12.38,73808749,913752312.62,0.91,0.73,16555774.00
2016-03-31,12.59,73808749,929252149.91,0.93,1.70,9675415.00
2016-04-01,12.83,73808749,946966249.67,0.95,1.91,13336785.00
2016-04-04,13.21,73808749,975013574.29,0.98,2.96,11225858.00
2016-04-05,13.27,73808749,979442099.23,0.98,0.45,6726563.00
2016-04-06,13.50,73808749,996418111.50,1.00,1.73,7488450.00
2016-04-07,13.43,73808749,991251499.07,0.99,-0.52,12385146.00
2016-04-08,13.18,73808749,972799311.82,0.97,-1.86,5115158.00
2016-04-11,12.92,73808749,953609037.08,0.95,-1.97,5109860.00
2016-04-12,13.09,73808749,966156524.41,0.97,1.32,4949329.00
2016-04-13,13.16,73808749,971323136.84,0.97,0.53,11588696.00
2016-04-14,13.30,73808749,981656361.70,0.98,1.06,6510350.00
2016-04-15,13.40,73808749,989037236.60,0.99,0.75,8249040.00
2016-04-18,13.73,73808749,1013394123.77,1.01,2.46,7246694.00
2016-04-19,13.77,73808749,1016346473.73,1.02,0.29,7701561.00
2016-04-20,13.76,73808749,1015608386.24,1.02,-0.07,5535648.00
2016-04-21,13.75,73808749,1014870298.75,1.01,-0.07,6979500.00
2016-04-22,13.75,73808749,1014870298.75,1.01,0.00,5902875.00
2016-04-25,13.73,73808749,1013394123.77,1.01,-0.15,4227467.00
2016-04-26,13.64,73808749,1006751336.36,1.01,-0.66,6303044.00
2016-04-27,12.47,73808749,920395100.03,0.92,-8.58,14561219.00
2016-04-28,12.35,73808749,911538050.15,0.91,-0.96,10218390.00
2016-04-29,12.34,73808749,910799962.66,0.91,-0.08,11326886.00
2016-05-02,12.01,73808749,886443075.49,0.89,-2.67,15244293.00
2016-05-03,11.74,73808749,866514713.26,0.87,-2.25,6759892.00
2016-05-04,11.61,73808749,856919575.89,0.86,-1.11,4826277.00
2016-05-05,11.53,73808749,851014875.97,0.85,-0.69,3186892.00
2016-05-06,11.82,73808749,872419413.18,0.87,2.52,7460784.00
2016-05-09,11.70,73808749,863562363.30,0.86,-1.02,5171400.00
2016-05-10,11.31,73808749,834776951.19,0.83,-3.33,9654216.00
2016-05-11,11.13,73808749,821491376.37,0.82,-1.59,5047455.00
2016-05-12,10.75,73808749,793444051.75,0.79,-3.41,6790775.00
2016-05-13,10.70,73808749,789753614.30,0.79,-0.47,8855320.00
2016-05-16,10.66,73808749,786801264.34,0.79,-0.37,8120788.00
2016-05-17,10.57,73808749,780158476.93,0.78,-0.84,8552187.00
2016-05-18,10.81,73808749,797872576.69,0.80,2.27,5699032.00
2016-05-19,10.81,73808749,797872576.69,0.80,0.00,3851603.00
