Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2018-10-25,62.45,85637980,5348091851.00,5.35,,2158272.00
2018-10-26,61.00,85637980,5223916780.00,5.22,-2.32,237900.00
2018-10-29,59.40,85637980,5086896012.00,5.09,-2.62,374220.00
2018-10-30,59.40,85637980,5086896012.00,5.09,0.00,91476.00
2018-10-31,59.00,85637980,5052640820.00,5.05,-0.67,106200.00
2018-11-01,58.75,85637980,5031231325.00,5.03,-0.42,109275.00
2018-11-02,58.25,85637980,4988412335.00,4.99,-0.85,60580.00
2018-11-05,58.25,85637980,4988412335.00,4.99,0.00,2330.00
2018-11-06,58.15,85637980,4979848537.00,4.98,-0.17,46520.00
2018-11-07,52.50,85637980,4495993950.00,4.50,-9.72,47250.00
2018-11-08,55.00,85637980,4710088900.00,4.71,4.76,39600.00
2018-11-09,58.50,85637980,5009821830.00,5.01,6.36,18720.00
2018-11-12,58.50,85637980,5009821830.00,5.01,0.00,1170.00
2018-11-13,55.00,85637980,4710088900.00,4.71,-5.98,23100.00
2018-11-14,55.00,85637980,4710088900.00,4.71,0.00,24200.00
2018-11-15,58.50,85637980,5009821830.00,5.01,6.36,11700.00
2018-11-16,55.25,85637980,4731498395.00,4.73,-5.56,215475.00
2018-11-19,55.25,85637980,4731498395.00,4.73,0.00,1105.00
2018-11-20,58.35,85637980,4996976133.00,5.00,5.61,12837.00
2018-11-21,59.40,85637980,5086896012.00,5.09,1.80,38016.00
2018-11-23,59.40,85637980,5086896012.00,5.09,0.00,1188.00
2018-11-26,58.55,85637980,5014103729.00,5.01,-1.43,1171.00
2018-11-27,55.60,85637980,4761471688.00,4.76,-5.04,6672.00
2018-11-28,55.65,85637980,4765753587.00,4.77,0.09,2226.00
2018-11-29,55.65,85637980,4765753587.00,4.77,0.00,1113.00
2018-11-30,55.65,85637980,4765753587.00,4.77,0.00,3339.00
2018-12-03,55.65,85637980,4765753587.00,4.77,0.00,1113.00
2018-12-04,55.30,85637980,4735780294.00,4.74,-0.63,1106.00
2018-12-06,55.15,85637980,4722934597.00,4.72,-0.27,82725.00
2018-12-07,55.15,85637980,4722934597.00,4.72,0.00,16545.00
2018-12-10,51.50,85637980,4410355970.00,4.41,-6.62,7210.00
2018-12-11,51.50,85637980,4410355970.00,4.41,0.00,0.00
2018-12-12,56.75,85637980,4859955365.00,4.86,10.19,69235.00
2018-12-13,55.00,85637980,4710088900.00,4.71,-3.08,29700.00
2018-12-14,55.00,85637980,4710088900.00,4.71,0.00,15400.00
2018-12-17,55.50,85637980,4752907890.00,4.75,0.91,198690.00
2018-12-18,55.00,85637980,4710088900.00,4.71,-0.90,181500.00
2018-12-19,55.00,85637980,4710088900.00,4.71,0.00,422400.00
2018-12-20,53.00,85637980,4538812940.00,4.54,-3.64,15900.00
2018-12-21,50.50,85637980,4324717990.00,4.32,-4.72,12120.00
2018-12-24,50.50,85637980,4324717990.00,4.32,0.00,1010.00
2018-12-26,50.50,85637980,4324717990.00,4.32,0.00,1010.00
2018-12-27,52.50,85637980,4495993950.00,4.50,3.96,1050.00
2018-12-28,46.70,85637980,3999293666.00,4.00,-11.05,63512.00
2018-12-31,52.35,85637980,4483148253.00,4.48,12.10,7329.00
2019-01-02,50.25,85637980,4303308495.00,4.30,-4.01,26130.00
