Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2026-04-17,26.00,129565608,3368705808.00,3.37,,210971800.00
2026-04-20,24.61,129565608,3188609612.88,3.19,-5.35,33002010.00
2026-04-21,25.22,129565608,3267644633.76,3.27,2.48,21262982.00
2026-04-22,24.30,129565608,3148444274.40,3.15,-3.65,21673170.00
2026-04-23,25.08,129565608,3249505448.64,3.25,3.21,100214664.00
2026-04-24,22.47,129565608,2911339211.76,2.91,-10.41,27184206.00
2026-04-27,23.51,129565608,3046087444.08,3.05,4.63,25167455.00
2026-04-28,23.82,129565608,3086252782.56,3.09,1.32,10990548.00
2026-04-29,24.76,129565608,3208044454.08,3.21,3.95,16864036.00
2026-04-30,25.00,129565608,3239140200.00,3.24,0.97,11562500.00
2026-05-01,25.15,129565608,3258575041.20,3.26,0.60,13862680.00
2026-05-04,25.09,129565608,3250801104.72,3.25,-0.24,18313191.00
2026-05-05,24.26,129565608,3143261650.08,3.14,-3.31,10315352.00
2026-05-06,24.70,129565608,3200270517.60,3.20,1.81,13120640.00
2026-05-07,22.47,129565608,2911339211.76,2.91,-9.03,6289353.00
2026-05-08,21.47,129565608,2781773603.76,2.78,-4.45,9579914.00
2026-05-11,22.93,129565608,2970939391.44,2.97,6.80,11072897.00
2026-05-12,22.30,129565608,2889313058.40,2.89,-2.75,8010160.00
2026-05-13,21.11,129565608,2735129984.88,2.74,-5.34,7380056.00
2026-05-14,21.50,129565608,2785660572.00,2.79,1.85,7318600.00
2026-05-15,21.04,129565608,2726060392.32,2.73,-2.14,10145488.00
2026-05-18,19.55,129565608,2533007636.40,2.53,-7.08,11769100.00
2026-05-19,19.62,129565608,2542077228.96,2.54,0.36,6825798.00
2026-05-20,20.07,129565608,2600381752.56,2.60,2.29,4710429.00
2026-05-21,21.08,129565608,2731243016.64,2.73,5.03,7633068.00
2026-05-22,21.17,129565608,2742903921.36,2.74,0.43,7216853.00
2026-05-26,21.57,129565608,2794730164.56,2.79,1.89,10457136.00
2026-05-27,21.91,129565608,2838782471.28,2.84,1.58,10503654.00
2026-05-28,22.94,129565608,2972235047.52,2.97,4.70,9109474.00
2026-05-29,22.94,129565608,2972235047.52,2.97,0.00,12752346.00
2026-06-01,23.18,129565608,3003330793.44,3.00,1.05,6935456.00
2026-06-02,22.59,129565608,2926887084.72,2.93,-2.55,10020924.00
2026-06-03,22.38,129565608,2899678307.04,2.90,-0.93,9451074.00
