Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2000-01-03,450.62,1875199840,845002551900.80,845.00,,10900497.80
2000-01-04,440.00,1875199840,825087929600.00,825.09,-2.36,5438400.00
2000-01-05,410.00,1875199840,768831934400.00,768.83,-6.82,9790800.00
2000-01-06,398.75,1875199840,747735936200.00,747.74,-2.74,12122000.00
2000-01-07,397.50,1875199840,745391936400.00,745.39,-0.31,3299250.00
2000-01-10,416.25,1875199840,780551933400.00,780.55,4.72,13665487.50
2000-01-11,398.12,1875199840,746554560300.80,746.55,-4.36,6075311.20
2000-01-12,396.25,1875199840,743047936600.00,743.05,-0.47,2944137.50
2000-01-13,425.00,1875199840,796959932000.00,796.96,7.26,6013750.00
2000-01-14,460.00,1875199840,862591926400.00,862.59,8.24,21610800.00
2000-01-18,440.00,1875199840,825087929600.00,825.09,-4.35,9785600.00
2000-01-19,436.25,1875199840,818055930200.00,818.06,-0.85,5165200.00
2000-01-20,453.75,1875199840,850871927400.00,850.87,4.01,10386337.50
2000-01-21,463.75,1875199840,869623925800.00,869.62,2.20,8305762.50
2000-01-24,430.00,1875199840,806335931200.00,806.34,-7.28,7064900.00
2000-01-25,432.50,1875199840,811023930800.00,811.02,0.58,4346625.00
2000-01-26,426.25,1875199840,799303931800.00,799.30,-1.45,2885712.50
2000-01-27,476.25,1875199840,893063923800.00,893.06,11.73,26774775.00
2000-01-28,497.50,1875199840,932911920400.00,932.91,4.46,22616350.00
2000-01-31,503.75,1875199840,944631919400.00,944.63,1.26,15097387.50
2000-02-01,532.50,1875199840,998543914800.00,998.54,5.71,16108125.00
2000-02-02,562.50,1875199840,1054799910000.00,1054.80,5.63,22230000.00
2000-02-03,660.00,1875199840,1237631894400.00,1237.63,17.33,77431200.00
2000-02-04,627.50,1875199840,1176687899600.00,1176.69,-4.92,70606300.00
2000-02-07,660.00,1875199840,1237631894400.00,1237.63,5.18,39765000.00
2000-02-08,787.50,1875199840,1476719874000.00,1476.72,19.32,68323500.00
2000-02-09,811.25,1875199840,1521255870200.00,1521.26,3.02,36133075.00
2000-02-10,906.56,1875199840,1699981166950.40,1699.98,11.75,52934038.40
2000-02-11,906.25,1875199840,1699399855000.00,1699.40,-0.03,17680937.50
2000-02-14,860.00,1875199840,1612671862400.00,1612.67,-5.10,17208600.00
2000-02-15,850.00,1875199840,1593919864000.00,1593.92,-1.16,11560000.00
2000-02-16,820.00,1875199840,1537663868800.00,1537.66,-3.53,10381200.00
2000-02-17,875.62,1875199840,1641962483900.80,1641.96,6.78,12188630.40
2000-02-18,862.50,1875199840,1617359862000.00,1617.36,-1.50,13739625.00
2000-02-22,856.25,1875199840,1605639863000.00,1605.64,-0.72,7988812.50
2000-02-23,935.00,1875199840,1753311850400.00,1753.31,9.20,16409250.00
2000-02-24,960.00,1875199840,1800191846400.00,1800.19,2.67,8198400.00
2000-02-25,946.25,1875199840,1774407848600.00,1774.41,-1.43,4229737.50
2000-02-28,880.00,1875199840,1650175859200.00,1650.18,-7.00,8008000.00
2000-02-29,1240.00,1875199840,2325247801600.00,2325.25,40.91,42370800.00
2000-03-01,1037.50,1875199840,1945519834000.00,1945.52,-16.33,32162500.00
2000-03-02,1093.75,1875199840,2050999825000.00,2051.00,5.42,9264062.50
2000-03-03,1240.00,1875199840,2325247801600.00,2325.25,13.37,21762000.00
2000-03-06,1578.75,1875199840,2960471747400.00,2960.47,27.32,46304737.50
2000-03-07,1523.12,1875199840,2856154380300.80,2856.15,-3.52,48511372.00
2000-03-08,1418.75,1875199840,2660439773000.00,2660.44,-6.85,21082625.00
2000-03-09,1350.00,1875199840,2531519784000.00,2531.52,-4.85,13824000.00
2000-03-10,1438.75,1875199840,2697943769800.00,2697.94,6.57,29782125.00
2000-03-13,1288.75,1875199840,2416663793800.00,2416.66,-10.43,24370262.50
2000-03-14,1380.00,1875199840,2587775779200.00,2587.78,7.08,39274800.00
2000-03-15,1380.00,1875199840,2587775779200.00,2587.78,0.00,26496000.00
2000-03-16,1320.62,1875199840,2476426412700.80,2476.43,-4.30,26214307.00
2000-03-17,1230.00,1875199840,2306495803200.00,2306.50,-6.86,17539800.00
2000-03-20,1036.25,1875199840,1943175834200.00,1943.18,-15.75,28527962.50
2000-03-21,950.94,1875199840,1783202535849.60,1783.20,-8.23,44808292.80
2000-03-22,1150.00,1875199840,2156479816000.00,2156.48,20.93,46598000.00
2000-03-23,1238.12,1875199840,2321722425900.80,2321.72,7.66,20577554.40
2000-03-24,1280.00,1875199840,2400255795200.00,2400.26,3.38,28800000.00
2000-03-27,1296.88,1875199840,2431909168499.20,2431.91,1.32,10400977.60
2000-03-28,1141.25,1875199840,2140071817400.00,2140.07,-12.00,17609487.50
2000-03-29,1076.25,1875199840,2018183827800.00,2018.18,-5.70,28230037.50
2000-03-30,997.50,1875199840,1870511840400.00,1870.51,-7.32,22324050.00
2000-03-31,1052.50,1875199840,1973647831600.00,1973.65,5.51,18060900.00
2000-04-03,927.50,1875199840,1739247851600.00,1739.25,-11.88,10072650.00
2000-04-04,880.00,1875199840,1650175859200.00,1650.18,-5.12,43489600.00
2000-04-05,763.12,1875199840,1431002501900.80,1431.00,-13.28,10988928.00
2000-04-06,895.00,1875199840,1678303856800.00,1678.30,17.28,18410150.00
2000-04-07,936.25,1875199840,1755655850200.00,1755.66,4.61,12658100.00
2000-04-10,870.00,1875199840,1631423860800.00,1631.42,-7.08,11223000.00
2000-04-11,825.62,1875199840,1548202491900.80,1548.20,-5.10,13366787.80
2000-04-12,769.38,1875199840,1442741252899.20,1442.74,-6.81,17518782.60
2000-04-13,727.50,1875199840,1364207883600.00,1364.21,-5.44,27012075.00
2000-04-14,598.12,1875199840,1121594528300.80,1121.59,-17.78,13212470.80
2000-04-17,528.75,1875199840,991511915400.00,991.51,-11.60,15571687.50
2000-04-18,601.88,1875199840,1128645279699.20,1128.65,13.83,20849123.20
2000-04-19,645.62,1875199840,1210666520700.80,1210.67,7.27,14390869.80
2000-04-20,670.62,1875199840,1257546516700.80,1257.55,3.87,16322890.80
2000-04-24,598.75,1875199840,1122775904200.00,1122.78,-10.72,14334075.00
2000-04-25,630.00,1875199840,1181375899200.00,1181.38,5.22,15277500.00
2000-04-26,671.25,1875199840,1258727892600.00,1258.73,6.55,18023062.50
2000-04-27,605.00,1875199840,1134495903200.00,1134.50,-9.87,25161950.00
2000-04-28,578.75,1875199840,1085271907400.00,1085.27,-4.34,36513337.50
2000-05-01,570.62,1875199840,1070026532700.80,1070.03,-1.40,35355615.20
2000-05-02,525.00,1875199840,984479916000.00,984.48,-7.99,29426250.00
2000-05-03,467.50,1875199840,876655925200.00,876.66,-10.95,47745775.00
2000-05-04,449.38,1875199840,842677304099.20,842.68,-3.88,31816104.00
2000-05-05,517.50,1875199840,970415917200.00,970.42,15.16,100710675.00
2000-05-08,501.88,1875199840,941125295699.20,941.13,-3.02,45179237.60
2000-05-09,497.50,1875199840,932911920400.00,932.91,-0.87,19591550.00
2000-05-10,458.75,1875199840,860247926600.00,860.25,-7.79,14560725.00
2000-05-11,477.50,1875199840,895407923600.00,895.41,4.09,11837225.00
2000-05-12,498.75,1875199840,935255920200.00,935.26,4.45,20044762.50
2000-05-15,538.75,1875199840,1010263913800.00,1010.26,8.02,18048125.00
2000-05-16,541.88,1875199840,1016133289299.20,1016.13,0.58,28351161.60
2000-05-17,545.00,1875199840,1021983912800.00,1021.98,0.58,10262350.00
2000-05-18,513.75,1875199840,963383917800.00,963.38,-5.73,30064650.00
2000-05-19,456.88,1875199840,856741302899.20,856.74,-11.07,19782904.00
2000-05-22,421.25,1875199840,789927932600.00,789.93,-7.80,14419387.50
2000-05-23,426.88,1875199840,800485307699.20,800.49,1.34,10104249.60
2000-05-24,405.00,1875199840,759455935200.00,759.46,-5.13,20663100.00
2000-05-25,377.50,1875199840,707887939600.00,707.89,-6.79,14099625.00
2000-05-26,327.50,1875199840,614127947600.00,614.13,-13.25,25194575.00
2000-05-30,385.00,1875199840,721951938400.00,721.95,17.56,16250850.00
2000-05-31,471.88,1875199840,884869300499.20,884.87,22.57,67417495.60
2000-06-01,483.75,1875199840,907127922600.00,907.13,2.52,36363487.50
2000-06-02,519.38,1875199840,973941292899.20,973.94,7.37,31396521.00
2000-06-05,533.75,1875199840,1000887914600.00,1000.89,2.77,24483112.50
2000-06-06,534.38,1875199840,1002069290499.20,1002.07,0.12,16213089.20
2000-06-07,533.75,1875199840,1000887914600.00,1000.89,-0.12,11795875.00
2000-06-08,503.75,1875199840,944631919400.00,944.63,-5.62,13702000.00
2000-06-09,536.25,1875199840,1005575914200.00,1005.58,6.45,17181450.00
2000-06-12,495.62,1875199840,929386544700.80,929.39,-7.58,11389347.60
2000-06-13,497.50,1875199840,932911920400.00,932.91,0.38,6895350.00
2000-06-14,476.25,1875199840,893063923800.00,893.06,-4.27,3314700.00
2000-06-15,483.75,1875199840,907127922600.00,907.13,1.57,8339850.00
2000-06-16,465.00,1875199840,871967925600.00,871.97,-3.88,9118650.00
2000-06-19,477.50,1875199840,895407923600.00,895.41,2.69,10089575.00
2000-06-20,557.50,1875199840,1045423910800.00,1045.42,16.75,107525025.00
2000-06-21,500.62,1875199840,938762543900.80,938.76,-10.20,57245897.00
2000-06-22,475.00,1875199840,890719924000.00,890.72,-5.12,17584500.00
2000-06-23,475.62,1875199840,891882547900.80,891.88,0.13,9949970.40
2000-06-26,506.25,1875199840,949319919000.00,949.32,6.44,8135437.50
2000-06-27,493.12,1875199840,924698545100.80,924.70,-2.59,7569392.00
2000-06-28,482.50,1875199840,904783922800.00,904.78,-2.15,10967225.00
2000-06-29,476.25,1875199840,893063923800.00,893.06,-1.30,10248900.00
2000-06-30,509.38,1875199840,955189294499.20,955.19,6.96,26029318.00
2000-07-03,495.00,1875199840,928223920800.00,928.22,-2.82,3663000.00
2000-07-05,496.25,1875199840,930567920600.00,930.57,0.25,5950037.50
2000-07-06,501.25,1875199840,939943919800.00,939.94,1.01,8200450.00
2000-07-07,546.25,1875199840,1024327912600.00,1024.33,8.98,29639525.00
2000-07-10,595.00,1875199840,1115743904800.00,1115.74,8.92,61856200.00
2000-07-11,606.88,1875199840,1138021278899.20,1138.02,2.00,53205169.60
2000-07-12,640.00,1875199840,1200127897600.00,1200.13,5.46,35360000.00
2000-07-13,730.00,1875199840,1368895883200.00,1368.90,14.06,58786900.00
2000-07-14,732.50,1875199840,1373583882800.00,1373.58,0.34,33043075.00
2000-07-17,747.50,1875199840,1401711880400.00,1401.71,2.05,17715750.00
2000-07-18,805.00,1875199840,1509535871200.00,1509.54,7.69,49636300.00
2000-07-19,773.75,1875199840,1450935876200.00,1450.94,-3.88,34493775.00
2000-07-20,760.62,1875199840,1426314502300.80,1426.31,-1.70,21791763.00
2000-07-21,729.38,1875199840,1367733259299.20,1367.73,-4.11,17227955.60
2000-07-24,655.62,1875199840,1229418519100.80,1229.42,-10.11,23917017.60
2000-07-25,695.00,1875199840,1303263888800.00,1303.26,6.01,33054200.00
2000-07-26,671.25,1875199840,1258727892600.00,1258.73,-3.42,20224762.50
2000-07-27,676.88,1875199840,1269285267699.20,1269.29,0.84,49419008.80
2000-07-28,660.00,1875199840,1237631894400.00,1237.63,-2.49,28102800.00
2000-07-31,636.25,1875199840,1193095898200.00,1193.10,-3.60,23248575.00
2000-08-01,630.00,1875199840,1181375899200.00,1181.38,-0.98,11125800.00
2000-08-02,610.00,1875199840,1143871902400.00,1143.87,-3.17,19696900.00
2000-08-03,670.00,1875199840,1256383892800.00,1256.38,9.84,12100200.00
2000-08-04,665.62,1875199840,1248170517500.80,1248.17,-0.65,21552775.60
2000-08-07,593.12,1875199840,1112218529100.80,1112.22,-10.89,99264563.20
2000-08-08,558.12,1875199840,1046586534700.80,1046.59,-5.90,19154678.40
2000-08-09,560.00,1875199840,1050111910400.00,1050.11,0.34,25844000.00
2000-08-10,481.25,1875199840,902439923000.00,902.44,-14.06,27440875.00
2000-08-11,492.50,1875199840,923535921200.00,923.54,2.34,30869900.00
2000-08-14,526.88,1875199840,988005291699.20,988.01,6.98,31391510.40
2000-08-15,564.38,1875199840,1058325285699.20,1058.33,7.12,31593992.40
2000-08-16,548.59,1875199840,1028715880225.60,1028.72,-2.80,44402874.60
2000-08-17,546.25,1875199840,1024327912600.00,1024.33,-0.43,24078700.00
2000-08-18,575.00,1875199840,1078239908000.00,1078.24,5.26,20763250.00
2000-08-21,591.25,1875199840,1108711905400.00,1108.71,2.83,27877437.50
2000-08-22,646.25,1875199840,1211847896600.00,1211.85,9.30,92110012.50
2000-08-23,741.88,1875199840,1391173257299.20,1391.17,14.80,425074983.60
2000-08-24,704.38,1875199840,1320853263299.20,1320.85,-5.05,90202902.80
2000-08-25,700.00,1875199840,1312639888000.00,1312.64,-0.62,33621000.00
2000-08-28,676.25,1875199840,1268103891800.00,1268.10,-3.39,31445625.00
2000-08-29,746.25,1875199840,1399367880600.00,1399.37,10.35,92117100.00
2000-08-30,783.12,1875199840,1468506498700.80,1468.51,4.94,145394059.20
2000-08-31,750.00,1875199840,1406399880000.00,1406.40,-4.23,92910000.00
2000-09-01,772.50,1875199840,1448591876400.00,1448.59,3.00,46481325.00
2000-09-05,804.38,1875199840,1508373247299.20,1508.37,4.13,52598408.20
2000-09-06,735.00,1875199840,1378271882400.00,1378.27,-8.63,31509450.00
2000-09-07,747.50,1875199840,1401711880400.00,1401.71,1.70,27777100.00
2000-09-08,780.00,1875199840,1462655875200.00,1462.66,4.35,25420200.00
2000-09-11,750.16,1875199840,1406699911974.40,1406.70,-3.83,28393556.00
2000-09-12,745.62,1875199840,1398186504700.80,1398.19,-0.61,13577740.20
2000-09-13,748.75,1875199840,1404055880200.00,1404.06,0.42,14757862.50
2000-09-14,782.50,1875199840,1467343874800.00,1467.34,4.51,30063650.00
2000-09-15,785.62,1875199840,1473194498300.80,1473.19,0.40,25626924.40
2000-09-18,692.50,1875199840,1298575889200.00,1298.58,-11.85,63183700.00
2000-09-19,719.38,1875199840,1348981260899.20,1348.98,3.88,19826112.80
2000-09-20,640.00,1875199840,1200127897600.00,1200.13,-11.03,56870400.00
2000-09-21,580.00,1875199840,1087615907200.00,1087.62,-9.38,68515400.00
2000-09-22,570.00,1875199840,1068863908800.00,1068.86,-1.72,114182400.00
2000-09-25,585.62,1875199840,1098154530300.80,1098.15,2.74,28472844.40
2000-09-26,587.50,1875199840,1101679906000.00,1101.68,0.32,22542375.00
2000-09-27,610.62,1875199840,1145034526300.80,1145.03,3.94,29383034.40
2000-09-28,600.00,1875199840,1125119904000.00,1125.12,-1.74,21018000.00
2000-09-29,576.88,1875199840,1081765283699.20,1081.77,-3.85,15339239.20
2000-10-02,581.25,1875199840,1089959907000.00,1089.96,0.76,17187562.50
2000-10-03,562.50,1875199840,1054799910000.00,1054.80,-3.23,16695000.00
2000-10-04,594.38,1875199840,1114581280899.20,1114.58,5.67,18009714.00
2000-10-05,615.00,1875199840,1153247901600.00,1153.25,3.47,28929600.00
2000-10-06,596.25,1875199840,1118087904600.00,1118.09,-3.05,23975212.50
2000-10-09,604.38,1875199840,1133333279299.20,1133.33,1.36,12281001.60
2000-10-10,621.25,1875199840,1164967900600.00,1164.97,2.79,19314662.50
2000-10-11,608.12,1875199840,1140346526700.80,1140.35,-2.11,17477368.80
2000-10-12,558.75,1875199840,1047767910600.00,1047.77,-8.12,12666862.50
2000-10-13,612.50,1875199840,1148559902000.00,1148.56,9.62,19771500.00
