Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2015-10-19,69.93,54933538,3841502312.34,3.84,,23398578.00
2015-10-20,64.15,54933538,3523986462.70,3.52,-8.27,70404625.00
2015-10-21,64.04,54933538,3517943773.52,3.52,-0.17,35913632.00
2015-10-22,61.92,54933538,3401484672.96,3.40,-3.31,30904272.00
2015-10-23,64.98,54933538,3569581299.24,3.57,4.94,36739692.00
2015-10-26,65.24,54933538,3583864019.12,3.58,0.40,26794068.00
2015-10-27,65.54,54933538,3600344080.52,3.60,0.46,23823790.00
2015-10-28,67.80,54933538,3724493876.40,3.72,3.45,43398780.00
2015-10-29,65.55,54933538,3600893415.90,3.60,-3.32,24404265.00
2015-10-30,66.28,54933538,3640994898.64,3.64,1.11,20739012.00
2015-11-02,66.83,54933538,3671208344.54,3.67,0.83,27146346.00
2015-11-03,66.91,54933538,3675603027.58,3.68,0.12,16968376.00
2015-11-04,65.75,54933538,3611880123.50,3.61,-1.73,23097975.00
2015-11-05,65.21,54933538,3582216012.98,3.58,-0.82,8894644.00
2015-11-06,65.49,54933538,3597597403.62,3.60,0.43,24192006.00
2015-11-09,64.24,54933538,3528930481.12,3.53,-1.91,25914416.00
2015-11-10,63.29,54933538,3476743620.02,3.48,-1.48,39208155.00
2015-11-11,63.19,54933538,3471250266.22,3.47,-0.16,18533627.00
2015-11-12,57.56,54933538,3161974447.28,3.16,-8.91,73521388.00
2015-11-13,56.52,54933538,3104843567.76,3.10,-1.81,30492540.00
2015-11-16,56.26,54933538,3090560847.88,3.09,-0.46,24686888.00
2015-11-17,56.26,54933538,3090560847.88,3.09,0.00,21390052.00
2015-11-18,56.07,54933538,3080123475.66,3.08,-0.34,25253928.00
2015-11-19,56.15,54933538,3084518158.70,3.08,0.14,25778465.00
2015-11-20,57.37,54933538,3151537075.06,3.15,2.17,18759990.00
2015-11-23,58.23,54933538,3198779917.74,3.20,1.50,16583904.00
2015-11-24,60.19,54933538,3306449652.22,3.31,3.37,24015810.00
2015-11-25,60.93,54933538,3347100470.34,3.35,1.23,14044365.00
2015-11-27,61.91,54933538,3400935337.58,3.40,1.61,13973087.00
2015-11-30,59.85,54933538,3287772249.30,3.29,-3.33,41589765.00
2015-12-01,59.22,54933538,3253164120.36,3.25,-1.05,21082320.00
2015-12-02,60.26,54933538,3310294999.88,3.31,1.76,21615262.00
2015-12-03,60.36,54933538,3315788353.68,3.32,0.17,24192288.00
2015-12-04,62.38,54933538,3426754100.44,3.43,3.35,22282136.00
2015-12-07,58.83,54933538,3231740040.54,3.23,-5.69,49599573.00
2015-12-08,56.92,54933538,3126816982.96,3.13,-3.25,79665232.00
2015-12-09,56.36,54933538,3096054201.68,3.10,-0.98,36842532.00
2015-12-10,56.51,54933538,3104294232.38,3.10,0.27,20886096.00
2015-12-11,54.06,54933538,2969707064.28,2.97,-4.34,27970644.00
2015-12-14,54.46,54933538,2991680479.48,2.99,0.74,20106632.00
2015-12-15,54.06,54933538,2969707064.28,2.97,-0.73,16061226.00
2015-12-16,55.19,54933538,3031781962.22,3.03,2.09,20685212.00
2015-12-17,55.85,54933538,3068038097.30,3.07,1.20,22730950.00
2015-12-18,58.24,54933538,3199329253.12,3.20,4.28,107237312.00
2015-12-21,58.86,54933538,3233388046.68,3.23,1.06,17587368.00
2015-12-22,60.09,54933538,3300956298.42,3.30,2.09,12582846.00
2015-12-23,60.55,54933538,3326225725.90,3.33,0.77,11783030.00
2015-12-24,60.58,54933538,3327873732.04,3.33,0.05,3919526.00
2015-12-28,60.25,54933538,3309745664.50,3.31,-0.54,9164025.00
2015-12-29,59.73,54933538,3281180224.74,3.28,-0.86,9323853.00
2015-12-30,59.97,54933538,3294364273.86,3.29,0.40,12047973.00
2015-12-31,59.37,54933538,3261404151.06,3.26,-1.00,11903685.00
2016-01-04,56.34,54933538,3094955530.92,3.09,-5.10,15177996.00
2016-01-05,55.97,54933538,3074630121.86,3.07,-0.66,45234954.00
2016-01-06,55.62,54933538,3055403383.56,3.06,-0.63,9004878.00
2016-01-07,54.21,54933538,2977947094.98,2.98,-2.54,11427468.00
2016-01-08,52.74,54933538,2897194794.12,2.90,-2.71,9730530.00
2016-01-11,55.47,54933538,3047163352.86,3.05,5.18,30414201.00
2016-01-12,54.26,54933538,2980693771.88,2.98,-2.18,16375668.00
2016-01-13,53.13,54933538,2918618873.94,2.92,-2.08,12650253.00
2016-01-14,53.05,54933538,2914224190.90,2.91,-0.15,12769135.00
2016-01-15,53.34,54933538,2930154916.92,2.93,0.55,15340584.00
2016-01-19,52.76,54933538,2898293464.88,2.90,-1.09,16176216.00
2016-01-20,53.48,54933538,2937845612.24,2.94,1.36,21333172.00
2016-01-21,52.11,54933538,2862586665.18,2.86,-2.56,23793426.00
2016-01-22,53.23,54933538,2924112227.74,2.92,2.15,11785122.00
2016-01-25,53.79,54933538,2954875009.02,2.95,1.05,8493441.00
2016-01-26,54.19,54933538,2976848424.22,2.98,0.74,10794648.00
2016-01-27,52.64,54933538,2891701440.32,2.89,-2.86,8048656.00
2016-01-28,51.76,54933538,2843359926.88,2.84,-1.67,7919280.00
2016-01-29,55.98,54933538,3075179457.24,3.08,8.15,25834770.00
