Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2016-01-04,3.28,65106082,213547948.96,0.21,,494624.00
2016-01-05,3.21,65106082,208990523.22,0.21,-2.13,168846.00
2016-01-06,3.14,65106082,204433097.48,0.20,-2.18,162652.00
2016-01-07,3.07,65106082,199875671.74,0.20,-2.23,197401.00
2016-01-08,2.93,65106082,190760820.26,0.19,-4.56,212132.00
2016-01-11,2.86,65106082,186203394.52,0.19,-2.39,300872.00
2016-01-12,2.72,65106082,177088543.04,0.18,-4.90,199376.00
2016-01-13,2.55,65106082,166020509.10,0.17,-6.25,97410.00
2016-01-14,2.49,65106082,162114144.18,0.16,-2.35,79431.00
2016-01-15,2.36,65106082,153650353.52,0.15,-5.22,94636.00
2016-01-19,2.37,65106082,154301414.34,0.15,0.42,78447.00
2016-01-20,2.43,65106082,158207779.26,0.16,2.53,162810.00
2016-01-21,2.44,65106082,158858840.08,0.16,0.41,48800.00
2016-01-22,2.60,65106082,169275813.20,0.17,6.56,83200.00
2016-01-25,2.55,65106082,166020509.10,0.17,-1.92,37485.00
2016-01-26,2.38,65106082,154952475.16,0.15,-6.67,98770.00
2016-01-27,2.19,65106082,142582319.58,0.14,-7.98,63729.00
2016-01-28,2.08,65106082,135420650.56,0.14,-5.02,94848.00
2016-01-29,2.17,65106082,141280197.94,0.14,4.33,136493.00
2016-02-01,2.16,65106082,140629137.12,0.14,-0.46,128520.00
2016-02-02,2.21,65106082,143884441.22,0.14,2.31,144313.00
2016-02-03,2.21,65106082,143884441.22,0.14,0.00,179231.00
2016-02-04,2.07,65106082,134769589.74,0.13,-6.33,134757.00
2016-02-05,1.89,65106082,123050494.98,0.12,-8.70,190134.00
2016-02-08,1.83,65106082,119144130.06,0.12,-3.17,113643.00
2016-02-09,1.89,65106082,123050494.98,0.12,3.28,131733.00
2016-02-10,1.84,65106082,119795190.88,0.12,-2.65,122544.00
2016-02-11,1.87,65106082,121748373.34,0.12,1.63,38522.00
2016-02-12,1.93,65106082,125654738.26,0.13,3.21,34547.00
