Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2014-04-02,20.09,143215003,2877189410.27,2.88,,170186408.00
2014-04-03,19.85,143215003,2842817809.55,2.84,-1.19,22910870.00
2014-04-04,19.00,143215003,2721085057.00,2.72,-4.28,9064900.00
2014-04-07,19.41,143215003,2779803208.23,2.78,2.16,5300871.00
2014-04-08,19.85,143215003,2842817809.55,2.84,2.27,3426110.00
2014-04-09,20.03,143215003,2868596510.09,2.87,0.91,2678011.00
2014-04-10,20.11,143215003,2880053710.33,2.88,0.40,3100962.00
2014-04-11,19.69,143215003,2819903409.07,2.82,-2.09,4444033.00
2014-04-14,20.13,143215003,2882918010.39,2.88,2.23,2439756.00
2014-04-15,21.00,143215003,3007515063.00,3.01,4.32,4632600.00
2014-04-16,20.69,143215003,2963118412.07,2.96,-1.48,3647647.00
2014-04-17,20.05,143215003,2871460810.15,2.87,-3.09,2722790.00
2014-04-21,20.21,143215003,2894375210.63,2.89,0.80,881156.00
2014-04-22,22.24,143215003,3185101666.72,3.19,10.04,3845296.00
2014-04-23,22.24,143215003,3185101666.72,3.19,0.00,1599056.00
2014-04-24,21.75,143215003,3114926315.25,3.11,-2.20,2764425.00
2014-04-25,19.49,143215003,2791260408.47,2.79,-10.39,6593467.00
2014-04-28,16.30,143215003,2334404548.90,2.33,-16.37,10340720.00
2014-04-29,14.85,143215003,2126742794.55,2.13,-8.90,7815555.00
2014-04-30,14.37,143215003,2057999593.11,2.06,-3.23,6988131.00
2014-05-01,14.73,143215003,2109556994.19,2.11,2.51,3105084.00
2014-05-02,14.76,143215003,2113853444.28,2.11,0.20,2596284.00
2014-05-05,14.30,143215003,2047974542.90,2.05,-3.12,2638350.00
2014-05-06,13.29,143215003,1903327389.87,1.90,-7.06,4242168.00
2014-05-07,12.04,143215003,1724308636.12,1.72,-9.41,3416952.00
2014-05-08,12.96,143215003,1856066438.88,1.86,7.64,3027456.00
2014-05-09,11.99,143215003,1717147885.97,1.72,-7.48,3527458.00
2014-05-12,11.37,143215003,1628354584.11,1.63,-5.17,3464439.00
2014-05-13,11.37,143215003,1628354584.11,1.63,0.00,4338792.00
2014-05-14,12.68,143215003,1815966238.04,1.82,11.52,14474220.00
2014-05-15,13.24,143215003,1896166639.72,1.90,4.42,5642888.00
2014-05-16,12.13,143215003,1737197986.39,1.74,-8.38,3316342.00
2014-05-19,12.23,143215003,1751519486.69,1.75,0.82,6618876.00
2014-05-20,12.15,143215003,1740062286.45,1.74,-0.65,2156625.00
2014-05-21,12.32,143215003,1764408836.96,1.76,1.40,1304688.00
2014-05-22,12.22,143215003,1750087336.66,1.75,-0.81,1532388.00
2014-05-23,12.31,143215003,1762976686.93,1.76,0.74,4292497.00
2014-05-27,11.94,143215003,1709987135.82,1.71,-3.01,1943832.00
2014-05-28,12.02,143215003,1721444336.06,1.72,0.67,1040932.00
2014-05-29,12.47,143215003,1785891087.41,1.79,3.74,2219660.00
2014-05-30,12.69,143215003,1817398388.07,1.82,1.76,4440231.00
2014-06-02,12.69,143215003,1817398388.07,1.82,0.00,2469474.00
2014-06-03,12.82,143215003,1836016338.46,1.84,1.02,1211490.00
2014-06-04,12.95,143215003,1854634288.85,1.85,1.01,3825430.00
2014-06-05,12.88,143215003,1844609238.64,1.84,-0.54,4957512.00
2014-06-06,13.02,143215003,1864659339.06,1.86,1.09,2676912.00
2014-06-09,13.25,143215003,1897598789.75,1.90,1.77,1517125.00
2014-06-10,13.01,143215003,1863227189.03,1.86,-1.81,1086335.00
2014-06-11,12.23,143215003,1751519486.69,1.75,-6.00,2247874.00
2014-06-12,12.31,143215003,1762976686.93,1.76,0.65,2774674.00
2014-06-13,12.05,143215003,1725740786.15,1.73,-2.11,2834160.00
2014-06-16,12.04,143215003,1724308636.12,1.72,-0.08,2483852.00
2014-06-17,12.18,143215003,1744358736.54,1.74,1.16,1180242.00
