Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2021-09-30,9.76,144972579,1414932371.04,1.41,,44896.00
2021-10-01,10.00,144972579,1449725790.00,1.45,2.46,1230000.00
2021-10-04,9.97,144972579,1445376612.63,1.45,-0.30,1225313.00
2021-10-05,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-10-06,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-10-07,10.00,144972579,1449725790.00,1.45,0.30,528000.00
2021-10-08,9.95,144972579,1442477161.05,1.44,-0.50,2985.00
2021-10-11,9.95,144972579,1442477161.05,1.44,0.00,0.00
2021-10-12,9.94,144972579,1441027435.26,1.44,-0.10,3976.00
2021-10-13,9.94,144972579,1441027435.26,1.44,0.00,6958.00
2021-10-14,9.94,144972579,1441027435.26,1.44,0.00,0.00
2021-10-15,9.97,144972579,1445376612.63,1.45,0.30,1900282.00
2021-10-18,9.94,144972579,1441027435.26,1.44,-0.30,2982.00
2021-10-19,9.95,144972579,1442477161.05,1.44,0.10,1514390.00
2021-10-20,9.95,144972579,1442477161.05,1.44,0.00,0.00
2021-10-21,9.94,144972579,1441027435.26,1.44,-0.10,9561286.00
2021-10-22,9.96,144972579,1443926886.84,1.44,0.20,1867500.00
2021-10-25,9.95,144972579,1442477161.05,1.44,-0.10,2985.00
2021-10-26,9.95,144972579,1442477161.05,1.44,0.00,0.00
2021-10-27,9.98,144972579,1446826338.42,1.45,0.30,1378238.00
2021-10-28,9.98,144972579,1446826338.42,1.45,0.00,5988.00
2021-10-29,9.99,144972579,1448276064.21,1.45,0.10,346653.00
2021-11-01,10.00,144972579,1449725790.00,1.45,0.10,183000.00
2021-11-02,10.00,144972579,1449725790.00,1.45,0.00,3000.00
2021-11-03,9.97,144972579,1445376612.63,1.45,-0.30,74775.00
2021-11-04,10.00,144972579,1449725790.00,1.45,0.30,6034000.00
2021-11-05,9.97,144972579,1445376612.63,1.45,-0.30,60817.00
2021-11-08,9.97,144972579,1445376612.63,1.45,0.00,4985.00
2021-11-09,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-11-10,9.97,144972579,1445376612.63,1.45,0.00,9019859.00
2021-11-11,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-11-12,9.97,144972579,1445376612.63,1.45,0.00,1729795.00
2021-11-15,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-11-16,9.97,144972579,1445376612.63,1.45,0.00,4361875.00
2021-11-17,9.97,144972579,1445376612.63,1.45,0.00,9970.00
2021-11-18,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-11-19,9.97,144972579,1445376612.63,1.45,0.00,0.00
2021-11-22,9.99,144972579,1448276064.21,1.45,0.20,5994.00
2021-11-23,10.00,144972579,1449725790.00,1.45,0.10,160000.00
2021-11-24,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-11-26,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-11-29,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-11-30,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-12-01,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-12-02,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-12-03,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-12-06,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-12-07,10.00,144972579,1449725790.00,1.45,0.00,0.00
2021-12-08,9.96,144972579,1443926886.84,1.44,-0.40,4980.00
