Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2021-06-24,9.90,54433407,538890729.30,0.54,,6576570.00
2021-06-25,9.94,54433407,541068065.58,0.54,0.40,773332.00
2021-06-28,9.95,54433407,541612399.65,0.54,0.10,180095.00
2021-06-29,9.92,54433407,539979397.44,0.54,-0.30,42656.00
2021-06-30,9.89,54433407,538346395.23,0.54,-0.30,1025593.00
2021-07-01,10.00,54433407,544334070.00,0.54,1.11,2000.00
2021-07-02,10.00,54433407,544334070.00,0.54,0.00,0.00
2021-07-06,9.98,54433407,543245401.86,0.54,-0.20,7984.00
2021-07-07,10.20,54433407,555220751.40,0.56,2.20,2040.00
2021-07-08,9.94,54433407,541068065.58,0.54,-2.55,523838.00
2021-07-09,9.93,54433407,540523731.51,0.54,-0.10,7985706.00
2021-07-12,9.95,54433407,541612399.65,0.54,0.20,4171040.00
2021-07-13,9.93,54433407,540523731.51,0.54,-0.20,324711.00
2021-07-14,9.95,54433407,541612399.65,0.54,0.20,245765.00
2021-07-15,9.94,54433407,541068065.58,0.54,-0.10,95424.00
2021-07-16,10.03,54433407,545967072.21,0.55,0.91,533596.00
2021-07-19,10.03,54433407,545967072.21,0.55,0.00,1003.00
2021-07-20,9.93,54433407,540523731.51,0.54,-1.00,17874.00
2021-07-21,9.91,54433407,539435063.37,0.54,-0.20,105046.00
2021-07-22,9.90,54433407,538890729.30,0.54,-0.10,657360.00
2021-07-23,9.90,54433407,538890729.30,0.54,0.00,2242350.00
2021-07-26,9.90,54433407,538890729.30,0.54,0.00,73260.00
2021-07-27,9.90,54433407,538890729.30,0.54,0.00,14850.00
2021-07-28,9.90,54433407,538890729.30,0.54,0.00,1073160.00
2021-07-29,9.90,54433407,538890729.30,0.54,0.00,1726560.00
2021-07-30,9.90,54433407,538890729.30,0.54,0.00,0.00
2021-08-02,9.93,54433407,540523731.51,0.54,0.30,993.00
2021-08-03,9.94,54433407,541068065.58,0.54,0.10,994.00
