Date,Close,Shares_Outstanding,Market_Cap,Market_Cap_B,Market_Cap_Change_Pct,Volume_Dollar
2020-09-01,2022.00,912549000,1845174078000.00,1845.17,,5570610.00
2020-09-02,1950.00,912549000,1779470550000.00,1779.47,-3.56,961350.00
2020-09-03,1950.00,912549000,1779470550000.00,1779.47,0.00,686400.00
2020-09-04,2019.00,912549000,1842436431000.00,1842.44,3.54,381591.00
2020-09-08,1953.00,912549000,1782208197000.00,1782.21,-3.27,417942.00
2020-09-09,1974.00,912549000,1801371726000.00,1801.37,1.08,142128.00
2020-09-10,1965.00,912549000,1793158785000.00,1793.16,-0.46,167025.00
2020-09-11,1830.00,912549000,1669964670000.00,1669.96,-6.87,58560.00
2020-09-14,1824.60,912549000,1665036905400.00,1665.04,-0.30,122248.20
2020-09-15,1710.00,912549000,1560458790000.00,1560.46,-6.28,111150.00
2020-09-16,1680.00,912549000,1533082320000.00,1533.08,-1.75,290640.00
2020-09-17,1710.00,912549000,1560458790000.00,1560.46,1.79,111150.00
2020-09-18,1656.00,912549000,1511181144000.00,1511.18,-3.16,120888.00
2020-09-21,1625.70,912549000,1483530909300.00,1483.53,-1.83,177201.30
2020-09-22,1569.00,912549000,1431789381000.00,1431.79,-3.49,95709.00
2020-09-23,1584.00,912549000,1445477616000.00,1445.48,0.96,64944.00
2020-09-24,1536.00,912549000,1401675264000.00,1401.68,-3.03,58368.00
2020-09-25,1539.90,912549000,1405234205100.00,1405.23,0.25,78534.90
2020-09-28,1380.00,912549000,1259317620000.00,1259.32,-10.38,147660.00
2020-09-29,1380.00,912549000,1259317620000.00,1259.32,0.00,52440.00
2020-09-30,1380.00,912549000,1259317620000.00,1259.32,0.00,67620.00
2020-10-01,1350.00,912549000,1231941150000.00,1231.94,-2.17,124200.00
2020-10-02,1323.00,912549000,1207302327000.00,1207.30,-2.00,62181.00
2020-10-05,1482.00,912549000,1352397618000.00,1352.40,12.02,205998.00
2020-10-06,1470.00,912549000,1341447030000.00,1341.45,-0.81,26460.00
2020-10-07,1497.00,912549000,1366085853000.00,1366.09,1.84,1497.00
2020-10-08,1380.00,912549000,1259317620000.00,1259.32,-7.82,96600.00
2020-10-09,1402.50,912549000,1279849972500.00,1279.85,1.63,9817.50
2020-10-12,1380.00,912549000,1259317620000.00,1259.32,-1.60,42780.00
2020-10-13,1402.50,912549000,1279849972500.00,1279.85,1.63,7012.50
2020-10-14,1365.00,912549000,1245629385000.00,1245.63,-2.67,65520.00
2020-10-15,1557.00,912549000,1420838793000.00,1420.84,14.07,1105470.00
2020-10-16,1464.00,912549000,1335971736000.00,1335.97,-5.97,46848.00
2020-10-19,1473.00,912549000,1344184677000.00,1344.18,0.61,20622.00
2020-10-20,1423.50,912549000,1299013501500.00,1299.01,-3.36,42705.00
2020-10-21,1471.80,912549000,1343089618200.00,1343.09,3.39,1471.80
